delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1684722,264122,56761,48376,31225,21157,27633,11066,1301436,38493,34695,39354,12980,5255,3140,2919,398130,-3721,-27597,-25377,34707,8660,10228,10169,-1287324,-2413,-24241,-28962,1870,1979,5004,5087,806670,83845,-4694,-29259,14718,15331,16743,3721,1615666,824803,144794,119687,21685,37637,65996,13609,easy
456019,60932,3983,10452,10422,11416,5558,4688,332684,157723,47219,19667,13569,19918,19080,10217,-48369,35472,-40925,-4557,7937,-11513,-9596,-8086,-145764,-125388,-45283,-14249,-9977,-12834,-15032,-7499,946631,-145011,-42197,-32,1862,8635,-10858,3239,-259158,-152236,-44539,-18024,-12411,-18295,-18601,-9770,difficult
985889,197708,62389,26501,45684,38606,47040,37823,315358,56924,13983,13095,8412,18891,18289,13129,-170486,-47498,-5723,-11951,-6720,-16765,-15090,-11156,683572,199435,112446,21974,24766,45971,7087,27954,1688109,248997,72581,33535,70919,45865,51285,22256,480927,162200,14320,10066,60123,3787,71723,59723,easy
132886,37499,8669,4746,5761,11529,7108,5640,1314787,263330,52454,27072,19902,67472,59115,48056,-1262970,-234175,-46012,-22939,-13250,-59248,-47131,-43238,-1174271,-229647,-42918,-24894,-13898,-48013,-54533,-34959,-1183299,-203226,-42170,-16378,-12867,-50000,-48679,-43985,-1107063,-236277,-44040,-25092,-16551,-66512,-57686,-47481,difficult
287459,78583,14526,14620,13819,12684,28106,6589,435830,198877,17850,7632,8239,10529,8644,4769,-413762,-185379,-2619,-1615,338,-5034,-3957,3442,-172098,-179470,-8194,2574,-4106,-7386,-2610,-2299,284435,32516,13540,26041,32443,7932,82095,8794,-292061,-148845,-16022,951,-6357,13107,2318,-2657,easy
71706,13217,7818,5666,5679,13980,9657,6100,1375797,148442,43127,39444,14500,38638,34190,22107,-1234391,-138047,-41677,-33647,-8453,-25702,-24788,-18030,-1360339,-138846,-39394,-38222,-11717,-26053,-26707,-21373,-1342135,-123767,-40073,-27388,-12705,-27319,-29425,-20290,-1279500,-140239,-20092,-35855,-2409,-19559,-17211,-4334,difficult
345061,43932,19059,5424,8840,13161,10257,5260,559925,74972,12195,12331,8662,27934,32777,15916,-266429,53488,-7238,-10739,-3166,-22843,-26928,-11207,-435659,-60349,55610,-1344,9962,9685,-3759,-3319,-505437,-70438,-11567,-9274,-7449,-24602,-32022,-14827,348068,-46862,-9351,-6270,1365,-21333,-27371,-13271,easy
653961,79227,15677,9934,4766,8114,4045,2865,640518,108136,7842,19143,6115,27622,16702,15632,429475,-12552,5741,-5137,-1801,-22373,-13582,-13911,58898,3191,7992,948,991,-19151,-10083,-13173,-331466,-105879,-7266,-18245,-5564,-26844,-16424,-15384,-103135,-397,24871,-14404,976,-9665,-10541,-8599,difficult
443023,172076,9145,4587,19286,26393,12069,11165,1305460,284684,24238,46822,27334,48005,39410,21815,-1186274,-276363,-21356,-42297,-25101,-36953,-30127,-20200,-923929,-189125,-13148,-42217,-15813,-33397,-31043,-15084,-1080511,-240290,-19369,-43908,-17372,-33774,-30726,-17021,-259033,255344,-6500,-40520,26094,17676,-17469,9705,easy
107504,49570,6931,4732,4721,25566,11079,4232,128449,74000,13287,15057,5130,16430,20108,14164,79424,-16785,-9660,-12123,-1908,-1352,-6078,-9817,-95517,-25815,-6674,-10111,30,17121,-8249,-11692,-12207,-42507,2349,-7950,1706,-7626,-10916,-10631,-55481,-12613,-11438,-11116,-1464,28400,-10872,-7588,difficult
663643,169330,51099,38339,20288,30369,47236,21517,68935,32162,8908,9392,9912,17658,12207,13591,2094323,437180,158883,81550,13632,5623,75787,4734,41483,13944,11830,32039,-2056,20365,15201,11569,-47161,-5218,-1322,1860,5568,-2069,30325,228,290187,102765,-628,339,24358,26924,18801,15171,easy
1777630,74052,42219,13075,16817,33309,31269,9175,1344705,199129,54490,78028,31914,26887,40425,37585,199691,14927,34029,-64987,-5163,-3365,16125,-27156,1924362,-166839,-26092,-47552,-12465,45368,-5762,-28494,-82078,-166712,-12775,-71492,-14630,1326,-10717,-23976,-310276,-181686,-44247,-75780,-28132,-17642,-36270,-34015,difficult
682156,344921,51416,10331,14869,38652,19231,26188,199041,99471,20795,15623,8349,20299,13338,11992,1508776,1036023,130796,4512,12423,47072,30922,48517,685230,92531,4543,-329,4591,-4702,-3417,-2579,-119439,-81751,7396,-12892,16070,43897,5346,21019,-142108,-65004,-20252,-12461,-7006,-12856,-9278,-10173,easy
905307,198044,26498,31350,17023,36568,39163,18824,1288677,224843,28860,20378,12597,42112,25630,16437,-1144777,-215162,-22953,-19050,-11111,-37877,-23661,-14371,-1174453,-170382,-14438,18313,10879,-10618,-12973,-9150,376650,95045,9208,19064,-3103,-1304,4265,-802,409101,183302,18736,25560,21037,27624,86501,33872,difficult
107254,43233,19928,23448,18282,8282,7855,6007,598423,114620,29018,26555,29427,27950,25450,14485,-567231,-77591,-20505,-5983,10210,-15247,-18069,-7749,-590513,-97891,-12506,-1518,-23999,-18939,-14331,-10172,-547720,-86663,-16804,30,-18201,-23433,-21302,-9242,-259213,-23403,13454,-4958,-12591,-21053,-16679,-6751,easy
767184,94089,49862,25665,20950,39627,33889,9303,606754,119297,16203,7519,6200,8792,13908,6567,-560081,-102717,-15324,-5987,-5276,-7473,-12553,-5268,1752397,27844,84240,68579,58536,104175,71739,11349,-545477,-10949,1240,7614,1510,359,13490,1445,-5118,-15012,64481,2378,4231,26278,7248,3417,difficult
317850,174491,20867,7429,15210,19950,15378,10843,299896,75447,35819,23514,18731,24507,28286,17193,349244,572192,30556,-7577,21783,18142,11516,10049,260274,-65177,-30058,-19907,-15743,-11256,-21473,-13784,-287030,-48311,-32095,-15646,-4706,-4237,-19260,-6601,-250671,-62527,-28213,-21209,-15419,-20876,-22416,-15065,easy
206823,12226,4289,14554,6717,5840,7950,4468,392797,44262,14299,23519,3496,12765,16718,6781,318153,-9981,-3637,413,7886,-3067,-3114,683,-356700,-39684,-11259,-14306,331,-8710,-11471,-2957,-385747,-41497,-13213,-21466,5690,-8704,-12186,-2615,-319602,-36984,-11932,-501,-1025,-7220,-8302,-4365,difficult
857872,56275,7905,2427,6079,9047,5485,7234,864579,364974,176317,29464,28468,59373,51248,42467,1219719,-310602,-171249,-27144,-25238,-49403,-47310,-38266,379794,-222886,-166129,-25502,-17332,-48209,-43496,-25722,-841963,-355723,-173019,-27637,-27233,-57636,-49847,-41049,-784377,-345587,-163253,-27866,-19754,-46056,-42398,-35895,easy
213687,41799,23160,5604,9046,9352,4915,4119,786581,71248,9907,5504,7030,11366,11141,5916,-777702,-65470,-7822,-2774,-3917,-5545,-9062,-4506,-84007,75576,76685,8047,9775,-2061,1331,2107,-658681,-68249,-9548,-5029,-5802,-10722,-10583,-5199,-771186,-59653,-6305,157,8006,10272,-6591,409,difficult
600501,81771,32825,18039,11465,18940,7395,11161,156091,26776,12581,9306,6217,10427,4307,3167,-106917,38141,11651,-6609,-662,-2269,12,3565,1777539,73703,68074,41340,-2193,25093,7513,15885,-130675,-9716,-6225,-372,3559,-5752,597,-145,237692,117853,7477,571,20287,16978,4231,12670,easy
553537,63250,8963,2407,6353,5374,3383,4041,386870,101089,32835,32344,10306,23349,22750,17945,-349250,-53106,-29995,-31040,-7922,-20277,-20421,-15231,-374682,-75187,-13398,-27806,-4300,-12520,-17329,-7137,1351799,-86799,-23861,-31549,-6599,-19632,-19282,-17028,38800,63734,-28235,-29353,3008,-19470,-20437,-16219,difficult
442619,32106,10795,7942,3828,15862,9010,6584,694413,92245,13180,10096,7637,13274,8043,5220,-502377,-56916,-7655,-599,-3233,14974,4132,3128,-572593,-84413,-6169,-8648,-5426,-8747,-5440,-3450,495751,-70852,14233,4747,-4095,7652,-1154,4033,-427956,-28376,-9949,-4118,-2483,-3528,6329,1743,easy
939109,87534,25586,14240,22451,16686,18938,9644,398250,134418,6718,16646,11300,17212,10962,7708,188652,-93105,-2907,-15230,-1567,-2782,-641,9114,-197925,-51113,-4497,-8980,-6941,-13262,-7420,-6706,593707,-88407,69793,-5336,4452,-5559,4684,6081,1579000,45090,13084,19921,48658,19498,35279,-744,difficult
236974,74671,9042,17459,8709,19652,8832,7617,206584,71170,10669,10041,7682,8806,5121,2404,-84276,-69724,-7484,-7257,-6846,-3718,-2663,-524,387954,122887,15370,53023,15078,51336,23881,20675,-59631,-36500,-4531,-7852,-4120,-4174,-4138,-1841,-122487,-2658,-9864,-8244,-4,-60,-2238,2543,easy
659758,52895,10199,20967,10323,12602,8953,3954,837109,260439,62419,32785,15085,23048,51027,21814,1480682,-194968,-40967,-8964,-11399,-17710,-46104,-20222,-717333,-210890,-53757,-1130,8619,-1293,-38475,-16865,-679656,-208916,-54025,-12926,-11424,-9358,-40102,-16063,-793099,-215401,-60130,-24252,-4843,-13425,-43615,-18291,difficult
401768,74233,13415,16713,10521,29974,12579,14394,848503,306387,54283,40822,40379,53469,111431,50478,-562756,-224470,-36706,-29930,-36062,-35726,-104183,-44373,-225749,-278874,-48105,-35808,-37045,-38895,-103509,-44175,-226279,-218922,-31037,6529,-15605,27122,-84229,-16209,-772158,-206352,-47623,-37229,-30722,-46481,-103486,-39580,easy
351914,70779,10414,31617,10498,12822,8463,7253,864965,189524,15979,11553,5498,17330,10069,7226,-233937,-124088,-15222,-5721,4405,-11984,-4459,-216,-774304,-134612,-865,41621,12197,-3445,-3399,-4335,-847321,-183019,-14836,34728,1956,-2654,-2927,-5483,-196644,-33260,8661,9626,1441,51,4362,10141,difficult
340754,83971,18058,16423,9880,14283,9641,4325,635868,120778,14177,8120,19715,34513,12547,6392,-502069,-88315,-13194,-4326,-18367,-30755,-11110,-5524,-195,73213,8875,35826,7044,1403,10891,4163,-404454,-50071,1322,-6179,-12993,-24630,-7741,-4230,-273740,-82057,18522,7890,-15025,-26940,-3666,-2677,easy
692717,157569,13252,16431,8457,16128,8702,6673,159370,55682,10422,5003,4679,12984,6187,4334,743787,333254,21705,43100,14946,23824,1884,8345,-25044,-31262,-7125,-3776,-2759,-723,3881,-2503,-66648,-16872,-10259,-3889,-2840,-9145,-2126,-383,1481292,122427,6997,10277,5766,-1381,6420,3896,difficult
772817,49987,20970,18197,16158,16974,16292,12114,727003,121454,32580,29795,21081,45693,36243,18775,-429026,-111771,-24780,-19945,-17851,-41734,-34255,-15684,-707362,-109871,-25263,-25982,-20375,-41492,-34278,-17462,414549,-75956,29058,9394,24583,-15491,2968,12282,905094,11730,-25455,-9860,-6050,-16161,-14239,-5780,easy
1174467,430877,47291,31801,13599,36110,65224,14047,916070,48453,7976,4771,13804,14959,16845,6642,-692877,-25652,-4961,-3431,-12066,-8621,-11858,-5580,-404928,74968,62910,30687,642,8136,62910,5724,2837235,1503634,101152,81272,22289,96663,139907,34240,-705841,-23256,-1843,-409,-11686,-11576,2558,-4764,difficult
73739,24220,2715,7850,5164,7505,5010,3521,98955,16681,7992,8160,11177,6068,5557,4869,-90542,-12740,-6541,-4557,-8272,-2554,-4724,-3849,-91584,-6336,-4102,-4763,-4157,2413,1918,-523,40005,37389,-5635,-6307,-7789,-1358,-3377,-4132,41255,11843,-4830,14386,-3833,7246,3993,3113,easy
871273,63896,28865,17472,4341,12053,9503,4595,1034323,76778,37925,38936,23350,12842,63041,13879,-845500,-3712,-29266,-33165,-20410,-2969,-58743,-11022,-929108,-27887,-26305,-35499,-20230,-3772,-59198,-11638,1558522,15164,46961,2664,-16115,10229,-39797,-7808,-436115,-35092,-27632,-19857,-19281,-6646,-56414,-6668,difficult
462060,103772,21168,15992,10724,12847,7639,6783,295468,88404,15173,12287,4432,8845,2815,3225,-212918,-35092,2395,16932,11291,4223,10851,1833,-141322,-82939,-10942,-2660,6617,4281,3404,3191,-168000,21618,-12154,-3877,1439,-5843,583,-1287,1188607,157884,44682,4426,5821,13348,4456,10495,easy
554607,108228,11173,10915,7028,22919,15091,8195,547628,279231,56747,32896,14753,33874,64625,23416,-340254,-254268,-52918,-23238,-10623,-24481,-47334,-19767,-340254,-254268,-52918,-23238,-10623,-24481,-47334,-19767,1114425,2651,-26249,-20051,1909,36843,-47407,-866,-406000,-178128,-50212,-21396,-11563,-31701,-56060,-20483,difficult
1210791,319219,110094,42822,38510,46229,68906,23696,59870,54413,10119,5262,2756,5770,4443,3309,113280,-43720,-6426,-1455,8861,-2292,-1362,-2800,-34633,-13433,53,5137,16385,12253,1629,2070,2151450,884169,155665,121162,77822,110230,185452,43236,2373586,232209,250609,25396,39949,41645,72132,39040,easy
568177,86289,13920,7419,14108,21362,26338,21348,324881,276455,22441,13661,11571,35268,32135,24369,100812,-256866,-13234,-12635,-10021,-32482,-29127,-22985,-248666,-251422,-12650,-8743,-5113,-18988,-26920,-20488,1348277,-15798,3771,-2099,33629,19902,51383,48628,-227241,-236577,-11972,-1493,-8347,-24055,-18526,-17239,difficult
