delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
284039,96773,12188,18856,4816,6043,3694,3954,1459196,84149,4195,-4733,5146,11420,12175,-419,2681106,124715,36785,10415,-9,17766,4384,5012,easy
964441,85690,53690,64764,22582,29540,46953,24513,-943549,-51904,-39559,-61461,-6438,17656,17479,2165,-699977,-55888,-27783,-56942,-17303,-20148,-40877,-22263,difficult
414190,42821,20815,6560,9983,6889,10810,3762,295195,649041,20881,18400,-295,2925,1255,-1604,-95583,25730,-1099,21503,5561,10075,2957,3471,easy
678701,415145,31449,53765,29122,24331,19166,11752,-292392,-391430,-24155,-50076,-25920,-21739,-16475,-11098,-13808,-320633,-3890,-42061,-16208,-13986,-5375,-7303,difficult
778004,122346,28882,40255,19872,17083,15124,4769,1276906,-1780,57397,-27923,-7049,2518,3751,-1724,1276906,-1780,57397,-27923,-7049,2518,3751,-1724,easy
592245,92759,8442,16669,15497,25320,53736,11277,-341626,-85938,-5912,-11212,-11041,-19939,-47195,-7969,-341626,-85938,-5912,-11212,-11041,-19939,-47195,-7969,difficult
151714,24143,27553,12202,13815,10125,6306,2671,-65623,13192,-16308,-9744,-8111,-6037,-1967,-1684,-54075,-1600,-25061,-11128,-11972,-8020,2752,-922,easy
1133282,437279,28535,20864,17520,25315,28867,18804,842675,-263931,6547,32651,-583,17886,103,-6022,-221446,-359749,-22497,-2763,-8116,-19995,-16944,-15678,difficult
725318,99170,8319,11447,12725,16444,24183,11078,-633973,-86987,-4703,-8935,-11602,-10087,-14017,-9433,-581246,-80332,1913,-5684,-8792,-14458,-19470,-9498,easy
629675,536646,29841,28304,18915,43099,17777,19304,297713,-388043,-2615,-14403,5099,5214,13551,5602,-419654,-486776,15407,-17035,-10770,-34689,-6495,-7458,difficult
555580,133253,23817,19242,18791,14203,24203,7473,-322722,-84356,-14783,-8705,-16042,3158,-9568,-2822,-387167,-4485,-14665,-8306,-10440,-5275,18424,2643,easy
1102761,157583,29915,40000,18675,39212,32447,14389,-886403,-92867,-18812,-30957,-15197,-33512,-7176,-9130,853563,8195,79435,-11643,-13321,48373,46537,4660,difficult
226311,48316,13465,8086,12255,10729,15119,6314,102886,-32744,-6954,-749,-836,2392,32607,-2475,438782,-21255,-6487,-6511,-8574,2724,-3911,-1269,easy
65256,50596,8599,5626,8746,25547,6351,7751,2276882,317913,18558,-2479,12728,6473,8678,13913,1105686,33108,4743,17227,10437,1839,5862,-1903,difficult
187169,32646,14320,7470,9174,5986,5853,1593,272769,66791,7178,1587,-3609,10333,11557,4046,59321,2761,20349,-3098,7669,8215,11644,7552,easy
325572,34920,45478,19747,12094,5602,8322,4604,2210459,415720,136288,43241,9021,27135,29682,6363,322639,84700,-30251,13339,-5142,8211,-256,-1240,difficult
884064,112878,43423,7543,8722,7119,9551,3590,-618682,-92289,-40643,-5165,-4523,5775,-4844,31,-779574,26559,-15986,9542,-1640,-2543,-6052,-2735,easy
212453,28684,32220,8404,4130,3196,2421,2468,-199393,-23656,-30266,-1973,5438,9731,5281,1809,-151414,57984,-21720,-3520,7038,4986,3871,953,difficult
612443,105857,32634,8062,6458,5940,9166,2646,-417160,-93010,-31335,-7201,-5467,-5171,-8340,-2280,-33376,-5609,-27342,-3131,-3387,-2191,7180,1631,easy
1574134,370695,81503,10893,16092,27419,57930,20120,-284847,-156863,-48801,14638,29016,-7609,-27000,2192,-1098088,-242603,-43555,10596,-13481,-17551,-51609,-12129,difficult
404523,93739,25768,9175,10950,17907,27274,7751,-306903,-73144,-13167,-7936,-9922,-14970,-23029,-7452,2061096,-52675,-510,6752,-6189,-10418,-13411,-4525,easy
