delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
550178,119026,21073,22937,15088,23720,12566,7356,-319553,-104160,-19247,388,-12304,-16740,-2501,-3138,-491136,-71412,-16473,-21355,-14143,-20348,-9149,-6542,easy
64627,29067,21273,5595,6049,19035,12103,5451,-41818,-17971,-14318,3747,1918,977,6835,18001,280297,92361,-3657,5004,-3098,-7298,-6582,-917,difficult
54624,19956,12470,6635,7042,13413,10817,7922,439450,353704,46646,15410,31363,8626,60354,25693,733594,173755,36965,-787,8543,27016,73609,22803,easy
38255,38479,9104,6387,6429,18267,22172,13065,-29669,-6861,14193,65938,29518,30477,-4134,-5641,593439,23977,1195,2438,-3214,-12023,-18466,-10865,difficult
800379,134800,26481,19006,30969,19723,17944,13877,-672597,-96910,-221,-8545,-23706,-11037,-13759,-10049,171444,20635,32928,58741,-17173,19562,-6437,-689,easy
833370,48478,31803,17818,6521,13180,8234,3612,-817691,-41741,-28158,-13251,9628,26392,31377,14641,-759821,17897,-28305,-9366,4071,-5477,-2086,-1401,difficult
1075393,48575,6272,23222,9908,22952,27014,14863,-1061408,-33129,-2201,-18688,-8662,-5906,-21335,-12824,-1011398,-44273,-6012,-22616,-8659,-20923,-26220,-12624,easy
188829,130573,38984,16445,9926,25256,7723,10091,285897,-108180,-31499,-4981,316,9904,13138,1573,-183441,-117129,-33857,7257,-2020,61328,39141,4136,difficult
263304,45371,14468,5378,2494,7796,6885,5192,-191176,-8618,-12482,6294,497,-699,144,-1275,114345,4091,11344,19372,32028,15089,3543,9028,easy
212840,74074,7528,11511,13326,35104,66974,26130,474588,21326,67560,-1679,1181,-24677,-52185,-16652,576881,-43193,3040,-8355,-10383,-28598,-65605,-24564,difficult
1168005,57312,25077,18823,14561,15741,11594,7667,620971,-6140,-23481,2089,-6714,-2027,-6919,-5759,-890854,-27843,-12004,-9279,-11084,-10711,-3200,-6057,easy
1308752,78771,20444,16167,10949,21244,7275,9836,-1282772,-20962,42763,37484,19236,-6734,49306,15158,-482854,179106,31521,47736,34037,56124,14427,17446,difficult
834993,146350,25975,19237,11185,29495,8256,12972,1047341,-41829,1248,13318,55825,32134,27942,-1727,17954,-53633,-9505,-14605,-4089,-16038,-2092,-7586,easy
306388,42626,24618,9438,9651,19658,10352,9377,-301171,-35949,-20008,-3303,6495,-6054,-4747,-5939,-304895,-31383,-20617,-6015,152,-11025,-5890,-2525,difficult
727368,58491,12324,21644,9103,30594,18040,14754,-715142,-36184,7267,-2952,-1978,-16474,-672,-10513,525007,-39847,-8899,-18219,-4328,-26653,-15652,-12509,easy
413296,80955,28786,13551,5607,11677,7770,2610,375429,-8810,-25172,10800,1025,1459,-6041,316,-141708,-12245,-8917,-544,24737,60964,25008,15619,difficult
