delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
26631,51407,17048,3998,10335,8689,6339,3669,196421,40225,8727,9412,15207,6979,3123,3614,-189871,-302,5439,-4994,-1642,7107,8127,1702,-149709,22665,11203,-5835,-8102,-3687,-1696,-1593,easy
779390,241682,60521,40936,30099,34457,23929,4710,442070,40961,43141,25078,21838,11336,6339,9350,1047632,403948,36068,48623,23979,41268,27987,-3386,-372992,-2507,-1309,-16908,-7457,4974,7192,-5895,difficult
78296,9377,4360,2589,3602,2970,728,798,1089289,220540,25870,30134,53594,18327,10011,8519,-1064436,-216402,-23037,-28005,-50862,-16834,-9449,-8173,-957550,-205925,-19983,-27085,-49123,-13880,-9118,-7269,easy
1071492,247225,23954,43704,26301,18932,11085,4973,571342,119618,31141,48714,26612,13902,10991,7843,1070588,360630,5533,-1247,11790,18437,8024,187,-70288,-105416,-19907,-8773,-12412,-8377,-7837,-5928,difficult
589519,28566,10671,5572,9878,3462,2051,1733,423495,112682,14046,15315,13449,10828,3387,2884,-378883,-102541,-6897,-8025,-6296,-9111,-2749,-2160,710931,-65691,146,-11461,-847,-5621,77,-142,easy
725073,110969,30379,14555,20720,9320,4425,5274,568734,74404,24169,27741,21760,22232,5715,3186,-401972,103399,20114,-13011,8596,-10518,993,5794,714650,-30269,-7694,-13362,-10676,-15307,-3574,-1618,difficult
251283,106109,16777,17370,7628,9219,5882,2139,1230761,279418,53249,63173,50602,40173,19330,8051,-893175,-251414,-28480,-56714,-40709,-29784,-11118,-5675,-1065782,-95204,-44464,-34893,-45239,-32124,-15778,-6150,easy
862690,175115,14183,25656,38010,19235,10128,4053,761860,132516,39366,31492,21509,21413,21963,8021,-691330,-97089,-30818,-17539,14567,-5234,-14184,-4688,892990,182287,-19549,5866,18434,877,-9486,-3249,difficult
875596,187359,80756,42229,37185,36487,11750,8986,580586,158919,30579,19166,23208,15176,9709,3743,-39812,-40666,44834,27389,13729,38838,2156,6430,629832,97545,55520,18737,14224,3784,1925,4056,easy
941879,291110,28957,29881,38513,26546,9624,13936,537812,134643,21062,10231,15438,14769,10834,5053,155125,-127423,-13466,-6793,-9248,-12188,-9877,-3879,653008,440357,29255,46093,55397,35742,7457,21644,difficult
47156,22306,5824,7873,6493,8243,5756,3828,1355115,246148,25550,41935,21726,29169,14151,8462,-1341710,-227415,-18510,-31535,-12846,-17405,-3903,-1726,-1274208,-220269,-20942,-36590,-17621,-24447,-12887,-7542,easy
152779,33099,8466,3789,2439,1962,949,541,297129,507266,26588,42612,40141,15115,10100,8108,-68162,-469726,-12534,-36518,-36365,-12653,-8825,-7462,-220539,-478609,-23710,-41129,-39040,-13654,-9478,-7672,difficult
89683,39213,21545,4611,20328,3315,2056,1410,985973,265589,75626,28287,40489,14939,9018,5392,-935358,-215339,-35492,-22933,-2283,-10482,-5731,-3099,-857223,-237413,-72670,-24419,-38040,-12767,-8194,-4866,easy
754275,349839,19547,42963,34717,13782,6107,5206,695092,256792,17877,30239,22010,16379,6786,3519,-461796,-152251,-10302,-15574,-17114,-14227,-5727,-2814,580161,338344,13641,41021,42527,9033,4369,6188,difficult
526605,68654,17310,29414,11449,4341,2355,3995,279713,37959,11022,15173,7926,9104,2590,2012,-122831,50563,19762,29977,10050,-4073,471,4743,616614,10826,-7186,-1495,-3004,-5454,-942,-778,easy
558923,64206,13875,10843,21790,12582,12007,7799,1138124,150913,32823,60327,18582,27478,10953,9481,-1092917,-75518,-19990,-56405,-11620,-20649,-7466,-6332,-65486,-97897,-17906,-42564,18036,-9144,9573,2967,difficult
2154215,456228,31897,71299,118560,76956,38570,13639,240574,33934,9523,10943,9171,6673,2704,1670,189685,380466,6205,10127,12709,18348,7288,4862,3637597,464121,38542,110585,206069,122218,64444,19075,easy
1118288,133693,17646,15081,22862,25130,9563,7969,179329,25075,16637,6916,10406,7081,5599,2986,2044088,204090,16033,22129,31235,39372,12858,12283,-166171,13145,-14016,-5799,-6323,-3274,-4930,-2317,difficult
71343,49163,17923,29507,10339,8279,2546,3110,207848,32429,4904,7640,4486,3609,2050,2856,-127869,19239,13364,2413,-207,583,-741,-1820,-145142,14228,12674,41321,11913,8756,1732,2328,easy
40727,97738,47449,7903,10835,10008,7728,4669,211975,69165,51816,22753,8576,15305,5260,3429,-171248,28573,-4367,-14850,2259,-5297,2468,1240,-171248,28573,-4367,-14850,2259,-5297,2468,1240,difficult
229472,15192,3124,3059,1503,1921,1326,829,982264,197456,71885,20801,25771,24200,13979,7598,-756543,-177835,-69531,-16792,-23750,-20961,-11861,-6384,-749041,-186693,-67992,-18693,-24786,-23598,-13445,-7154,easy
171457,51462,12012,10624,4515,5459,1865,1119,925297,94286,82281,16022,41248,28261,7253,6517,-775933,-1922,-61113,3290,-35375,-21043,-4175,-4746,-731747,-83727,-79426,-14087,-38091,-24561,-6601,-6050,difficult
87707,49620,12439,15763,6942,6216,3711,1722,235404,50018,7588,11225,8301,7652,1842,1032,-165581,6763,5790,10251,-1045,2613,3654,1799,-129813,-7559,3911,-1175,-1674,-5486,83,-419,easy
562528,60647,21790,8361,8160,6138,2372,2285,331063,97496,37249,23696,15895,13317,8924,7291,715984,-20097,-15880,-10522,-10124,-6908,-5870,-3943,-253055,-53601,-15039,-20148,-5346,-7451,-7235,-6069,difficult
196915,118089,32991,17765,9504,4560,4760,1343,395502,110304,39389,20315,21273,10750,3753,3163,-238730,-75081,-18421,3481,-6405,-6876,948,-2174,-158444,90651,5625,-8581,-17134,-5504,1065,-1466,easy
435455,38575,9421,6239,6990,4542,1267,1273,819521,204221,28689,35318,10308,12380,7646,7286,-304882,-166760,-14398,-31016,-4994,-7262,-6783,-5825,-463250,-164533,-24138,-27142,-1642,-8415,-5975,-6202,difficult
332070,67375,12082,18271,9786,3013,2379,1044,265209,37319,19396,16499,22306,23931,11903,2507,233550,26417,-6562,-3699,-12597,-21822,-9600,-1314,-99829,33694,-8067,7243,-12444,-20014,-9449,-1612,easy
615079,95237,23764,32799,34590,25928,7889,5608,197022,76466,10358,16698,12982,10929,4302,4154,-60400,987,-914,-4750,-6068,4167,-685,-212,896513,36555,27726,36952,49284,25831,7858,3120,difficult
112283,18102,17941,12803,9568,6190,1131,1840,300789,36314,16667,13941,15536,11370,2698,1899,-146571,-10173,6523,-9989,-9021,-8512,-2356,-1336,-230442,-26252,-3976,7713,-2915,-1848,-778,1217,easy
101437,12408,1329,1438,1418,2172,799,397,233424,54242,26440,15877,15718,5727,3241,2555,-144613,-36506,-25630,-13772,-15069,-3131,-2181,-2291,-119361,-47162,-24592,-15106,-13531,-3979,-2703,-2025,difficult
1327444,153788,33213,17631,26750,16132,8122,7818,253464,65074,26709,13538,21273,13934,8114,6071,1353256,117576,3417,7610,-8316,-529,-3380,-3618,794704,59851,9591,576,19270,4925,3395,7111,easy
27797,40676,10271,9868,6399,4991,4645,2006,116729,62438,15077,20674,8594,6852,2839,3252,-94189,-17413,-5990,-12582,-2086,-3859,-2141,-2134,-83676,-26111,-3623,-9031,-2305,136,5753,-359,difficult
513009,220492,20942,18322,19236,16436,9438,4424,355299,83040,58793,14172,8836,9749,7922,3565,-138608,203042,-56190,-3324,3352,10220,-55,1214,454028,71862,-19513,11624,17447,3154,3086,503,easy
150893,37857,22728,3702,9914,4675,2001,1237,304958,55471,15785,8927,5993,5885,2234,970,-100501,-23986,-7044,-4780,1200,-2204,140,409,-207629,-11242,20930,-5670,6642,-217,-607,125,difficult
391484,50532,6956,19712,17161,7310,5005,1159,73165,126636,14979,9833,20386,19319,5835,5165,671245,-33372,-4206,28698,12401,-7267,2944,-3321,-34608,-118836,-11841,-8941,-18851,-16752,-4604,-4692,easy
1887128,201409,51138,51937,65298,66894,37555,7730,491248,218585,29130,13977,20617,23007,14743,11041,2157632,46962,35130,73164,86167,53694,45037,-1439,634127,-81314,8886,2755,3194,34079,587,-5183,difficult
174524,44906,13015,13442,5766,3635,2963,1984,1033767,131608,80196,55155,47440,49755,25147,11210,-967360,-108265,-73683,-52292,-46118,-48122,-24690,-10789,-751127,-65140,-60679,-31134,-37231,-44119,-19679,-7664,easy
115715,21688,63948,11434,4914,2689,1217,531,293219,51075,7908,10775,10632,9327,2902,1327,-71169,-19344,8208,-9531,-3015,-7505,-1773,-913,-283840,-39431,103871,10849,-8422,-5771,-1597,-679,difficult
489034,333144,89071,30496,40362,23831,12647,15168,123468,26303,7279,5907,6366,3892,1997,2427,149113,-12385,-3263,6266,7683,2516,39,-431,582018,626066,166847,42912,60309,37362,21260,25913,easy
520293,295942,44325,47414,31350,32087,18480,10811,293579,71810,24594,23006,13627,12773,4916,2419,36490,95867,15226,6689,9847,9338,1669,4065,416938,352396,24235,42126,25599,29289,25458,12718,difficult
90589,38097,4840,5417,3792,8888,2202,1034,258177,45129,12805,5412,6543,5370,4619,2048,-109868,19937,-4291,3165,-495,11097,-560,-161,-225309,-34002,-11640,-3155,-5007,-4062,-4275,-1867,easy
141474,29467,20473,4027,7469,7350,1161,1300,374273,21547,36863,9370,4730,5222,3753,1676,-368713,-10994,-21016,-6482,3506,2323,-2419,6,-96885,26833,-11765,-4205,1972,1933,-2766,-758,difficult
126270,97327,61222,16232,9359,5690,2924,2441,325902,74306,25517,13408,29512,24105,8412,7698,-199632,23021,35705,2824,-20153,-18415,-5488,-5257,-199632,23021,35705,2824,-20153,-18415,-5488,-5257,easy
283913,33263,65037,46810,17105,16524,8183,3859,340537,31960,17787,6372,3936,8877,2062,1450,-21279,10866,20257,63866,10338,7359,6533,3320,-91969,-8261,74243,17010,15999,7934,5709,1498,difficult
96922,33924,24381,11934,20420,13128,5020,4933,35233,21575,3335,2112,3143,2133,845,588,113317,6488,33418,7458,25434,13673,6639,5528,10060,18210,8673,12186,9119,8317,1711,3161,easy
55508,29984,13281,3806,11083,2706,2128,1846,1038344,125738,53463,22627,17513,30428,11211,4417,-1010165,-113833,-48575,-20011,-16539,-29112,-10448,-3960,-955507,-77676,-31789,-17631,3679,-26333,-7719,-1182,difficult
140657,24249,22918,41594,9961,6771,4373,1912,516249,56214,27996,12906,14435,13055,9140,6715,-470362,-37796,-20955,-6781,-11532,-8369,-4943,-4867,-280823,-26135,10799,64156,2583,-4199,-4592,-4740,easy
656245,147601,29158,31783,16649,11179,5336,3038,140013,104293,21272,22064,11333,13050,11683,8853,532614,123175,13047,30218,10337,6021,-2410,-3824,499849,-36559,2725,-10780,294,-9764,-10285,-7807,difficult
999983,53411,11415,11117,6175,7060,1715,1425,800066,120019,69252,58983,44715,26220,12965,5376,573982,-81486,-58650,-45938,-41123,-20829,-12204,-4456,-174149,-51731,-57024,-49795,-35958,-17491,-10296,-3447,easy
71286,33032,5699,514,4224,3439,727,1069,94182,26806,8509,7683,5601,3268,1058,876,-41742,-16331,-5157,-7484,-4464,-2556,-364,-694,-4051,28783,-463,-6854,1710,2898,-299,1079,difficult
276596,48635,21798,7637,6297,3530,1311,2441,818893,492993,78316,58233,54588,28528,23825,16712,-382100,-453628,-40533,-49333,-50376,-24771,-22415,-14200,-702494,-435088,-72504,-51860,-46207,-25226,-22613,-14342,easy
191895,40166,9096,4583,5499,2903,931,605,42451,34251,22421,16720,20193,18942,4914,2811,15635,-28155,-18584,-9548,-16125,-16707,-4333,-2395,283253,39985,-8066,-14726,-13264,-15372,-3633,-2018,difficult
334231,74632,10644,15146,7984,11551,4125,4154,706555,301368,95356,76853,120396,55986,21233,13032,-526014,-255759,-81820,-68506,-114805,-53202,-18108,-11516,-218635,-197714,-87604,-54909,-110019,-35669,-16109,-6240,easy
572111,198067,44080,23768,15527,7082,10837,7674,239239,53859,10145,5516,8660,2316,2153,1300,623146,291415,62365,35367,16773,8309,17815,12668,42598,-3000,5505,1136,-3040,1222,-447,79,difficult
872275,113318,20634,11828,45561,20072,4494,4603,675511,81111,30827,19409,26934,13866,5425,5582,602993,39776,3388,-2651,39927,17781,1540,-1177,-209465,24638,-23775,-12512,-2674,-5369,-3403,-782,easy
852101,158647,18652,26122,34804,33475,3265,2486,107264,34508,19682,9196,5616,6915,2718,4896,180870,-9161,-13624,-7383,-1920,-4181,-93,-3030,1308803,257438,11563,41234,60296,57301,1186,-1791,difficult
1169013,737632,94516,79577,52549,28344,21185,11736,302458,96523,7636,4501,14328,10872,8723,3029,-218204,-69357,22360,14261,2347,-3343,-5288,-1429,1951314,1351574,151400,135890,74095,38286,30212,18842,easy
62575,20431,4500,33988,9303,8390,9278,2896,379024,92234,27621,28498,13281,6900,5565,6781,-328352,-80519,-24755,-26261,-11660,-5965,-5126,-6035,-304547,-63088,-21488,37240,3704,8944,12551,-1735,difficult
856478,49863,26655,18369,21319,17812,4243,3735,212462,67001,6967,4890,6272,2506,2061,834,1286117,25872,25690,23999,29197,26086,4502,5966,1915,-60148,13685,2958,897,4525,-139,-164,easy
343743,100625,44029,19576,21379,21092,9989,2094,231357,62820,41425,10864,16591,13728,1912,2893,339285,96757,-4512,18530,14953,19368,15778,354,-114514,-21147,9719,-1107,-5377,-4641,375,-1952,difficult
187770,130854,36156,24309,17981,12758,8784,4229,251946,107925,12076,10292,13400,5577,2149,1991,9231,113570,34340,26405,856,12169,5762,1869,-137583,-67712,13820,1628,8306,2193,7507,2607,easy
1164565,253649,32266,51611,35769,6249,8730,4160,187946,166876,35329,25609,21789,9814,5449,5013,1586074,140660,6267,63867,33184,-2824,8985,442,367164,32886,-12393,-11864,-5224,-4307,-2423,-2149,difficult
919792,317061,81098,38089,108439,27131,14386,7205,1118733,190196,76775,91990,52790,80983,25270,11676,-77368,366238,60015,-35266,156742,-41398,-2921,-2079,-320515,-112508,-51369,-72537,-45444,-66307,-18847,-6863,easy
166794,91295,27145,26799,16568,11037,4672,1972,573955,202294,70772,18870,36236,21966,10611,4590,-516369,-157831,-66244,-16050,-30380,-19264,-7953,-3474,-297954,-64168,-21010,31908,-8957,-2595,-3925,-1763,difficult
774819,259773,19145,11265,12795,8510,8248,4262,336173,90502,20935,11918,11634,17683,6776,5595,1185406,414760,15349,7633,9679,-3407,8892,2361,-308115,-76218,-18930,-8939,-7357,-14939,-5949,-5028,easy
