delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
103079,22931,4557,7511,8710,4902,259790,18499,8034,-560,731,568,1450844,169097,31362,51211,31504,40029,443823,22330,9223,3095,1828,15884,-74102,7948,9955,3157,-3296,723,-87423,-14176,2923,2939,-2889,36151,1191054,-1007021,-517925,-13321,150598,-146767,-14382,-22124,23328,-22139,732,-7032,51771,-48116,62,-218,30773,-29676,-5124,407,39461,-24145,-15161,35428,easy
674247,38864,2644,9574,7869,29419,-478032,88357,42975,3203,8797,8784,1977134,18788,72658,10597,14424,30031,-655882,-20396,7366,1723,2136,13631,-207487,5376,5838,9113,46127,11090,143628,20839,10451,11431,30241,-13980,2455166,-2633016,448395,351115,-69569,-39184,25772,15463,29683,-65292,-1528,4613,7394,-8874,7390,2318,5627,-12288,43991,-15886,21247,-16400,-2541,-25070,difficult
43430,32623,3164,7262,9359,19008,213334,33504,6196,26565,21973,3024,965478,-8245,12463,-6225,836,-14674,1439587,109502,114682,23844,18337,15126,169122,-25449,-1130,-3660,-2401,-13566,547439,53150,37069,4809,23650,-5874,752144,474109,-1270465,378317,-41749,117747,-134951,78599,6267,102219,-115812,38199,-32790,30069,-27504,8469,-21137,17501,-20738,26051,-17698,29800,-28692,7692,easy
318629,72377,6353,8011,6799,36714,598506,315270,50795,17109,16000,-13721,12082,98381,21485,16683,16308,17326,233037,-446,13432,37866,35106,15005,508504,-14471,5279,-1815,48686,-6597,-203803,-63992,-5838,-7540,-5988,-34499,-586424,220955,275467,-712307,-216889,-98827,-14025,-49521,-29310,-8053,-8153,-11117,-426,21183,-39681,-5725,308,18798,13580,-54674,31047,-2321,-21602,-27902,difficult
1357272,192118,23346,53416,20045,28715,-933720,-100114,-6806,-25954,6336,14001,-1116228,48247,-7519,-21421,-8186,37356,-1299337,-170591,-18723,-49480,-14745,-19255,-1004054,17230,-19721,-25912,33439,41464,-956961,-179288,-16310,-48148,-8893,-17150,-182508,-183109,295283,47093,148361,-218838,187821,-196518,-713,-11204,-998,3411,4533,-28059,23568,-22236,-14522,-6559,48184,-42332,23355,-56611,60719,-58614,easy
99529,78012,9056,17463,13434,32727,580659,-20402,545,-5150,-2057,-17566,68256,-64980,1797,-10910,-8040,-20999,193972,29711,-2295,24964,32796,5445,1364022,10670,3651,23850,2735,-4592,524684,-57997,3948,6495,16114,-17549,-512403,125716,1170050,-839338,-44578,94691,-19041,-68667,1252,-4092,5946,297,-5760,35874,-1114,-17355,-5983,40836,-30061,13379,-3433,26444,-10037,-12957,difficult
1273353,238528,128617,28763,22845,41820,-973803,-153022,-100423,34986,-3227,-18131,-1088693,-131522,-96976,-691,-7064,-31188,-1263505,-223863,-127726,-24879,-16822,-36240,-1265451,-225731,-114653,-18646,-4464,-29486,-1230360,-231439,-123594,-22070,-12028,-34814,-114890,-174812,-1946,35091,21500,-92341,-1868,-5708,3447,-30750,13073,-8941,-35677,-24188,6233,-3424,-3837,-9758,12358,-7564,-13057,-5052,6754,-5328,easy
689266,168524,43399,62016,35942,55175,-674358,-154849,-31248,-44094,-22145,67697,-594924,-151097,-39248,-59316,-35146,-50397,-651897,-155200,-37631,-44033,-19122,-5941,-679838,-147107,-41686,-44001,-22306,-17351,-454257,-132065,-25449,-57487,-24632,-46461,79434,-56973,-27941,225581,3752,-4103,8093,15042,-8000,1617,-4055,16237,-15222,15283,32,-13486,-13001,16024,-3184,-2326,-118094,44456,-11410,-29110,difficult
215459,45901,14989,7461,9729,19991,-139567,65206,-734,23181,-3344,-7051,-133797,-41358,-11733,-6354,-7906,-16851,-88163,46425,-5663,6890,6526,14519,1748860,294064,20370,34083,21269,-2503,1100759,2573,-8685,2622,-582,-13527,5770,45634,1837023,-648101,-106564,87783,247639,-291491,-10999,6070,26033,-29055,-29535,13244,27193,-31461,-4562,14432,14743,-21851,-9800,31370,-17022,-11024,easy
1218886,213363,43202,21296,16787,31368,-1140354,-160524,-18616,-1790,-6518,113322,-848610,-132777,-39786,29663,11927,21049,-1127318,-167723,-37483,-15951,-8619,-14838,-174853,-124088,-20004,-5403,12546,32336,-1202480,-186904,-41306,-8666,-12926,86083,291744,-278708,952465,-1027627,27747,-34946,43635,-62816,-21170,2303,17479,-21302,31453,-45614,10548,-3263,18445,-20546,21165,-25472,-92273,-35887,47174,53747,difficult
