delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
77232,44626,30566,12376,7850,7863,4603,3708,196421,40225,8727,9412,15207,6979,3123,3614,-34393,-35879,-7265,-9042,-14085,-6183,-2771,-3349,-189871,-302,5439,-4994,-1642,7107,8127,1702,-149709,22665,11203,-5835,-8102,-3687,-1696,-1593,-181482,-30113,4426,-7834,-13539,-6182,-2800,-3141,-40489,65632,95391,42525,585,13367,6542,6851,easy
535166,247592,50829,29106,18191,21173,13071,4086,442070,40961,43141,25078,21838,11336,6339,9350,285857,17724,35299,-17743,-9810,17263,-622,-4504,1047632,403948,36068,48623,23979,41268,27987,-3386,-372992,-2507,-1309,-16908,-7457,4974,7192,-5895,-320419,-21585,-35679,-12108,-17257,-9001,-5056,-8642,-174597,635576,4060,18278,-7691,-5321,4157,-3895,difficult
271114,46488,14163,7399,10109,8496,4473,3510,1089289,220540,25870,30134,53594,18327,10011,8519,-499614,-193526,-17292,-25975,-49364,-14263,-6904,-3122,-1064436,-216402,-23037,-28005,-50862,-16834,-9449,-8173,-957550,-205925,-19983,-27085,-49123,-13880,-9118,-7269,-878020,-142946,-15201,-13810,-23273,5483,5491,-80,-691257,-111459,16977,-18799,-44802,-9661,-7710,-6402,easy
1123800,175932,17977,49450,34784,17997,8920,6073,571342,119618,31141,48714,26612,13902,10991,7843,-28888,22620,-18541,50867,71041,-2683,1640,1828,1070588,360630,5533,-1247,11790,18437,8024,187,-70288,-105416,-19907,-8773,-12412,-8377,-7837,-5928,144261,-35530,-22889,-38737,-16104,-10230,-8829,-5988,1646616,39268,-10018,1569,-13455,23326,-3353,1053,difficult
429295,65868,27030,16678,12120,11418,4067,4236,423495,112682,14046,15315,13449,10828,3387,2884,290660,50142,7076,20665,166,4703,3776,3637,-378883,-102541,-6897,-8025,-6296,-9111,-2749,-2160,710931,-65691,146,-11461,-847,-5621,77,-142,-368548,-67857,36321,-342,-3563,-511,-976,1635,-225160,-48124,28273,5976,3894,13491,3272,3788,easy
453347,169528,53212,22870,28083,18677,9414,7303,568734,74404,24169,27741,21760,22232,5715,3186,-429018,-17382,9768,379,3243,1942,20092,8700,-401972,103399,20114,-13011,8596,-10518,993,5794,714650,-30269,-7694,-13362,-10676,-15307,-3574,-1618,-424686,151079,102798,15037,13102,-6201,1980,5364,-35909,268792,20231,-13400,17352,12307,-997,2346,difficult
498070,85372,24805,31382,15637,20437,4970,1846,1230761,279418,53249,63173,50602,40173,19330,8051,348199,-114889,-16044,22754,1265,34632,-10678,-5169,-893175,-251414,-28480,-56714,-40709,-29784,-11118,-5675,-1065782,-95204,-44464,-34893,-45239,-32124,-15778,-6150,-883046,-233283,-3004,-28349,-41997,-33589,-15300,-6168,-1169650,-275441,-50228,-61754,-48144,-37815,-18924,-7863,easy
615714,101449,15445,22303,31353,14509,9660,6004,761860,132516,39366,31492,21509,21413,21963,8021,305849,-46083,-11132,13232,40280,-5952,-8243,1497,-691330,-97089,-30818,-17539,14567,-5234,-14184,-4688,892990,182287,-19549,5866,18434,877,-9486,-3249,-484352,-69233,-30757,-22119,-11369,-16816,-18538,-4743,-753886,-125217,-27350,-25385,-12691,-7397,-11062,1099,difficult
456658,120465,41836,24203,25980,17678,7389,5258,580586,158919,30579,19166,23208,15176,9709,3743,-388987,-30212,-3650,2761,1102,-8740,-900,-500,-39812,-40666,44834,27389,13729,38838,2156,6430,629832,97545,55520,18737,14224,3784,1925,4056,-281615,-83666,-23952,-10826,-6924,-9753,-7481,730,-539059,-135269,-16469,-12875,-8273,-11620,-7299,-3141,easy
459462,173504,22615,23137,24325,15669,8777,9657,537812,134643,21062,10231,15438,14769,10834,5053,-459834,-120672,-18615,-7664,-13636,-14040,-10418,-4744,155125,-127423,-13466,-6793,-9248,-12188,-9877,-3879,653008,440357,29255,46093,55397,35742,7457,21644,-305818,-63208,-15107,26864,9941,344,3701,1621,-434231,65252,25698,6032,1979,-5358,-1150,8376,difficult
74742,26224,6171,4406,3979,5035,2918,2614,1355115,246148,25550,41935,21726,29169,14151,8462,-1263586,-215533,-18200,-40176,-16897,-23695,-12529,-3988,-1341710,-227415,-18510,-31535,-12846,-17405,-3903,-1726,-1274208,-220269,-20942,-36590,-17621,-24447,-12887,-7542,-1235084,-200295,-17336,-38809,-20274,-27849,-13683,-8107,-1287277,-236110,-21906,-40536,-21096,-27276,-13161,-7875,easy
