delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
33803,34859,11786,10535,7351,24813,275002,24924,17887,10097,6912,20277,-266997,-11824,-14682,3208,551,-6513,-147228,106144,6945,-764,3445,4600,-265880,-17649,-5358,7846,-3371,18536,-265496,-7101,-13480,-3365,58,-4065,-260394,-19897,-3930,-4735,1513,10120,easy
9438,13917,7650,11214,8128,21063,176522,30642,11905,13046,13268,17172,-157130,2112,-657,620,-6283,-4311,-166254,-27501,-10845,-11049,3322,829,-173065,-26385,-3209,6438,-10260,878,-170915,-11924,-1831,-1508,-6322,18569,-168056,-19925,-4733,-3660,-6156,3488,difficult
322449,101092,27899,25474,9308,28187,214445,143681,56025,32629,21763,57962,38335,-115774,-55009,-29820,-19947,-54872,200992,166645,-35160,-22053,-15757,-47998,-156172,-122699,-26248,-14831,-12790,1750,-97820,-106302,-55292,-31586,-20559,-53795,554684,-34814,31077,62513,6779,6041,easy
347812,83761,12350,6140,8585,18259,111224,81557,13844,10459,4922,13712,1334157,252553,1759,3010,7528,11911,-102328,-53976,-7068,-289,9906,6919,-96512,-73391,-6018,-6829,645,-2565,9164,-39676,16116,-7813,4751,18228,38457,-74492,-12257,-9672,-4517,-11758,difficult
251996,51978,9398,9685,8861,20544,18811,20669,18705,14264,8744,30440,97633,-10605,-17424,-13088,-6919,-19874,-11083,-141,-3639,-11589,-7512,7257,-16506,-9799,-9025,-6243,-6406,-14016,-16642,-12765,-4924,-8154,1684,-10760,1112522,189855,-11522,16177,19739,-12087,easy
251058,28901,14693,15561,8441,20329,579237,32516,19951,29635,9484,28787,-551602,-19245,9011,-21261,-2602,19802,-577244,-27216,-19600,-26610,-6848,-21669,-564152,11018,1909,-14611,851,-18406,530143,33528,1650,21476,10119,-4001,-478041,-16158,-19260,-29364,-6734,-18016,difficult
84410,11855,14583,6735,5376,27213,93753,38611,5784,2919,4798,6874,269650,-20350,7736,9404,-1217,38519,-58670,-19288,-3491,1458,5938,40766,-92429,-36703,-4331,1840,-3005,-2925,-85230,-22148,31834,4762,-3115,17793,-80038,-35292,12249,1616,4290,7540,easy
20282,20047,5717,4718,3384,30456,25417,7893,7364,7756,7059,11740,4731,1074,-5262,-6141,-5518,-3818,-24387,1424,-6274,9809,-6026,52026,-18598,-384,2081,-6492,-664,22760,-5293,1003,-4876,-5818,-4568,427,17874,57652,6098,-6546,-1598,22187,difficult
671171,41359,5720,8365,5657,31106,445868,79158,13370,4801,10179,13954,-418276,-70987,302,562,-3760,50521,1204834,8124,-10354,7119,-1436,3642,1204834,8124,-10354,7119,-1436,3642,-424301,-59881,-5583,5386,-7814,38529,-440575,-74375,-12260,-2365,-8165,-10574,easy
27196,14868,3752,9466,5816,34512,1319637,176868,42296,12193,30219,36156,-1315663,-166939,-40259,-3791,-22061,-10565,-1313088,-169511,-39395,-10852,-24559,48135,-1301887,-153906,-37337,675,-23618,6337,-1249511,-162319,-34386,3070,-28533,-32115,-1282054,-157324,-41344,-2739,-23244,-20010,difficult
33497,29023,10999,11498,6345,15284,113165,28232,11791,7790,3152,16002,-43394,-17319,-10464,-6596,-1474,-11563,-54770,-8616,-5591,12628,6908,2836,-107228,-13104,1446,1345,-40,-2978,-107727,-5318,-3034,8393,3140,2989,-85219,48313,13685,2771,7433,5128,easy
77203,15808,7086,22485,4890,18035,372919,141867,25200,9443,13338,9815,-209678,-113794,-22739,287,-10382,573,-367472,-129841,-4552,24832,-6297,23444,-359576,-132197,-18839,18016,-11978,7500,-352576,-137891,-23132,-7264,-11196,-5483,-189277,-116572,-21306,29338,-2389,15068,difficult
414290,27448,16652,6088,5121,14529,415532,47100,20444,7812,11577,20175,306922,-29409,4557,-3988,-6806,-15312,872092,-20465,-16167,226,-4652,-11733,-379716,-25828,13702,-4291,-2532,18742,-414133,-6836,-11442,4162,-9419,-7669,-391377,-15724,-9612,-4729,-8873,-12259,easy
216139,40301,7793,12196,11534,18327,174740,68539,18538,6347,3097,3664,605709,15249,-3489,4450,507,3469,54528,-36150,-13015,-3170,3614,5919,-156664,-37070,-4244,23751,25493,31973,-165551,-53510,-15040,3240,11002,23921,-131025,-29710,-17936,975,1571,8031,difficult
192580,30257,10101,15479,7274,25238,480796,188878,113899,86046,90723,43026,349703,-95768,-108148,-48737,-75286,14616,-369525,-157435,-112756,-83487,-89075,-39971,-467850,-184435,-111595,-82084,-88812,-38532,-476263,-182896,-86476,-70631,-83693,-3945,-477145,-172569,-100014,-67896,-80379,-21106,easy
45370,9561,10889,17947,5476,18807,123759,74609,4492,18306,6884,22393,-98133,-66815,425,-11173,-3318,-18391,-63873,-67991,-3029,10630,-3611,4255,-109160,-65712,28605,-7133,-2093,9652,-10346,-59835,-1909,-15891,-4335,-18865,-110434,-64888,7893,21772,6318,5417,difficult
68630,7113,5433,6752,8762,26105,244949,74278,19004,20396,16920,20909,-219137,-67979,-18153,-5576,-9937,29081,-242849,-67925,-9649,-18873,827,20685,-235052,-69302,-14007,-12859,-13318,-4772,42603,-66658,-17763,-17069,-13149,-9304,-227160,-63959,-8282,-13845,-5214,-9711,easy
29429,9829,5223,6371,5645,26532,46893,15100,2885,24263,4552,8350,-43633,-12246,308,-19218,4482,37510,-34865,-9633,4656,-21693,-1259,23615,75444,-3420,-352,-19757,-1789,-2318,-41554,-702,-920,-14169,-789,20051,-42713,-354,7999,-14625,4820,12052,difficult
74408,55205,14772,13667,7367,16915,61159,21168,4392,2658,1965,4310,105094,181520,16666,21764,2915,2237,-30293,10327,15139,5724,6412,41889,-51880,-5401,4511,3776,3870,5798,78199,-8888,961,8224,1480,3181,-34875,-7371,14622,15559,12331,9918,easy
324160,63129,9600,10883,5777,29831,934171,184366,105538,20924,25041,17570,272867,34081,-76550,-1789,-14952,60175,-886345,-176414,-99627,-10092,-17759,1840,-918310,-150843,-101472,-8600,-18408,6847,-928720,-172555,-100434,-14794,-21702,2320,-589548,-140452,-101606,-14930,-23501,-9876,difficult
36758,16559,11692,11828,8454,30832,413517,40721,28349,13088,6723,9332,-332147,-26556,-14681,4400,5980,25374,-408009,-28251,-372,1811,1720,23137,-383309,-10167,-19380,-9850,-849,11876,-380388,-22040,-26926,-3056,-45,35569,-379940,-33794,-21927,395,1849,11544,easy
22032,18294,10179,10536,6541,30011,859886,113557,13497,8071,9326,21882,-796207,-78224,9764,-118,-3753,25644,-851790,-84153,734,4095,-4234,16607,-855406,-102305,-10598,5540,-2327,500,-849683,-105828,-7788,6835,4192,12922,-836182,-105803,-8700,-4029,-7805,-15026,difficult
10912,18692,4770,10521,6654,25470,1144395,94893,60046,20369,21971,19413,-1130396,-88137,-55368,-19093,-13297,32036,-1128889,-82235,-57291,10946,-13764,-6598,-1129198,-67552,-56289,-14788,-20114,2714,-1136939,-77020,-57833,-11126,-17302,-6314,-1141991,-66062,-49601,-15180,-12107,8445,easy
