delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
58014,37288,8328,3830,3780,8966,4626,3606,-56604,-16559,-6724,-1577,527,11420,10413,3344,1093693,20221,2700,19742,10409,13083,2800,1099,-19777,35476,4148,27279,1998,245,241,-313,-48482,-3054,19898,28989,5598,4261,1197,-898,766680,16019,52792,42803,4870,8603,10692,465,1150297,-1113470,-28705,815162,36780,15255,-38530,19073,9424,1448,15750,32894,21319,7537,1710,13814,9882,-8411,3600,-728,1663,-12838,4016,4342,-7613,-2559,956,9495,-2245,-1412,-585,1363,easy
56989,21109,2990,3260,3192,5355,2005,1426,768938,151261,28432,31756,16675,11638,8832,7936,578055,315676,41901,33089,21647,1896,2636,415,-50594,-8674,1614,2157,5966,1409,2414,6874,-3431,95926,31685,25431,13423,6344,4941,7228,-31552,-11837,-2046,2758,-45,-2516,-695,-2,-190883,-628649,47163,-28121,164415,-324350,104600,-107763,13469,-40287,30071,-33731,1333,-30932,23274,-22673,4972,-15681,7457,-13468,-9742,-487,4935,-8860,-6196,-222,2527,-5636,-7521,6459,354,-7230,difficult
140259,19129,3622,2411,5327,4392,4598,2535,-29674,2853,-1562,1979,-1661,-659,-2723,-597,1821246,155821,7796,13116,-251,4238,318,-775,232901,7609,-1624,-737,3485,-1820,-845,258,-105276,3558,462,3522,1213,11977,10882,4870,652204,451907,59116,45759,101143,16133,11460,20784,1850920,-1588345,-338177,757480,152968,-148212,-4051,448349,9358,-9420,2086,58654,11137,-13853,4259,42237,1410,3736,-2272,99930,4897,-6058,13797,4156,3041,-1163,11727,578,-178,1033,4612,15914,easy
306062,38137,18469,3085,3624,3750,2563,1272,-262980,-21079,-2260,1984,16593,3546,2744,6442,-226083,24285,-10374,5619,3588,3847,4373,4408,-135207,-10111,-13020,-1920,1556,1414,-243,1698,-208948,-30993,-16302,-1864,-2871,-2761,-1993,-767,-299955,-26434,-5943,1256,6108,6411,3980,1952,36897,90876,-73741,-91007,45364,-34396,-20882,4559,-8114,-2646,-3282,10359,3635,-7539,56,3120,-13005,-2032,-4427,8979,301,-2433,-4175,9172,1629,-4616,-1750,5973,-2034,-2710,-2465,2719,difficult
314756,25651,17374,13015,7359,10260,4861,4294,-177152,78311,-16108,-11752,-1420,-4690,-3034,-3016,-162075,-12819,-14503,-11008,-6407,-8931,-4206,-3985,-251089,27368,13929,-3875,13015,4934,-73,4573,-214875,-21959,-16365,-12205,-7119,-9615,-4076,-3887,-286179,30387,-8240,10318,4792,23241,517,11521,15077,-89014,36214,-71304,-91130,40187,-49327,52346,1605,28432,-30294,8125,744,7133,-8330,22523,-4987,19422,-20134,11911,-4241,13865,-14549,32856,-1172,4133,-4003,4593,-969,8558,-8460,15408,easy
75907,13250,4166,2977,3942,2582,1412,1906,-21590,7582,-1861,331,10492,4979,5417,2815,792265,226068,-244,5987,6663,2768,4353,1831,-63604,-9383,62,-931,-122,6349,5934,-475,-61498,45700,4180,7111,9139,5642,11884,5535,-24340,-2679,142,-2227,-3020,-1458,-951,-1659,813855,-855869,2106,37158,218486,-235451,55083,-48379,1617,306,4118,-4038,5656,-6918,8042,-9338,-3829,-6785,9261,-12159,-2211,3581,-707,-7100,-1064,1581,5950,-12835,-984,-2306,6010,-7194,difficult
118241,26265,5762,5827,4810,2677,2156,949,402485,174525,-1768,98339,3630,7384,8436,1792,-115672,-20485,-4318,-4982,-3809,-55,-782,619,611293,34327,-127,-253,-340,2240,-1787,-209,240807,166389,34286,6013,23893,8033,8830,4659,-108190,-19963,-1723,-4203,892,3059,1143,14448,-518157,726965,-370486,-348997,-195010,54812,132062,-186352,-2550,4191,34413,-36009,-103321,4729,6266,-10216,-7439,3469,24233,-23001,-7439,2295,5793,-4974,-9218,-1005,10617,-7687,-1173,-828,4868,9789,easy
82418,34168,6694,4800,8355,4126,2519,2131,1610176,205200,66143,51797,26463,26089,3760,785,-53726,-18237,10130,1784,930,8983,1819,1157,26236,83569,5119,17772,-4135,3997,1775,1249,5791,-26364,-4268,-3803,-7259,-3709,-2246,-2030,-2297,-27112,-4628,-4316,-5834,-1845,-1616,-1394,-1663902,79962,-20445,-8088,-223437,101806,-109933,-748,-56013,-5011,-9387,-360,-50013,15988,-21575,-513,-25533,-5065,-3124,1425,-17106,-4986,-7706,1864,-1941,-44,-4021,630,372,92,-3279,636,difficult
58542,39330,5488,3366,3080,7431,5797,2585,281369,39116,-1043,5017,648,-4616,5059,6215,132491,-25999,6434,-279,-1650,-4734,-3463,-2135,266203,76005,35846,56183,63660,7697,8696,7393,32622,-20221,910,19762,-2142,-4902,-4911,-1483,5889,-8411,1519,5880,-854,-5584,-4905,-1713,-148878,133712,-233581,-26733,-65115,102004,-96226,11810,7477,29412,-34936,609,-5296,56462,-36421,-13882,-2298,65310,-65802,1288,-118,12431,-12599,-682,-8522,12159,-13607,6,-8350,9528,-8876,-230,easy
1180182,118743,18322,18470,14047,6860,2825,2966,-908424,-98531,-7651,8682,-7078,288,1159,1032,-1025977,-87701,11035,23775,999,7717,390,-1377,-1109212,-84814,1050,95314,-3917,-116,438,-1528,-846331,-56918,17411,-14667,-7578,-4227,-2448,-1758,-1140770,-108836,-9859,-11557,-10461,-2366,-790,-2136,-117553,-83235,262881,-294439,10830,2887,27896,-51918,18686,-9985,16361,-27270,15093,71539,-109981,3110,8077,-4916,-3661,-2883,7429,-7833,-4111,1861,-769,48,-2886,1658,-2409,-151,-230,-378,difficult
330344,52003,3834,3072,5321,4567,2621,2885,-44552,-27097,-1969,-298,-2744,-3163,150,-2077,-318430,9523,30813,6900,10833,1836,5190,344,-296734,-44034,1485,3642,7429,2295,1759,109,-212926,-30579,-2872,-2651,-4986,-3582,-2393,-2617,-276329,11894,1592,8072,10225,1856,2633,2825,-273878,21696,83808,-63403,36620,-53557,13455,42473,32782,-29328,-4357,4464,7198,-3258,-6293,10723,13577,-3404,-12415,15211,4999,459,-5877,5438,5040,-3431,-4152,5026,2421,-235,-2726,5442,easy
370247,29393,8325,8296,6673,12339,2629,1587,-314527,4902,1659,5133,5141,-832,291,520,-362875,-23229,-7485,-6477,-4191,-10622,-1300,-567,-156026,2832,1232,-4395,-1836,-9058,-1239,-182,-357623,-15601,-7362,-7252,-4345,-10648,-1249,-779,-115143,36661,2909,-3475,-1322,-10287,-842,-192,-48348,206849,-201597,242480,-28131,26061,-18433,52262,-9144,8717,-8594,10271,-11610,2082,-2857,3777,-9332,2355,-2509,3023,-9790,1564,-1590,361,-1591,61,-10,407,-1087,385,-597,587,difficult
808354,80331,45261,18613,34338,26036,20755,21242,-722386,68532,31933,17138,-14217,-16351,-13187,-14621,-526492,15316,-41554,-7619,-30641,-22110,-18260,-19973,117077,82695,-31504,-11410,-9716,-13321,-11793,-15087,-768636,-48083,-43079,-4000,-29852,-18982,-13554,-15355,-773218,-61560,-42850,-7591,-30363,-20483,-8135,-17032,195894,643569,-885713,-4582,-53216,67379,-130778,-13477,-73487,10050,-11575,229,-24757,-3791,7410,-3591,-16424,20925,-20136,-511,-5759,8789,-5661,-1501,-5073,6467,-1761,5419,-5352,4886,-268,-1677,easy
165807,34717,6046,6959,5990,3610,2480,1772,187297,17211,1755,-1885,-4077,-1850,-2100,-814,-145135,-27544,-3115,-5260,-3428,-2462,-2120,-1352,-89511,1227,9179,22735,11025,3856,201,1597,-133983,-22549,-3385,-336,-2886,-765,-1678,-1509,-126913,-16613,-5666,-4279,-4670,-1899,-940,-352,-332432,55624,-44472,7070,-44755,28771,-23776,5936,-4870,12294,-12564,-2281,-3375,27995,-23071,-3943,649,14453,-13911,-1784,-612,6318,-4621,-1134,-20,2321,-1879,738,-538,2949,-3106,1157,difficult
86493,40084,6130,4176,1403,2933,1495,854,-55633,-13197,4191,1919,3035,3575,2801,2602,210192,-1404,-3796,-880,3397,154,-380,57,6097,-37806,-3741,-3388,150,-2169,-758,-439,-59968,-38256,-3381,-2950,172,5370,849,822,-62980,-25119,6312,9664,4722,5985,3685,6686,265825,-204095,-66065,-3012,11793,-36402,-450,13137,-7987,55,360,9693,-2799,-2508,438,12614,362,-3247,22,4550,-3421,-2323,7539,615,-3181,-378,1607,2836,-2545,-496,1261,5864,easy
143507,26026,1461,4385,2618,3215,1241,1280,37889,-21975,64,-3762,-1677,-2722,-929,-1103,162697,-3427,5769,-556,-364,-1978,-177,-179,-88055,-14106,1669,-3792,112,-455,341,74,-63976,-13572,-216,119,-682,-1307,-215,-921,-104207,16551,8334,-3148,-488,-1139,-223,-627,124808,-250752,24079,-40231,18548,-10679,534,30123,5705,-4100,-1885,8550,3206,-3236,3911,-3267,1313,476,-794,194,744,1523,-852,168,752,518,-556,-8,924,253,-995,294,difficult
49570,5140,1269,3525,2876,6671,6900,2228,31509,18127,8285,419,-1050,-3817,-5941,-696,-47419,-1335,84,-3078,-2285,-5560,-6546,-941,-31695,1985,1973,-762,-733,-5064,-1806,-1167,-2087,-2882,-1180,-3204,-2253,-5910,-6682,-1956,-44275,38152,15841,3603,267,22339,1946,13761,-78928,15724,29608,-42188,-19462,3320,-4867,41034,-8201,1889,-3153,17021,-3497,2316,-2442,6807,-1235,1552,-1520,2520,-1743,496,-846,28249,-605,4740,-4876,8628,-245,-226,-789,15717,easy
86731,28851,6261,5808,2736,2642,1153,873,3385,-18920,3293,-2780,-545,993,610,-88,-72533,-1722,1924,-2355,9788,2726,7026,3364,-83327,-26908,-5818,-2943,-1343,-1232,-129,443,60922,-9261,-5017,-4916,-781,-1824,-858,-622,-67738,-21818,-4435,-5103,910,-1214,1356,-172,-75918,-10794,144249,-128660,17198,-25186,17647,-12557,-1369,-7742,801,582,425,-588,-1973,-187,10333,-11131,562,1691,1733,-3958,-592,610,6416,-7155,-729,2214,3452,-2921,-1065,450,difficult
162572,17515,10198,4790,3783,9640,4291,2792,-25291,92340,5752,-2492,-1685,-3589,-2075,-796,-94528,-13020,-7941,-2883,-2327,-8531,-3486,-2386,-67012,68536,-277,9930,13707,6226,134,11321,-32618,-3784,-3176,-1258,-352,-3927,-2325,700,6938,7999,-5014,-1075,2212,-3535,4964,-2074,-69237,27516,34394,39556,-105360,81556,-72320,11783,-13693,7664,-2899,-1838,-391,12813,-11188,183,-642,16034,-14059,2564,-4942,14757,-10153,392,-1411,3620,-2459,7289,-1590,13707,-10621,-2774,easy
26311,18904,3474,2063,2034,2856,1975,1511,107324,5113,647,2030,-38,-690,163,-237,26667,16835,4213,-344,400,-570,59,-744,-20694,536,-2231,5090,711,9478,1317,1754,-2765,16940,-959,-450,-170,268,-1129,39,-9826,-11051,-1571,-80,-684,1350,-881,-652,-80657,-47361,17929,-7061,11722,-16299,16404,-27991,3566,-6444,1272,-612,-2374,5434,-5540,370,438,311,-881,-514,120,10048,-9210,1082,-104,1258,-2446,248,-507,2498,-1715,-691,difficult
757150,173916,35994,20572,15298,13795,4867,4052,-748194,-153061,-23158,-12641,-545,1105,-1534,4089,-511810,-108601,-30464,-13092,-11468,-11506,-3217,-3233,-642572,-140479,-30816,-19258,-14568,-13042,-4701,-3854,-706678,-155823,-28065,-19123,-10455,3898,-2212,-832,-619566,-156347,-25396,-16740,-13067,-11261,-4172,-3367,236384,-130762,-64106,87112,44460,-31878,-15344,-524,-7306,-352,2751,2669,-451,-6166,135,2383,-10923,-3100,4113,-2612,-12611,-1536,16940,-15159,-1683,-1484,2489,-1960,-7322,-621,3022,-2535,easy
137576,36209,4999,3418,2223,1467,864,879,-118741,-24708,10557,5736,4616,5568,4672,4520,-26107,-17645,-3174,-1908,345,1734,2316,979,-129994,-32816,-3152,-1489,-294,941,1173,589,-132101,-25290,-1962,305,9692,7675,5613,4752,137694,-20077,-1476,-1367,-1084,730,839,11,92634,-103887,-2107,269795,7063,-15171,7526,5213,-13731,22,1190,486,-7644,419,1794,-1672,-4271,-639,9986,-10776,-3834,-793,6734,-6945,-2356,-1143,4440,-4774,-3541,-390,4163,-4741,difficult
343029,35029,23635,12064,18705,11050,2556,880,-134673,45107,-13806,-2117,-8574,-2327,-728,-239,-313859,-18707,-15190,-4179,-12939,-6704,-1503,-600,596196,205200,-2945,-5698,-8381,-4265,-977,3052,527667,64054,-10444,5921,-9328,-2095,417,1032,-214662,29964,29981,5552,7527,7068,1893,205,-179186,910055,-68529,-742329,-63814,223907,-141146,-34090,-1384,12245,-7499,40425,-2062,-1519,11619,-369,-4365,4558,-947,16855,-4377,2439,2170,9163,-775,526,1394,1476,-361,3652,-2020,-827,easy
44400,35228,19255,7319,4665,4513,4479,3026,56300,32593,-1546,-3820,-750,2023,-1180,-1962,10708,7237,-14448,-2701,-2011,-3002,-3692,-2392,35179,-25868,-18316,-7011,-3648,-4132,-4157,-2461,35235,-11395,-13217,-4679,-2188,-3337,-3620,-1968,209969,35555,20806,15908,6722,9805,11637,5891,-45592,24471,56,174734,-25356,-33105,14473,46950,-12902,-3868,5099,34023,1119,-4310,2332,20587,-1261,-1637,1460,8910,-5025,-1130,795,13142,-2512,-465,537,15257,-430,-69,493,7859,difficult
141643,21886,7770,5117,9231,11761,4982,3062,-57067,14808,11666,50227,5391,1272,-2086,149,-126750,-15406,-3017,27536,-8356,-6079,-4553,-2394,-120803,8325,25036,113104,13392,7774,-1909,1455,-87025,59213,-5027,5897,-5385,2316,17463,5798,-117355,-8928,-2244,-957,2371,-491,1691,1641,-69683,5947,33778,-30330,-30214,23731,50888,-68141,-14683,28053,-30063,2783,-22691,85568,-107207,-6854,-13747,21748,-18777,7756,-7351,13853,-5458,-2807,-2467,2644,19372,-15772,-2543,3849,4343,-4157,easy
76631,22129,8614,5423,5103,4212,2598,2851,75995,7656,-674,1208,1175,-899,-97,-1051,145748,20211,-7460,-1136,-1388,751,145,-707,-63907,-18503,-7516,-5088,-2293,-1515,-796,-1856,210821,91912,-4711,95,-2007,-1722,-450,-2214,-36390,-8294,-6224,768,-40,-2052,-3,-1194,69753,-209655,274728,-247211,12555,-38714,110415,-100206,-6786,-56,2805,-1513,-2344,-3952,5183,673,-2563,-905,286,1967,1650,-2266,-207,-330,242,-941,346,447,344,-1149,-358,1020,difficult
132857,24356,15376,13927,4758,2514,982,947,-118948,-9396,64685,34737,6645,5073,700,1305,-89435,-18086,5048,-6458,-1791,886,-120,-554,239558,37962,50651,-617,-88,13104,1366,-35,2058529,546467,22453,29680,48257,34883,8744,9626,172096,63509,27241,-65,21008,14097,11024,3819,29513,328993,1818971,-1886433,-8690,56048,508505,-482958,-59637,45603,-28198,4788,-41195,5841,30297,-29745,-8436,1703,48345,-27249,-4187,12218,21779,-20786,-820,1486,7378,2280,-1859,519,9661,-5807,easy
120725,30919,10649,2854,15756,5641,8204,7432,-63906,-4939,2846,1249,-12874,1510,-125,-3791,-45745,-5667,-9687,-1606,-14958,-1236,-5446,-4640,-38730,-19157,5246,12909,1205,23839,1481,4726,6562,30026,20783,6410,-5389,13455,-191,5748,140032,-14462,-9051,556,-13447,442,-3537,-4412,18161,7015,45292,133470,-728,-13490,49183,-44488,-12533,14933,15537,-29834,-2855,14515,-6499,-5854,-2084,16163,-6594,-8058,-2746,25075,-10384,-13013,-5321,6927,-1672,-3346,-849,9366,1022,-10160,difficult
70360,17453,26079,34041,7700,5950,2352,1578,851428,11993,-25397,-17726,-6065,-3186,-1494,-613,66735,-13472,-24459,-32783,-7067,-5345,-2074,-1323,150269,8938,-19360,-5927,-5830,-3721,-1222,-410,384745,139671,20843,21931,3674,12755,2153,430,95447,-7080,-21150,-26993,-5156,-2081,-1849,482,-784693,83534,234476,-289298,-25465,22410,130733,-146751,938,5099,40203,-41993,-15057,26856,27858,-48924,-1002,1237,9504,-8830,-2159,1624,16476,-14836,-580,852,3375,-4002,-710,913,840,52,easy
95545,24368,5587,4431,3345,4281,3195,1516,-10824,-18828,-5427,-3701,-2998,-3562,-2622,-1328,-56931,-3062,699,-3159,-691,-3149,-2304,-1150,-87407,-20058,-4539,-645,-1027,-803,-2100,1099,-69988,-21033,3927,-517,-1822,-1608,-1963,-818,-70506,-18178,-2281,6927,2999,12483,5925,4272,-46107,-30476,17419,-518,15766,-16996,-975,2855,6126,-5238,8466,-6208,542,2514,128,7444,2307,-336,-795,4821,413,2346,-805,14091,318,204,137,7888,178,2249,-1917,5090,difficult
374138,38350,6710,3303,3689,1727,1486,1285,1007678,47473,21948,4722,-162,2701,1101,164,-287767,6978,26506,13154,4487,5492,2714,2945,-338075,-11082,34067,46945,1542,2822,5596,1063,-367565,-16298,6533,11997,-847,3401,970,-105,-271885,-22700,-6069,-2757,-3191,-757,-1173,-1142,-1295445,-50308,-29490,95680,-40495,-18060,-5216,-6402,4558,7561,-27534,-12602,8432,33791,-34948,-14754,4649,-2945,-2389,-2344,2791,-2670,579,-4158,1613,2882,-4626,-2143,2781,-1882,-1168,-1037,easy
121749,26813,3618,8168,5981,7993,4215,4641,41851,-11184,-3404,-3497,-4476,-6508,-3636,-4144,-110633,-15125,379,205,-2451,10602,2747,4138,-103471,-17724,4333,-6254,848,5971,4323,3111,-96702,-4311,-271,-321,-1939,5534,480,-802,71200,-3291,-2541,-2225,-2306,-2704,-1829,-2668,-152484,7162,6769,167902,-3941,-2599,13413,1020,3783,3954,-4604,-2270,3702,-6459,5933,-1904,2025,3299,-2787,-367,17110,-4631,-437,-8238,6383,1576,-3843,-2309,8282,-1027,-3913,-1866,difficult
144639,79743,14195,6270,8124,8702,7752,3150,1269626,-66063,-4142,1416,-1016,-5484,-6408,-2554,464373,16655,63290,14037,7585,7455,959,3897,-104844,-73237,-11745,-5699,-7002,-8032,-6948,-2771,314308,-58979,-9200,3592,-1743,-5123,-7037,-2109,-43512,-17570,-11366,496,1818,-4854,-6605,-1628,-805253,-569217,419152,-357820,82718,-89892,14258,41409,67432,-75035,2545,-2166,12621,-19736,9291,-3096,8601,-14587,5259,3561,12939,-15487,2909,269,7367,-7907,-89,432,6451,-6668,662,481,easy
328403,61960,12120,5813,6173,5062,2170,3137,-243992,14114,-7371,-5278,-5587,-1286,-634,-2399,-123353,-3648,-9819,-3559,-2653,-1920,-929,-2456,713486,18521,14069,32824,9609,13873,4095,1960,1552402,162943,78548,53978,43795,18940,9670,3439,-320547,-54080,-9775,-3617,-5438,-2592,-1037,-2068,120639,836839,838916,-1872949,-17762,22169,144422,-217023,-2448,23888,64479,-88323,1719,36383,21154,-57595,2934,12262,34186,-49233,-634,15793,5067,-21532,-295,5024,5575,-10707,-57,4416,1479,-5507,difficult
75368,47417,6587,3487,3767,5793,4216,2023,-9372,-3900,27552,5734,4760,5296,4486,5781,17833,-32808,-3572,-1618,-1043,-3227,-3291,-1226,148787,-27794,2434,2336,-358,-3605,-2178,-640,403382,256192,34483,29254,22702,11361,2733,3476,-40189,-23000,-4974,7300,2155,5205,-909,2052,27205,130954,254595,-443571,-28908,5014,283986,-279192,-31124,6006,32049,-39457,-7352,3954,26918,-21954,-5803,685,23060,-20547,-8523,-378,14966,-6156,-7777,1113,4911,-3642,-7007,586,4116,-1424,easy
1095051,149622,24742,21279,10704,4157,3934,1165,-919658,-141406,-20932,-18967,-8771,-3370,-3050,-963,-870745,-116923,-9529,-19010,-6141,-900,-3374,-540,-1074647,-121391,-19592,-17178,-8292,-759,-2889,-213,-20653,411556,116812,16544,30421,23215,5303,3983,-920294,-128731,-21445,-18168,-4825,-2022,-2634,195,48913,-203902,1053994,-899641,24483,-4468,532947,-540287,11403,-10063,136404,-138257,-43,1832,33722,-34712,2630,-2151,38713,-35246,2470,141,23974,-25237,-324,485,8192,-7937,423,327,4196,-3788,difficult
456672,134260,25909,21779,14226,24691,27095,18973,402999,14612,4518,14173,-6614,-16720,-21139,-15447,-448148,-103284,-11048,488,65,-17640,-18628,-15825,-153297,-110297,-18890,-18458,-10213,-21626,-24808,-18189,751430,243890,80845,29601,19959,-12115,-13225,-12070,-364674,-129196,-25226,-20911,-13413,-24180,-26914,-18475,-851147,294851,904727,-1116104,-117896,-7013,354187,-373086,-15566,-7842,99735,-106071,-13685,-18946,48059,-50512,6679,-10278,30172,-33372,-920,-3986,9511,-12065,2511,-6180,11583,-13689,-378,-2364,6119,-6405,easy
30937,28502,2337,7362,12722,8096,4421,3331,40576,-19272,1277,-5923,-9686,-3070,-3009,-2265,214662,-21363,6127,-5554,-10959,-6067,-3157,-2785,24755,37839,26306,-3924,-11509,-3477,-1944,-982,21341,-3028,-1210,-1725,-7989,-5902,-2931,-2146,218608,13600,11608,18279,-10679,4982,1346,-303,174086,-189907,-3414,197267,-2091,59202,-40867,16628,4850,20179,-27516,12818,369,1630,2199,20004,-1273,-550,3520,-2690,-2997,2590,-2425,10884,-148,1213,-987,4277,-520,1803,-1164,1843,difficult
65430,64387,7575,7459,4917,6055,3652,1919,-55006,-47846,-6024,-4643,-3068,-2048,-1024,-1047,116167,-44210,-6390,-6213,-3598,-5060,-3371,-1666,-60128,-61584,-6356,-7033,-3462,-4461,-2570,-1197,205878,-50538,-4885,-6706,-2405,-2388,-2256,-578,-19003,-29218,18415,2386,7544,2599,3362,1433,171173,-176295,266006,-224881,3636,-17374,11046,21320,-366,34,1471,23300,-1570,-820,327,9092,-530,136,1057,9949,-3012,599,2073,4987,-2347,801,314,5618,-619,469,619,2011,easy
103693,7455,982,864,1110,1020,555,315,-20002,-1769,-85,-387,618,-54,-318,-98,-80036,3564,2447,3028,4062,5386,3854,3166,253706,4655,-273,1694,1426,1709,378,434,-51959,52357,4960,4826,7281,2775,716,190,60385,73941,21184,10859,6142,7795,1005,2037,-60034,333742,-305665,112344,5333,1091,47702,21584,2532,-2720,5233,16224,3415,-1334,3132,6033,3444,-2636,5855,-1139,5440,-3677,1066,5020,4172,-3476,338,289,3264,-2732,-244,1847,difficult
