delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
85645,11730,3594,7454,7892,5223,3535,1858,385383,48716,19231,6919,7979,5915,4309,1559,-324672,-43512,-16597,-4570,-6879,-4718,-3515,-1138,-122517,-40715,-17155,4539,5507,3082,516,215,-380534,-38972,-17281,-1115,345,-1314,-854,1051,-371231,-24746,-11517,3287,678,182,758,1066,easy
423414,50408,19569,16001,10380,16603,16617,6436,434133,76758,18989,20670,15817,23817,7841,9940,-345565,-62051,-13570,-1363,-13370,-20286,-6199,-7418,-391493,-61232,-14848,-15311,-13776,-16472,-6367,-5070,472957,40874,18126,5754,5016,-11259,35587,-1685,221225,-22990,12612,-7757,383,19161,12083,156,difficult
24603,19513,13288,7143,6799,16857,4829,2353,127674,59678,5223,4073,3653,8440,1979,1751,-91961,-41165,1657,-2930,2295,-6125,-343,-829,-109455,-48160,-1300,237,6624,27495,1703,3397,-88907,-26199,31181,16800,1771,13805,8036,545,-121962,-45138,721,-1827,1892,-1508,2003,-704,easy
977111,113609,21752,13311,18114,12710,7575,3980,379839,70437,9265,11165,6163,6342,3084,1837,1014519,154667,15902,-563,39950,3950,11541,4151,-150191,-50777,-4112,-5076,-3844,-5212,-2612,-1565,1846298,105842,31314,14226,-342,7539,2602,3587,-321539,-37046,6844,-2,12039,19196,6433,2398,difficult
1224582,122392,70673,20760,20788,13011,4295,5665,523942,121596,23438,18845,36996,20648,9184,4292,555499,77142,19225,3096,-5987,-954,-2043,6223,639092,15262,20961,15884,-2080,-6927,-6965,-2270,352158,-25753,46585,-1006,-33012,-12235,-7399,-2843,1255810,-63467,102167,-10313,-23754,-10431,-3148,4380,easy
25626,22399,9542,8962,4281,7615,3682,1334,62962,14061,17916,6294,7530,5577,1949,1149,-35472,26242,-10451,-3678,-4368,-1950,-702,-418,-44646,-7312,2514,4514,-1609,14398,7045,1322,-20630,7473,-16090,-4474,-5312,-3539,-384,-447,-48597,6949,-9471,14309,-1709,-757,971,283,difficult
370316,86350,11370,14124,8156,4989,2681,1542,84563,88560,12590,7207,5608,5090,1872,970,217346,164375,8077,30665,5562,6680,3667,2692,158045,-48405,-7996,-2372,1801,-2106,-281,-43,34106,-75621,-8334,-2059,-4526,-3236,-755,-507,733516,-49189,3374,1433,7356,-1744,603,147,easy
586575,81547,21252,25115,24799,17307,10669,5460,683104,236979,37128,15872,12987,26716,10665,5952,220789,-148176,-551,50566,42100,-7258,7702,1709,505033,-97556,7365,235,25272,16722,9701,3035,-498842,-159436,-35539,-2526,-9636,-21190,-7702,-1446,-613098,-216561,-34781,-11303,-10487,-25912,-9684,-5265,difficult
992167,110708,19271,11249,19235,17776,3085,591,574273,65510,27391,19422,13179,7857,2462,1181,702962,26484,21141,8343,4110,7724,2403,-585,722244,36055,-552,-8012,3097,4397,2327,-348,-51125,-63121,-27188,-16461,-12952,-7464,-2300,-1071,297493,181374,-25880,-16564,29968,35017,61,-356,easy
549750,30983,14471,9991,14176,24766,17107,7823,92179,82453,19027,6755,14959,22130,23208,11999,251166,-48251,9197,-897,-6117,11216,2095,-1393,1726116,-26872,-6328,16104,18635,14824,5987,87,-60248,-65297,-12873,-2947,-13950,-19350,-19237,-8952,-86749,-65461,-8219,682,-1701,3855,-13248,-6445,difficult
258033,40138,8701,5469,3785,2738,792,999,120861,103397,26823,23569,16103,8657,3970,2143,-31426,-60819,-20900,-21553,-14237,-6200,-3361,-1611,-39249,-58123,-22063,-20779,-12825,-5542,-3087,-1288,634936,-85919,-16977,-20589,-13892,-7173,-3306,-1716,-15574,-48176,-12550,-9479,-8317,-4760,-2958,37,easy
82940,43781,5374,1837,7549,23475,14138,5524,984256,37976,11871,19864,6741,24000,13830,7260,-908612,70093,-4888,-16877,-4241,-10524,-8805,-4204,-823452,-27523,-11439,-18497,-4348,-13084,5949,-5804,-970833,-23355,1000,-17347,16929,37892,9734,6214,-902368,4003,-10663,-19386,-5108,-16383,-5645,-3151,difficult
632556,114677,13108,7812,7934,6061,3303,1680,650534,232711,29137,16790,18942,20443,8264,3751,-267089,-152020,-17633,-7841,-13576,-17907,-7041,-3349,214960,-158479,-25539,-13769,-6280,-10620,-4167,-584,-376981,-169519,-16749,-4384,-13231,-16945,-4483,-2336,357198,7883,-4194,-9917,-10946,-12057,-4155,-2017,easy
278965,56075,12690,10004,6308,13543,16776,4807,681295,178435,32177,8141,10205,12312,22565,2532,-621221,-168077,-29381,-5038,-7670,-9484,-18007,-1539,-608868,-165711,-22005,-6384,-6802,-9331,-9772,-158,273981,-12245,-1911,15255,3604,25356,15850,4532,-653211,-143407,-24650,3619,-4722,-1618,-11226,6263,difficult
1096669,276923,18786,22175,14110,17957,9267,6740,717820,249934,69336,15656,10502,11978,5222,3961,1230787,331467,-38917,3627,-4267,20801,4826,9962,-232706,-2415,-52198,27982,31863,6161,12385,1908,-231569,-221007,-62277,-13033,-8021,-7193,-2087,-2497,748883,-89,-48809,7501,-5143,4147,1054,1744,easy
305051,98502,7690,43157,21348,19229,4130,1455,395566,30128,42014,14015,3946,8120,7957,4216,-319814,10593,-38531,-3758,-3114,-6515,-7393,-3228,581945,208776,-18768,115192,49837,50568,2561,-1800,-308072,58440,-41626,12129,12984,-1180,-4057,-2724,-316120,-4313,-38372,-6994,9901,1564,-6421,-3294,difficult
