delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
309738,32153,15737,8311,4911,6352,2731,1459,88590,18799,5420,2807,4840,4244,2497,2507,189564,16706,13833,156,-3608,-2802,-1479,-1270,259124,39234,7378,15605,309,15581,1905,96,-88086,-10752,1977,895,5137,932,3009,-1102,21917,-3061,5523,1532,-928,-2654,-786,-1079,723221,24645,22875,9330,-556,-518,-1481,-1886,easy
43162,26082,2256,6936,5174,8248,5722,2706,113496,48849,12546,6795,10495,14973,9724,8332,-45161,1062,-11916,1005,-8570,-12516,-5353,-7005,-82022,-36761,-11553,-2228,-3778,-3129,671,-4966,-63964,-38512,-10542,-3916,-6650,-11430,-5440,-7373,-101676,-39080,-10819,2131,-4349,3032,-2151,-2023,-58846,-545,-6621,3714,-3257,-9580,-7736,-6765,difficult
72861,18302,5591,4555,3961,4087,2878,1416,144867,41773,11493,10179,4499,3287,1896,1134,-120953,-31959,-7233,-5570,3000,6962,7365,2911,-16219,5651,1549,-4058,-17,-1392,-614,-450,-10258,-32041,-9761,-9287,-4064,-2521,-1690,-1067,-107295,-32027,-9153,-6284,-2666,-1552,-1052,-95,-105303,-26980,-4910,-2923,1058,2503,902,112,easy
373123,168925,76100,12325,12880,18894,20092,10415,114914,24976,8848,7061,8856,11606,2300,3532,-103345,-21480,-8523,1019,4149,2421,11422,-1638,718988,54385,1458,-5192,-5973,-8611,-427,-1198,428490,690954,332354,30875,29527,37964,71748,32177,327510,-16202,-2621,-3065,-3498,-6441,-506,603,-80599,12087,13591,2685,-4087,11109,6724,4472,difficult
481288,53528,7666,5522,2978,3116,1628,1608,270762,54909,5624,7019,4351,3886,3836,1741,-244543,-50374,-2459,-5202,-3362,-3058,-2117,-694,-262947,-46882,1351,-2572,-1030,-288,-2401,2501,-263487,-43634,-2074,-2828,-2382,-865,-2929,-1060,297209,27153,-2651,25,-2513,-2119,-2658,-1132,1526398,106832,16045,3094,2423,2482,-935,-280,easy
888365,91011,18019,25209,15353,20629,29675,16877,184713,57199,10962,8680,8585,10209,5094,4507,863595,-18161,34841,46450,19124,6466,30903,6567,2085866,165791,7105,37951,10211,30307,36252,23811,-177898,-34911,-10670,-3093,3635,7087,47103,23083,-84242,-17545,-10896,-4307,-3740,2441,166,1258,830939,73885,14904,5642,4612,5799,8481,7132,difficult
466402,39443,8238,7851,6641,12418,8097,8572,255310,60871,14602,8893,18843,11557,11591,8391,-188027,-7451,1530,366,-15267,-6495,-7765,-5059,1860400,51307,-1127,8923,-8924,13945,11854,2253,-246812,-58007,-5162,1180,-428,17601,661,19048,-196302,-44875,-13972,-8172,-17961,-10068,-10979,-7378,-173797,-48112,-13090,-7507,-18432,-10680,-11240,-7957,easy
200644,13650,7276,3576,3235,10205,3021,3146,260087,106526,10921,9943,9690,7599,6936,5075,-62123,-95480,12559,-3621,-7793,-1203,-2536,-2487,-121067,-99459,-7070,-9304,-6846,8267,-4826,-1668,-242818,-85248,-8723,-5506,-5279,3949,-6039,413,-227955,-83342,-9056,-8722,-5546,713,-3622,-1570,356746,-100852,-5934,-4684,-6812,1306,-2551,-4335,difficult
469715,77266,21827,16657,17750,14122,9442,5627,595713,42138,11775,12407,7098,11186,6181,2857,-91168,105820,20384,41943,38557,28153,18354,7637,1064886,157646,46347,-33,10489,1380,4037,7450,-589710,-30654,-8855,-9906,1081,-5533,-1775,644,-592455,-40578,-65,-8080,3854,-1382,172,-270,-421543,-16595,-7551,-2673,-720,-7938,-4484,-1613,easy
65025,20297,5257,3149,4190,5374,2941,2370,1022756,130825,35480,9602,12288,24918,11912,9626,-944284,-107473,-28614,-5381,-8424,-23383,-8591,-8438,-906473,-114049,-22824,-6031,-4847,-19502,-8520,-6379,-1012145,-124785,-30943,-5161,-8587,-18382,-7461,-6455,-924802,-79025,-34078,-8196,-7828,-12482,-8720,-5610,-1000951,-127308,-34655,-7498,-10802,-23971,-11565,-9400,difficult
