delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
254861,48580,15361,10557,3477,4071,726843,65446,5453,15353,11072,6862,-388057,25694,13327,-7746,-9112,-4772,-433652,-33279,23335,9890,-6628,-2340,-294763,31024,16741,-5067,-4226,-1642,-717821,-62790,-839,-10736,-9979,-1575,-525619,-44978,-3024,-10322,-8029,-3627,easy
394893,126312,31455,7905,14713,7304,1053756,137609,193493,72428,64750,39281,-947936,-88545,-132445,-63834,-58406,-33570,96231,-116836,-181114,-67921,-57356,-37017,-526082,298953,-136240,-51090,-12296,-19659,-1021467,-87842,-172688,-68680,-61438,-34786,-895061,-62216,-187702,-71090,-60689,-34852,difficult
242924,106277,31160,11677,7361,10780,569862,145379,25990,19672,15963,12632,-494460,-119778,-25256,-16209,-12387,-8977,-508996,-121638,-22406,-10884,-12315,-6746,127313,259088,89068,10170,406,17446,-511602,-117372,-24918,-10246,-10375,-5759,-246946,-95809,9364,-12805,-8339,-5222,easy
644631,93494,27898,15040,8909,5721,1050996,223135,117977,130581,45403,21364,311869,-1500,-86742,-108920,-34302,-13778,-829054,-142473,-102782,-113713,-42130,-16172,230877,-144592,-34929,-104655,-19842,-14969,-775174,-169679,-116826,-124718,-41874,-14719,-970344,-189959,-109116,-125700,-44321,-18576,difficult
443635,57598,12195,8433,7473,9177,694714,167714,7335,24494,13199,18519,-491533,-38469,11565,-9834,3394,-15339,-541904,-146195,-2932,-22623,-10737,-10765,482713,-78153,11880,-21834,-7890,-4115,-25759,-137345,3106,-17488,-10160,-16037,-678913,-150419,682,-8528,-3239,-452,easy
879687,59409,9436,7965,3735,4702,596897,43626,17490,14664,9333,13875,884233,53465,-4802,-4524,-4336,-7766,-407376,-16045,-14967,-11416,-8157,-12897,300289,18424,-15592,-4970,-3384,-9160,1171076,48486,9744,691,-3574,-2879,-534273,-25415,-14651,-13275,-8541,-13165,difficult
335324,94474,11583,11216,6552,17237,840679,58200,48484,10577,4113,4364,-700807,70293,-41423,47,1311,13484,-206610,11578,-47036,-4556,-903,4616,-718975,41016,-36558,3410,6226,37558,-104290,94488,-12469,13959,8181,12074,-796091,-36003,-47018,-9667,-2618,-3369,easy
847490,191365,99885,37426,19789,22626,796919,166793,37670,9747,7602,9302,2267660,721,21093,10730,13180,3345,-774455,-105924,-32076,-1725,-2191,-3570,-209010,71953,-3085,7188,9114,13951,-764731,-152461,-35640,-5825,-5244,-7803,-266611,308569,360781,128026,46078,60696,difficult
56119,9348,1284,2859,4770,5942,294770,151461,38772,21464,10247,15902,-211433,-148752,-38649,-21228,-9279,-13199,-280770,-135141,-36922,-13529,1776,-7244,-206083,-135743,-38135,-20780,-7080,-11408,-288537,-146511,-35671,-17580,-3196,-3066,-206430,-144416,-38062,-19910,-9608,-14883,easy
417237,71515,11762,7286,4113,4933,569293,267849,30774,28516,17548,14677,879495,-54901,-11972,-9988,-10830,-6033,-273218,-209066,-18867,-21563,-13779,-9565,-478968,-207374,-14924,-21544,-13295,-7896,-480252,-259705,-25209,-25206,-15790,-12953,-407339,-250625,-24087,-27851,-13480,-12271,difficult
594915,151732,50809,17836,26614,14317,743188,242577,123113,48240,19556,23496,29012,-34974,-103401,-39107,-7531,-18213,308577,58517,-50368,-28702,11475,510,-719653,-216202,-105650,-32332,3712,-9586,154082,-45212,10682,-7579,41230,-768,-513385,-216355,-112784,-44300,-13595,-17837,easy
1088307,151098,55021,13442,16778,15849,1006823,155642,17698,21127,17978,19320,-295180,-37906,22464,-3821,-3109,-4275,83465,64409,-7253,-5057,-8810,-10354,-1488,160735,20636,-12764,-829,-6673,1568692,-73996,142318,-1580,23568,20598,-948071,-135962,8448,-15203,-16821,-16653,difficult
579838,42097,12214,13821,5062,11570,851104,40627,10026,7453,13861,11021,-798171,-370,-5076,-5762,-13306,-9968,779615,8952,21029,53195,-1448,36314,-724209,-16833,-2182,-4644,-9512,-8705,183200,12214,-4023,-4452,-9375,-8212,-796766,3385,1190,-6498,-10352,-6684,easy
381575,131463,29548,7777,27025,10415,549511,124551,34428,40636,17034,19179,-358049,-86181,-24028,-39847,-13140,-17707,-454164,-105434,-32204,-38839,-13980,-15071,-449035,-115960,-34161,-39705,-15817,-16954,3534,297801,51438,-21191,17637,-1271,418033,44336,14557,-24711,75254,7181,difficult
109836,33980,7514,3903,2438,2423,611580,121925,11674,20165,9760,4378,-419189,-32565,-4541,-14584,-6212,-760,-600493,-114174,-7583,-17510,-9103,-3806,-402630,-81608,3604,-13893,-7152,-37,-522336,-113355,-9107,-18072,-8226,-3444,-564074,-98025,-3173,-17252,-5919,-1727,easy
247985,44289,17244,7391,5282,10732,859480,50328,18084,18964,16156,20695,-538867,-6476,-6236,-14962,-11762,-16478,-850917,-41582,-13111,-11673,-8925,-3906,-395930,36287,35564,-6293,-9887,-13718,-839236,-38814,-14341,-14306,-14697,-16856,-432524,20392,-6078,-10632,-9099,1143,difficult
108502,32964,5293,3514,3208,6151,201673,51092,6748,3651,6635,6981,-186166,-45730,-632,-1097,-2905,-3024,-30929,26003,-3345,-509,-6176,-5975,-175760,-33724,-4464,-644,-4057,-3473,114578,-924,3831,2675,-1665,1119,-187580,-36264,-2667,-1111,-2330,7203,easy
255220,80098,15021,5866,8174,9748,136679,91170,11093,5166,5225,6254,-50279,69727,24205,456,2529,718,138814,-45908,-3245,-1486,-1983,-3059,215010,-73011,-8478,-3647,-3547,-2731,46832,57240,13372,6253,12035,18282,242328,-63407,-6213,1924,5709,4259,difficult
1651961,483162,94867,73788,20279,60202,1192779,199257,22770,27452,17303,22180,2115240,390304,31566,9819,-11570,14241,264131,234587,-7825,33794,19971,46376,-221763,194842,116806,1450,1878,53556,-1075088,-196617,-21757,-25117,-15876,-19882,1213389,796407,241693,211733,20478,95818,easy
356387,51638,7003,11605,14189,12808,369887,49058,31250,7175,5796,12923,-310594,-27902,-29359,-4317,-2123,-10016,-353053,-44257,-30105,-2331,3091,-3808,-329799,-34594,-15034,-4830,-1171,-8111,105057,10418,-25248,2940,31448,4486,820887,109234,-21489,30690,10720,16873,difficult
