delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,state
796283,212129,112254,47781,-406753,-205839,-110451,-43838,288294,251947,22281,15713,-673683,-204828,-111341,-43354,89384,549906,68876,-29156,easy
293275,231738,24416,46393,543373,157586,75054,-23740,197959,1021591,-2198,-4143,-62589,-92846,-7927,-27824,1169509,-71970,-15660,-28112,difficult
128240,171880,26682,21551,-107455,-115420,-5192,31167,466604,-79268,1244,-15841,-50129,-165559,-23959,-19257,-99878,-161378,-19536,-13845,easy
595689,312817,14646,22519,-52272,726683,72253,21158,-565226,-291441,-11196,-21183,-544168,-306079,-7548,-10909,-525499,-240530,44116,-7307,difficult
854830,134847,27444,9010,-492119,-120336,-23196,-601,-782415,-106661,-23964,-6139,958195,4016,77403,29577,-498114,-6179,-6307,8379,easy
324001,375160,16475,38733,-258740,-344757,-15040,-33297,1047915,-192683,42388,-1602,269635,-317598,-9779,-34920,27025,-348547,-2364,-34162,difficult
732633,289132,45471,46245,556864,30246,7573,14134,-722853,-274372,-43723,-43196,-366125,-198436,-23757,-20714,-714005,-276598,-44311,-44506,easy
691179,310606,28392,14868,-571913,-280431,-19967,-12538,-606153,-295252,-19953,-14652,-121128,625371,58196,58724,-600869,-306833,-25446,-12385,difficult
95235,46927,15987,11630,1825013,1064048,252238,15937,-88481,-37048,-3120,-344,-91654,-38947,-11399,-2209,119210,43523,-12441,-3270,easy
630501,69042,54246,43925,-138559,-54329,-42127,-33471,411669,15924,-32427,-31176,-536400,-44119,-38621,-40390,-546901,-54090,-32033,-24445,difficult
152278,64438,26870,15484,-109551,-45179,-26101,-7720,1940224,72915,-4644,264,-19438,-56398,-17140,-7582,192783,-41134,-13741,3242,easy
176915,88344,25234,13772,508473,-43223,-20275,-9986,1336361,5505,6330,24728,-147605,-82960,-23425,-11827,395444,-22738,-22022,-6672,difficult
685732,374393,119911,34910,-360953,-306940,-105117,-30526,-647637,-371417,-116880,-33952,-553924,-252789,-88220,-15865,726228,-235522,-11620,-29993,easy
109582,95413,43893,14939,-47986,132520,-11753,-5601,-84445,-86755,-42537,-11913,147670,-19464,-40123,-10920,155296,-40131,10183,-1962,difficult
338539,316078,18027,12289,-278573,-286665,-8939,-8532,-329967,-312375,-15887,-9408,-283988,-283350,1222,-10439,2359,-273157,-3402,-7187,easy
147259,26426,12273,10894,-46758,-21378,-10824,-10437,607719,134459,10851,-2099,98464,31627,-72,-4012,1463108,76020,15616,-3550,difficult
717742,378609,18534,26697,-632987,-373542,-15833,-25433,1294646,-278724,7062,-11483,-602839,-345450,-17783,-21750,-616228,-365667,-15748,-23879,easy
515541,141300,28084,17197,-368072,-136648,-26402,-14120,850218,293791,107323,120864,325961,108290,44191,9322,-375085,-122004,-19317,-5621,difficult
587352,169467,58928,11407,-370113,-146743,-42667,-3774,-541864,-119534,-55265,-1891,2255430,-10975,-42958,21762,-541177,-128451,-35339,-6770,easy
180916,97478,12111,6042,1334661,17007,25240,8086,1682124,69708,14586,17749,-170504,-83372,-3027,-2609,389397,238813,94,40819,difficult
918119,211454,53595,39976,491648,141832,170187,7637,-795227,-201327,-49492,-39218,-897228,-209742,-50748,-37325,-837971,-164085,-31603,-36512,easy
1080179,152842,37804,33788,-742239,77146,-29588,-2658,829756,432642,74053,-17208,-1058341,-146902,-35241,-32302,-943873,-128000,-35153,-32087,difficult
621853,298870,119820,18674,-271666,-258783,-111787,279,606217,-267274,-104984,-3317,-483348,-291480,-111604,-10447,-527976,-271118,-108041,-11901,easy
366548,67211,8966,14090,657305,104542,7875,-3941,-262920,-60159,-8380,-12807,-292774,-23634,11058,-4892,980234,-21970,73621,-6920,difficult
283943,74224,7882,9692,615184,-29313,20828,33897,-237501,-43257,16847,-108,2020551,241610,2043,16983,-187426,10121,1516,-4165,easy
150382,38951,20296,9621,548071,78533,2696,9081,-132872,-25726,-17392,-8733,-83032,-29045,-17539,-8614,-104761,-20795,-15458,-7649,difficult
138464,23847,6638,12850,-111081,618,-665,-7818,750784,145880,34969,20122,-124107,4620,10520,-1976,252042,28211,61318,16323,easy
113680,41459,15009,2045,1329,-24883,-7128,-1184,-82497,-23179,-10607,8230,32332,-22906,-11717,945,173828,98173,77257,3827,difficult
62334,17471,5699,5669,173160,104326,11152,68,57388,11928,2083,-2650,220672,92953,-2368,-2215,1059607,840694,138281,99166,easy
855211,119287,23162,22316,397407,-15068,-357,4396,-675238,-56582,-17933,-12911,-833337,-101171,-10329,-12414,-813311,-101343,-19210,-21894,difficult
529266,454953,24749,15829,-478096,-439503,-17665,-13697,619529,-352350,-6044,-3921,244046,-294770,5299,-3420,-259505,-446819,-22410,-14494,easy
524306,222371,98716,29984,-125683,358536,-35754,83127,1579475,681963,67178,10967,145322,8914,8376,-15652,-394242,-182976,-94844,-26683,difficult
895375,117331,29600,13299,-615400,-96772,-24707,-12160,-240662,387684,124808,17668,-626697,104457,-25631,868,-822631,-102091,-20825,-11353,easy
1250190,335652,22342,23574,561680,115050,10646,11817,-744996,217831,146996,15977,-722206,-124401,49467,15348,-1225901,-330770,-18752,-18555,difficult
1077775,109741,37063,11848,-964601,-98854,-33905,-9194,-1065463,-108122,-36135,-7656,690081,32157,73434,10739,-878733,125781,-25109,7584,easy
320546,48638,11541,18895,-243336,2192,1602,-12466,593130,820583,6483,-316,-37531,49326,-6374,115,-185415,39531,53339,-3879,difficult
292900,141749,56756,34075,203576,-86568,-36264,-17700,942423,81103,-35891,25541,90888,419112,-15714,-8285,-252755,-98478,-42451,-16751,easy
588228,230612,12235,13049,-565411,-180354,-8035,-8327,-409877,-181681,-1148,75,-108858,81112,-4125,-3535,-523184,-199070,6232,-637,difficult
267125,83498,10875,28658,-187611,-60399,-6502,-25030,2178795,393807,29356,7137,1058566,464014,38894,34459,-155309,-47583,-2995,-26343,easy
503592,113942,24565,24931,749418,125250,-16873,-5515,-478392,-74306,-15231,-22939,670378,357880,28272,-16859,-473850,-90920,5929,-9174,difficult
150226,46307,1588,2641,72419,28861,10134,7796,920980,118063,23276,10498,-66919,-32640,4630,-2242,106635,72527,36590,15531,easy
179069,38124,9242,7989,-152412,55381,22718,1244,2268986,305382,157915,61325,-152007,-12783,14796,6941,1583936,489990,18074,1947,difficult
429424,181923,26841,17884,-254338,-166546,-24563,-14771,-228912,-128242,-10979,-10728,-27526,-159209,-17079,-10173,-299630,-165627,-24916,-13806,easy
958110,379404,44743,19475,-761252,-144146,-12339,3888,1385809,113992,41434,14263,136898,-99075,-16046,936,-879589,-362622,-43575,-18676,difficult
96749,44401,12146,7416,-25864,4683,6980,7485,555033,76691,5189,5496,131483,-25349,3700,3546,-72999,1780,3363,5054,easy
1005568,358896,11971,34382,30639,-224381,145198,74237,-328300,-249773,1002,-31706,-839292,-324090,-7855,-29861,-979658,-354684,-10449,-32503,difficult
410218,264970,39177,33902,137809,422873,86506,3519,1387913,-108703,92161,45733,-134415,-235661,-26637,-24360,-47157,-236064,-21993,-19127,easy
661674,68764,23868,14896,1326338,32227,-18939,44990,103717,-31918,-5360,5797,-429185,-779,-20412,-2625,-589880,-18887,-17497,-13020,difficult
458313,211884,103941,21151,-275264,-157601,-97850,-17029,80828,-147598,-53473,10366,777358,-150140,-86157,-11173,-117616,-154607,-102391,-13789,easy
72059,36735,4719,3477,1755806,178892,18016,19934,110055,52668,12498,9984,-68815,-25378,-889,-555,674110,160391,4035,-247,difficult
956909,334666,12460,7948,71247,-265417,61288,53910,-648862,-321866,-9010,-6228,-617446,-52019,23478,-4126,-936587,-330760,-8217,-7373,easy
333157,58761,23560,13951,-159087,8871,-19222,-8320,-114906,-38700,-15964,-10538,-118490,-4229,-9201,-7502,-238651,-54277,-18267,-11677,difficult
35594,18440,4101,5133,539260,177029,23645,7717,256651,10644,14,-2568,1184173,599809,46325,11178,468405,136610,6378,16503,easy
688437,58311,19258,19308,-532475,38881,-17759,-9284,-650168,-43067,-19025,-18705,-601778,111243,-2288,-14317,-652347,-52034,-18450,-17264,difficult
346644,195821,18293,21918,340647,111282,132501,44240,-252522,-151092,-1478,-14826,-90197,138617,-9274,-18271,-267293,-186475,-11514,-19543,easy
387330,126518,37606,13150,-194579,318956,-24276,19553,-36242,13611,-20383,-9601,-279716,90258,-34363,-2819,-194232,-109888,-35131,-10710,difficult
