delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
275002,24924,17887,10097,6912,20277,7698,4533,-265496,-7101,-13480,-3365,58,-4065,166,9974,-260394,-19897,-3930,-4735,1513,10120,4428,7254,easy
176522,30642,11905,13046,13268,17172,8544,6015,-170915,-11924,-1831,-1508,-6322,18569,3084,90,-168056,-19925,-4733,-3660,-6156,3488,550,-1790,difficult
214445,143681,56025,32629,21763,57962,13427,18524,-97820,-106302,-55292,-31586,-20559,-53795,-11978,-17671,554684,-34814,31077,62513,6779,6041,16023,-7134,easy
111224,81557,13844,10459,4922,13712,1866,1327,9164,-39676,16116,-7813,4751,18228,4046,116,38457,-74492,-12257,-9672,-4517,-11758,-1235,-791,difficult
18811,20669,18705,14264,8744,30440,16943,5830,-16642,-12765,-4924,-8154,1684,-10760,-4923,-3464,1112522,189855,-11522,16177,19739,-12087,-8153,2056,easy
579237,32516,19951,29635,9484,28787,8260,3437,530143,33528,1650,21476,10119,-4001,3971,7360,-478041,-16158,-19260,-29364,-6734,-18016,-6510,-1575,difficult
93753,38611,5784,2919,4798,6874,6298,1927,-85230,-22148,31834,4762,-3115,17793,8142,5404,-80038,-35292,12249,1616,4290,7540,3576,17416,easy
25417,7893,7364,7756,7059,11740,4470,3588,-5293,1003,-4876,-5818,-4568,427,-3172,-2986,17874,57652,6098,-6546,-1598,22187,5830,3632,difficult
445868,79158,13370,4801,10179,13954,11560,8108,-424301,-59881,-5583,5386,-7814,38529,-2336,-1103,-440575,-74375,-12260,-2365,-8165,-10574,-9115,-6728,easy
1319637,176868,42296,12193,30219,36156,15678,10284,-1249511,-162319,-34386,3070,-28533,-32115,-13758,-6890,-1282054,-157324,-41344,-2739,-23244,-20010,-6626,-3556,difficult
113165,28232,11791,7790,3152,16002,6631,3900,-107727,-5318,-3034,8393,3140,2989,554,2096,-85219,48313,13685,2771,7433,5128,3731,9933,easy
372919,141867,25200,9443,13338,9815,3119,4016,-352576,-137891,-23132,-7264,-11196,-5483,-289,-3107,-189277,-116572,-21306,29338,-2389,15068,1814,182,difficult
415532,47100,20444,7812,11577,20175,5563,3194,-414133,-6836,-11442,4162,-9419,-7669,-1689,5737,-391377,-15724,-9612,-4729,-8873,-12259,-2480,-181,easy
174740,68539,18538,6347,3097,3664,1886,1497,-165551,-53510,-15040,3240,11002,23921,10300,3654,-131025,-29710,-17936,975,1571,8031,847,-479,difficult
480796,188878,113899,86046,90723,43026,35564,36891,-476263,-182896,-86476,-70631,-83693,-3945,-24752,-23425,-477145,-172569,-100014,-67896,-80379,-21106,-19424,-29738,easy
123759,74609,4492,18306,6884,22393,7935,6621,-10346,-59835,-1909,-15891,-4335,-18865,-6285,-5456,-110434,-64888,7893,21772,6318,5417,-5231,-1276,difficult
244949,74278,19004,20396,16920,20909,4971,7008,42603,-66658,-17763,-17069,-13149,-9304,268,-3808,-227160,-63959,-8282,-13845,-5214,-9711,13214,-2700,easy
46893,15100,2885,24263,4552,8350,5545,2483,-41554,-702,-920,-14169,-789,20051,7157,7239,-42713,-354,7999,-14625,4820,12052,6953,1681,difficult
61159,21168,4392,2658,1965,4310,2062,1405,78199,-8888,961,8224,1480,3181,-180,-522,-34875,-7371,14622,15559,12331,9918,8372,1365,easy
934171,184366,105538,20924,25041,17570,14952,12879,-928720,-172555,-100434,-14794,-21702,2320,-9108,-10566,-589548,-140452,-101606,-14930,-23501,-9876,-13981,-12008,difficult
413517,40721,28349,13088,6723,9332,3102,5099,-380388,-22040,-26926,-3056,-45,35569,1376,-1028,-379940,-33794,-21927,395,1849,11544,9278,-421,easy
859886,113557,13497,8071,9326,21882,4665,4321,-849683,-105828,-7788,6835,4192,12922,9134,857,-836182,-105803,-8700,-4029,-7805,-15026,-2012,-2786,difficult
1144395,94893,60046,20369,21971,19413,5829,2967,-1136939,-77020,-57833,-11126,-17302,-6314,33,2837,-1141991,-66062,-49601,-15180,-12107,8445,2972,3382,easy
204485,40595,3214,5810,6071,28372,2755,3240,-200701,-33017,-990,-4519,110,-9843,7180,7484,-202187,-31019,783,3933,-2263,-3031,14354,2229,difficult
179802,30972,7213,3182,2570,1631,680,725,-55718,23145,-4537,1289,622,3914,935,338,-165803,15469,23353,28094,23337,39734,11648,3986,easy
968830,99278,51447,56325,88926,28506,13436,17148,-958071,-86955,-48444,-4109,-85631,-14650,-1124,-12029,-961113,-93286,-43636,-55050,-83448,-26343,-10283,-15476,difficult
30620,22860,8456,8104,5632,17150,5283,5083,-20356,-14750,-4833,-4925,9682,27256,0,327,3786,-8863,-6262,-5890,-1874,-6558,-1245,-3267,easy
247801,74685,12316,4123,4263,9713,2190,4404,-183932,-58339,-11060,-1436,-1818,-3443,-356,-2866,-238419,-62860,-10647,2744,96,43294,6189,-1098,difficult
90080,10664,8675,17089,9560,16085,4535,3631,14582,-4565,-7563,-14728,-7456,-11832,-897,2125,-76832,5669,-4127,-7914,-748,20146,7754,976,easy
