delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
106303,59024,9808,8501,5934,4778,1800,1800,358051,38607,13033,3098,1544,2078,983,593,-218259,140084,-2333,10570,4553,4584,205,98,-169097,-15062,-5328,4753,-270,511,-171,126,-350742,-32156,-12151,-76,386,2586,2628,2352,-210134,44051,15931,13681,18508,7585,2092,3864,-310506,-34834,-12244,-1913,-1228,-1765,-670,-404,easy
106907,39539,13146,37658,7335,14317,2502,2755,8072,5250,9800,30639,6111,7307,1804,2711,3792,-290,-8942,7064,-1543,-2249,-374,-854,1723,5682,2123,19069,-1598,5158,918,-1469,15530,44322,5631,11765,-4471,9530,1349,-1432,9487,4036,3813,21654,-691,368,399,927,463644,117694,14105,-24459,14421,22244,1196,3046,difficult
107578,52269,10692,51131,9782,10423,4625,4129,63724,7382,4668,27736,3442,7680,2570,3483,-50705,1972,4921,93835,953,-3667,1732,1049,-53359,6701,-1178,-4804,6678,742,1888,-941,-55823,-1635,-3105,39668,6112,277,1655,1795,155212,79,3031,-17882,10059,2587,2253,-168,223943,217317,26453,6160,7899,13774,2746,1495,easy
17313,15437,14588,47906,4661,8544,2760,2228,98602,50076,46058,17225,5451,8299,3018,2571,-92151,-31770,-33825,29035,-1860,-1969,-577,-1410,-95859,-37676,-29345,7342,-927,3830,-974,682,-89506,-29139,-42866,42964,1733,2178,-619,545,-72060,-36234,-35028,25227,-1022,725,-256,-357,-56868,-38378,-16285,48836,-1873,-3539,1138,-1175,difficult
118547,37225,1754,2086,1679,1300,467,446,130962,57309,2758,3026,2662,1135,662,344,289734,14191,983,2295,-255,1860,-7,307,-124725,-48359,-1971,-1755,-189,-33,-17,283,-95349,-36798,-1465,-1782,-1874,-449,-501,-185,-121492,-53293,-1706,-2738,-1615,-111,-372,-68,-10243,23837,-860,-718,-980,-440,-76,174,easy
60458,44280,14386,43703,4898,7225,2715,2207,365665,53753,10004,7869,4769,5608,3213,1221,-360897,-41042,-674,43394,-2063,2372,-966,789,-363181,-43688,20538,71034,-2296,674,-592,1125,-362913,-43272,1791,36531,-133,2704,634,657,-349134,-34867,-1734,30185,745,433,-880,1436,-89909,115502,1987,-1973,4394,1902,-685,925,difficult
170319,59538,13247,7191,4858,3900,1492,1464,145706,10668,1956,2166,1591,940,512,907,436301,39289,838,1799,21,1536,258,-152,-128954,6811,8749,6270,921,1755,1361,1613,-6886,8817,-138,-466,421,809,-14,-417,-58064,164500,37163,7907,9871,9908,2623,2046,-119332,24932,9844,9613,5103,793,670,-306,easy
85863,30205,3895,3803,2762,3160,1194,873,737163,123390,39773,16928,4653,15046,4136,9124,-672098,-81625,-38511,-11041,-3572,-12581,-3213,-8176,-481463,-109245,-34663,-14753,-1366,-12924,-3510,-8738,-722289,-109229,-36689,-14116,-4171,-13284,-3646,-8623,-681589,-92568,-32257,-14001,-3928,-12978,-3357,-8755,-699063,-73259,-37268,-11713,3584,-7662,-986,-6964,difficult
109769,39085,5918,3787,2748,2348,1835,757,180784,56769,5869,3581,2132,954,847,397,-135126,-37296,6527,-2298,-427,-347,213,137,90909,-42911,1298,-52,-410,352,-560,-67,-113686,10640,-4493,1437,2488,4643,168,543,-144013,-47594,-3973,-505,-1755,-321,-613,-327,-53160,28743,885,2446,3184,2645,5734,1513,easy
58207,39724,6730,20582,6677,4950,3713,2872,283665,52356,16046,34177,14254,14217,4273,4605,-269673,-44823,-13678,-28448,-7688,-10326,-3066,-4104,-281786,-48564,-1855,-12208,-473,-8126,-444,-229,-261096,-46485,-15038,4534,-8295,-9241,2855,325,-215006,-39582,-6709,-1602,-8667,-5876,799,-271,-99731,116292,-9301,-30250,-12764,-12766,-2946,-4385,difficult
65977,27122,9931,32887,8644,8546,2684,2385,80616,17798,7469,30427,3360,3214,1834,1413,-76624,-3648,2855,17160,1138,2096,166,2303,-75193,-6814,263,29810,5159,8950,1861,448,-67306,2481,10092,5651,18822,12233,1061,1991,-36078,-4987,1220,-17074,3209,4993,1768,839,182004,59588,-2120,-23245,-1906,-1613,-608,-723,easy
14835,12326,11636,53208,7223,8035,5363,2596,114096,21209,7010,40176,6259,10186,3057,6570,-109349,-12873,37667,37079,-2451,-1609,-819,-4082,-105570,-15387,-5482,-1545,3306,-4044,3563,-3416,-110556,-9286,-560,3853,4159,-2578,1600,-4330,-82552,-2066,-2307,33469,-1131,-4108,813,-4997,-88276,-4801,-6190,-7698,937,1582,6372,-3043,difficult
45081,9638,12452,54166,5597,10445,3509,1940,11851,10205,14017,46068,4889,8342,2753,2622,4735,5510,-12576,16629,-2086,-2318,-218,-1123,-5173,3941,35144,72880,-1175,4656,-348,-726,-8488,-5980,-11103,-27970,8860,441,3959,-833,10138,-438,-11936,-15012,64,3942,455,-2024,164939,-5870,-7353,-6039,-2121,3794,-66,1296,easy
