delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
346679,23132,31336,16863,12609,19259,4017,2954,-342057,-10454,-22833,-13116,-6672,1049,459,3445,-134381,2575,-23632,-7465,-1147,4210,4399,2965,-343506,-18958,-26746,-15073,-11886,-7394,-1169,-1045,easy
47085,9281,8277,4037,5535,7583,2238,2308,-35293,6876,24276,130914,5614,18543,672,-353,15937,11679,52692,36037,932,2273,-783,1353,106609,78647,21649,510,4057,-2600,870,-1188,difficult
150691,38372,20154,7620,14789,12584,3805,2067,-142681,-25890,79532,92233,1745,11767,-1319,9,-148773,15007,22688,180690,-8463,29036,-1114,-338,-136714,-7306,1063,72627,-1891,6086,-164,-1352,easy
396588,34893,8139,7642,6137,3368,867,558,-390699,1064,23595,210206,8439,4940,1348,766,-367506,-4700,66514,151362,5171,8130,8551,1596,180429,-4932,91320,118746,14213,12208,3434,834,difficult
219759,39922,6215,9968,7815,12457,4017,6409,-191658,-26029,51013,78594,-251,3906,1699,-5350,-163776,-9817,10834,166537,-2513,2584,-2503,-3193,-155694,2653,24176,46477,4773,3957,223,-5082,easy
164817,13045,49967,77370,7156,7225,2495,2386,-124776,39744,-47058,126381,22487,-1191,-440,2,-146690,1967,-36713,19380,-2747,6993,4741,-126,-114914,17350,-44543,-51299,-4573,-2342,-2015,-1356,difficult
23889,19719,15250,68685,10445,14671,4179,1394,-21460,-14358,111019,55412,3807,7096,-569,1206,575215,3485,30933,16565,9803,-2125,-1006,610,66475,92178,4137,-43422,15740,17935,14539,5633,easy
214638,36526,30392,68495,17896,13010,3336,4012,-207591,-16174,77190,77293,12673,2644,5093,-1105,-186893,-23003,59453,173506,26379,5837,350,-890,-201733,-26328,-11752,-64216,-15956,-10427,-2371,-3635,difficult
129744,54667,31905,37933,13418,17175,2252,1468,-110381,-42201,50528,42857,-5422,-3551,-385,29,-112683,-8898,7085,167687,-57,8937,1602,1491,-124130,-41034,18917,62382,4464,-3768,1181,694,easy
83916,20111,27885,36296,5794,7842,2258,1630,-75466,-15799,33199,5293,-1102,8852,2499,91,-66704,19667,21294,44515,8016,8059,1036,-260,-69314,5011,796,23471,465,282,430,-1015,difficult
226742,37811,26484,45499,6949,5837,1840,1058,-204595,-24946,-15848,22637,1194,8724,870,1061,-210090,-29285,36520,117172,581,5092,2955,2351,-198906,-20659,15590,78056,14008,9182,336,600,easy
13337,14919,74370,133421,12517,12776,2857,1634,-8194,111,20316,-91186,9511,46,56,273,4695,12952,-28579,40165,-5021,8764,-336,1484,456095,15199,-63032,-90510,-8611,178,-682,-777,difficult
738331,178254,61474,42762,22669,20394,16259,9301,-730603,-170934,-25637,59591,-19085,1376,-11663,-7732,-664005,-158846,80306,-1429,-16894,-5811,-13435,-7007,228817,-153895,-47520,-32608,-14243,-12648,-10396,-6030,easy
10222,10320,48440,154563,8852,11422,1832,2856,-2024,17743,24832,50717,-1569,4340,746,-664,11177,8928,-35946,-16426,3219,4012,-99,-962,11426,15022,21487,74182,4276,-3104,-324,-1733,difficult
70415,41622,26502,33654,18973,11065,3885,3006,-66496,-34222,42093,30574,-2572,2982,-937,-1985,-64856,-26327,48849,54777,-10423,2727,-755,72,-63284,6250,-8409,24965,-8279,-531,-2605,-747,easy
105448,25492,6877,2049,3162,2360,648,814,121276,93621,21132,21124,745,-75,1148,-28,-71740,8933,23209,129355,4789,8838,2978,778,1231980,110921,35416,32765,7972,33951,1897,7850,difficult
79585,22462,14591,32111,11245,6144,3110,1210,-69487,-13493,89493,210537,550,895,1151,-278,-57378,2889,53376,95174,8352,4045,-701,1061,-71924,-17564,10295,-9254,-8579,-1214,-2293,-977,easy
15146,14042,58705,75953,6493,9159,2788,1704,6576,2758,49295,15797,2062,1918,2136,218,4925,-6634,-14225,79077,841,1896,-1065,221,591584,131783,-34087,-57857,5439,1526,-740,-684,difficult
48779,27271,6777,5003,8187,26217,28341,16977,-11325,-11059,5213,-2642,-3699,-13301,-24177,-14919,516521,97270,16890,13778,5734,-9849,-595,3361,1470140,90008,50108,84401,24937,3711,274,-2308,easy
125550,29724,12753,120590,16189,10521,3201,2986,-118290,-17864,51646,-10888,-10455,5738,317,-1579,-120468,-22924,40920,-63906,-9798,17103,-1755,-1742,-41926,-14534,-8552,-111717,-8021,-7559,-2464,-2528,difficult
