delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
139516,32575,6544,4831,4017,10849,1032709,109639,14103,26462,30818,32029,-1003981,-81185,-732,-22740,-23023,-13974,-521212,-20168,-7501,-12782,-25712,-20500,-1025540,-105100,-12003,-26018,-29052,-19097,-1022040,-101803,-10001,-24986,-29417,-31150,easy
1251812,224463,59037,40332,25094,29241,335886,210349,17986,19614,27683,21184,1403746,338232,171575,7919,638,25002,706716,-77757,1044,3231,4691,13639,274285,-125952,-7253,18658,-12227,-2112,1278955,-78067,-1163,53065,-3458,-4303,difficult
786699,169162,8551,21529,4865,23528,471101,89524,36473,11040,17280,18621,-409185,-68256,-35063,-5219,-13586,-12299,1585804,343191,-15677,5788,-10204,4344,262878,-35444,-28321,24020,-12721,37733,-177106,79059,-32627,17368,-13149,-10151,easy
1145639,503532,96826,47871,24887,41527,529579,91751,39978,32048,21156,22997,931806,-41495,82672,-397,171,42953,2430831,1726995,199527,115879,49086,64599,-463230,16004,-24374,-24135,-16621,-13119,-435166,-54379,-30435,-28057,-17711,-20315,difficult
316772,31617,14405,3304,4047,5013,1643497,220671,202467,74042,35987,47497,-1490977,-205384,-190812,-72394,-33375,-45755,-1398866,-148258,-171174,-70434,-28572,-36660,-810266,-186962,-190051,-67292,-30901,-41780,-1606792,-215612,-200210,-72832,-34912,-45743,easy
1042047,215998,12695,17384,12551,20806,1105091,145224,18272,22977,11287,22808,255976,-42870,-4514,7408,-609,-14132,-121466,46095,-5552,-17294,-3190,-7491,-473940,-112368,-6950,-16004,-10425,-20445,87252,392240,-5294,3519,19278,34060,difficult
93346,32942,8941,5829,3505,12184,530386,22811,3493,11461,2120,9854,-528132,-19010,1073,-5691,1741,499,-292133,4990,15446,3256,4463,-2114,-434880,20462,2563,-10146,164,5076,-493017,34083,2710,-9948,-830,5859,easy
429946,126513,13446,23159,16437,12753,781839,56236,24263,9809,14618,12597,-582219,153246,-4646,2693,4099,3130,-661525,90765,-12426,4984,-9787,-3046,521028,45901,-11180,50245,23763,4783,-684858,-8803,-15015,-4521,-10799,-4243,difficult
92281,52262,9758,7603,4283,17536,148447,45372,20228,4975,5943,6178,36043,58989,4889,18718,4925,13591,-51403,-24545,-18753,-4018,-4971,-1756,-84327,-6779,-12447,-1503,-4337,7372,-124977,-106,-15568,-2684,-2258,26225,easy
496016,135393,14129,18314,7915,13028,1715396,148472,91825,141148,16412,68724,-1595519,-112252,-84711,-134770,-11218,-64569,-1300632,-49336,-86824,-137904,-11003,-66194,-1629336,131270,-81855,-117160,-5488,-32334,-352035,-21997,-57396,-101503,-6281,-59689,difficult
441268,104706,29254,4900,7604,16473,1286897,156027,74791,41915,23742,36357,-1108481,-52358,-3127,-37288,-14259,-24081,-880857,-131984,-72111,-37301,-18955,-27559,-490368,30677,-56389,-35029,-19171,-16159,-902811,-51618,-50520,-38441,-12166,-11739,easy
851550,157121,37493,28470,21007,23735,331871,92193,11243,13122,16204,12814,1205543,309340,108833,61710,39564,49645,397754,-28252,-377,-6621,-7433,-8876,31156,-43082,-4428,-9824,-11988,6167,444261,21706,973,16125,-933,-3252,difficult
528830,76686,11517,9178,7335,12133,413738,123855,19778,22530,39040,33223,58982,-90255,-16003,-15966,-36015,-28171,99058,37466,-1584,-11211,-27810,-12961,-182010,-118523,-17234,-20433,-37826,-31024,484336,-17365,1777,-5800,-25170,-12205,easy
292005,139426,26490,19815,15904,14168,444925,74045,16481,11877,4082,7442,-322652,36174,54477,18272,8521,3128,-225205,137797,-518,16122,21854,15651,358694,137855,-438,8043,19168,10681,-422519,-50302,-13486,-10687,-2254,-2555,difficult
428017,102534,22567,12134,10521,10289,296874,127374,11625,12927,16226,12627,492278,76483,18895,10145,12457,4305,-159746,-107525,370,-9336,-15404,-8307,351245,-36983,28615,-3401,-7244,-1406,-159207,-31335,-4113,-581,-12629,-3944,easy
999228,75781,31272,20436,9436,22851,608005,65882,38261,7191,9070,8864,447906,73761,-563,21086,8553,30222,-155331,-25757,-2945,-1012,-2186,16259,843735,20138,-20780,3226,-4954,8523,428582,-28546,-3668,29680,52,942,difficult
1234343,91910,37171,22978,9898,16278,1382972,303623,83500,115763,17764,56999,-190495,-114490,-38478,-63213,-8142,-46481,-90512,-240888,-50260,-108109,-14794,-50606,-14310,-288767,-76195,-112639,-6097,-39717,-299200,-202709,-20384,-87179,-2430,-26079,easy
1184921,182002,69071,33328,15655,74106,516490,102177,42646,30886,52223,28911,479659,66520,-4504,-13412,-45412,38419,211693,153595,32852,-12209,-32837,49134,686402,91477,17538,-8220,-27699,12955,1295969,7706,59813,43607,-40325,80272,difficult
422900,299205,26871,17767,11513,35503,1166961,263929,80191,16568,26134,69961,-959975,-198454,-76129,-5265,-21725,-56546,-420167,564343,-6486,10326,-4579,-16111,-926854,-169925,-74065,-5022,-21417,-50560,-669249,-54859,-56600,4756,-10765,-14615,easy
