delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
366625,28355,18930,5950,6021,11311,6569,9156,-236049,-15101,-16141,-4719,-4148,-10535,-5001,-8292,-216570,-33,-11316,2942,-2759,2200,3619,-3239,1080855,29713,16102,57109,1448,27555,34957,610,-182288,26316,-9591,-1428,-4474,-2701,-2379,-3487,easy
783122,198129,25936,19180,26083,58420,28670,23150,-619563,-149554,-24732,-12448,-18261,-37048,-23797,-19886,-479762,45966,-10161,22153,-4261,-32942,-483,-10921,-19801,-50611,-9517,21349,-3043,-28142,-6708,-2032,-271977,-131672,591,7530,-17796,-50203,-25684,-17867,difficult
777741,648665,73252,42302,32824,60363,35857,37886,-109366,-531989,-41454,12784,-2398,68641,86763,2740,2188792,-511141,212109,106435,18377,19194,88469,65701,-597845,-594771,-64689,-33799,-7943,-36122,-15514,-17497,239669,-455925,12776,-30958,-24275,-13425,-22280,-29221,easy
717752,170851,28342,32070,23094,27907,30914,14144,661490,86528,125039,9890,9808,137536,9305,36395,1190212,-79621,-22758,-25927,-17962,-8998,-10940,-7994,2203339,150444,29195,25187,20278,65848,56223,23096,20504,-121301,-28007,-17348,-6785,-11210,-12673,-7713,difficult
645846,86211,32343,11447,8397,17629,9530,3569,-331116,7706,-21618,26856,25659,43173,9388,8993,-640579,-74168,-27704,507,33876,1846,12131,16111,-627744,-65526,-24271,250,5893,29192,13561,21141,2366395,-24018,19428,51071,36418,57994,27543,23190,easy
896403,107211,62605,42015,23275,28384,20383,8657,-603767,-99150,-61057,-32480,-16365,-13193,-6423,-7211,-307374,-11330,-47824,-8124,333,22953,-14565,-4482,-828251,38698,-53921,-39325,-16939,-23601,-17108,-6029,2347280,532007,186479,-23977,30505,60747,7898,-3364,difficult
263970,154775,5587,5996,14161,52667,12965,12994,-254736,-153766,-4826,-4353,-7882,-35842,-7846,-5641,-98337,-69263,9080,14396,-10620,-40886,-5581,-5653,1096604,137666,42678,7516,17337,17043,33139,57338,1414986,-31213,40807,7719,14103,-1844,26571,11031,easy
1300727,98921,15212,37537,23969,33675,23404,24746,1015087,13808,-6682,-10011,-6162,-2498,8964,8947,-1287034,-86388,26755,-14127,-13890,20769,5212,-16127,-1293568,-89491,-9437,-26527,-11418,-8739,-1401,-9502,-1295418,-86803,-4061,-32431,-13765,15155,-12515,-12312,difficult
1092883,280846,27229,20132,13864,34222,47738,13216,-944097,-105680,45410,39845,14034,20625,-20572,1821,-163280,14880,39471,4087,7953,41845,-16939,-2906,488213,-112965,35074,14485,28296,8993,-9629,-864,-1084388,-275346,-15376,-11765,38438,-3223,4471,12156,easy
1482450,110466,21989,19502,6530,37598,20802,15066,-1369963,-83448,-18088,-16767,1645,-26646,-17056,-11466,-1312780,-83774,13080,32235,13334,-9909,10510,-4832,-1411435,-93894,-11908,-5941,26895,-3101,20268,4029,-1371113,-100228,-11333,-12687,-4926,-30769,-18359,-14093,difficult
363823,47162,21724,11306,6884,29120,21418,8387,95609,1930,789,20867,3568,2498,4494,-3843,-353537,-39471,-14422,4811,466,-10943,-7761,3188,132237,67167,-10296,-8352,-1491,-21902,-17388,-3565,154011,29137,56737,17977,15031,18635,13150,-3238,easy
1386689,202459,62635,70056,34981,42759,25072,29600,-733712,-174842,-44298,44361,20159,-23048,-15968,-23922,-284626,-32645,23106,-32423,80349,-10529,7121,-16607,-1135118,-183322,-57880,-55516,-28333,-33594,-12333,-26764,-1320535,-180841,-60018,-64816,-29804,-31710,-19075,-26174,difficult
331711,162466,11541,14458,9576,23392,19971,11071,-327179,-159571,-8036,-12541,-6601,-9581,-16128,-7480,-251886,-127700,-9289,-12639,-9047,-20261,-18928,-10042,-226242,-128526,-8320,-13240,-4078,-734,-17219,-6678,-94300,-84520,-6907,-9771,-3561,-7928,-11510,-7623,easy
725923,300049,42935,41255,25418,21169,36691,9499,154816,-175725,-22462,-11517,-5095,23756,-23346,11229,-260345,-281057,-38162,-11305,7382,-4333,-22444,12752,2142912,-134389,-13354,-16959,-2143,10096,-16170,1215,-591791,-244882,-36385,-38578,-19535,-8861,-31945,-6786,difficult
1438785,628503,75526,111485,53756,106623,128677,59659,-354192,-580068,-48409,-101616,-48379,-83513,-101695,-45501,381982,-24933,8198,-44386,-25519,-58152,-81832,-21871,-1215547,-562343,-73530,-104624,-48690,-100071,-104811,-50952,-970634,-376883,-14645,-86821,12219,-65135,-82055,-17908,easy
534543,593763,18280,5922,10063,32582,10503,13405,1595874,-494769,21494,19165,18600,12558,34003,8553,-530199,-566827,-16405,13674,-1661,6000,16291,-4190,580198,288406,53709,19368,26257,-11493,37192,6187,623770,-587965,-11653,-184,-9180,-26114,-6043,-10681,difficult
899253,152170,22694,18707,10857,46566,23338,16938,-881646,-145095,-20863,-12594,-3279,-35726,-20400,-7228,-882253,-127411,-14345,9392,17353,-25233,-9434,-12934,-554848,-98637,-2323,5022,-6355,-36932,-14662,-6866,-28233,-8831,5634,-9074,-1249,-37275,-9403,-5157,easy
340637,25822,6484,11723,2382,9057,5234,2643,535541,63658,26567,311,2886,12059,2083,7391,-169174,160355,-3153,-3957,-363,4723,6053,1826,-85452,34570,-2511,-4013,766,12575,2865,4696,451617,354423,514,657,9505,102179,42020,26526,difficult
593557,74691,18203,6984,9097,19154,6863,11102,-562108,-51716,-10895,-2359,1538,-13145,2225,-4441,187112,53217,3240,9442,28916,8084,24530,20701,1918478,270933,-1166,54093,13613,36671,43463,18109,-533902,-33339,-13433,1976,-859,-3779,-1722,-6651,easy
208667,86727,19108,31727,14470,17034,8738,6189,-187604,-68933,2030,5110,-3179,32248,1237,1765,-14147,-70997,-9191,-23780,-11138,-3450,-4444,-3412,1131973,-27178,34208,-4824,33938,10797,36810,14326,109119,-47569,-14235,-27643,-11624,-6034,-3881,-3737,difficult
887418,265295,22901,13446,11204,15595,13670,8786,38452,-85041,-16925,45036,80026,61674,1534,28426,-679190,-255396,-7411,-5862,10874,91976,31252,22625,-409604,-252677,-14146,-8620,-3930,397,4054,-4338,11766,3141,7437,-5045,8317,26668,11753,10699,easy
365521,135971,19352,18718,21009,25806,22612,23144,-320572,-114179,-6401,-3888,16141,1150,12025,16299,-280146,-106711,-12673,-15805,-17468,-8568,-10763,-14344,-171443,5408,46862,21417,14229,19017,15791,4822,724063,-35550,-12055,-7180,-14999,1234,-10900,-14666,difficult
145682,41600,5465,3669,2470,5864,5335,2017,442939,12560,8390,8260,6180,7173,790,5552,-29492,20590,36457,33345,53355,27769,41390,23721,85848,-5171,-3871,-1849,3470,14090,4942,5884,266369,79124,20641,1682,35500,57938,20816,36291,easy
