delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
118219,38334,11651,6659,7769,5291,212900,93387,22795,11691,12609,10659,-6742,-30634,4443,3694,-377,1363,-179719,-76329,-18039,-8150,-8069,-9032,-97581,-58197,-19835,-10641,-6073,-8434,easy
569668,330552,85073,26636,18158,11852,858279,240123,41768,24658,18168,16049,94440,164538,51499,33048,10956,-8858,-221178,330581,117793,-4378,5350,10838,-739096,-223831,-39378,-22735,-16337,-14570,difficult
58566,100437,17744,15049,10270,7163,128161,56052,23799,8001,9915,8674,7429,179735,17959,17761,1778,1882,-93925,-18609,-18149,1744,6768,-103,-122289,-27971,-17976,1640,-7480,-6312,easy
179545,76381,16545,10494,2649,5173,864882,74060,29230,22627,20035,15110,-634088,-36603,-27524,-19006,-18944,-13022,-680757,-36418,-21138,-17233,-18287,-13275,-741166,79984,10608,-161,-14927,-3514,difficult
889286,229506,22953,26973,14110,9387,800640,177063,73377,13965,26206,12903,-125015,-62925,-65488,33213,-8345,-52,976700,330983,-29900,17431,-5278,1212,-585748,-110730,-55883,-11621,-22666,-11709,easy
147584,21450,5841,10040,4651,4406,226067,12296,8596,6443,5593,6702,-217733,-9134,-4208,5109,-792,573,-9945,14041,1773,10334,1846,-3604,-7772,22555,-5830,-4651,-3881,-3858,difficult
759782,168692,28854,10860,11261,5560,156050,18875,22341,9135,5919,4295,437840,47418,15019,1320,6137,2951,1228031,335256,241,-2293,8426,1377,145326,66777,4278,6148,1463,-532,easy
107552,86981,21506,8403,5040,4568,252879,36233,18422,6570,8218,4675,-148885,110310,38385,16564,-2361,3769,-124834,1496,-15773,-5428,-2154,-1235,-162263,40437,-13361,-5636,-5018,-2855,difficult
968524,93293,35307,29404,7488,6383,662479,130782,28987,15587,23966,16646,177260,-46839,3228,-2661,-10180,-10468,-545097,-88142,-26710,-2494,-21341,-14670,1285972,22514,42443,46605,-17914,-5650,easy
319115,155729,12939,8861,27989,8778,93853,44962,21330,14417,6918,8094,-36827,-27293,-11494,-4405,3020,-5749,164166,224528,-9964,-10249,1238,4752,548446,135065,-3715,-2014,58955,3048,difficult
1065332,154844,9079,13391,13790,14611,335090,81149,15320,17910,16812,28149,559586,22309,-9702,-9777,-3878,-20082,1002753,-27600,-7815,-16868,-11358,-18386,628388,226376,-1207,13089,6169,-2146,easy
1198879,100188,13714,8431,7355,7654,231294,60796,13096,10322,17791,9798,3026242,64148,11190,9904,-11057,7618,-91427,-46181,-8536,-6714,-12364,-8165,-32059,100208,-800,-8863,-7887,-5885,difficult
174932,45797,8416,8911,2672,3409,492672,98103,25630,19279,15955,13105,-257937,3606,-8136,1752,-13419,-5928,-332252,-80975,-24695,-17605,-14746,-12335,-363031,-79548,-18810,-15252,-11685,-10826,easy
212122,60491,14519,12143,10461,4873,171937,24097,6421,7341,4432,4097,137951,32485,7626,-2321,-1498,-2441,-84827,18250,-4687,-5322,-1698,-2583,67431,58447,21356,22049,21284,7352,difficult
75261,22141,2227,5648,3911,5325,100046,38567,5244,6748,3725,3552,49457,-25190,-4082,-3444,-2178,-40,-48097,-28467,-2106,-5117,-1935,-1057,-75714,4379,-2864,5261,4671,6416,easy
362941,45299,13279,7871,6311,3868,295074,52475,10400,8808,10341,6893,-58248,-36718,-4491,-6871,-9152,-5859,486464,-21102,1750,-5922,-7020,-4224,-224615,36291,11378,9982,4082,1009,difficult
108278,26924,18863,13239,8785,6351,180140,65910,23995,17014,11162,8622,-144869,-56248,18010,-8794,-1256,646,93234,-10559,-9908,-13835,-6267,-5714,-163951,-50151,-23497,11303,391,-1746,easy
405958,96752,15934,14296,11479,5388,93960,31843,8323,6333,2077,2264,334087,84384,-2613,1137,4322,1845,535557,72838,17565,13754,18667,3850,66350,37504,7882,8997,5216,3677,difficult
175936,63792,3969,6782,6518,2738,38483,14985,5723,7111,3060,6944,35794,47502,-3987,-3815,-571,-4743,222733,31116,-3482,-1653,-606,-4833,153831,67803,2207,4481,11550,-3042,easy
363710,47157,16362,15108,10118,8358,34630,29344,7631,13334,6444,8672,151632,-5462,-170,-10889,-3863,-7417,641840,57209,25212,12900,9981,12155,193768,1693,1152,3310,4905,-5681,difficult
1463860,83414,11974,5693,36676,28508,288068,91099,17017,46278,13118,13880,1653459,31652,-4806,-45488,5987,18598,397133,-47919,155,-40838,-4384,-7043,1476784,-6787,-10479,-35430,69070,32329,easy
198846,45493,8320,10230,2464,2462,766097,83240,50553,12258,12546,12559,-552981,27917,-40757,-9561,-6166,-9311,-425087,-74856,-38997,-5976,-12132,-11488,-723684,-66301,-46946,9454,-11948,-9493,difficult
1446831,283794,73559,51919,78297,53704,445345,108545,36632,22285,23012,10848,1193166,-40551,46488,22091,17839,7068,1334409,-44454,-36317,874,58678,44093,476884,610751,100610,65937,89339,77407,easy
272454,35869,7632,6403,10063,4350,75531,18471,16416,3720,2950,3327,80374,-12818,-14341,3477,-1489,-1954,475474,64113,935,6516,22974,7567,34921,899,-12945,-1943,-145,-2544,difficult
295906,60120,17417,11052,12071,3283,267125,53607,13121,11907,24161,9658,113078,-31654,5561,-9229,-20453,-8433,-91323,-31539,-6032,-2783,-17678,-7582,64589,82732,13359,9446,1862,-3111,easy
1272081,29716,8555,7963,5588,10135,1213135,141815,20861,8761,15760,14269,-422551,-130787,-14806,-2479,-11857,-6380,281211,-129808,-5232,-7429,-10939,-11255,318178,-75703,-16879,7515,-7719,5232,difficult
87713,43964,18994,4850,4813,3061,648314,82367,16562,18904,17874,14014,-553210,-44493,-2325,-15169,-16463,-11936,-610286,-57453,5266,-16771,-12887,-11289,-518308,-13264,4356,-10222,-9833,-9633,easy
262905,122528,23360,18547,9861,11430,151530,90285,4734,9777,29554,9086,-85680,-73270,7767,2035,-20408,3556,355671,147735,21198,27340,-10787,4794,64135,22264,26913,-3064,-27885,-1317,difficult
1081305,127590,24146,19012,10362,14542,750411,246148,34274,36939,7334,9098,792474,-85362,8810,1866,1263,16775,475363,-178614,-24112,-29867,8694,-4979,-275155,-91698,-15081,-25781,-873,4535,easy
621577,104105,17043,12331,16013,16001,638853,105548,41863,5206,14117,10304,58725,-10848,-24883,14286,10421,9132,79583,-41565,-29673,2442,-8456,10104,-190135,48084,-19903,4646,3722,-2144,difficult
1660478,240381,25324,16272,15297,21462,165161,49553,10127,10594,11547,3480,1332469,389395,5608,3527,6592,16819,639860,185682,14169,11854,8314,14835,2513621,-2594,25815,1654,-3657,22293,easy
836008,170397,18824,38655,16930,10276,181974,52435,7582,7060,6342,8716,560577,-38896,-6450,262,-4915,-5756,1354274,-1230,32385,91943,11315,5749,47251,394011,7790,2579,25363,4687,difficult
281649,107623,4441,5696,4865,4453,50767,19991,4945,10704,4609,8063,63200,21703,-274,-8114,-1240,-4571,384227,199647,910,116,-149,-3685,245219,41547,-2147,-7025,2156,-2574,easy
840042,46037,13007,21646,3525,7441,1426420,121573,26355,33910,32169,19551,267365,-79201,1761,9156,-28821,-10153,-1352517,-83521,-17947,-14579,-26936,-8924,-673983,-63885,-23858,-31370,-30176,-17253,difficult
1220920,142923,15858,13361,21566,10828,773032,84077,12553,31198,23082,21026,118207,-283,-8517,-24922,-3229,-8537,1595965,129145,-11149,-22367,-2954,-8122,-370509,47675,29580,-6222,1634,-13934,easy
696573,101737,8137,11276,13175,7476,268422,64827,11367,8968,4981,2552,793878,137161,-2676,4091,5967,11119,-218589,-57337,-7963,-5854,-780,726,709165,30907,948,8688,19396,2927,difficult
203283,22276,8306,4374,3115,1947,64859,26007,4229,3495,3176,4079,255989,18065,15511,2811,-865,-2348,94464,-17455,-1099,1458,949,-1524,64818,-11802,-2180,-1633,-266,-2525,easy
1305568,61179,46447,26927,28134,21846,639989,88010,10765,17499,20915,11647,138391,-75874,11673,-7901,-12275,15671,1065771,-749,6853,40423,27126,14055,792575,-3870,88520,-4237,6805,872,difficult
377210,137761,8719,6970,9806,13334,833546,388894,47484,36500,12513,35582,-690377,-261711,-36125,-33694,-8945,-24968,-63976,-269743,-36560,-25125,4590,-12836,-614654,-221945,-43610,-29772,-3766,-28941,easy
971902,84967,50341,26893,15546,55176,516615,109116,3084,10841,15784,13011,683613,-63615,14974,-9632,-12272,-5744,166808,-16058,55365,10612,-1655,4845,515441,7226,71432,47176,13212,127393,difficult
504085,30526,6655,13998,11355,6789,227873,30600,6170,5994,4468,4211,1029020,-16678,4260,10625,4502,3032,-97725,-5656,-4933,-3949,-2543,-2526,-102658,22111,2127,17337,18703,7227,easy
602563,502400,32837,12365,62659,49083,1174262,124914,32716,46155,13165,35550,-965973,-85026,-28670,-33452,-1459,-27269,-649613,-42619,-23232,-40282,-3207,-24155,-99510,1260104,52264,-27635,153147,92024,difficult
695578,107560,24235,18319,13227,11940,327586,32790,59095,20386,8502,18068,11856,1806,-28581,7645,12639,2790,1328733,230753,-26369,1233,8550,-7512,-236612,-8250,-49631,-15080,-7014,-13662,easy
