delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,state
27719,9070,2539,5834,22470,-3635,1307,-3816,-21938,-6424,-2360,-5072,-24869,-3380,2168,8038,-9146,-2094,-188,-3696,-25252,-1256,-654,-1824,easy
76421,39733,7980,4144,-70187,-34231,-2832,1016,-5999,-37544,-5156,-2341,211151,-16693,-6237,-620,150637,-29495,-4905,-1919,-64022,-35616,-5525,-2731,difficult
1081950,78254,15488,16291,-839661,-28037,-14568,-5385,-1065862,-62414,-6747,-13377,-1072544,-71293,-11579,-14507,-926001,-43994,-6615,-15757,-974955,-13758,-13611,-10713,easy
510882,38306,20290,18754,15281,-18037,10781,-10788,-446612,-22796,-19972,-13013,-97038,31879,-9788,35891,-384476,195487,41627,-1573,552277,2710,-17881,-9165,difficult
195424,31403,6509,7450,20296,27140,12110,5604,-187049,-20392,-2163,1756,-43193,-16875,-1524,-3700,-185206,-25195,-5757,-5597,458365,648973,57102,9617,easy
141199,48206,5561,4149,168350,-18548,1398,68,-38590,-33709,-373,5261,-86278,-22987,-2482,-1478,423274,23237,-3694,370,503156,113056,38491,2997,difficult
1195079,155819,35979,49601,-934411,-124646,-32051,-41705,-1156117,-130095,-16432,-36256,-1110645,-148346,-34993,-48232,-1085963,-143703,-34084,-48769,-1189496,-151591,-31853,-45730,easy
37556,39554,8909,14800,285949,33774,-1956,-8847,280113,86680,24033,19563,-34136,-27732,-7494,1585,-16194,-23144,-207,-11750,371006,-4059,-5722,-12845,difficult
321563,36809,19523,20964,-300829,-25410,-17300,-19671,-161824,36084,-13195,-15110,93131,43026,-17680,-14149,-309664,-31379,-18064,-18236,-17927,97563,40186,-12940,easy
104306,32926,24463,16395,-8533,-21500,-20374,-13751,112951,-23770,-16002,-10444,206329,-23294,-22200,-12327,-64592,-13107,-9704,-12899,-96578,20329,-21640,-6420,difficult
584924,72307,15767,22963,-370132,8275,-9182,-16857,-566820,-64770,-10793,-16693,-575238,-64164,-3720,-17632,-552133,-62653,-8587,-5899,-476165,-21499,-8436,-16912,easy
