delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
726843,65446,5453,15353,11072,6862,3150,3408,-388057,25694,13327,-7746,-9112,-4772,-740,-1891,-433652,-33279,23335,9890,-6628,-2340,-1172,-1957,-294763,31024,16741,-5067,-4226,-1642,-1955,-653,-717821,-62790,-839,-10736,-9979,-1575,-89,-1625,-525619,-44978,-3024,-10322,-8029,-3627,-2178,-1065,-45595,138889,-423058,192202,-58973,64303,-93814,17812,10008,-6594,-17580,-2185,17636,-14957,-5669,414,2484,2402,-5753,1950,2432,698,67,-2052,-432,-783,1866,-2089,-66,1304,-972,560,easy
1053756,137609,193493,72428,64750,39281,15412,8456,-947936,-88545,-132445,-63834,-58406,-33570,-11911,-7336,96231,-116836,-181114,-67921,-57356,-37017,-12723,-6586,-526082,298953,-136240,-51090,-12296,-19659,-12028,-2197,-1021467,-87842,-172688,-68680,-61438,-34786,-11347,-7232,-895061,-62216,-187702,-71090,-60689,-34852,-12488,-5769,1044167,-622313,-495385,126406,-28291,415789,-386795,25626,-48669,44874,-36448,-15014,-4087,16831,-17590,-2410,1050,45060,-49142,749,-3447,17358,-15127,-66,-812,695,681,-1141,750,4389,-5035,1463,difficult
569862,145379,25990,19672,15963,12632,7880,5559,-494460,-119778,-25256,-16209,-12387,-8977,-4277,-4999,-508996,-121638,-22406,-10884,-12315,-6746,-4884,-4300,127313,259088,89068,10170,406,17446,-2474,3825,-511602,-117372,-24918,-10246,-10375,-5759,-5612,-4066,-246946,-95809,9364,-12805,-8339,-5222,-4034,-4410,-14536,636309,-638915,264656,-1860,380726,-376460,21563,2850,111474,-113986,34282,5325,21054,-20416,-2559,72,12721,-10781,2036,2231,24192,-23205,537,-607,2410,-3138,1578,699,8125,-7891,-344,easy
1050996,223135,117977,130581,45403,21364,11219,19976,311869,-1500,-86742,-108920,-34302,-13778,-7374,-13483,-829054,-142473,-102782,-113713,-42130,-16172,-5822,-16934,230877,-144592,-34929,-104655,-19842,-14969,-5618,-18179,-775174,-169679,-116826,-124718,-41874,-14719,-6073,-16119,-970344,-189959,-109116,-125700,-44321,-18576,-10239,-19452,-1140923,1059931,-1006051,-195170,-140973,-2119,-25087,-20280,-16040,67853,-81897,7710,-4793,9058,-20063,-982,-7828,22288,-22032,-2447,-2394,1203,250,-3857,1552,204,-455,-4166,-3451,-1245,2060,-3333,difficult
694714,167714,7335,24494,13199,18519,9230,10981,-491533,-38469,11565,-9834,3394,-15339,-4582,-4211,-541904,-146195,-2932,-22623,-10737,-10765,-4314,-4222,482713,-78153,11880,-21834,-7890,-4115,-1559,-4977,-25759,-137345,3106,-17488,-10160,-16037,-8385,-9381,-678913,-150419,682,-8528,-3239,-452,-938,23700,-50371,1024617,-508472,-653154,-107726,68042,-59192,-13074,-14497,14812,-8774,-2424,-12789,789,4346,8960,-14131,2847,-2270,6921,4574,6650,-11922,15585,268,2755,-6826,7447,-11,-755,-4404,33081,easy
596897,43626,17490,14664,9333,13875,6545,3132,884233,53465,-4802,-4524,-4336,-7766,-4233,1658,-407376,-16045,-14967,-11416,-8157,-12897,-5631,-2671,300289,18424,-15592,-4970,-3384,-9160,-3156,-1130,1171076,48486,9744,691,-3574,-2879,-3707,-1772,-534273,-25415,-14651,-13275,-8541,-13165,-5821,-2552,-1291609,707665,870787,-1705349,-69510,34469,30062,-73901,-10165,-625,25336,-24395,-6892,6446,5661,-13966,-3821,4773,-190,-4967,-5131,3737,6281,-10286,-1398,2475,-551,-2114,-4329,1541,-642,-780,difficult
840679,58200,48484,10577,4113,4364,2879,2764,-700807,70293,-41423,47,1311,13484,638,1629,-206610,11578,-47036,-4556,-903,4616,2808,-484,-718975,41016,-36558,3410,6226,37558,10849,16684,-104290,94488,-12469,13959,8181,12074,22493,13290,-796091,-36003,-47018,-9667,-2618,-3369,-2688,-1889,494197,-512365,614685,-691801,-58715,29438,53472,-130491,-5613,10478,24089,-34549,-4603,7966,10549,-23626,-2214,7129,1955,-10799,-8868,32942,-25484,-15443,2170,8041,11644,-25181,-2113,17168,-3394,-15179,easy
796919,166793,37670,9747,7602,9302,4170,7315,2267660,721,21093,10730,13180,3345,3342,1759,-774455,-105924,-32076,-1725,-2191,-3570,-2515,-3663,-209010,71953,-3085,7188,9114,13951,4271,-2674,-764731,-152461,-35640,-5825,-5244,-7803,-3542,-6843,-266611,308569,360781,128026,46078,60696,22490,21000,-3042115,565445,-555721,498120,-106645,177877,-224414,461030,-53169,28991,-32555,396421,-12455,8913,-13013,133851,-15371,11305,-14358,51322,-6915,17521,-21754,68499,-5857,6786,-7813,26032,-5422,989,-4169,27843,difficult
294770,151461,38772,21464,10247,15902,6126,6075,-211433,-148752,-38649,-21228,-9279,-13199,-4861,-5496,-280770,-135141,-36922,-13529,1776,-7244,1184,30088,-206083,-135743,-38135,-20780,-7080,-11408,-4460,-3604,-288537,-146511,-35671,-17580,-3196,-3066,7889,714,-206430,-144416,-38062,-19910,-9608,-14883,-5393,-5344,-69337,74687,-82454,82107,13611,-602,-10768,2095,1727,-1213,2464,-2391,7699,-7251,3200,-2330,11055,-8856,3884,-6412,5955,-4164,8342,-11817,6045,-5644,12349,-13282,35584,-33692,4318,-6058,easy
569293,267849,30774,28516,17548,14677,9201,7564,879495,-54901,-11972,-9988,-10830,-6033,-6130,-4674,-273218,-209066,-18867,-21563,-13779,-9565,-5426,-5096,-478968,-207374,-14924,-21544,-13295,-7896,-6996,-5302,-480252,-259705,-25209,-25206,-15790,-12953,-8452,-6798,-407339,-250625,-24087,-27851,-13480,-12271,-8353,-6803,-1152713,-205750,-1284,72913,-154165,1692,-52331,9080,-6895,3943,-10285,1122,-11575,19,-3662,-2645,-2949,484,-2495,2310,-3532,1669,-5057,682,704,-1570,-1456,99,-422,-206,-1496,-5,difficult
