delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
58014,37288,8328,3830,3780,8966,4626,3606,1093693,20221,2700,19742,10409,13083,2800,1099,-19777,35476,4148,27279,1998,245,241,-313,-48482,-3054,19898,28989,5598,4261,1197,-898,easy
56989,21109,2990,3260,3192,5355,2005,1426,578055,315676,41901,33089,21647,1896,2636,415,-50594,-8674,1614,2157,5966,1409,2414,6874,-3431,95926,31685,25431,13423,6344,4941,7228,difficult
140259,19129,3622,2411,5327,4392,4598,2535,1821246,155821,7796,13116,-251,4238,318,-775,232901,7609,-1624,-737,3485,-1820,-845,258,-105276,3558,462,3522,1213,11977,10882,4870,easy
306062,38137,18469,3085,3624,3750,2563,1272,-226083,24285,-10374,5619,3588,3847,4373,4408,-135207,-10111,-13020,-1920,1556,1414,-243,1698,-208948,-30993,-16302,-1864,-2871,-2761,-1993,-767,difficult
314756,25651,17374,13015,7359,10260,4861,4294,-162075,-12819,-14503,-11008,-6407,-8931,-4206,-3985,-251089,27368,13929,-3875,13015,4934,-73,4573,-214875,-21959,-16365,-12205,-7119,-9615,-4076,-3887,easy
75907,13250,4166,2977,3942,2582,1412,1906,792265,226068,-244,5987,6663,2768,4353,1831,-63604,-9383,62,-931,-122,6349,5934,-475,-61498,45700,4180,7111,9139,5642,11884,5535,difficult
118241,26265,5762,5827,4810,2677,2156,949,-115672,-20485,-4318,-4982,-3809,-55,-782,619,611293,34327,-127,-253,-340,2240,-1787,-209,240807,166389,34286,6013,23893,8033,8830,4659,easy
82418,34168,6694,4800,8355,4126,2519,2131,-53726,-18237,10130,1784,930,8983,1819,1157,26236,83569,5119,17772,-4135,3997,1775,1249,5791,-26364,-4268,-3803,-7259,-3709,-2246,-2030,difficult
58542,39330,5488,3366,3080,7431,5797,2585,132491,-25999,6434,-279,-1650,-4734,-3463,-2135,266203,76005,35846,56183,63660,7697,8696,7393,32622,-20221,910,19762,-2142,-4902,-4911,-1483,easy
1180182,118743,18322,18470,14047,6860,2825,2966,-1025977,-87701,11035,23775,999,7717,390,-1377,-1109212,-84814,1050,95314,-3917,-116,438,-1528,-846331,-56918,17411,-14667,-7578,-4227,-2448,-1758,difficult
330344,52003,3834,3072,5321,4567,2621,2885,-318430,9523,30813,6900,10833,1836,5190,344,-296734,-44034,1485,3642,7429,2295,1759,109,-212926,-30579,-2872,-2651,-4986,-3582,-2393,-2617,easy
370247,29393,8325,8296,6673,12339,2629,1587,-362875,-23229,-7485,-6477,-4191,-10622,-1300,-567,-156026,2832,1232,-4395,-1836,-9058,-1239,-182,-357623,-15601,-7362,-7252,-4345,-10648,-1249,-779,difficult
808354,80331,45261,18613,34338,26036,20755,21242,-526492,15316,-41554,-7619,-30641,-22110,-18260,-19973,117077,82695,-31504,-11410,-9716,-13321,-11793,-15087,-768636,-48083,-43079,-4000,-29852,-18982,-13554,-15355,easy
165807,34717,6046,6959,5990,3610,2480,1772,-145135,-27544,-3115,-5260,-3428,-2462,-2120,-1352,-89511,1227,9179,22735,11025,3856,201,1597,-133983,-22549,-3385,-336,-2886,-765,-1678,-1509,difficult
86493,40084,6130,4176,1403,2933,1495,854,210192,-1404,-3796,-880,3397,154,-380,57,6097,-37806,-3741,-3388,150,-2169,-758,-439,-59968,-38256,-3381,-2950,172,5370,849,822,easy
143507,26026,1461,4385,2618,3215,1241,1280,162697,-3427,5769,-556,-364,-1978,-177,-179,-88055,-14106,1669,-3792,112,-455,341,74,-63976,-13572,-216,119,-682,-1307,-215,-921,difficult
49570,5140,1269,3525,2876,6671,6900,2228,-47419,-1335,84,-3078,-2285,-5560,-6546,-941,-31695,1985,1973,-762,-733,-5064,-1806,-1167,-2087,-2882,-1180,-3204,-2253,-5910,-6682,-1956,easy
86731,28851,6261,5808,2736,2642,1153,873,-72533,-1722,1924,-2355,9788,2726,7026,3364,-83327,-26908,-5818,-2943,-1343,-1232,-129,443,60922,-9261,-5017,-4916,-781,-1824,-858,-622,difficult
162572,17515,10198,4790,3783,9640,4291,2792,-94528,-13020,-7941,-2883,-2327,-8531,-3486,-2386,-67012,68536,-277,9930,13707,6226,134,11321,-32618,-3784,-3176,-1258,-352,-3927,-2325,700,easy
26311,18904,3474,2063,2034,2856,1975,1511,26667,16835,4213,-344,400,-570,59,-744,-20694,536,-2231,5090,711,9478,1317,1754,-2765,16940,-959,-450,-170,268,-1129,39,difficult
757150,173916,35994,20572,15298,13795,4867,4052,-511810,-108601,-30464,-13092,-11468,-11506,-3217,-3233,-642572,-140479,-30816,-19258,-14568,-13042,-4701,-3854,-706678,-155823,-28065,-19123,-10455,3898,-2212,-832,easy
137576,36209,4999,3418,2223,1467,864,879,-26107,-17645,-3174,-1908,345,1734,2316,979,-129994,-32816,-3152,-1489,-294,941,1173,589,-132101,-25290,-1962,305,9692,7675,5613,4752,difficult
343029,35029,23635,12064,18705,11050,2556,880,-313859,-18707,-15190,-4179,-12939,-6704,-1503,-600,596196,205200,-2945,-5698,-8381,-4265,-977,3052,527667,64054,-10444,5921,-9328,-2095,417,1032,easy
44400,35228,19255,7319,4665,4513,4479,3026,10708,7237,-14448,-2701,-2011,-3002,-3692,-2392,35179,-25868,-18316,-7011,-3648,-4132,-4157,-2461,35235,-11395,-13217,-4679,-2188,-3337,-3620,-1968,difficult
