delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
194568,69414,34513,6642,5780,4554,3999,2004,701787,212078,25657,19990,13817,10827,6453,4796,-583042,-105044,-13167,-9232,-8764,-4179,-4576,-3847,-300841,-129359,63605,-14583,-3955,-4560,2870,-391,-637774,-193589,-23869,-16229,-11392,-10080,-5656,-4137,easy
90456,49536,9507,1426,3018,5625,9087,5103,1506708,174393,105744,40690,28567,16013,8650,2328,-1376102,-163809,-98751,-39607,-27263,-14765,-8227,-1873,-1483147,-105323,-96760,-39108,-24330,-11889,-4548,-1356,-1389508,-105438,-93201,-39077,-25053,-4509,14085,11554,difficult
72835,42558,8817,1780,3018,3465,1163,795,561043,162382,29132,17553,8371,8224,4677,2749,-427284,-106960,-18401,-14770,-5937,-2644,-2694,-2192,-528923,-158997,-27780,-16148,-7185,-7497,-4317,-2289,-508417,-93515,-14764,-16402,-2938,-4137,-3532,-1382,easy
577551,56813,12806,6696,10753,9639,7312,3563,191237,38793,5896,6590,6164,3806,2386,2877,-118837,68290,18687,830,17443,18039,13794,4531,1391050,-8250,1376,-907,326,791,-693,-1107,-113271,-5980,666,394,-4002,-1332,1676,-1367,difficult
468045,48343,12558,5801,5731,2320,1528,867,799141,105000,38473,32522,11235,5181,4589,883,-618643,4832,-20653,-24376,-8139,-4068,-2557,-229,-637456,-82207,-34241,-30194,-3440,-2986,-2630,103,262810,-92596,-22852,-25592,-4932,-1530,-3996,79,easy
146478,46512,16622,5392,7938,17713,25587,9892,141125,52696,7889,8033,8201,5683,3023,2464,82965,15521,17270,-1045,7152,32925,49132,16478,-102690,-29142,-2482,-4738,-5180,3306,12598,3338,35785,-4930,11411,-2140,-2761,-140,5961,2468,difficult
287294,25463,2481,5583,5786,4283,3373,1091,777291,145780,25792,19138,9092,5729,7727,4274,-65716,-124616,-24243,-16010,-3257,-3979,-4868,-3140,-665202,-96218,-21672,-5856,2252,4868,-891,-2353,-739072,-140117,-24019,-18800,-8914,-5228,-7303,-4055,easy
132909,257636,61150,21142,27837,19272,17834,13067,73414,41902,9205,10583,5369,8026,4748,4895,-61839,-33017,-3553,-5658,11603,20854,19169,9496,124634,643538,165661,35083,57842,10015,19088,15969,115689,36682,-6272,2251,-2041,2869,1000,-950,difficult
57536,40517,6373,4234,3413,3684,3352,2277,391152,134843,24048,29439,16673,8052,5503,5142,-295087,-122337,-20126,-24320,-11787,-6632,-3392,-4674,-348778,-108809,-12812,-25417,-13700,-451,1571,-51,-356984,-51833,-20087,-25878,-14292,-6020,-4633,-3869,easy
756820,21456,15159,9108,4409,10142,5287,4429,1032363,76953,34312,20117,8349,16011,6999,4734,-1022330,-72708,-32424,-11642,-4383,-8892,-3069,-2266,-357885,-51772,-23880,-17858,-4190,-10654,-3851,-2601,553585,-42011,-1155,-3526,-3246,1940,1784,3953,difficult
47690,15733,9174,3319,2446,3748,3109,793,77998,27303,10556,3431,3471,4507,1404,1546,-27798,-21645,-2286,1444,-900,-1415,2503,-1115,5357,-9003,6403,-1216,278,-2405,1112,-552,-68483,-4062,-8264,-564,-2453,1542,1500,-593,easy
306488,49232,17164,14285,4099,7681,9742,8400,1296140,49404,10795,19590,11829,7177,3143,3393,-1222612,-14068,-2585,-5727,-6819,-4579,-2160,-1035,-1237619,-36435,-8928,-19086,-10706,-6283,-1839,-2507,-508725,49986,30619,8899,-5665,12373,23797,18564,difficult
106422,36652,15414,3462,2593,2581,2123,1250,274734,65747,31312,9717,9652,13138,13587,7889,-244233,-46844,-26448,-8339,-8757,-12165,-12776,-7449,-56732,-19668,-19767,-3256,-5250,-9823,-9770,-5840,-203971,-20773,-1478,-7169,-7171,-9683,-11845,-6629,easy
463222,46514,21649,11397,10850,9080,9237,7632,519790,195549,14575,37017,25260,18584,21039,7802,-415754,-118891,6263,-29192,-8533,-8099,-6233,-1698,45572,-166199,-5199,-26410,-19534,-11036,-11194,3217,200477,-162014,20159,-21259,-15163,-9377,-17979,-2030,difficult
729644,240937,28262,24834,15256,9807,7499,4158,101798,15783,8671,2405,4619,3944,2388,1252,842981,86933,21166,10521,3060,1331,-411,377,1097498,555017,41190,57518,28974,15496,16205,7914,-56942,33511,-3584,-752,-123,761,-461,428,easy
797255,276050,23734,35542,21800,21249,5884,4412,929855,70598,43980,6886,11026,10682,3065,3545,263103,177189,-34144,19512,2695,7004,1678,1292,48774,4486,-40279,4613,644,-6243,-1712,-1840,-709678,434680,13686,61844,28983,30940,8491,3149,difficult
