delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
34555,19340,38367,40656,28585,26645,276336,39587,7200,3578,4835,6267,-220114,-18504,40634,68499,14513,40880,-253323,-29279,15898,18656,30976,10266,-261402,-3862,23729,50392,27048,18849,-265855,-35046,49197,34249,34668,14811,-208212,-14542,26379,13594,11544,17084,easy
167417,33620,10656,6834,9514,22613,463840,60321,19100,10494,10357,25964,-434244,-52084,9938,-1286,4782,15538,-462394,-55015,-17514,-8030,-7912,-16697,327158,74257,-7701,-18,7886,-8481,-457309,-55554,-16912,-8387,-5159,-19050,-455326,-45108,-10033,-578,-3811,11936,difficult
75294,26156,14933,8684,11152,12991,157644,14748,9337,8915,8149,16259,59887,10975,9258,7579,4275,10719,-146869,15888,21439,4606,6490,-6168,-152536,-19,-6571,-4900,-4799,-7271,-65044,29411,-3889,-3764,-1174,-13112,-107187,783,7745,-4677,10221,-506,easy
123087,26291,5532,7993,11857,18073,374372,70071,17764,12198,16825,31576,48790,-36029,-11384,-10306,-12695,1579,-262568,-44539,-10387,773,17163,1977,-372233,-66607,-12237,-11406,-11628,-24080,-371420,-56023,-13575,1150,-5604,-20693,-298995,-15703,-13576,-1238,-12076,-26296,difficult
274340,28138,9355,11859,17141,11303,245916,33349,5607,2999,10335,34501,239146,-22605,10811,1552,-8178,-25431,-103807,-27990,-4215,2419,-10099,-33429,-150721,60549,9472,5331,29617,-15227,398349,-28215,860,1228,424,-25298,-240846,-7796,1813,33772,22266,-16603,easy
74167,28792,11672,4244,9302,24423,752925,98545,14212,5000,7349,45281,-723471,-72667,-9604,-234,7908,-10462,-696065,-21396,17210,-93,3892,-15923,-741117,-96243,-12765,-3137,-5103,-39612,-531611,-79619,-7960,3360,-1034,-22960,-701528,-78839,419,-3677,4101,-15331,difficult
312609,173018,102352,27582,34076,23798,424838,61634,8947,5627,4833,4240,-409458,-53825,-4987,-2770,8501,13425,-408285,-53374,-1389,1293,2318,12240,-414104,-3597,1952,5316,695,6550,-321722,517275,365737,78897,52926,41710,992426,150439,105710,27039,81776,23865,easy
116334,49002,18451,9962,8060,18348,52433,14891,7865,6761,10083,13618,425358,40261,-4941,6834,-2387,15126,4275,127705,20210,-1992,-4289,5027,-43904,7925,-3022,6742,6652,2550,-23319,398,19,-1414,-3387,-2340,-42906,-5733,40664,5837,-6706,3289,difficult
141704,38338,19722,8760,12950,15691,20281,19045,12213,6725,7399,27759,308206,47788,31537,14723,21109,11977,6701,31856,-8247,-3322,-612,-24851,-14947,-12655,-11303,-4194,-3044,-15766,-3966,-13014,2707,448,9641,-19113,311119,42488,22851,2519,660,-12588,easy
129620,33941,11491,37490,17816,22885,49795,17578,25462,23583,21603,39867,15330,5336,-9779,29021,-16555,8038,-32439,-3851,-14874,28814,4544,-13400,-47225,-14054,-23963,-17684,-17986,-34317,445432,18905,-12272,16496,-834,-25126,18029,75477,-8966,12889,11898,-20107,difficult
206493,32891,16268,33563,14973,30396,758075,90107,38837,16541,15594,44144,-685571,-74602,-22944,52081,4206,-30101,-749862,-83240,-32552,-6950,-9353,-38437,-683884,-69180,-30143,36125,10339,-2651,-601903,-45939,-35581,10195,-2100,-6738,-36691,-13119,8375,-6341,-6196,9189,easy
9929,20063,16080,46069,13392,18983,35908,10483,18782,7527,11365,23232,-30281,-3352,-3504,12576,6908,-6040,-32931,27833,-11520,124091,7921,13008,-31844,-3429,-9286,8155,802,-6163,-19476,24401,29127,52848,3129,-2799,-15362,2447,-18326,-4958,-8625,-19252,difficult
107067,25563,5835,10961,6326,12254,142189,64763,10841,13962,10639,28888,316361,-43364,-3127,-89,-6541,-20660,-139719,-58448,-6026,10167,-2310,-3055,-118058,-35175,-4724,-8461,-4619,-17145,-135021,-33799,-4814,-4145,-734,-19653,-99171,-25213,-6338,-12475,-7361,-22655,easy
