delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,state
385383,48716,19231,6919,-324672,-43512,-16597,-4570,-122517,-40715,-17155,4539,-380534,-38972,-17281,-1115,-371231,-24746,-11517,3287,easy
434133,76758,18989,20670,-345565,-62051,-13570,-1363,-391493,-61232,-14848,-15311,472957,40874,18126,5754,221225,-22990,12612,-7757,difficult
127674,59678,5223,4073,-91961,-41165,1657,-2930,-109455,-48160,-1300,237,-88907,-26199,31181,16800,-121962,-45138,721,-1827,easy
379839,70437,9265,11165,1014519,154667,15902,-563,-150191,-50777,-4112,-5076,1846298,105842,31314,14226,-321539,-37046,6844,-2,difficult
523942,121596,23438,18845,555499,77142,19225,3096,639092,15262,20961,15884,352158,-25753,46585,-1006,1255810,-63467,102167,-10313,easy
62962,14061,17916,6294,-35472,26242,-10451,-3678,-44646,-7312,2514,4514,-20630,7473,-16090,-4474,-48597,6949,-9471,14309,difficult
84563,88560,12590,7207,217346,164375,8077,30665,158045,-48405,-7996,-2372,34106,-75621,-8334,-2059,733516,-49189,3374,1433,easy
683104,236979,37128,15872,220789,-148176,-551,50566,505033,-97556,7365,235,-498842,-159436,-35539,-2526,-613098,-216561,-34781,-11303,difficult
574273,65510,27391,19422,702962,26484,21141,8343,722244,36055,-552,-8012,-51125,-63121,-27188,-16461,297493,181374,-25880,-16564,easy
92179,82453,19027,6755,251166,-48251,9197,-897,1726116,-26872,-6328,16104,-60248,-65297,-12873,-2947,-86749,-65461,-8219,682,difficult
120861,103397,26823,23569,-31426,-60819,-20900,-21553,-39249,-58123,-22063,-20779,634936,-85919,-16977,-20589,-15574,-48176,-12550,-9479,easy
984256,37976,11871,19864,-908612,70093,-4888,-16877,-823452,-27523,-11439,-18497,-970833,-23355,1000,-17347,-902368,4003,-10663,-19386,difficult
650534,232711,29137,16790,-267089,-152020,-17633,-7841,214960,-158479,-25539,-13769,-376981,-169519,-16749,-4384,357198,7883,-4194,-9917,easy
681295,178435,32177,8141,-621221,-168077,-29381,-5038,-608868,-165711,-22005,-6384,273981,-12245,-1911,15255,-653211,-143407,-24650,3619,difficult
717820,249934,69336,15656,1230787,331467,-38917,3627,-232706,-2415,-52198,27982,-231569,-221007,-62277,-13033,748883,-89,-48809,7501,easy
395566,30128,42014,14015,-319814,10593,-38531,-3758,581945,208776,-18768,115192,-308072,58440,-41626,12129,-316120,-4313,-38372,-6994,difficult
512395,207911,50680,32808,231783,-184242,-42697,-13658,-324342,-103686,-28738,-27596,-51833,402040,204,24615,-456382,10874,12891,-23391,easy
184340,54983,7711,23031,-53245,-29514,11853,-19355,289832,-25218,1280,-6331,281316,52616,2071,2261,-121913,-49847,-4982,-10277,difficult
599755,172670,48858,45544,-551694,-61640,-32495,-21938,-565133,-104126,-8178,-9954,-542336,-142991,-44655,-42546,1219227,360048,13486,-8864,easy
383908,134602,22840,12778,877692,52809,-14317,8650,1119048,-37784,-10181,-5102,119631,39532,-3041,-4397,155401,129817,-14330,-912,difficult
788604,168655,15461,9987,370020,20603,21681,37433,-241044,-153530,-13824,-7863,-732779,-149748,-8560,-9473,50804,-10283,14955,630,easy
340438,33074,7908,7251,-239905,10324,-1139,-5284,-30611,-1907,5389,-4709,-57504,22016,9207,-2972,-81591,14263,-3645,-3126,difficult
1176776,247224,25982,29558,510610,766200,-4542,29262,178443,-171169,-4544,-18850,-652602,2307,-6581,14516,-804815,-228178,4683,-18257,easy
61914,19435,4889,6372,45465,10879,27569,12704,21922,-9642,-1427,-3175,-56099,1702,8074,-67,-56964,-14403,2022,1759,difficult
306509,48967,11960,8550,590867,108420,-5672,48323,143125,20742,-4832,8268,-37074,9250,2171,5138,-270342,-35363,-7475,-6693,easy
979616,125388,46680,35955,301758,420179,104690,-11843,-314304,486,-42700,12135,443564,208794,165029,77847,-483552,-57726,-40813,7412,difficult
457517,167815,17308,8366,-373080,-103350,-12514,-5064,185673,-87000,1474,-3718,1843484,607055,310317,28281,378185,-5493,33629,6842,easy
231968,39245,2131,9216,48411,97873,33144,10046,561843,629678,127968,122634,-158946,15364,905,-618,94052,-23813,544,-3204,difficult
113741,55539,9652,4593,-14741,-35592,-4252,-4053,93342,-25319,-7079,2879,-54860,-47437,-7582,-1855,574600,124034,35886,36764,easy
642526,69286,35625,22089,-332403,147788,23204,15554,-260062,88641,28700,13863,1342572,-2788,-5184,-3345,-620307,27459,-19899,-5448,difficult
37388,20846,11418,7448,-33246,-14431,-9668,-3615,235141,-7206,-11087,-1175,444261,61956,21199,26330,83545,-5462,-10274,-1810,easy
332769,101712,33116,15616,-202732,-38522,-20397,-8238,-300579,-96962,-31641,-15406,-275813,-96700,-32394,-10941,-255658,-86713,-28106,-12077,difficult
155724,27312,6091,8494,-81351,24990,8238,6728,1973865,61174,13206,37969,1426872,68546,-4260,16366,-93591,40237,60479,12082,easy
365913,51775,19394,8740,-281956,-12035,-6847,-6237,-53887,171759,-16866,24378,-323964,-32493,-18186,-4931,-360951,-46359,-17376,-4584,difficult
