delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
93770,74741,7804,7247,22369,11411,7099,5220,11125,-50133,-980,-5605,-19564,-7394,-6307,-2991,-46628,-33185,30104,22913,56046,15282,-1710,-2510,87905,-44001,12517,89834,-14196,4442,-5015,-3913,-48863,-48695,-5339,6580,-17885,-6450,-6396,-4412,43828,53041,60892,-2338,-5665,19620,631,-2862,difficult
19044,14617,49881,119493,14110,8990,5040,2453,-4115,23737,50661,38825,-4193,6216,-1905,-1278,-4515,-671,-34209,106282,-11247,8717,-3743,174,-2458,-796,-39312,-52824,-7057,13688,496,156,-11896,-7477,-43672,-90959,-12729,-6114,-4440,-1456,883320,227671,15733,-87194,19046,26962,3476,4019,easy
16453,13888,44516,94720,13187,8590,2271,1576,-4914,-5189,-7485,158146,3148,4093,2622,-33,-10056,4302,39971,17039,-7379,3824,1079,148,7138,-2942,4837,77264,-1886,1723,288,-297,-8428,-1644,96103,-11718,11692,27877,-430,228,332184,16371,-21273,-82596,-6465,2085,489,3241,difficult
22527,22824,61192,66837,13861,12364,2333,2260,-4638,-5119,-32577,4835,-4319,1507,612,-859,3870,-6207,-36226,107605,4022,3067,244,1007,-15748,-11629,-34070,-6429,-5508,4403,618,748,-10298,-6641,-26889,-30218,-9504,4934,902,753,523390,114909,-60324,-60305,-4258,-8337,-627,-1766,easy
25251,13564,66734,82489,44928,13275,2698,2109,2150,5610,35120,38007,-40143,-740,-739,-67,-20254,7587,-21192,80302,-35228,4314,-378,256,-10767,7615,5155,-58635,-36540,-5578,-970,-601,61238,-4671,-65198,-72203,-39956,-10536,-374,-546,132000,16366,-38738,-65076,-39630,1118,6671,3686,difficult
215005,14735,23792,184011,10497,10311,2513,1412,-199423,-830,38368,-140449,-3029,8338,553,587,-199426,-7750,64121,-32329,2117,629,1070,748,-195892,5636,-15161,-82798,2169,3346,-535,-126,-196862,-1489,54672,-77112,17852,9476,105,-559,388237,-4080,-17270,-159274,1227,-6148,1503,193,easy
133416,25051,8519,33900,15643,4561,1713,1568,-99869,1678,51147,67847,-8051,4997,538,321,-127388,-3078,68052,38392,-9636,1294,-135,-887,-119383,-14780,10682,63463,-10339,2356,2848,-19,-125808,-6134,59601,109756,-3889,5868,936,1390,-108830,6556,45339,53719,-12760,16119,131,-468,difficult
320872,145558,22657,35236,9665,15099,2939,3756,716617,-45002,22928,-23684,9755,-8938,-182,-2474,390788,-77524,-13183,-9786,-7200,-12612,-281,-1429,-277438,-123096,92783,124953,25046,-6996,-164,-1249,-265839,-115431,3869,143541,-1259,1767,3180,-2187,-182344,-125732,-2966,74115,-2157,-2664,3752,-1323,easy
185402,34663,7188,1735,4435,2948,1232,1256,-175160,-21092,10428,48596,6845,16443,2512,383,-171855,-17953,13026,128332,4155,13790,779,2303,-168723,-4077,26764,160610,7569,12799,3569,-158,-177353,-30190,-3508,195746,1702,8277,1844,-258,-101951,7934,81771,13675,2852,2818,237,783,difficult
47602,12552,68643,67135,9783,11107,2058,1402,-30504,-3013,-14962,23782,3684,232,-22,1111,-38981,4399,-48555,30936,7430,3388,915,-227,-21433,8328,82326,37560,-39,6454,920,-358,27943,11585,33483,-9154,11515,3724,-656,340,11515,7280,-36326,-5409,-138,-5259,2229,1149,easy
