delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
286293,96480,7013,10040,3228,4603,2212,1819,123146,41115,14483,4041,4322,5464,2238,1826,120202,98284,-8902,-388,1618,1458,627,689,-114199,-38298,-14109,-3385,-3298,-4435,-1003,-423,-80954,-14400,-2693,5235,-1758,-585,133,-299,727538,175872,-4176,22534,-937,116,137,3,easy
230696,130587,6673,4278,6326,23573,9009,12718,121294,24933,8120,3257,4409,3922,1400,2306,-92660,17371,-6004,466,-1318,-188,1486,-564,-105364,-11350,-6,2047,437,18871,7534,8357,213925,-7763,-3304,-2160,556,-1822,98,1047,421705,424359,3526,3730,7993,61741,21317,32808,difficult
474546,147294,11272,17265,17173,10587,3959,4995,998741,137464,69907,28980,25127,16025,7975,2693,-26009,201562,-55990,-2912,17736,1880,-4619,4314,-195043,36652,-55276,-4517,-9449,5231,221,6746,-914619,-105467,-63683,-24981,-22773,-14707,-6112,-675,-961110,-93429,-59593,-14451,-17332,-14157,-5556,-1177,easy
259147,24148,9878,2053,3239,3558,2148,1741,91721,38153,15579,1810,3409,4992,1939,942,519769,-18764,954,919,574,-1233,-1015,471,-6352,-8924,-1542,1179,-148,404,-738,378,190485,-10528,-13297,-338,-1441,-2367,1622,257,-34197,-17806,-8918,-790,334,-2542,966,2088,difficult
223655,49701,16286,6706,11237,8485,6245,6102,540400,120005,47399,16594,11950,10022,3838,2520,-478653,-99171,-41759,-13990,-9174,-5745,-2783,-1522,-448116,-84624,-30539,-7718,16391,11157,15016,16847,-163786,-125,-16225,-5657,-2190,-7392,-1633,-539,-176425,-97295,-35928,-12188,-7881,-4170,-973,-459,easy
633948,70887,25038,14601,13454,17554,10130,8333,55165,45245,6326,4177,2805,3346,2063,2123,35440,3323,15732,3016,4841,-555,-874,391,10143,-30231,2789,-861,1085,-1349,1881,-795,-37574,-16966,24395,12001,17488,29790,17070,6402,2307121,146441,31930,27540,19181,28945,14191,18841,difficult
220152,66498,11204,7549,4633,3584,3940,2263,236546,113318,23415,5203,17820,9030,7461,5078,-194181,-57749,-20582,-1793,-15082,-5745,-4120,-21,365578,-36548,-18254,-1690,-16160,-8084,-7029,-4751,-189641,-57712,39,8571,-8948,-5067,3424,-2881,-47331,-35272,-10048,4297,-12559,-2887,-6361,-3608,easy
379852,143641,29271,17599,11859,5389,3277,2192,1451178,238101,23556,11890,12795,17339,13426,4964,-331720,279256,62735,49093,28060,-3947,-4958,876,-1197709,-219353,-18971,-6003,-10811,-14212,-11597,-4037,-1430092,-235835,-23255,-11464,-11591,-13884,-11689,-4030,-1325782,-201907,2351,-8791,-9404,-15758,-12353,-3896,difficult
62268,37685,8523,5246,4869,6036,5094,3367,400083,666875,39151,36382,28184,13646,6196,6924,-278553,-615142,-33559,-28790,-16873,-9804,-2457,-4478,-384239,-659539,-35632,-34718,-26376,-11583,-5360,-6340,-363746,-644616,-29242,-32037,-26134,-9741,-4306,-5947,-324724,-597462,-24078,-28998,-23879,686,7715,2538,easy
413589,124511,23124,39734,27495,23288,18623,12635,98453,36892,11146,3188,4316,3716,1676,2172,125889,191827,62922,131340,52352,60810,25875,25252,512344,193301,-8360,1135,44357,18517,39386,14895,283382,-25729,4085,5948,-1381,-671,1945,1486,338929,-8922,-10736,7760,-2614,-368,581,220,difficult
377355,139507,7211,18223,13865,13324,11110,5176,374519,97945,17876,11173,8338,9478,6447,4310,305005,38904,-3970,6551,-3933,-2150,-2173,-1710,-343623,-89286,-16057,-10729,-6521,-4671,-4006,-1444,-307802,-28020,-6292,-3551,4606,-1389,1755,2086,357762,244651,-16343,35928,27955,23593,23076,4533,easy
780164,47534,37846,16402,5427,15055,5032,2931,482185,136942,9155,3602,6483,6315,2387,2408,2592903,14562,111163,50821,5251,22680,6783,1734,-479260,-133021,1669,1888,-4194,6680,270,130,-478728,-132701,-4493,49,-2776,3394,1434,640,-442998,-106472,6425,-1559,-2506,2205,2092,-411,difficult
532408,56168,30209,51338,41904,14095,9486,6973,514999,193334,39123,15020,10061,18112,7193,8631,-508101,-173618,55249,43846,98742,-2754,7571,-2060,1223036,-15586,-20489,120230,28184,11670,10460,6814,-499651,-191960,-35471,-13159,-3768,-15604,-4786,-6522,-145650,-167500,-34944,-5646,4213,-9379,-4074,-4864,easy
183472,26748,6329,3076,4264,3244,1528,1681,234944,168059,33504,14432,7833,8705,4355,4835,-157552,-156010,-20580,-13731,-1211,-5553,-3248,-3424,196189,-150423,-30434,-4686,-4568,-4719,-1898,-2309,-78946,-107636,-27003,-13507,-2167,-4098,-2363,-2399,-165578,-151176,-30685,-13501,-6329,-7476,-3799,-4483,difficult
204285,80234,15803,17442,14561,13052,8536,8615,145964,71279,27792,7531,7645,11612,6846,5562,-76789,-28935,-24970,-2335,-947,-3144,-4735,-4898,94336,-33963,-23057,16415,3693,808,529,7065,195537,95131,-4315,20996,5668,4952,4519,7466,20199,3587,4384,4568,19251,3142,6447,2580,easy
75607,43261,7293,2978,3141,1618,1058,830,718370,172279,42744,27532,20661,11585,6837,5809,-588588,-43258,-21301,-21356,-14989,-9604,-5030,-4090,-687333,-150637,-39497,-24210,-17522,-8338,-5170,-5017,-648277,-158147,-39589,-26017,-18212,-10862,-6446,-5171,-646853,-164032,-41419,-26635,-19359,-11063,-6470,-5637,difficult
801741,226900,49734,33060,13554,10292,6762,3777,438175,222518,40967,31383,25092,12763,9129,5680,725129,-144723,12872,1542,-14514,-4591,-5280,-3703,341207,329180,59298,50875,11871,6616,6819,2049,67710,-160017,-34474,-22464,-23454,-8350,-5678,-2238,320216,-6912,-2628,-23245,-20057,-3558,-5330,-3721,easy
232124,117420,7337,6448,7761,12038,5888,3695,255343,198359,17838,6122,6657,11546,4240,3496,-225358,-166985,-16203,-4365,-3840,-10663,-3474,-3223,-141533,-131907,-3193,5317,10727,6675,4672,3152,386843,150003,-14172,2254,706,11949,8247,2126,-112828,-174867,-8436,-1901,-3179,-5994,-2852,-1258,difficult
127887,29753,8375,3822,3350,7006,2885,1615,79717,45553,5934,3381,8249,4164,2714,1866,140137,-34123,-3882,-896,-4917,-1386,-1801,-1155,-47501,-35499,-1673,2618,-7261,1195,-55,-786,48916,20236,16761,3081,-685,13966,4815,2507,51128,-13816,-1441,-3041,-6735,-2408,-2274,-1571,easy
53730,24282,11542,5255,4826,3764,2666,1436,193547,39628,4471,6939,4218,3756,1518,1036,-133821,-21013,-210,-4394,-2193,-3148,-895,-525,-176536,-30116,9828,4565,9714,3522,4200,2455,-140916,8703,12815,-4674,-2614,362,-69,-336,-107997,-18960,5851,-2235,-2476,-705,1355,6,difficult
255353,49850,10424,4333,2249,7217,2033,1435,194180,70913,31394,9156,6904,10366,5362,6311,239061,-2788,-15257,-4965,-3436,1261,-3820,-3778,-7999,-64346,-27883,-7966,-6055,-8991,-2888,-5708,-58550,-63535,-30525,-6807,-5408,-9574,-3535,-5592,72179,46417,-10214,446,-3722,4708,-3074,-4426,easy
656720,138625,24375,14842,28416,13348,12240,9760,119370,56491,15793,11647,4559,5287,5451,1969,909766,84275,35481,36631,54455,6125,4957,17048,390142,-48280,-7252,-9212,-1818,-4207,-2863,-754,791825,270082,16653,-6554,42583,30229,28723,16220,57668,22459,-10554,-8085,207,96,-3661,-1350,difficult
350680,49206,7441,5569,4224,5626,2904,1966,208396,74310,36314,4251,10984,15406,5719,4623,-130955,-61005,-35517,-1963,-9972,-14294,-5332,-4136,997885,18009,-26036,5528,-6429,-3287,2695,-1961,-185937,-60332,-26787,-835,-7983,-12045,-4530,-3152,-111859,2911,-27153,2543,-2657,-9495,-4095,-1378,easy
834995,75236,31165,16025,18873,13004,4314,3625,716909,431412,101135,11414,46757,14547,14771,8726,1012444,-366340,-61622,21240,-10108,3472,-9347,-3690,-611886,-378657,-86633,-3354,-38666,-5489,-12879,-7792,301084,-276167,-38673,4847,-26736,4141,-6989,-1823,-229298,-403542,-92953,-4289,-36025,-8295,-12614,-7100,difficult
401293,85210,13915,19393,11202,12869,7314,8095,800048,185483,16397,38099,23194,16311,6695,6764,-364713,-41216,18459,-11053,-2738,-8389,-2575,-2302,147075,-69154,-8894,-2631,-8617,4730,1848,-1829,-790138,-181094,-10536,-24238,-16585,-768,6210,13745,-587246,-109628,-8957,-36903,-20030,-9341,-3006,-4291,easy
302358,116020,10859,29908,5586,4913,2134,1020,266584,37747,4422,4521,2363,3446,1056,1117,535721,273795,22477,104221,5842,1846,609,149,-55623,-18022,822,1077,4244,-781,435,-361,-217446,-3805,3026,-3350,1569,3199,772,-421,-119556,61122,-578,-400,1235,1603,2496,245,difficult
1247380,203912,86644,32856,15406,33393,29918,16980,808685,88034,17421,11969,15239,4032,3595,6177,-733729,-23217,6426,-6872,-9945,5287,-1554,-3405,1111214,-36578,-8892,-9503,-12051,-262,-2134,-4197,827075,140807,73782,8223,10800,18183,14768,14861,550220,382500,205577,91698,11865,94237,94210,35953,easy
446380,50008,6690,4260,4107,4101,2505,2115,471630,293254,32690,17901,26045,10548,4906,4199,884395,-146977,-17069,-10536,-14815,-4970,-1133,-1917,-94836,-262837,-25552,-11221,-22678,-8148,-3522,-2620,-437760,-273473,-29947,-16056,-25138,-9576,-4502,-2795,-452798,-289696,-31433,-16751,-25123,-3096,-448,-1005,difficult
390478,71569,32685,32390,7812,17109,12725,7719,155298,53553,5930,3217,3100,3181,2006,1420,-54123,-39157,599,793,1056,935,-818,137,68648,87199,29343,17357,1610,9021,7922,3871,532410,28549,78737,77711,622,5513,5221,8050,393783,-4527,-1660,20831,15558,40241,30549,13138,easy
509122,164693,37508,10951,8826,20690,38941,15149,217754,98530,16200,28074,9493,7368,5428,6509,-193159,-85177,-11634,-27252,-4710,296,6106,-1806,-82806,201506,10824,-22823,-1299,441,5883,-1544,93416,124524,10237,-12981,-1080,5807,21508,8200,1348020,23799,75805,-5435,4419,46744,100556,29710,difficult
302370,104201,9542,5440,5597,16786,7774,8739,336192,296734,65143,14073,21321,19755,8952,9793,338763,-272649,-54124,-3200,-15062,-14755,-5559,-5875,24566,37060,-50510,-11041,-11491,22847,7118,6510,-186745,-280829,-61234,-10941,-19123,-11967,-3291,-1875,-311874,-253713,-56538,-9350,-17221,-8001,-2982,-2977,easy
202305,129719,21702,13427,8771,11209,8520,4081,796012,93649,21796,29912,11462,13322,6989,7452,-783853,-86047,-14944,-17485,-8173,-10857,-2174,-2835,-710776,-32981,-16564,-23862,-9676,-5765,-3734,-6462,-285561,192855,14060,-11370,3020,6658,4148,-1981,-594638,70453,17073,-13225,4065,1513,7882,-2207,difficult
1003500,349426,43060,37963,21692,26582,51583,26567,974443,52432,6890,6662,3806,7804,8190,5737,-136740,227475,40743,4836,8980,5370,9878,6561,366110,427054,29966,40148,47699,44358,113183,53018,104916,550704,75629,65588,14354,20647,31567,21717,-218057,-17258,-1660,14631,509,4737,18945,2022,easy
243390,32131,19836,6592,4934,17158,7336,6045,524765,279885,18872,18351,23915,27203,9177,8640,55789,-244714,2507,-631,-11758,-15032,-4426,352,-462567,-262263,-14541,-17333,-23217,-25668,-8528,-7735,-517450,-245245,3657,-16993,-20575,-3039,880,-3631,-201274,-238796,12232,-12079,-20374,3559,4709,633,difficult
810185,208021,47619,22954,14197,39293,44461,23118,664430,349976,18849,31350,12836,21342,20890,13580,-194756,93891,23555,-1323,11308,15950,47383,13442,-582571,-326545,-1170,-21712,-4411,30753,33031,13925,-662349,-342919,-14756,-26916,-828,1542,6212,2269,2022697,7753,107450,16367,-624,23559,7656,8516,easy
170328,38260,9870,5095,3931,4591,4853,3102,978725,260342,59818,29811,90625,18189,5860,3409,-890243,-254038,-50700,-26014,-88503,-14563,-4144,5,-924722,-237029,-54399,-27005,-88885,-17463,-4596,-2919,-877313,-199650,-58372,-28060,-86903,-15245,-3900,-1501,-541311,-197613,-36320,-17785,-82486,-7121,8612,3186,difficult
1327458,178276,25135,13439,29795,13111,6426,12133,844249,352014,29722,20131,22832,16501,15516,11501,2281096,-138487,9402,12426,59923,137,-9544,2469,1236938,74780,21582,-6914,9888,10543,-4554,13353,-754177,-290779,-21308,-17534,-21500,-12793,-11465,-6800,-831021,-340467,-28024,-14748,-20458,-11449,-10797,-6495,easy
72799,34175,4356,3761,5561,4155,7418,2814,166009,67854,14150,11280,4734,3618,1780,2601,-157118,-65290,-12641,-9617,-3716,-739,297,-447,53038,22385,-4500,-4255,11384,1147,24419,4321,-155958,-58537,-11427,-6427,-2345,4137,-1067,-1135,-112801,-33275,-10610,-9778,-2017,-2398,-1096,-1886,difficult
804118,44376,6344,16014,10265,11153,8005,2643,297395,160071,6194,5324,5809,4027,1989,2053,1704759,-88820,11477,49087,24994,32866,22815,4300,708692,-80935,-4253,2158,2411,84,1355,-112,-111853,-147889,-716,-3362,-4480,-2308,-295,-455,-274708,-145136,-5909,-5123,-5103,-2140,188,-1374,easy
79481,21264,6664,2399,2922,2646,3208,1100,100261,10658,6182,7129,4137,7705,4648,4907,17960,-4468,-399,-5981,-2236,-6457,-3290,-3984,-82235,-5512,-3553,-6909,169,-1813,4903,-3317,-20880,14883,-589,-985,-2074,-5983,-3627,-4146,2035,37521,6467,-5046,-719,-5985,-3746,-3782,difficult
800963,200656,35849,27036,25141,17653,25029,7260,1137147,537907,65717,29532,35970,13192,17383,15620,401435,-106456,-32633,9731,-14012,-5143,-6367,-9274,-157149,-261173,-1806,19686,28706,35020,64740,752,-567644,-485993,-28619,-13885,-25341,-1284,-11771,-9822,-1021379,-495383,-56415,-25518,-32671,-10751,-16017,-15097,easy
107413,72275,11858,4383,3176,2765,1405,1375,159061,38743,7990,10624,4821,7124,2659,1926,-98299,80632,-4792,-8277,-2309,-4536,-1221,-423,60974,19283,13880,-5901,1048,-5281,-1358,-158,-32548,-19213,-304,-5893,-3262,-4755,-1595,-1046,-136721,53427,6689,-4893,-2059,-2865,-841,-576,difficult
1012450,133891,20286,27046,9989,22782,16543,14861,276187,64628,6396,11278,13884,15298,6454,3665,-192346,-45132,-3955,-10766,-12612,-14302,-5992,-3509,751909,75884,3212,10701,-3354,6325,-2658,6585,622545,-36217,9719,34074,-5882,4034,19489,5083,1762943,282515,46582,29062,6269,33879,29518,36626,easy
27312,15086,3601,2997,3726,7785,4363,3780,138175,37429,4018,3814,4361,2787,1842,1313,-128538,-28576,-2306,-1972,-3239,370,2119,2457,-118636,-17803,170,-2627,-729,1066,2720,3201,-93736,-14847,4026,3411,3655,14952,5922,4800,-102543,-28147,-3559,-2082,-2226,3605,-678,-591,difficult
474077,36274,19631,14968,5017,5961,6127,3918,469745,75666,2230,5081,4309,2536,1426,809,1033389,-23284,35577,43100,6436,7210,5602,2734,-198453,-46316,1656,-3911,-1250,3248,7333,5420,-369469,-54305,6909,1167,-547,501,481,835,-448138,-33664,25460,-809,-1808,2741,5386,3448,easy
158271,43973,19774,2617,3308,3157,2135,1352,173382,229202,44383,10036,7986,7336,5118,3728,-43142,-156825,-302,-6768,-5581,-3164,-2872,-2087,166750,-164385,-33058,-8281,-3335,-3722,-3438,-2103,-73191,-214926,-35329,-6540,-6755,-4509,-2198,-2923,-110862,-204781,-29748,-8087,-3042,-5321,-3423,-2391,difficult
238515,30621,14346,8636,8272,5133,7221,5310,1554823,490714,84422,33736,47687,18940,15581,12016,-741911,-409197,-50381,-26466,-37092,-14470,-11829,-7952,-1513118,-488757,-82852,-32027,-47202,-17555,-14328,-11233,-1550531,-461209,-65905,-10675,-26906,-5843,6270,3861,-1459674,-481211,-81167,-31231,-46462,-17360,-13555,-11502,easy
940753,172516,32304,15792,24298,23626,16956,12078,274205,66987,5465,6666,10159,2381,1293,698,2591486,149090,26644,4880,19643,5100,14403,8157,210053,162529,11705,7577,24676,43217,19915,19408,81941,169422,72171,29422,20309,35410,26365,16335,-217288,-58927,-3164,-5376,-8074,1254,1967,1619,difficult
313341,65646,11083,8420,9368,3923,3098,1179,253296,66030,30029,16602,13266,8940,3725,2485,-118675,5105,-18313,-13059,-9963,-6247,-1179,-2052,-169585,-53962,-28220,-12079,-11281,-6217,-2282,-1268,-232414,-60499,-23797,-12306,-5670,-5151,-2041,-1356,760854,107820,-5454,4714,11321,-2453,2995,-550,easy
289490,61444,11606,4770,3974,5895,2168,3175,316733,89097,18007,12314,6674,9264,3668,3156,49642,-63339,-8680,-9467,-3707,2493,-1441,-1717,-209979,43065,-9473,-8523,1243,-6079,-2112,-160,229219,-27580,-12121,-4108,-3486,-4293,151,1951,-177854,-62757,4669,-8078,-4851,-5598,-2599,0,difficult
232951,56879,15820,5921,3968,6182,3489,3730,247874,43630,28739,15802,13022,10641,5771,5672,232125,39297,2548,-10650,-4216,-637,665,-2235,-46597,43301,-905,-6501,-10752,-4220,-2439,-3505,-238499,-23966,-27435,-13358,-11254,-7277,-3430,-2245,-6721,-5636,-25883,-9014,-9996,-5703,-3925,215,easy
157128,18349,5659,3196,6223,7362,3814,2667,469488,95255,10589,14403,7345,7467,3714,2526,-143968,-56960,-2607,-11147,-5117,-1835,-1804,154,-427612,-73354,-7174,-7949,12283,10508,5641,4095,-399860,-88521,-7902,-12450,-6528,-5568,-2952,-2298,-278001,-88791,-2037,-13281,-5126,-3525,-484,-1386,difficult
523721,70925,11109,3084,5953,4612,1672,1654,712025,105008,21842,27208,12822,12877,2494,1366,174568,-88504,-15621,-24350,-2655,-7129,-840,-933,-613516,-88599,-16929,-26258,-11054,-11817,-2111,-941,292815,126535,419,-21320,-4826,-3065,1060,3215,-607084,-85764,-10800,-24567,-8943,-11048,-1396,-188,easy
367545,152898,18432,22385,5396,6857,1928,1637,203791,81323,19342,8700,4929,8476,3927,3107,32910,-34266,-8815,5627,-1979,-3978,-2883,-2318,809749,338355,26106,57332,9620,9949,51,943,-71698,7617,-3669,-4891,-3587,-6222,-2608,-2470,-115944,-25407,-17264,-3329,-2186,-6225,-2558,-2037,difficult
52898,30935,4224,3316,5050,3321,1408,916,86872,21063,6613,5169,3060,2941,1034,1170,-26592,13185,-2768,-2332,-1353,-2032,-613,-1039,-75686,-17685,-3500,-2568,-2531,-2032,-660,-269,-29048,-17245,-3928,-857,6390,4153,2044,456,-4570,61234,641,-1657,5455,1432,723,-163,easy
99226,24044,10237,6082,7368,3486,3726,1557,84777,57156,9681,8260,7400,2838,1207,853,149443,-37191,555,-5083,-2858,-846,683,-186,-75591,-46857,-9014,689,-400,374,3881,1136,58626,-11683,17963,2231,8840,4674,6075,2095,-74684,-36718,-7281,-6551,-5712,-1612,-563,-229,difficult
206669,27688,12163,6041,2423,3791,2829,2477,118421,26923,8013,7307,5996,6626,4546,3219,-78778,26230,-5036,625,-3182,-5008,-986,-1689,639640,19408,26872,2177,-2866,-3212,-2544,-2331,-93046,-19226,-4066,-4563,-4299,42,-2453,-941,-114826,-23354,-1170,-3303,-3946,-3161,-884,1991,easy
324340,21366,9224,11171,6802,18584,11717,11668,150861,87355,16753,13880,13834,10151,2846,3754,70743,-62062,-8571,-5899,-12716,-6760,456,-97,-142143,-82080,-11367,-6673,-7324,6409,12265,8175,210203,-67096,-11792,-3149,-6210,8912,16373,6403,555111,-52720,1613,4886,-1877,25169,6391,17173,difficult
90285,77621,34030,13779,8530,11867,4747,5363,540914,305157,18823,16879,12979,21483,10260,4039,-440982,-64310,89347,20191,12366,1584,-7732,3125,-408358,-277541,-16760,-8224,-10938,-17341,-7834,-2537,-415275,-265051,6456,-12836,-10899,-17228,-7526,309,-537903,-303244,-18217,-11530,-8327,-5480,1039,4399,easy
177654,114446,15744,7937,6331,6973,4327,2158,128126,77902,2522,6069,7109,3553,2655,1902,-10968,-43104,9963,-4195,-4364,-2408,-1708,-1506,134628,118476,20331,1803,1870,17508,9687,2544,-28373,-15568,3215,-1489,-2845,-1714,-1352,-1055,102823,86372,19380,11351,2225,295,61,1039,difficult
473823,56162,37017,9555,9535,4714,9742,5539,203225,103671,23195,17576,8829,12700,4871,3607,-67625,-55811,-2204,-6910,-6694,-9789,-419,-225,-135630,-98831,-19314,-15824,-8223,-11480,-3940,-3123,1448894,50924,89945,4230,21635,-534,23327,12441,-163248,-86319,-13138,-13581,-3896,-10140,517,-1365,easy
243171,54480,10197,8531,9257,11110,24741,12216,606626,91585,25284,10897,9960,8191,6458,3463,129414,-28869,-12183,522,1393,-3640,5895,4019,-531570,-35292,-10908,-4895,-8662,6645,-3111,4307,-528389,-44591,-23380,-8339,8459,5896,59571,22013,-523276,-39667,-13877,3247,-4001,2775,10778,4674,difficult
315185,77156,15756,3571,10067,7899,4254,2701,197693,57761,13953,5738,6273,4123,1484,2250,620446,80058,16743,-2318,15139,13607,9291,4247,20334,29440,-1864,-3464,-1288,-1025,2191,-655,-111010,-29580,-2276,-1646,214,272,125,-868,-59801,-2340,-5393,-1241,1112,2248,-528,-922,easy
279572,77778,10026,14014,8385,8420,3977,2567,790508,180350,34611,21819,21810,13635,10019,9966,-767403,-177972,-24742,-4880,-12251,-9078,-7609,-8820,59366,46613,-18337,2773,-10633,1945,-1653,-5753,-638092,-129286,-21845,-11958,-14594,-9470,-6515,-7616,-697616,-149642,-33415,-17154,-16222,-4257,-8391,-7406,difficult
