delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
194160,40375,14092,9117,6869,10673,827718,130436,61822,33182,16539,11569,-692694,-75759,-50858,-23358,-12172,4148,-517054,-76518,-43867,-26911,-10457,-8984,-507502,-87620,-52901,-13584,-3929,3944,-816981,-120348,-43295,-32407,-12123,-2692,easy
394706,30836,12769,23729,6839,12678,973938,65728,11043,13169,13173,7167,-166086,-35379,22412,34792,-4129,12736,-936377,-50833,-1420,-10235,-7518,5055,-523154,1863,-4579,28596,-5728,5142,-691310,-55219,-9508,-10914,-7962,-888,difficult
13044,7144,5870,12676,9547,11198,58557,8679,5485,3518,2770,5682,-56681,-1929,-3687,12288,1794,813,-55958,2639,851,6476,19442,7727,-37134,-6680,-3374,15448,2296,12223,-32280,-169,7750,2418,3575,1299,easy
224883,79389,11375,8123,11097,10522,56031,21664,11366,14216,4936,18539,304844,232922,5550,9397,29381,7171,165505,-17305,-7924,-13121,-2878,-9163,204372,-10863,-9516,-11700,-3775,-15922,688,26145,11926,-8948,1916,-14155,difficult
450652,80148,7809,11826,11053,8627,14185,12668,5522,6270,5844,8568,1380763,232518,10556,24514,21595,875,7548,-6294,-349,-1174,87,3021,42178,20795,1425,-259,1749,2293,315377,22901,-2486,-859,-2595,-5953,easy
181961,27573,8706,7532,12521,12548,56737,12950,4353,8047,5239,7476,-46809,-3079,3178,2323,26292,11800,198917,45307,3635,-6335,-1465,-5447,377778,11626,5506,-548,5531,1833,-28990,4639,5093,2499,-1230,12103,difficult
66393,30845,18273,15173,5804,12350,13122,3042,3509,8048,14198,15024,31144,60994,43183,-4112,-4947,-5179,20997,-878,192,-3891,-10952,-9486,158403,39532,12060,32549,-6593,6457,2540,11564,3619,3955,-11085,-2488,easy
175317,47500,30603,9351,9584,11228,669186,22741,21879,12186,8740,12037,-661959,-19001,-17588,-7780,-5132,-5205,-508511,-10465,-20029,-8049,-5985,-5064,-145945,144056,76722,1671,19686,6943,-659060,-15555,-4211,2817,-5195,91,difficult
181509,69907,10049,14638,12001,24754,290952,43389,14977,8374,3858,13434,-286121,-27429,5430,13798,5556,34252,370778,200225,115,7614,16722,10604,-259645,-32335,-12016,-301,10698,6188,-262783,-34389,-13243,3945,-406,-5763,easy
348869,35808,7357,6201,1919,2066,73604,53974,5756,4918,3929,6319,489960,-17437,-2622,1012,-2980,-5156,70635,-18069,8401,-2393,-747,-2374,433161,1902,1099,5429,-1621,-4431,107302,-39060,-473,1082,-2693,-5052,difficult
