delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
564718,83597,54716,13188,8986,16773,8654,6916,-474662,-47359,-14140,3850,-451,-10010,-4744,-3503,-149162,-61650,-47227,-7131,-5511,-14078,-4645,-4914,easy
1014466,134687,53887,16988,24774,12244,24212,10006,-1000133,-73587,4358,22497,7263,14445,-13259,-5300,-790059,-123444,-46092,-13270,-16844,-5436,-20745,-8176,difficult
1374613,69613,12792,21867,7649,7256,6947,5641,-1321512,-63176,-11829,-19134,-4701,-4626,-5246,-3897,-1009814,-39665,-9550,3520,2234,-1414,849,-775,easy
97401,32913,14209,21921,10941,5835,10459,7822,51849,-22515,-9020,-16252,-4534,-656,-7024,-5731,-87449,-11553,-5558,-12110,21828,6938,3768,-762,difficult
1143853,122181,55837,35092,12341,12908,24970,14396,-1123300,-108686,-38650,-22012,20868,1643,-18026,-9147,-1106209,-56772,-49956,-25764,-6012,-857,-19511,-11000,easy
374276,87796,7365,9291,7904,5074,5668,3882,427587,52570,24647,16626,18942,18657,17512,17597,-343712,-56663,14570,8324,1456,9256,13864,10345,difficult
1220555,103060,19256,18481,20524,17788,11582,11115,-1111436,-90047,-9871,-8985,-18669,-11060,-797,-9302,-382981,128324,9978,-13581,-10208,-5520,-2779,8872,easy
296947,66802,16971,21699,7150,8317,10864,4012,-198485,-40626,-12840,-13834,-1255,-2868,-8637,-1640,-228393,-58198,-5936,-7239,10671,9557,268,8016,difficult
739170,164117,73062,39548,72437,61135,24546,21350,-572782,-123520,-56228,-25475,-44500,-43011,-16196,-16047,-554932,-45783,-26995,-35770,8098,-29828,-2176,-14332,easy
295656,49292,7648,2501,7714,6907,5700,3586,170943,9944,-3613,25855,5203,40043,13855,13002,1462887,270372,2345,19296,33473,6299,33102,12811,difficult
809293,102232,14987,13016,16845,15974,13839,26051,496717,58677,11058,19177,18383,4147,20214,1502,-723269,-37866,-8344,-3191,-3062,-6869,-8169,-20905,easy
321700,87947,24397,29906,12661,13853,15398,15042,38634,-72970,-19475,-22271,-9054,-9239,-12541,-13271,-258510,-29839,-4031,-23147,-9426,-4808,-11079,-11013,difficult
