delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
701423,110207,23561,20325,22627,26468,284039,96773,12188,18856,4816,6043,229040,-11896,24666,11392,11217,4249,-52101,-51760,-5723,-17308,-2682,-348,1075212,103958,15177,10322,44897,57375,easy
695911,102158,9483,14921,8603,39839,964441,85690,53690,64764,22582,29540,1010697,170844,-42153,-24656,-14764,38956,-872738,-69537,-50910,-63411,-20734,-25714,-943549,-51904,-39559,-61461,-6438,17656,difficult
2790944,306292,58229,17402,46508,22709,414190,42821,20815,6560,9983,6889,459909,-21223,-8919,2361,7366,7313,3335177,405818,60580,15082,51105,20073,3335177,405818,60580,15082,51105,20073,easy
313117,63717,14234,3895,5482,6507,678701,415145,31449,53765,29122,24331,50499,-341459,-16961,-47835,-18660,-7723,-544294,-318492,-19007,-49233,-26234,-22295,-602956,-394332,-15677,-52542,-26026,-23454,difficult
748957,43526,17060,8401,10268,7271,778004,122346,28882,40255,19872,17083,-457162,-115453,-23985,-36943,-13253,-16363,91830,-49414,-2572,-32276,-2824,-5064,278190,-71594,-8909,-26344,-12736,-8010,easy
182661,81326,22022,8858,17864,17508,592245,92759,8442,16669,15497,25320,-365721,112203,25018,-2912,24720,4477,-404708,-71908,13296,-7024,-3627,-10471,-458324,-74594,2427,-13497,-13992,-17442,difficult
806906,97624,19302,13385,21814,25501,151714,24143,27553,12202,13815,10125,66076,-1772,-20420,-8380,-11485,-7565,1328204,71021,-7529,18833,29003,47637,571295,151193,3196,-6903,6480,6055,easy
689573,86552,14316,5173,3275,4671,1133282,437279,28535,20864,17520,25315,70697,-254424,-10872,-10468,-12546,-19238,-941235,-422955,-19942,-18626,-16680,-23549,-460589,-374802,-11844,-17978,-13509,-19144,difficult
154196,106723,43646,13659,18936,14926,725318,99170,8319,11447,12725,16444,-672873,-53407,-4095,-10612,-6306,-9425,-499087,140092,117309,20292,30767,8114,-541405,-64026,-7232,-3043,-5827,-3244,easy
648153,98731,19024,18655,12933,33105,629675,536646,29841,28304,18915,43099,272696,-330342,460,-13112,-8549,-36991,-64972,-494751,-10396,-751,-5541,-586,-152291,-488652,-22514,-15085,-3856,7595,difficult
