delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
109475,7650,2220,6537,7637,4932,3025,1602,385383,48716,19231,6919,7979,5915,4309,1559,-324672,-43512,-16597,-4570,-6879,-4718,-3515,-1138,-122517,-40715,-17155,4539,5507,3082,516,215,-380534,-38972,-17281,-1115,345,-1314,-854,1051,easy
346099,49288,15558,17030,8440,7811,15515,5216,434133,76758,18989,20670,15817,23817,7841,9940,-345565,-62051,-13570,-1363,-13370,-20286,-6199,-7418,-391493,-61232,-14848,-15311,-13776,-16472,-6367,-5070,472957,40874,18126,5754,5016,-11259,35587,-1685,difficult
30900,21170,15736,8775,7216,20165,5111,2789,127674,59678,5223,4073,3653,8440,1979,1751,-91961,-41165,1657,-2930,2295,-6125,-343,-829,-109455,-48160,-1300,237,6624,27495,1703,3397,-88907,-26199,31181,16800,1771,13805,8036,545,easy
1283381,140348,23633,14027,18084,8434,6928,3895,379839,70437,9265,11165,6163,6342,3084,1837,1014519,154667,15902,-563,39950,3950,11541,4151,-150191,-50777,-4112,-5076,-3844,-5212,-2612,-1565,1846298,105842,31314,14226,-342,7539,2602,3587,difficult
1039525,143813,52362,24836,23303,13943,3715,4662,523942,121596,23438,18845,36996,20648,9184,4292,555499,77142,19225,3096,-5987,-954,-2043,6223,639092,15262,20961,15884,-2080,-6927,-6965,-2270,352158,-25753,46585,-1006,-33012,-12235,-7399,-2843,easy
29379,22862,9907,5081,3767,8547,3935,1301,62962,14061,17916,6294,7530,5577,1949,1149,-35472,26242,-10451,-3678,-4368,-1950,-702,-418,-44646,-7312,2514,4514,-1609,14398,7045,1322,-20630,7473,-16090,-4474,-5312,-3539,-384,-447,difficult
221062,102010,9839,15952,6554,5536,2749,1684,84563,88560,12590,7207,5608,5090,1872,970,217346,164375,8077,30665,5562,6680,3667,2692,158045,-48405,-7996,-2372,1801,-2106,-281,-43,34106,-75621,-8334,-2059,-4526,-3236,-755,-507,easy
758764,101923,27553,31964,32232,22807,13899,7051,683104,236979,37128,15872,12987,26716,10665,5952,220789,-148176,-551,50566,42100,-7258,7702,1709,505033,-97556,7365,235,25272,16722,9701,3035,-498842,-159436,-35539,-2526,-9636,-21190,-7702,-1446,difficult
1032300,65316,25191,14045,11264,9409,3272,513,574273,65510,27391,19422,13179,7857,2462,1181,702962,26484,21141,8343,4110,7724,2403,-585,722244,36055,-552,-8012,3097,4397,2327,-348,-51125,-63121,-27188,-16461,-12952,-7464,-2300,-1071,easy
731190,35646,15692,10842,14482,24360,19490,8580,92179,82453,19027,6755,14959,22130,23208,11999,251166,-48251,9197,-897,-6117,11216,2095,-1393,1726116,-26872,-6328,16104,18635,14824,5987,87,-60248,-65297,-12873,-2947,-13950,-19350,-19237,-8952,difficult
308948,35110,6843,2595,2452,2352,719,605,120861,103397,26823,23569,16103,8657,3970,2143,-31426,-60819,-20900,-21553,-14237,-6200,-3361,-1611,-39249,-58123,-22063,-20779,-12825,-5542,-3087,-1288,634936,-85919,-16977,-20589,-13892,-7173,-3306,-1716,easy
83290,44381,6762,2290,9521,28761,16123,5995,984256,37976,11871,19864,6741,24000,13830,7260,-908612,70093,-4888,-16877,-4241,-10524,-8805,-4204,-823452,-27523,-11439,-18497,-4348,-13084,5949,-5804,-970833,-23355,1000,-17347,16929,37892,9734,6214,difficult
507497,72705,9163,8125,7913,5286,3034,1661,650534,232711,29137,16790,18942,20443,8264,3751,-267089,-152020,-17633,-7841,-13576,-17907,-7041,-3349,214960,-158479,-25539,-13769,-6280,-10620,-4167,-584,-376981,-169519,-16749,-4384,-13231,-16945,-4483,-2336,easy
362592,63091,14411,9419,6582,14492,18589,3477,681295,178435,32177,8141,10205,12312,22565,2532,-621221,-168077,-29381,-5038,-7670,-9484,-18007,-1539,-608868,-165711,-22005,-6384,-6802,-9331,-9772,-158,273981,-12245,-1911,15255,3604,25356,15850,4532,difficult
973324,285949,18205,21848,17027,18568,10263,7085,717820,249934,69336,15656,10502,11978,5222,3961,1230787,331467,-38917,3627,-4267,20801,4826,9962,-232706,-2415,-52198,27982,31863,6161,12385,1908,-231569,-221007,-62277,-13033,-8021,-7193,-2087,-2497,easy
380252,122731,9039,55203,23848,22411,4994,1632,395566,30128,42014,14015,3946,8120,7957,4216,-319814,10593,-38531,-3758,-3114,-6515,-7393,-3228,581945,208776,-18768,115192,49837,50568,2561,-1800,-308072,58440,-41626,12129,12984,-1180,-4057,-2724,difficult
464264,245948,26936,27262,8261,6255,4364,5577,512395,207911,50680,32808,11034,15703,6395,4145,231783,-184242,-42697,-13658,-7576,-13741,-3351,-2641,-324342,-103686,-28738,-27596,-7390,-13001,-5022,-3275,-51833,402040,204,24615,6648,-1603,2279,10211,easy
356974,54278,12779,15223,15532,39432,13020,11999,184340,54983,7711,23031,7080,17756,6844,3919,-53245,-29514,11853,-19355,1494,-6356,-2383,-2128,289832,-25218,1280,-6331,14080,11876,5914,4930,281316,52616,2071,2261,9781,59508,14996,21439,difficult
46701,69751,20415,20731,11600,5598,5198,4042,599755,172670,48858,45544,20311,15372,11460,5807,-551694,-61640,-32495,-21938,-8978,-10074,-2159,-1286,-565133,-104126,-8178,-9954,2344,-4840,-5967,971,-542336,-142991,-44655,-42546,-19500,-14409,-10659,-4980,easy
1089365,152788,13660,12495,8291,5675,2779,1738,383908,134602,22840,12778,6165,5300,3748,3614,877692,52809,-14317,8650,5796,-705,-839,-2145,1119048,-37784,-10181,-5102,2149,392,-1383,-591,119631,39532,-3041,-4397,-1567,1438,-686,-2892,difficult
587336,74430,15227,16686,2096,4332,1593,1549,788604,168655,15461,9987,13356,16553,4617,3609,370020,20603,21681,37433,-10249,-10054,-1553,-58,-241044,-153530,-13824,-7863,-12384,-11492,-3334,-2792,-732779,-149748,-8560,-9473,-11148,-15116,-4184,-3330,easy
231098,43218,12394,2929,3348,4058,1834,1516,340438,33074,7908,7251,5294,9290,2356,2201,-239905,10324,-1139,-5284,-3562,-4624,-1475,-341,-30611,-1907,5389,-4709,9,-6228,730,-1394,-57504,22016,9207,-2972,-2286,-4843,-822,-321,difficult
