delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
245245,94364,9703,9758,6814,6885,4590,2764,-219911,-81782,-8846,-7573,-4741,-6178,-4358,-2667,1633809,-19118,31303,13090,-1164,798,-2664,-747,-160181,-47937,14358,9576,3639,-1452,-3409,-1710,easy
684177,384648,137270,90875,61468,69878,78280,18541,1260186,1485780,1716972,854623,303380,109408,281741,340690,362063,54214,-109789,-48293,-15051,-53781,-60504,-4237,1600312,-210837,34717,-30341,-29524,-55307,-62285,-14114,difficult
646165,105602,73378,52989,62081,13679,18683,9750,26702,-52667,-22494,-46454,-55891,-8386,-14912,-8559,-100751,-83998,-34410,-5202,-47447,-5320,-12649,-2271,-578846,-73470,-65024,-48751,-60822,-11277,-18033,-9281,easy
643848,61573,18251,27302,10636,13173,12288,4164,-561000,-22588,24283,-19400,-5657,-6489,-10871,-3285,537061,-27201,-13658,-10863,-4312,-10087,-9213,-3116,108864,-17171,-15078,-11215,-1675,-9647,-11100,-3393,difficult
1359152,265216,24833,47066,20887,14538,19054,13063,-808555,-188178,18136,-9399,-17526,-10173,-12165,-6452,-1016341,-156663,72930,-29850,44767,-908,-14912,-8091,-1337260,-256532,-19082,-44231,-18163,-12540,-18480,-12886,easy
1056578,189440,61434,37870,25721,19498,18783,18726,-527131,-166235,-49107,-34277,-17452,-17543,-17248,-17381,673128,-97469,-7371,-26226,-9812,3931,-13671,-16516,-377604,-92052,1531,-29216,-16796,-9101,-16858,-12508,difficult
1123926,190294,38397,37639,30535,24174,29649,14014,-67741,-132516,-1750,-21656,-22688,-19401,-24208,-11073,-290920,149336,-18323,-32216,-26130,-2627,12490,-8399,-372310,253305,32804,-23252,-11635,-5597,-15952,-1498,easy
921349,274865,77655,29896,32669,17341,15089,14437,-257297,-179668,-67260,-26831,-28938,-12346,-11342,-12194,-315480,-65273,-17622,-17539,-23658,112,10082,-6153,-232417,607614,-42412,-495,65765,10368,-3314,-10158,difficult
120396,47825,11737,9101,3893,2236,1325,606,914127,-13753,-2322,-6389,-495,610,74,382,894980,98581,12341,6650,9627,13288,37133,3013,-97975,-11519,1305,2624,-709,1150,117,325,easy
792590,494021,151211,45373,44596,32243,13693,11946,130120,-318274,-29591,-2588,-36446,-10442,-4520,2037,-654750,-462035,-126302,-40140,-34480,-30884,-11511,-10316,1200101,310559,-86208,-7007,-15829,-12215,6077,1392,difficult
776579,169747,88646,51991,29504,15524,8151,5051,-567781,-29644,-69754,-38592,-20713,-10749,-6654,-3921,1646225,588931,-77066,-38562,-2892,2292,134,-841,-613676,-153692,-80891,-49303,-25420,-14120,-7117,-4879,easy
891013,50459,16226,7993,6339,5705,3191,1455,-834620,-14469,-14552,-7675,-2429,-3799,-2097,-681,-554565,53464,-4444,-115,-377,1062,-1369,-220,-602120,3549,-7872,-4013,7648,-2204,-851,11,difficult
968942,101041,21205,21306,20918,11972,8491,5100,-829285,-73964,-14653,-17221,-19002,-11029,-8190,-4272,-960625,-39411,-9724,4813,-7168,-2728,-4226,-2582,-957749,-82819,-4364,-11756,-16466,-556,-4637,-2765,easy
150367,342866,16385,11109,18976,8526,3905,2002,348294,-311801,24504,2001,-14124,-5220,-1355,179,63727,-332738,-14917,-7601,-17270,-6817,-3582,-1711,357733,-210392,32334,9968,-5251,-2114,2609,4787,difficult
893694,91152,57197,25073,18626,4231,4715,4072,-844466,-74869,-56626,-23938,-16518,-2084,-4454,-3930,-711991,-56814,-37458,-18000,-9287,3285,-2428,385,-730544,-59094,-52269,-19520,-17832,-2296,-3992,-3476,easy
