delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
11874,30022,7657,22693,9675,10443,9132,29158,13291,7034,15722,13282,-6968,5492,-7637,209,-7732,-1933,2919,10903,-10398,-334,-3560,-5919,757,-10967,-2322,42922,-3587,1371,14261,-1973,-2178,19839,-9309,-4874,easy
78788,32945,17451,57188,11777,23593,35890,14959,6258,15329,8594,43732,-3141,24314,-5148,-9310,-4621,-34516,105835,33873,21859,116558,4985,-29144,-27687,-10510,11257,61358,14767,20602,96583,24266,16803,-1172,-2398,-37497,difficult
14773,20126,14015,20447,22269,9099,56179,40980,5352,9877,2982,6361,-42539,-29444,6567,130,4460,-314,-52673,-23181,7735,5873,3807,3072,-46514,-12054,6701,20126,48599,6784,-23897,-18737,13650,16152,20280,1409,easy
54516,10847,5198,8104,7353,16983,410563,150345,26683,40345,18409,49687,-273260,-121571,-18992,-29757,-15150,-42156,-362604,-143689,-24809,-36931,-17011,-45079,-379724,-142931,-16792,-22914,3290,-8936,-408600,-149801,-25349,-39363,-15352,-34645,difficult
52470,37151,5248,15686,17849,10024,51499,20615,6056,5597,5832,7832,-25615,42341,-155,-418,4515,9823,59065,5681,-2730,1370,-1468,-4732,-25282,-15184,3706,41553,45432,4147,-4283,33304,-4053,-2151,-410,-469,easy
39482,23538,7264,12062,4609,30150,19865,24632,13249,4320,5390,12087,9,3810,-2753,25418,-476,21129,-14181,-19280,-787,7341,3250,12136,109172,20854,-8939,-1646,-2924,-6558,-16534,-9762,-11463,-145,-2975,45543,difficult
512245,233663,32794,62292,29084,17668,944691,454784,202624,54457,137779,78956,-766051,-389567,-151060,-50687,-99119,-71505,-313216,-130132,-175828,14477,-91837,-52024,-751199,-309698,-180849,-9944,-132973,-73444,100683,-55086,-171585,77492,-110851,-48178,easy
16394,18159,14250,10264,10389,23094,355376,40346,10863,6356,7713,19596,-349162,-35507,-1255,6707,-5463,-12448,-315685,6166,18826,-3043,6880,10061,-348739,-38898,-2506,5414,-1782,17534,-342342,-20510,-1517,6554,11069,-1155,difficult
19131,34906,10484,13348,11635,8107,12459,15660,11044,7411,4897,11366,-321,8598,-9893,-4002,10488,-7607,35803,71723,-8277,-451,-114,-6399,-286,-2133,10996,15558,7649,-3866,-8509,-1203,4932,12641,8929,4836,easy
307427,55344,22613,7499,6085,18818,17429,11965,5556,4831,3394,12428,-1306,11844,11161,8032,2041,8725,1175778,154179,64895,2614,2544,10244,-6616,8943,-3201,2432,1778,4070,-7863,-1452,-4626,-2407,4400,2519,difficult
99271,18168,8762,8830,7208,12337,68283,20745,5875,10181,3848,35109,20480,16434,-1180,-5250,873,-27168,-39393,3682,19773,-64,3517,-22677,205573,-13944,-4036,-9289,-1495,-27802,-62710,-16480,-3011,9197,10546,-13441,easy
389521,85173,8404,8601,6174,25145,690745,36744,22871,5423,21706,22865,-461879,75948,-4105,7390,-15214,-3174,620850,170715,-19687,3361,-14637,-5187,-676216,-25872,-14913,5694,-13325,2235,-687653,-27077,-19163,-3732,-18952,15245,difficult
70277,24988,11660,27867,5736,27378,27055,13072,9150,32900,11052,22100,217980,54624,15186,61969,-2151,27487,-24130,-11140,-3505,-28402,-9948,-16286,-15427,2005,6004,-26014,-5488,16717,-5534,2173,-7644,-27686,-3676,-6807,easy
876771,59753,10231,9845,7966,16778,960178,315441,78879,29770,10085,25722,-246665,-296279,-72556,-28693,-5850,-23742,-220318,-278655,-67112,-23974,-4833,-16140,814563,-260258,-68529,-6138,9934,13119,-681207,-187560,-66395,-20894,-7726,-9012,difficult
262664,50922,6128,7768,12358,19545,589257,218508,55028,36829,16193,32552,-513493,-180330,-44820,-31613,-12564,-21940,-158511,-183151,-50058,-28623,9889,-3726,-452150,-184910,-52016,-35427,-13312,-19541,-182220,-121952,-48706,-20581,646,-6823,easy
95571,21876,9457,4265,3511,5463,458514,250564,36580,113977,49158,36395,-414025,-244478,-30183,-113530,-47947,-35935,-289204,-231350,-32401,-110381,-44760,-34373,-312153,-200327,-24649,-106878,-44279,-30931,-436392,-238599,-21259,-108061,-45602,-22489,difficult
