delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
515883,129131,26490,14401,9129,6692,9839,4301,-94562,-73907,18109,33165,26929,2919,-2673,3655,-473008,-91402,-16512,79984,4200,1740,-3840,-2293,difficult
536143,53791,16450,10563,16920,11888,15117,10370,-380529,-46216,-13593,-8110,-15274,-11383,-14327,-9779,-479336,-43979,-13170,3383,-14616,-9451,-13891,-7832,easy
234628,135732,74529,61764,10628,12160,7603,7217,-160011,-117600,-63156,-18850,-7361,-9087,-6469,-6430,-157202,-103733,-30535,-28260,16276,448,-4536,-4359,difficult
787795,196988,38573,17203,32756,36490,8197,6427,-513881,-181986,-33052,-5190,-29681,-29541,-5843,-5023,-774209,-150474,-8707,37936,-28316,-22873,-5038,-4776,easy
599140,67500,49083,111455,19183,17199,9023,6560,-329577,-1059,-31744,-22152,-420,-2439,-3321,-1659,-586838,-4653,300,-95280,-12756,4690,-5454,-3961,difficult
581544,38386,28029,39635,16783,5920,3373,3833,-418959,3142,7937,48001,-2632,-1580,2044,3845,-163416,90355,35769,99602,6455,6555,2961,2500,easy
439178,259748,4213,19043,14008,14713,8276,4147,-387627,-234168,1427,-13661,-9997,-9757,-5524,-958,-413550,-195173,39215,81886,302,14713,-3120,-160,difficult
529927,177131,13994,25897,8725,8217,11072,2440,-481346,-159813,44721,183494,9199,4974,-3849,5238,-507177,-167271,5563,60735,5512,-2110,-3346,305,easy
335043,72906,45223,50683,26013,8664,5716,5750,419002,-43039,-21534,26652,-7837,633,-1396,-1802,-265799,-23611,-4473,59563,-15074,5560,-1573,1316,difficult
1064877,182064,48617,39689,12827,69179,32033,6044,990701,23386,23618,-3208,61638,-6980,-6138,18645,-965457,-91119,-31562,-29791,1138,-57282,-23757,-581,easy
208184,80617,25493,29249,6114,3964,5748,3257,-198101,-63255,38708,149301,17892,170,-504,6086,-168863,1032,-2515,29264,20177,4301,1750,123,difficult
71019,64760,38745,37768,14346,12099,8187,4022,233613,-33054,77557,40145,-1625,557,-894,666,-42591,-45662,-12605,-103,-5346,2812,-6251,686,easy
181110,241871,74286,52749,30877,10285,5257,5822,-153988,-185818,-30495,103542,-22173,9923,2331,-2123,-21110,-232203,-64128,-36016,-26500,-8936,-3736,-4837,difficult
165009,35439,10868,7269,8878,10374,8905,5533,-84554,-20943,-3053,-3626,-3091,-7822,-7406,-4457,-28152,1873,16796,91267,-1264,-1160,4434,-82,easy
168097,78393,47658,41514,20105,12099,8049,3366,-149538,-45644,-8652,106533,-16900,-2863,2085,559,-77804,-50078,7283,-18552,-14237,-2297,-5629,-144,difficult
123387,49396,54617,85277,18876,11139,8081,7018,-115009,-24115,51593,-26686,-9894,8802,7521,-260,416198,490,-27143,-51625,3182,-60,-1888,-2226,easy
576166,83330,22447,9194,42285,15673,11055,4052,1450558,8162,33659,186004,-17561,866,1206,8152,-19235,-31136,72943,98553,57720,6025,-2133,659,difficult
548443,66993,25519,25156,15514,8173,4413,3916,195405,13014,-16277,-16000,3513,-3775,-1663,-1769,-526268,-60711,21335,24389,-3007,3627,842,-15,easy
537737,69518,30245,13474,13321,14850,11314,3772,-371712,54476,-11962,-2451,-8638,-11896,-8290,-3143,-287484,44438,-5192,-4661,-10048,-11447,-8391,2304,difficult
220378,41008,15607,26989,9310,7575,4674,4113,-61065,-7175,-617,103404,6590,2653,1284,-1289,-199384,-12461,22437,15918,-7798,1729,-2422,-1523,easy
260013,56141,22042,4765,7844,2900,2033,672,162157,-21600,-16231,12530,6250,-688,-799,44,-238994,-16368,5058,84727,-3132,3729,8,2255,difficult
194697,93080,15970,10051,8855,6850,3815,1971,748246,143148,6034,65881,41372,27358,9181,24664,33352,-9944,44009,55966,-1660,22002,8090,10065,easy
1495228,270654,48461,31263,11770,13873,6980,7356,-1277225,-221992,-18606,-27119,-3072,-10533,-291,-5506,-1245059,-151649,130457,35959,139997,9935,-3221,-1635,difficult
403977,95788,31830,82804,29957,16854,6678,7031,-267181,-86629,-24085,-77286,-25522,-10842,-5202,-5160,-327549,-75272,-23393,-29738,-6814,-9760,-1210,-53,easy
551432,145123,49949,16481,26283,6063,2901,2871,-446343,-18628,15484,44344,39295,7079,6648,3514,229046,-106508,36739,29909,-16614,6465,3158,2882,difficult
254488,104404,52299,46500,13335,8757,3665,4736,320397,-86712,-46285,-25049,23486,1750,-458,-2041,871985,-55540,-21528,-6022,-10857,-4834,1299,-2112,easy
64068,20749,10712,41977,10617,23299,8439,6976,-43981,21534,14908,11995,12949,-14058,-3325,-3540,529500,32231,-8051,9266,11651,-11548,-3924,-397,difficult
1084067,272330,18395,24105,30545,17307,25488,8322,-871126,-256422,-17310,-23634,-27348,-15768,-25369,-7911,-1017943,-180836,65367,154052,-20406,5487,-21788,-5210,easy
509871,221866,8780,16550,8563,6838,3009,2279,1144940,-112008,-7354,78700,6214,8962,74,4624,517575,-65195,35711,44961,30847,6232,9063,3550,difficult
519125,103092,21846,13016,19460,16852,9188,7072,-501893,-60912,5298,46361,8427,-7570,2801,-424,-447423,-19197,31180,118437,-7014,-6707,-1705,-327,easy
60479,40962,11381,16298,7383,8050,10044,3790,479928,116633,6375,29989,47080,-3103,-1754,2212,15877,4362,5053,-8285,-4706,-5504,-7416,-2609,difficult
211198,32547,23383,37432,8031,6646,3315,4375,-204017,-17483,3324,32334,3623,3055,-691,-2155,-202118,-23256,-9388,46559,-3346,707,1740,-2409,easy
319406,53354,15096,22248,17936,7105,6027,6203,-86510,10035,34271,-12104,-843,3075,7016,-704,-27430,-23525,26859,55069,13697,4268,6987,-1419,difficult
288342,184387,26352,27218,14776,11519,7784,5165,-207711,-174459,24066,35535,5130,-375,-3505,1953,-255630,-111749,24307,74204,-8496,-5403,-2660,-1277,easy
34766,39998,17771,11919,7699,12151,13407,7112,84067,7376,-13837,-8747,-4473,-9418,-11222,-5735,-16359,-22105,-8421,73509,5131,1420,-6855,-3061,difficult
