delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
1259313,151656,80020,27801,27948,123707,785537,152672,22624,17703,13743,31398,1295059,350374,269923,9103,47330,117628,1506438,-116701,18450,42420,-4005,113345,470875,-126534,25278,14031,10329,160424,-271705,5852,-12173,626,27515,66995,-631785,-118070,-14496,-15690,-10146,3154,difficult
271097,104128,13075,7902,7520,11754,918414,186382,25529,21170,9744,34331,-213433,-137127,-7117,-627,3035,-14171,-858858,-179550,-23012,-20500,-7554,-30064,-885238,-168526,-13131,-19304,-3330,-22235,-802716,-120982,71,-17099,1950,-28780,-476338,194914,-19082,-8809,-5221,-17637,easy
313797,53092,19559,10911,15148,22401,852605,130557,28552,19465,21338,36976,-323213,-72329,-21096,-14120,-4615,-31749,-788094,-115117,-25782,-13470,-14982,-30708,-288276,-47686,25465,-4123,20806,-14614,-549410,-40005,2523,6561,-13244,38692,-745045,-112188,-26074,-17619,-18916,-34495,difficult
774683,163584,52402,19335,22869,51224,713162,162300,23003,11892,12398,19869,-600640,-98708,-16943,-8094,-6458,-2704,959512,128104,13448,2148,-5610,45514,-699614,-132760,-16570,4530,18460,40237,1125144,124913,32539,12470,7189,57670,-476797,-15129,134519,26163,38774,16057,easy
909863,128846,44472,21992,24443,24964,465007,75232,8626,18616,11067,19187,1983364,159994,96715,14565,49825,20647,-175238,-44031,20402,-11654,1240,-9170,-24605,21358,28532,4273,378,-2890,675970,159101,29695,18228,9898,17437,-235209,-28350,3888,-8533,5537,2863,difficult
465025,133867,36523,22026,30603,45823,523202,27345,10117,3434,8285,15489,234759,82870,62552,23305,21460,35994,149725,147812,36036,57934,44883,21781,132216,236517,-1682,6761,44336,36106,-371121,35076,42991,4043,5595,65657,-436464,30337,-7869,917,-4685,-7866,easy
485597,164821,42432,18548,20506,24910,752579,209530,61621,23221,19338,33646,1424514,521889,120012,9312,29724,37804,-707395,-180341,-58783,-17217,-3154,-26375,-633636,-187520,-59307,-21804,-10397,-25421,-706481,-179295,-56819,11665,-2962,-11636,-711911,-198276,-41048,-5322,-7369,-18052,difficult
199547,32118,17560,8928,22812,33865,147143,43825,4639,5721,5124,13383,383420,32974,39703,-3940,6292,3941,-139082,-35516,1733,2528,18619,14674,-142982,-21389,12898,3068,23117,33793,287279,-31492,7329,14934,9112,9726,-126614,-3112,2940,-555,31298,40276,easy
325827,76803,12222,13397,22710,40788,445458,231835,12401,31886,31515,41266,421065,-146723,-3700,-23712,-26418,-30069,-315283,-177360,13727,-21351,2661,4084,-237089,-53732,-7770,-9068,-9823,6067,-407859,-186879,7511,-9436,17602,46489,-58988,-210465,-10665,-28876,-28047,-28960,difficult
257788,153783,18199,14980,9239,34641,202648,51542,4778,5239,3276,7462,-90440,2924,4106,8607,-184,4817,200695,421224,25503,31704,11659,41819,57633,115906,4157,3373,8243,80651,91476,-27044,23984,1288,8522,10220,16335,-1806,9354,3731,1574,-1610,easy
470878,55735,19354,9710,21773,23227,1119171,78334,54217,14175,24145,31936,326586,-6309,-25074,-2299,9276,2077,-646458,16537,-2498,3288,4838,8083,-812388,-17283,-51683,-6883,-12524,-20751,-1058281,-68525,-48742,-7515,1707,-10182,-1050926,-37414,-46320,-8916,-15155,-22771,difficult
644668,85712,32308,6688,16271,38983,482600,86012,27496,22967,20471,47060,-356426,-48765,-23043,-17256,-19332,-39269,215996,-29301,-10207,-17494,-2366,-18326,-206273,48739,-20090,-15431,-9232,-36419,742120,95167,72940,-16287,23694,83619,414922,-67340,4458,-14926,-13762,-29992,easy
430614,51002,5556,7364,13316,30265,253981,94201,20912,13790,4868,24127,-160165,21653,-17802,5853,19436,4620,800767,-75020,-17614,-8757,203,-5394,244203,-76684,-10235,-9014,16369,31811,-14286,-70559,-13457,-8090,6865,-13398,12645,-15383,-17674,-12121,-633,13051,difficult
832755,201229,87089,13044,10858,37385,828245,271765,61080,51392,18472,48505,1202285,181619,291183,-8308,4516,44117,-631237,-254911,-48948,-48099,-17500,-45219,-416253,-150333,-29635,-47346,-2251,-22828,-812880,-212615,-43459,-47763,-14021,-37899,680635,83560,-39097,-40224,-8812,6228,easy
98219,36219,13268,12015,18409,24296,405433,336670,81695,39700,30772,53074,-273029,-268141,-81181,-14911,-17761,-5060,-199219,-299690,-64882,-25244,7434,-28449,-369930,-317540,-47702,-34769,-3980,-27819,-353321,-310114,-76094,-30272,-26061,-34574,-340570,-306771,-72278,-33229,-21447,-47987,difficult
1294395,483561,64306,32149,27108,58849,811745,349066,34572,55875,28026,69664,1100846,53601,-1611,-6220,10176,-10246,-142410,110608,21352,-23755,12727,-28412,-320544,-238595,23681,-19437,-23524,-56127,1557025,947078,-5706,-27798,2694,14025,218331,-200218,110952,-41419,-6661,26685,easy
496192,111445,13571,16104,15880,9611,886520,259165,34272,34910,28591,34494,761770,139401,-7853,11443,-4676,-18641,-806973,-183358,-22491,-28390,-3784,-19464,-850462,-212351,-20184,-28972,-18046,-28082,-315547,-239448,-24015,-16339,-13862,-27105,-740426,-242846,-28960,-31774,-23187,-31125,difficult
320080,85871,22770,11785,13221,16430,1527178,409481,99434,65135,41336,70650,-666108,-145836,-39991,-54939,-13571,-60391,-1430828,-390377,-98114,-60979,-39520,-64773,-1405793,-399981,-98662,-61159,-40167,-66829,-1365002,-387789,-86757,-54107,-31648,-39894,-1167760,-294068,-59794,-35566,-15667,-39214,easy
80211,46130,13190,16734,20493,43667,373524,25430,16487,7093,15411,24810,-365356,8395,-12680,-1478,1027,7429,-280664,18714,7718,15295,-5806,79866,-351371,37341,-2434,19287,34191,-651,-361485,-11022,2302,15364,6215,20289,-107688,50074,-11392,-263,-10215,-12647,difficult
937206,675732,91283,35760,40585,54258,578758,213256,39361,22554,7746,24195,-509044,-142294,-36421,-14503,3097,-18304,474968,742263,239670,83939,63956,43430,814695,1995095,-1194,11334,87744,111243,484509,-123949,86688,-12976,6886,4356,527110,-158734,-29135,-1765,2510,9590,easy
713889,273433,28176,31100,17030,79239,789885,179747,20368,36723,13963,53804,-371626,-4499,52490,-15088,4446,-7919,-739916,-136598,-4302,-23543,-7288,84794,-199796,86092,-9359,7235,8471,72262,1262331,644527,17474,38231,20633,18297,-330972,-121093,-17262,-34948,-10929,-40259,difficult
504899,123858,21346,18798,16067,33167,968792,307557,103571,31128,46820,66857,484432,64538,-49094,-8705,-9305,-25936,-714764,-280070,-97644,-24705,-41097,-57857,-588933,-252100,-67510,9971,-38291,-9897,-856008,-298223,-100760,-29112,-44683,-65093,-644190,-152641,-96119,-9099,-20390,-9669,easy
408815,84487,14993,7017,15058,31355,634694,51242,17929,16960,8114,18399,-534519,-23075,-17536,-13626,3067,-13557,-210278,25040,-4426,-5233,6768,17581,-118303,225041,28319,-4772,18437,36058,221805,-33519,-4715,-12455,7754,28041,-488098,-27261,-16324,-13630,-1306,-3343,difficult
431967,53435,11789,12271,10893,34093,822624,88498,32237,15483,14672,16745,-737311,-26144,-18895,-6033,-4284,53129,-778671,-36435,-14380,-4229,601,10577,-168106,10266,-22389,-12111,-7564,2120,523005,-46221,-18751,-10903,-4669,8607,-792202,-76783,-27825,17215,-2979,12308,easy
343338,61530,6850,11881,11526,39687,1071968,132029,66240,16966,21505,69476,-1024061,-125550,-62046,-9408,-10466,-31215,-577944,-17007,-61542,-1429,4197,10572,-856935,-71513,-57417,-12249,-14762,-45002,-996923,-128206,-64400,-16278,-19442,-61819,-187285,-10217,-51543,13939,-9423,-21481,difficult
412231,103371,26039,20615,7734,15910,1223564,142650,37541,57753,21191,28643,-811955,-70289,-6048,-45884,-13055,-9348,-925541,-115893,-19907,-55047,-19006,-17219,-796601,-67679,-22770,-32819,-14282,-21254,-664931,-93411,-17537,-43937,-5550,-12407,-857639,150876,8752,-8004,-15393,-3437,easy
