delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
26048,8037,5569,2339,3332,3777,5314,2391,-6755,-814,-3328,422,2448,16349,743,1574,135356,212401,6461,33662,24060,13234,7741,7402,-11644,28398,10274,14164,5858,20162,28032,9152,10403,34710,8731,26315,59,3795,5698,5634,1601159,178873,11398,19838,13371,7064,9315,4083,difficult
476596,130742,34021,25833,12575,47885,18738,22042,2334531,391352,29509,-18783,34724,22540,12656,-2318,-397074,-111460,-28718,-18699,8711,-3359,7756,-4190,-447935,-126050,-22360,-22251,2857,-17004,-1278,-15549,309548,-75145,-6431,-19880,-5664,-41229,-15954,-20948,-465152,-112998,-24230,-3519,3252,-33022,6603,-14059,easy
947923,296636,57591,95702,25871,26409,35859,28922,-45234,-223584,-46913,-85675,-17558,-15534,-29857,-23814,-856074,-254166,-54840,-92677,-19451,10172,-29076,-25697,-944166,-293828,-52698,-93861,-11312,13896,-18892,-18128,-893717,-228596,-47257,-88935,-19212,-12290,-31863,-25554,-942291,-295589,-56953,-92489,-24464,-17585,-31266,-25801,difficult
164678,55151,10132,16294,16441,25299,18184,13453,-159995,-52962,-7552,-13235,-5090,29833,24673,-2889,-156710,-52935,-5860,-3093,-2930,-12053,23743,-5002,-132789,-21062,-7528,-13391,-13788,-11643,-13295,-10507,-140900,-49473,-2263,-11813,-9002,19099,-6646,2154,-156219,-44247,-5068,-10871,-12735,26019,3363,-3334,easy
876369,165048,65975,12396,13095,37098,13155,18302,-708539,-143194,-41962,-7561,-3054,-26298,-7094,-12447,-872681,-159285,-60193,-8129,-1480,24856,-5982,4176,-846564,-155012,-64011,-4468,9674,-6619,6620,-10047,-774766,-153691,-65467,-11007,-11746,-36047,-12512,-17582,-858039,-154587,-61634,-2566,-8758,-32363,-9193,-14112,difficult
1198743,107645,54192,31663,7783,26917,17124,23679,401977,-49582,-47370,-15764,2903,-12173,-9359,-18074,-1124151,-78535,-48742,-29534,-6111,-23534,-15314,-21923,-1103365,-24705,-45847,-12461,5436,88999,-1442,31520,-1191619,-97508,-47587,-21375,-4070,-20136,-11658,-14250,542794,12361,-11770,-14536,14277,-21361,-13745,-18829,easy
234398,51768,17602,7080,5761,6010,4872,2304,-173195,-21174,-12778,-4193,-4069,-4368,-3940,760,-170273,-48461,-13854,-245,-2054,4495,-594,3045,-124482,-25797,-11285,1294,4065,6821,2891,183,302497,-453,10312,2500,2757,10300,-679,950,798762,31097,-9470,2612,11998,4177,-540,936,difficult
491153,82247,36616,28933,16296,29248,16845,15466,-167924,-13440,-26347,-18981,-12863,-9634,-12664,-12162,452365,-1876,-28447,-18138,-838,-15856,-10051,-11212,-474475,-76798,-31094,-13930,-8589,-3498,167,-6798,-386068,-75243,-31607,-28394,-12783,-27334,-15643,-14841,881715,-35475,27863,-13077,-11243,-22221,-11431,-12090,easy
423240,8768,2921,3512,4106,12060,14597,4446,267294,227529,33457,31187,10306,33978,34004,22110,1417030,49562,9914,110,2204,61596,29070,13798,846912,108656,13625,35288,15142,59126,11403,15777,-420432,7801,4379,15843,3421,14666,3134,5078,-375910,14749,6240,22322,26445,22907,2078,1024,difficult
1021589,80505,21344,6519,15133,11129,7282,11165,-317324,64452,6386,413,708,80721,23394,3319,-995431,-66199,-10859,35985,-8831,20368,12440,868,-914687,-76930,-8772,14830,-11496,1009,-4676,-5109,-1019677,-76604,-20547,-351,-7021,2151,241,-5654,-780511,12848,-2146,3342,-5663,-3607,-2492,-10116,easy
256634,126316,22348,6139,9925,15284,10040,8056,179817,-110522,-18895,-367,-6806,271,-5915,-2776,1163328,-72895,34936,20456,11360,13411,42628,13146,-245315,-107067,-17369,-3873,8028,28217,5612,4743,-151186,-89670,-19166,-1957,-7733,-12614,-7167,-5094,-97313,-114000,-21179,-3092,-9211,-10739,-8430,-6482,difficult
765886,81475,11499,17210,28186,47877,32391,12161,-398645,-24674,-2915,-4593,-14017,-39828,-20222,-7117,-717316,-1523,9488,-5955,-1407,-32312,-4553,14047,-748528,-68410,7022,-7992,-4012,-18098,-22466,-5735,-564101,-78133,-9457,-15541,-26518,-46261,-31712,-11854,-690016,-76123,-7507,-16851,-25448,-46136,-31962,-11525,easy
474490,27132,15250,7720,3660,8601,3201,2169,-410938,-18083,-10510,-6226,-2885,-5624,-2104,-1094,-195740,84798,-3461,3739,11938,3892,2868,929,-464091,-26011,-14849,-1560,-1402,-1395,-1122,299,-436241,-17060,-11181,5249,565,-5094,-1106,-1263,-8400,645508,28818,12973,8430,26584,1536,1031,difficult
367006,20010,12373,4389,5021,5418,2752,2863,-260342,-7887,-11071,3863,-505,-1297,5861,461,-285770,-715,2389,2821,1454,2630,-699,38,-251076,4786,15093,9222,16153,13261,26523,11451,-326362,40218,-1554,1197,22930,27020,18088,16398,-362505,-7285,-7571,-1357,1032,30988,29540,10754,easy
342702,72560,16695,7129,12991,9776,7890,3878,-248198,-52563,-16014,-408,-8817,-6709,-6001,-2698,1772148,277446,43342,17046,6763,23192,8997,20545,-93853,-30522,5485,-1363,-4311,2516,5563,4183,-267012,-26279,-14797,-5654,-7481,-7390,-721,-1611,-3731,-36413,11793,39431,-9300,15954,12372,13723,difficult
473599,184098,16585,7697,12892,18070,13491,6970,-360662,-128093,12935,-3517,-7728,-9444,-5221,-2483,-422023,-176523,-16207,565,-7337,-3082,-4887,-3551,-320753,-159870,-12606,-3939,3877,30568,2848,11087,154804,-150879,-13256,1905,13781,6814,-3137,11750,-417931,-178504,-16459,-4958,-11532,-8422,-8424,-6131,easy
901882,70838,21673,7331,13453,14852,8174,7498,-441683,-44688,-6568,-1794,-6855,-9045,-5580,-6154,-441683,-44688,-6568,-1794,-6855,-9045,-5580,-6154,-887161,-62672,-16467,2492,3700,14603,11588,10374,-628772,38859,-966,3776,-20,2212,-2420,-3623,-858840,-65010,-14113,-1062,-12592,-13010,-6823,-7025,difficult
938885,63778,48646,27395,10393,21866,15230,10845,-701564,135761,-32867,-23156,-616,-13498,-12914,-7905,-257724,24945,-30899,-14904,-1785,-15729,-12836,-8843,-803655,-11750,-39765,1039,-4031,-11684,-10179,-4045,-880622,-57272,-45532,-26349,-8785,-15556,-10904,-8878,-933801,-57600,-41852,-21607,-900,-19797,-12939,-9713,easy
679236,100937,38319,10383,22296,23756,15119,12014,-398777,-54877,-36670,-4520,-19038,-8003,-1282,-6952,-673659,-93038,-29726,-4047,12041,14019,37281,6946,-672659,-84446,-27064,-1792,10149,11861,35111,7068,-602980,-53246,-21589,39451,-5669,1111,42635,1206,-212525,54642,-20584,459,-15628,-19391,9225,3450,difficult
545411,37380,5806,7103,6034,3811,2479,1501,-520971,-36305,6145,45,-1034,-1592,-893,404,-535745,-33223,-2119,-5483,13473,36206,10774,6515,-538412,-17218,1932,1016,4983,10701,2701,4212,-506700,893,8040,-3488,-631,5763,623,564,491266,5544,4241,-2355,503,-571,70,-739,easy
250553,34172,10077,5122,6735,8012,4300,5300,-190568,4193,-8650,-2467,-5820,-5682,-2999,-4561,729337,10464,5814,2642,-2103,-3444,-1093,-1414,-233797,-5388,3335,1081,5255,66831,82855,40437,36006,18839,-4015,-4663,-4124,-4421,2228,-2551,-95098,-25806,-9530,-4242,-6149,-4010,-2355,-3236,difficult
