delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
219077,15790,8712,10792,15509,20321,16981,10144,-31978,20589,61321,22301,11090,43709,1298,10761,-203639,-5337,-4966,-3610,-146,8457,773,-5708,-203741,-5940,-2404,-6172,-10434,16206,25638,1400,292147,94305,-3224,-2975,-802,53707,20068,7315,-109424,21249,-5404,-6623,-14293,-17653,-15920,-8626,easy
847954,92388,11402,21619,3335,25277,10099,9389,-721738,-84774,-10083,-15142,-2287,-21998,-7556,-8193,-844257,-66551,-7695,-8726,13692,24311,19881,952,-844317,-73768,-1842,-5053,3603,-3451,4720,9,-787120,-57716,2930,-9996,12378,-4868,-1061,3398,-758807,-86465,-11007,-20780,-1075,-23735,-9238,-8559,difficult
718792,100426,21852,15324,9092,45313,41833,14376,543407,30153,22695,-13264,9968,-32760,-14921,-1743,448594,-57285,-3437,-4919,-2905,-31415,-40048,-12562,-607285,-90902,-20574,-14939,-8194,-41305,-40476,-13594,-636875,-75702,-17786,-10688,-3281,-37900,-30768,-6193,48774,28321,2151,379,-3014,-6808,9687,10020,easy
231327,32488,6009,6773,3958,6328,6958,4693,484462,225194,74495,37807,39089,29604,54655,26927,28265,-21094,-3361,-5989,-2678,-1154,-2308,-3223,-156480,4333,-1028,-3920,-1154,2772,6818,2000,-29555,-16445,-2036,-3052,-446,5994,-2728,-805,-221468,-13134,-1143,11382,10033,24905,24130,1523,difficult
460382,48958,22749,21060,16536,32005,9322,8611,-402834,-17041,-14643,-19833,-9725,-23671,-5968,-829,-443860,-37623,-18750,-3243,9077,-10903,5590,6167,-414488,-26748,-9002,12002,16713,-8963,8829,9398,-157143,10160,2401,-6896,-9181,-27608,-5178,-6180,-419427,-43003,-19923,-7076,-10162,-25530,-4363,-7611,easy
780196,76074,20360,17974,7740,31441,29309,22804,-536452,23205,-860,473,4969,-20984,-18661,-17285,-28452,37301,-3951,4865,20605,9083,120,4588,-729881,-56973,-2637,-5065,9559,-15184,-19987,-14009,-736866,-35121,-6719,7754,10744,-26319,-24276,-19011,-616031,136304,-6602,-10755,-2445,-22655,-23004,-18669,difficult
12886,16756,4942,3981,13086,20029,17549,6187,98365,249,-820,809,-10465,-1749,22642,-3785,-6065,-1382,-3179,2859,-2023,9421,51245,29608,112138,2504,-2892,-2385,-11823,-9778,-6180,1455,-10567,3363,6407,1222,-4990,1135,4932,2858,-4088,-13290,1120,-1320,-6133,-1051,11617,6592,easy
419995,63023,7981,8943,4414,6168,4166,2967,888937,350929,44351,-4007,45417,27300,37535,15084,-348191,-57969,4773,-994,-3348,2797,2392,8965,-415711,-45869,3744,1303,18680,35929,28193,11779,513627,72741,-6355,-5391,4255,26654,28160,16534,-336927,-55263,-4120,-8330,-1066,-895,-3376,-2462,difficult
309590,39481,14379,13419,13049,15801,10102,4897,-43254,9931,-10813,-5978,-11073,-6844,-605,2438,-267931,-13385,248,-10113,-7512,-5298,1721,-2256,93817,154452,-7168,13042,2380,12778,47093,13811,-130662,-30462,-13171,-11238,-11338,92,-7255,3357,-18047,98431,19558,-9686,-548,14395,9546,12750,easy
160385,22975,7903,4218,6274,11325,6263,5972,-136613,-18927,-2493,13675,2106,33825,22503,19804,-137198,-21051,-5074,-2876,-2470,1937,-3562,-2251,1202022,282090,54375,12791,24718,46368,18249,15796,-36756,17617,33106,11414,1026,35716,18126,17049,-57730,-15404,-6595,998,-189,-5318,-1460,-2273,difficult
169076,29766,7975,8327,12059,16703,6566,4121,-66889,-4616,10664,-16,-7881,-11411,3050,-103,1230712,112927,15112,18207,45273,8957,5134,8960,-161581,-7920,-3420,-5783,-6007,-861,9349,3795,-166177,-19849,4072,-3538,-9389,1474,-2616,4220,-15659,50119,-1624,-6480,-5649,-9834,-4692,-1874,easy
107630,24202,7227,7504,14448,21984,14526,9572,-100226,-12371,-3064,2305,-6242,46709,509,-224,-101016,-21900,-1253,7606,-9103,15079,20124,6993,-102541,-15684,171,10754,-5505,17952,17288,5292,1673678,147948,11788,8966,-6193,58399,7072,37,-95649,-17941,-1254,-442,-1075,15587,33960,-2014,difficult
879645,34081,7421,18852,8528,13007,9360,4644,-92685,234902,9219,1511,7164,73488,41923,22932,-228984,126085,73228,926,2745,29800,10146,7294,778157,121443,9247,2263,7164,34317,17276,24499,-876905,-30822,-2447,-10532,-699,-2153,-1003,-2833,28203,-11370,3417,-3172,929,-1234,-3007,-1649,easy
208941,126941,37049,4167,5757,18928,7108,3903,1749984,6451,18698,79193,46014,53136,29941,11466,-163745,-92501,-34023,-3155,-4071,-16158,-3935,-2631,1608888,-77640,2969,37648,27391,30447,30826,30061,596249,166089,-3115,5841,5227,-3390,-4139,6307,-57878,-112191,-28699,2101,5812,-4589,5621,-412,difficult
630361,42773,3293,7465,3647,9661,10647,3754,-347604,-3664,36214,-4308,7725,4493,-3656,1611,-527027,-28297,1736,3980,-327,616,-6880,4821,-613506,-7893,19576,14718,18768,35938,15341,7538,-471690,-19628,1869,-1456,-2097,-3385,-7004,688,1188959,55720,46263,69771,46833,71380,12322,11102,easy
718617,34846,23818,20430,12049,14302,11988,6218,-563386,37505,5069,-4578,1954,89508,39038,40481,-673521,714,-22821,-15958,-9959,-711,-8550,-1269,-710023,-24682,-21657,-19169,-8663,-7242,-8702,-2605,-703175,-24353,-16989,-11431,-3517,73127,10926,18983,-704239,-30266,-19431,-14935,-4080,29564,35226,23769,difficult
572125,50220,14848,15090,5926,7397,6685,4053,-558011,-48424,-11890,-13689,-5127,23634,668,1184,-562622,-38871,-12478,-11590,9261,33457,7086,12657,-470187,-26420,-12541,-14237,-3700,2694,-4436,368,-490523,-48412,-13302,-14768,-4817,-5237,-5631,-3368,-438812,-36644,-12554,-12724,1798,2117,-578,4190,easy
312064,32688,9511,6876,10276,9271,6571,5352,112632,172481,107567,-2276,22815,34444,52666,24579,2854519,407984,-9,18647,8848,5297,60610,16250,-301587,-21839,-5578,-4567,-3837,3053,-1727,-2318,-309297,-22226,-8054,12471,-5242,14637,38121,16767,-286332,-19048,1513,-1001,9478,13313,1574,6272,difficult
570472,41406,20132,12873,9142,17415,16153,17493,-549589,-3562,-4559,-4918,16813,65810,13202,367,-478458,-7548,-15275,13298,-2637,31504,71838,11052,-541685,-35537,-18857,-10461,-7952,469,-10118,-14869,-105370,-6934,-6032,-9382,-3166,-15709,-15339,-16774,-550591,-18806,-17496,10242,12693,5003,-3185,-9563,easy
709194,207860,57378,33442,15542,22557,12751,9858,-2033,-96309,-53889,-23767,2693,9614,13540,13985,-619764,-194850,-53456,-29490,-12611,-12800,-1355,-7357,308346,-168443,-47572,-29752,-574,-7187,-4307,-5246,-640006,-187668,-50297,-28130,-10035,-19500,-10795,-8970,-702017,-194569,-41106,-28168,-11687,-4099,-6992,-5999,difficult
858631,155863,48501,35811,18978,27306,32469,23154,-657387,-49178,-21619,-14724,-1775,15886,-14897,23874,906423,-110826,-32099,-23915,-8828,-18001,-17506,-18718,-658365,-143251,31129,34231,44056,21668,2828,1295,927239,75250,25399,-6610,28212,5067,-11326,-10590,-516745,-129618,-33591,-27110,-6741,-14154,-27397,-19856,easy
489975,126011,12314,12615,15361,10270,9476,5190,-285317,-101657,-11939,11678,28523,135617,58377,13383,306326,-105647,15684,-6019,-12487,866,3263,980,-471528,-109935,-8452,-11705,-11232,4340,-686,-609,-420031,-117926,-9198,-11355,-14311,-7810,-8682,-4262,-422742,-72806,6208,6229,-8956,6250,-4415,-3002,difficult
419886,50040,17604,3433,4258,10050,12717,5938,-410332,-45224,-9411,-1467,-1133,-1642,-9317,-1962,-328749,-39508,-9833,-862,5793,-3075,-4884,-1428,190655,-36455,-7184,5477,7561,14830,-4667,-89,-401580,-46110,-14130,-1006,-550,-7760,-11561,-5296,-314857,-34778,-14333,2171,6833,-5357,-10447,-4819,easy
99544,102063,5759,3849,8499,25705,19659,6532,406206,-78730,3418,13931,5397,11238,56134,13013,69571,-3651,51256,8455,-262,7388,37478,15586,-89663,-79985,9348,25133,12004,712,12458,13732,3483864,175674,165900,67655,54213,38485,4403,2516,-45937,-29454,3131,-1294,-996,-21820,-12763,-2935,difficult
1431443,199945,26140,28678,29111,45742,62234,17085,-961456,147666,-4464,1869,7681,29657,22162,8470,-1419035,-196493,-24969,-24002,-20040,-4828,-25519,-2267,-108009,68660,-7060,8505,5371,-19434,-48984,-9980,-1421588,-193729,-20948,-27415,-27271,-39988,-59604,-15283,-1418232,-169826,-14037,-24142,-18778,-19070,-46045,-4975,easy
771995,98973,34910,28035,2912,12111,6624,6547,-769831,-93887,-31625,-23205,10600,22928,9234,6312,-765150,-72952,-21092,-26078,5514,-6095,-4294,-3568,-742752,-80601,-33446,-16879,2256,-8041,-5346,-3826,-767671,-89377,-29392,-23003,-717,-1400,-3511,-4441,-769489,-91329,-19149,-23989,-345,727,-54,-2147,difficult
