delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1374896,220878,46006,40104,25692,17623,22419,9319,1301436,38493,34695,39354,12980,5255,3140,2919,-1165841,9412,-31707,-32339,-9418,-1769,-1575,-586,398130,-3721,-27597,-25377,34707,8660,10228,10169,-1287324,-2413,-24241,-28962,1870,1979,5004,5087,806670,83845,-4694,-29259,14718,15331,16743,3721,1615666,824803,144794,119687,21685,37637,65996,13609,easy
510009,53474,4194,8983,9174,9954,5337,4069,332684,157723,47219,19667,13569,19918,19080,10217,393285,-134081,-42180,-16558,-9384,-15811,-14626,-8626,-48369,35472,-40925,-4557,7937,-11513,-9596,-8086,-145764,-125388,-45283,-14249,-9977,-12834,-15032,-7499,946631,-145011,-42197,-32,1862,8635,-10858,3239,-259158,-152236,-44539,-18024,-12411,-18295,-18601,-9770,difficult
965743,227335,53640,42267,45331,42789,52519,38007,315358,56924,13983,13095,8412,18891,18289,13129,569804,288920,4661,92237,35505,40630,56146,25614,-170486,-47498,-5723,-11951,-6720,-16765,-15090,-11156,683572,199435,112446,21974,24766,45971,7087,27954,1688109,248997,72581,33535,70919,45865,51285,22256,480927,162200,14320,10066,60123,3787,71723,59723,easy
245201,47897,7052,5737,5942,17091,12695,12924,1314787,263330,52454,27072,19902,67472,59115,48056,-620329,-173838,-51871,-17373,-13233,-28133,-24070,-5995,-1262970,-234175,-46012,-22939,-13250,-59248,-47131,-43238,-1174271,-229647,-42918,-24894,-13898,-48013,-54533,-34959,-1183299,-203226,-42170,-16378,-12867,-50000,-48679,-43985,-1107063,-236277,-44040,-25092,-16551,-66512,-57686,-47481,difficult
561836,88786,15177,13625,17089,14563,26439,13073,435830,198877,17850,7632,8239,10529,8644,4769,1223514,-69278,-68,2015,21931,11553,11131,34238,-413762,-185379,-2619,-1615,338,-5034,-3957,3442,-172098,-179470,-8194,2574,-4106,-7386,-2610,-2299,284435,32516,13540,26041,32443,7932,82095,8794,-292061,-148845,-16022,951,-6357,13107,2318,-2657,easy
222531,29272,8003,8423,5429,14316,9440,5841,1375797,148442,43127,39444,14500,38638,34190,22107,-549967,-54951,-34383,-19993,-10071,-22976,-25618,-17302,-1234391,-138047,-41677,-33647,-8453,-25702,-24788,-18030,-1360339,-138846,-39394,-38222,-11717,-26053,-26707,-21373,-1342135,-123767,-40073,-27388,-12705,-27319,-29425,-20290,-1279500,-140239,-20092,-35855,-2409,-19559,-17211,-4334,difficult
382486,89507,19407,14934,23442,21371,13441,11999,559925,74972,12195,12331,8662,27934,32777,15916,-27736,196834,8606,40644,73187,26276,-6602,23041,-266429,53488,-7238,-10739,-3166,-22843,-26928,-11207,-435659,-60349,55610,-1344,9962,9685,-3759,-3319,-505437,-70438,-11567,-9274,-7449,-24602,-32022,-14827,348068,-46862,-9351,-6270,1365,-21333,-27371,-13271,easy
529738,64617,12873,8419,4214,6661,3411,2529,640518,108136,7842,19143,6115,27622,16702,15632,-607674,-101957,-6182,-16783,-4109,-26773,-15827,-14447,429475,-12552,5741,-5137,-1801,-22373,-13582,-13911,58898,3191,7992,948,991,-19151,-10083,-13173,-331466,-105879,-7266,-18245,-5564,-26844,-16424,-15384,-103135,-397,24871,-14404,976,-9665,-10541,-8599,difficult
567272,201052,10425,5110,16727,23151,11478,10257,1305460,284684,24238,46822,27334,48005,39410,21815,-241194,32273,-8694,-39620,-20845,-37820,-30293,-15191,-1186274,-276363,-21356,-42297,-25101,-36953,-30127,-20200,-923929,-189125,-13148,-42217,-15813,-33397,-31043,-15084,-1080511,-240290,-19369,-43908,-17372,-33774,-30726,-17021,-259033,255344,-6500,-40520,26094,17676,-17469,9705,easy
142772,52109,13769,5343,6936,24248,13543,4956,128449,74000,13287,15057,5130,16430,20108,14164,155397,-11734,27833,-7272,10668,2547,3291,-6313,79424,-16785,-9660,-12123,-1908,-1352,-6078,-9817,-95517,-25815,-6674,-10111,30,17121,-8249,-11692,-12207,-42507,2349,-7950,1706,-7626,-10916,-10631,-55481,-12613,-11438,-11116,-1464,28400,-10872,-7588,difficult
541629,138072,43090,34198,17118,25766,39862,19691,68935,32162,8908,9392,9912,17658,12207,13591,-15362,-19119,2148,8243,-5471,-10301,-1839,-1202,2094323,437180,158883,81550,13632,5623,75787,4734,41483,13944,11830,32039,-2056,20365,15201,11569,-47161,-5218,-1322,1860,5568,-2069,30325,228,290187,102765,-628,339,24358,26924,18801,15171,easy
1451223,65588,33814,10620,13653,27051,26282,7581,1344705,199129,54490,78028,31914,26887,40425,37585,-1199107,-167393,-54296,-77229,-30913,-24869,-34090,-36378,199691,14927,34029,-64987,-5163,-3365,16125,-27156,1924362,-166839,-26092,-47552,-12465,45368,-5762,-28494,-82078,-166712,-12775,-71492,-14630,1326,-10717,-23976,-310276,-181686,-44247,-75780,-28132,-17642,-36270,-34015,difficult
673553,421559,81002,21308,15956,40863,25628,31319,199041,99471,20795,15623,8349,20299,13338,11992,440102,628640,178553,49596,11958,29410,37875,39851,1508776,1036023,130796,4512,12423,47072,30922,48517,685230,92531,4543,-329,4591,-4702,-3417,-2579,-119439,-81751,7396,-12892,16070,43897,5346,21019,-142108,-65004,-20252,-12461,-7006,-12856,-9278,-10173,easy
853106,166719,22324,26091,14445,34352,35537,15738,1288677,224843,28860,20378,12597,42112,25630,16437,-644376,-183421,-23233,-15320,-8463,-16623,-4599,-13046,-1144777,-215162,-22953,-19050,-11111,-37877,-23661,-14371,-1174453,-170382,-14438,18313,10879,-10618,-12973,-9150,376650,95045,9208,19064,-3103,-1304,4265,-802,409101,183302,18736,25560,21037,27624,86501,33872,difficult
137600,36290,16277,19328,15871,6857,7194,5195,598423,114620,29018,26555,29427,27950,25450,14485,-339439,-106104,-27344,-23708,-23197,-26794,-20899,-12535,-567231,-77591,-20505,-5983,10210,-15247,-18069,-7749,-590513,-97891,-12506,-1518,-23999,-18939,-14331,-10172,-547720,-86663,-16804,30,-18201,-23433,-21302,-9242,-259213,-23403,13454,-4958,-12591,-21053,-16679,-6751,easy
708283,119506,42330,25104,18047,35585,29336,9320,606754,119297,16203,7519,6200,8792,13908,6567,-134074,101879,-4003,15341,234,10624,-2786,2820,-560081,-102717,-15324,-5987,-5276,-7473,-12553,-5268,1752397,27844,84240,68579,58536,104175,71739,11349,-545477,-10949,1240,7614,1510,359,13490,1445,-5118,-15012,64481,2378,4231,26278,7248,3417,difficult
328296,147150,18505,6738,12808,18570,13525,10015,299896,75447,35819,23514,18731,24507,28286,17193,70182,-37664,-26759,-19539,-15528,-11459,-22172,-10487,349244,572192,30556,-7577,21783,18142,11516,10049,260274,-65177,-30058,-19907,-15743,-11256,-21473,-13784,-287030,-48311,-32095,-15646,-4706,-4237,-19260,-6601,-250671,-62527,-28213,-21209,-15419,-20876,-22416,-15065,easy
250258,28038,4485,16474,6860,9662,14145,6662,392797,44262,14299,23519,3496,12765,16718,6781,31201,47025,-9027,636,3939,12185,22207,8659,318153,-9981,-3637,413,7886,-3067,-3114,683,-356700,-39684,-11259,-14306,331,-8710,-11471,-2957,-385747,-41497,-13213,-21466,5690,-8704,-12186,-2615,-319602,-36984,-11932,-501,-1025,-7220,-8302,-4365,difficult
988778,53406,9917,3698,6933,12575,7084,9022,864579,364974,176317,29464,28468,59373,51248,42467,647820,-323040,-158349,-20683,-18119,-32684,-37768,-26295,1219719,-310602,-171249,-27144,-25238,-49403,-47310,-38266,379794,-222886,-166129,-25502,-17332,-48209,-43496,-25722,-841963,-355723,-173019,-27637,-27233,-57636,-49847,-41049,-784377,-345587,-163253,-27866,-19754,-46056,-42398,-35895,easy
233566,37244,19802,7582,9385,9804,5175,3849,786581,71248,9907,5504,7030,11366,11141,5916,-473501,-52223,-3537,9989,3713,247,-4923,-3148,-777702,-65470,-7822,-2774,-3917,-5545,-9062,-4506,-84007,75576,76685,8047,9775,-2061,1331,2107,-658681,-68249,-9548,-5029,-5802,-10722,-10583,-5199,-771186,-59653,-6305,157,8006,10272,-6591,409,difficult
558248,90367,27055,15558,11214,18119,7274,10202,156091,26776,12581,9306,6217,10427,4307,3167,233146,97975,-8608,-3671,3995,4409,2480,3198,-106917,38141,11651,-6609,-662,-2269,12,3565,1777539,73703,68074,41340,-2193,25093,7513,15885,-130675,-9716,-6225,-372,3559,-5752,597,-145,237692,117853,7477,571,20287,16978,4231,12670,easy
448938,52047,8582,4539,6485,8618,4157,5778,386870,101089,32835,32344,10306,23349,22750,17945,-356329,-93853,-25777,-19277,-3293,-1756,-15495,-5221,-349250,-53106,-29995,-31040,-7922,-20277,-20421,-15231,-374682,-75187,-13398,-27806,-4300,-12520,-17329,-7137,1351799,-86799,-23861,-31549,-6599,-19632,-19282,-17028,38800,63734,-28235,-29353,3008,-19470,-20437,-16219,difficult
411167,37383,9420,7665,5504,15476,8613,6052,694413,92245,13180,10096,7637,13274,8043,5220,-409053,-33755,-9262,-3538,4572,660,-1015,-1295,-502377,-56916,-7655,-599,-3233,14974,4132,3128,-572593,-84413,-6169,-8648,-5426,-8747,-5440,-3450,495751,-70852,14233,4747,-4095,7652,-1154,4033,-427956,-28376,-9949,-4118,-2483,-3528,6329,1743,easy
835102,86794,28968,13397,20836,16504,18669,10673,398250,134418,6718,16646,11300,17212,10962,7708,20827,-50583,35776,-6622,3080,-1434,6632,7078,188652,-93105,-2907,-15230,-1567,-2782,-641,9114,-197925,-51113,-4497,-8980,-6941,-13262,-7420,-6706,593707,-88407,69793,-5336,4452,-5559,4684,6081,1579000,45090,13084,19921,48658,19498,35279,-744,difficult
764175,82068,19900,19217,10120,17285,8984,8893,206584,71170,10669,10041,7682,8806,5121,2404,2666393,40485,52664,16212,8081,-987,4475,11594,-84276,-69724,-7484,-7257,-6846,-3718,-2663,-524,387954,122887,15370,53023,15078,51336,23881,20675,-59631,-36500,-4531,-7852,-4120,-4174,-4138,-1841,-122487,-2658,-9864,-8244,-4,-60,-2238,2543,easy
575841,62408,16000,18538,11701,13909,9200,4724,837109,260439,62419,32785,15085,23048,51027,21814,-596932,-159980,-23215,-23961,2126,-3907,-40840,-14010,1480682,-194968,-40967,-8964,-11399,-17710,-46104,-20222,-717333,-210890,-53757,-1130,8619,-1293,-38475,-16865,-679656,-208916,-54025,-12926,-11424,-9358,-40102,-16063,-793099,-215401,-60130,-24252,-4843,-13425,-43615,-18291,difficult
375538,60506,12257,14342,8675,24958,10669,11689,848503,306387,54283,40822,40379,53469,111431,50478,-577883,-300789,-46660,-35963,-39085,-48573,-108405,-49606,-562756,-224470,-36706,-29930,-36062,-35726,-104183,-44373,-225749,-278874,-48105,-35808,-37045,-38895,-103509,-44175,-226279,-218922,-31037,6529,-15605,27122,-84229,-16209,-772158,-206352,-47623,-37229,-30722,-46481,-103486,-39580,easy
630363,90368,9824,30225,9369,16271,8308,9368,864965,189524,15979,11553,5498,17330,10069,7226,879197,-20802,-8513,13105,-642,12736,-2381,10605,-233937,-124088,-15222,-5721,4405,-11984,-4459,-216,-774304,-134612,-865,41621,12197,-3445,-3399,-4335,-847321,-183019,-14836,34728,1956,-2654,-2927,-5483,-196644,-33260,8661,9626,1441,51,4362,10141,difficult
488734,102399,17434,22504,14745,21631,9200,4877,635868,120778,14177,8120,19715,34513,12547,6392,444790,55335,759,38708,14491,16510,-5111,695,-502069,-88315,-13194,-4326,-18367,-30755,-11110,-5524,-195,73213,8875,35826,7044,1403,10891,4163,-404454,-50071,1322,-6179,-12993,-24630,-7741,-4230,-273740,-82057,18522,7890,-15025,-26940,-3666,-2677,easy
685264,127951,14332,14001,8484,14555,7756,6030,159370,55682,10422,5003,4679,12984,6187,4334,496084,-46201,8233,-723,3913,-4719,-2214,-873,743787,333254,21705,43100,14946,23824,1884,8345,-25044,-31262,-7125,-3776,-2759,-723,3881,-2503,-66648,-16872,-10259,-3889,-2840,-9145,-2126,-383,1481292,122427,6997,10277,5766,-1381,6420,3896,difficult
633576,46889,17369,15113,13436,13846,13160,9750,727003,121454,32580,29795,21081,45693,36243,18775,-650390,-86959,-29613,-27019,-18534,-44358,-35612,-18482,-429026,-111771,-24780,-19945,-17851,-41734,-34255,-15684,-707362,-109871,-25263,-25982,-20375,-41492,-34278,-17462,414549,-75956,29058,9394,24583,-15491,2968,12282,905094,11730,-25455,-9860,-6050,-16161,-14239,-5780,easy
957391,349535,38903,25776,10943,29404,53104,11715,916070,48453,7976,4771,13804,14959,16845,6642,-826983,-24282,-2624,-3093,-13485,-12378,-12222,-4257,-692877,-25652,-4961,-3431,-12066,-8621,-11858,-5580,-404928,74968,62910,30687,642,8136,62910,5724,2837235,1503634,101152,81272,22289,96663,139907,34240,-705841,-23256,-1843,-409,-11686,-11576,2558,-4764,difficult
163956,44170,5201,7277,7303,8667,4916,3423,98955,16681,7992,8160,11177,6068,5557,4869,425870,107289,7154,-3173,4679,7247,-1016,-1841,-90542,-12740,-6541,-4557,-8272,-2554,-4724,-3849,-91584,-6336,-4102,-4763,-4157,2413,1918,-523,40005,37389,-5635,-6307,-7789,-1358,-3377,-4132,41255,11843,-4830,14386,-3833,7246,3993,3113,easy
867191,54932,23893,14583,4293,11192,8714,4766,1034323,76778,37925,38936,23350,12842,63041,13879,-183459,-57703,-33916,-35908,-19249,-5094,-57485,-8427,-845500,-3712,-29266,-33165,-20410,-2969,-58743,-11022,-929108,-27887,-26305,-35499,-20230,-3772,-59198,-11638,1558522,15164,46961,2664,-16115,10229,-39797,-7808,-436115,-35092,-27632,-19857,-19281,-6646,-56414,-6668,difficult
432805,97301,19957,15795,10207,11034,6628,5707,295468,88404,15173,12287,4432,8845,2815,3225,20316,-16986,-62,2719,3708,-5065,-227,-1823,-212918,-35092,2395,16932,11291,4223,10851,1833,-141322,-82939,-10942,-2660,6617,4281,3404,3191,-168000,21618,-12154,-3877,1439,-5843,583,-1287,1188607,157884,44682,4426,5821,13348,4456,10495,easy
783905,111719,17429,12609,7205,20078,13624,7578,547628,279231,56747,32896,14753,33874,64625,23416,1153470,-153546,-14291,-13511,-6838,-25160,-56869,-18309,-340254,-254268,-52918,-23238,-10623,-24481,-47334,-19767,-340254,-254268,-52918,-23238,-10623,-24481,-47334,-19767,1114425,2651,-26249,-20051,1909,36843,-47407,-866,-406000,-178128,-50212,-21396,-11563,-31701,-56060,-20483,difficult
1037015,283201,88942,37969,34738,42808,57837,21961,59870,54413,10119,5262,2756,5770,4443,3309,282042,84715,-5785,13296,16895,23356,9117,11713,113280,-43720,-6426,-1455,8861,-2292,-1362,-2800,-34633,-13433,53,5137,16385,12253,1629,2070,2151450,884169,155665,121162,77822,110230,185452,43236,2373586,232209,250609,25396,39949,41645,72132,39040,easy
508660,76346,11193,6450,11814,17544,21445,17414,324881,276455,22441,13661,11571,35268,32135,24369,-54288,-239882,-22153,-11085,-8932,-32998,-30261,-22690,100812,-256866,-13234,-12635,-10021,-32482,-29127,-22985,-248666,-251422,-12650,-8743,-5113,-18988,-26920,-20488,1348277,-15798,3771,-2099,33629,19902,51383,48628,-227241,-236577,-11972,-1493,-8347,-24055,-18526,-17239,difficult
592713,33179,19470,24307,11251,27022,18904,10117,487599,68409,3966,4666,3861,10648,13066,3986,338343,-14021,53289,74455,4744,5466,978,4232,-453323,-28547,-2434,-3146,-2859,-8013,-7069,-3305,1447577,-29693,20833,9991,19454,59073,22086,12037,-467467,-58392,4216,13565,13632,24748,19256,15933,-339562,-45496,1614,3342,1980,594,-6062,1760,easy
605582,156232,26619,25931,10312,26434,18605,17561,788646,84683,10431,9773,5690,28288,11777,9874,-569907,-38881,-6120,-8452,-3101,-24638,-3174,-6612,-701435,-22836,-7596,-6463,-3223,-24159,-8026,-7147,-459839,-22866,-8304,-5406,7243,-10870,4749,2262,323390,508474,101890,99170,18029,72619,43269,53362,492473,-66146,1068,1942,4163,-22222,-2680,-3429,difficult
392700,24580,8545,13946,9402,14664,9969,8041,527117,50024,19065,14330,15485,16463,17257,9801,279894,-36708,-15878,-8855,-6986,-9650,-11946,-4426,447436,-6652,-9686,31753,4779,7367,6536,441,-513063,-4177,-9822,-3682,-10068,13317,-8850,8856,-360620,-36348,-6334,-9845,-12318,-6432,-10226,-8132,-525732,-43337,-10881,-11293,-5823,-13596,-11956,-5539,easy
418955,41573,10609,7058,10497,21758,15006,16590,423049,222653,14276,18185,47669,26298,52598,27895,285735,-135896,5461,-9392,-44399,-12603,-38907,-9311,75478,-167966,2983,-15055,-36545,-13105,-36632,-16997,153539,-188519,578,-1288,-15983,37576,-17547,14190,-295842,-205060,-13976,-13824,-42302,-9796,-43876,-18094,-239381,-207961,-13380,-16077,-46630,-24772,-50999,-26315,difficult
964324,154706,53326,14870,16701,32566,29264,18564,1331080,300023,68789,26972,12269,45276,42437,22613,-191714,44356,-33548,-15044,11007,38906,-5712,18294,-388944,-253303,-66379,-23880,-6145,-25926,-35463,-17055,-305235,-264784,-57305,2096,-3970,-35579,-32257,-14240,-1296276,-254228,-62920,-12303,4783,-23299,21063,-4453,348390,1376,142835,-11378,16485,-17652,-13498,-2793,easy
539233,153366,33785,14350,13593,33708,12607,12647,263161,72363,13494,16617,19389,30500,13219,13419,584090,-16457,6206,-7999,-11490,-10168,-6101,847,121649,12517,17019,734,-8368,-1974,5439,-7988,-111992,-47438,-9833,-14411,-14870,-20692,-5711,-6727,-32135,22458,7811,-13949,-14830,-2900,803,-7873,818750,433934,80250,24289,20578,51774,2511,17881,difficult
461896,155961,29521,17837,11138,25644,34617,24742,491834,89115,20736,8413,12084,12274,19914,9340,-259552,32564,107269,26873,5121,13936,32006,42429,-40052,5675,-17221,24040,-894,13175,8213,13802,-384609,-75395,-18269,-7011,-9877,-2992,-7147,-1808,138796,372163,-13229,-3095,-1580,28603,30545,16851,395726,-779,-14627,6311,2499,14129,9899,5735,easy
543629,126239,36603,11018,17555,25836,23959,13657,448809,36768,4321,3919,2183,3180,5688,2726,-91014,47930,21164,20902,2013,11983,5643,6976,942285,-13460,111050,618,14766,7378,40,3654,-298619,-19028,3490,645,5011,15415,3506,2537,-35850,16144,8267,-1565,15314,42375,56345,32569,-42700,415771,17438,14896,39756,36131,25821,8918,difficult
505728,132185,29557,30837,15073,38759,22598,10434,1218012,78505,33447,22478,10834,9442,17101,13520,560962,435091,44120,94398,31373,131469,61208,12722,-1140775,-48457,-26718,-19290,-3864,-1502,-14815,-10842,-1212738,-76921,-25994,-19853,-6455,-5019,-12918,-10953,-1099429,-38220,13905,-1950,8629,21881,7008,4845,-669438,-3092,-24763,-11509,-8489,-242,-13000,-11201,easy
102346,13320,6063,2938,5512,11365,9686,5159,477618,156621,33790,12005,13901,34636,29451,13186,-189007,-150667,-32647,-9783,-13353,-31800,-27607,-12407,-372280,-144285,-31893,-10502,-3153,-30353,-24517,-10409,-468201,-145281,-21332,-6740,-6933,-4486,6111,2902,-379662,-144089,-24091,-8710,-9008,-26473,-25142,-11682,-467212,-132184,-28671,-9601,-9496,-23242,-27668,-8541,difficult
348248,89365,11537,19994,10150,46921,26413,16970,844534,287626,33899,33640,37525,93538,34929,34258,-733284,-255154,-27022,-28957,-34227,-34259,-11916,-12165,-614795,-268611,-28548,-32477,-34478,-81965,-30624,-28586,-26684,-216501,-18237,-28506,-27922,-32872,-7340,-16750,-497794,-78375,-22225,-548,-20683,-59137,-28753,-29688,-608874,-172665,-15776,22259,-19566,-24854,36051,751,easy
105682,33323,5918,6043,7311,11163,5753,2981,847070,64909,12686,14605,7747,10458,14290,10803,-829094,2191,-8650,-13630,-6038,-8390,-12236,-8620,-578423,5434,-4444,-7825,-426,-3942,-13373,-9313,-838330,-49672,-11528,-6541,4235,14482,-2382,-4767,-822196,-57745,916,-3782,4650,8139,-3604,-7205,-638896,-58140,-10132,-11030,-4599,-6764,-11090,-9203,difficult
616191,87994,9900,8924,11040,6729,4554,2303,1068797,107251,27953,15858,14488,49697,40472,36708,-946362,-93474,-20273,-12794,-10610,-49177,-39439,-36502,522918,240191,-9472,-5421,19117,-34928,-24195,-34257,189873,-64660,-7977,9973,-756,-33893,-36523,-29975,-1042661,-90289,-25088,-11584,-11920,-47750,-39486,-34676,-986796,-88055,-27455,-14845,-13071,-49094,-39947,-36616,easy
840317,160582,27847,13415,14185,28184,20365,13325,766220,170927,14966,8883,10632,11057,17257,9989,1353930,144767,38882,13654,9364,41195,8011,19405,-202194,-38356,11667,11544,8054,15268,9945,-1763,-578726,-80009,-13640,806,-4717,4569,6075,7823,51548,41956,18361,-469,3014,18370,-3750,-4353,-254071,-120084,9137,-2876,2049,6233,-4742,-4430,difficult
912843,189834,48459,27461,15993,47361,28685,21104,559567,60571,20206,14803,19953,44253,17280,14377,1455873,177074,93800,16329,-906,56566,9381,12591,39578,11176,21648,20091,7234,-1988,12117,-2748,92753,332156,47831,33419,-10169,-3567,2795,18487,-159709,6973,-14381,-10705,-18068,-26514,-8564,-6520,337887,118935,-7632,4158,2110,-8956,41296,11825,easy
875744,174417,17867,6153,20635,24756,18607,9253,238703,49220,17559,11680,10370,27091,17802,17737,435398,23173,-16966,-10852,10591,-10560,509,-15717,2628353,681752,6653,5403,35199,18682,27814,-1527,-126456,419,21107,-4542,12844,13797,3707,5607,-104933,-43891,-15685,-8932,-2020,-13048,-12513,-14034,352842,-35470,6429,-8714,-5290,-20548,-15492,-16750,difficult
