delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
725342,73729,32512,35830,14666,18378,14590,11466,564718,83597,54716,13188,8986,16773,8654,6916,226770,21686,-46116,67735,-669,5501,7075,-87,39673,6105,-33482,4409,9695,8732,11338,5654,850713,-19904,4921,14573,14144,2197,10073,16136,-474662,-47359,-14140,3850,-451,-10010,-4744,-3503,easy
245712,171128,65439,30787,31067,29934,15981,18350,1014466,134687,53887,16988,24774,12244,24212,10006,-856616,94892,-10787,9971,-4341,19423,-1509,24197,-480739,109832,-20221,1120,7276,25612,-5909,9235,-737530,14627,72856,21608,14975,11279,-12248,5243,-1000133,-73587,4358,22497,7263,14445,-13259,-5300,difficult
344927,98572,30506,21470,11590,12666,11867,12495,1374613,69613,12792,21867,7649,7256,6947,5641,-697606,35607,-11381,-11503,10700,8838,6775,16520,-1066731,122432,60936,46322,12276,17732,13293,7217,-1032896,20972,33128,-17273,-2512,-303,4857,7576,-1321512,-63176,-11829,-19134,-4701,-4626,-5246,-3897,easy
190908,26781,21551,18673,15470,20603,15173,11384,97401,32913,14209,21921,10941,5835,10459,7822,-79949,-28287,37605,-8119,7582,18397,16001,3138,446054,29726,-8602,-9223,16966,28129,9936,9342,-43925,-3454,9383,20603,-1899,13201,-57,7499,51849,-22515,-9020,-16252,-4534,-656,-7024,-5731,difficult
380092,30691,15699,11250,27427,16164,11029,10051,1143853,122181,55837,35092,12341,12908,24970,14396,-910715,-81987,-41090,-26893,-7161,-802,-20240,-12179,-1124885,-108991,-42998,-31817,16364,8435,-12201,1287,103856,-66295,-37814,-14647,30271,3748,-5296,2659,-1123300,-108686,-38650,-22012,20868,1643,-18026,-9147,easy
927860,133876,41851,23134,27955,23955,24689,24667,374276,87796,7365,9291,7904,5074,5668,3882,2127734,123337,13785,23750,25084,17177,21248,35315,6665,52644,92168,5801,18975,36505,19133,15985,-347649,-44230,7343,9196,17201,3184,18192,14244,427587,52570,24647,16626,18942,18657,17512,17597,difficult
351953,31328,12842,9336,8815,7007,9540,3875,1220555,103060,19256,18481,20524,17788,11582,11115,-839077,-30770,-7344,-3744,-2550,-9534,3854,-3185,-486701,-79773,-1715,-6562,-9001,-8018,-5683,-6286,-1037196,-86338,-6726,-17289,-16615,-14513,-5543,-10186,-1111436,-90047,-9871,-8985,-18669,-11060,-797,-9302,easy
120265,22827,6709,8202,9804,9493,7034,6330,296947,66802,16971,21699,7150,8317,10864,4012,9673,-33713,-16573,-19650,-3103,-2912,-3092,-1243,-254223,-47109,-14691,-18647,-3227,-3790,-7976,-2103,-263692,-54454,3057,-1857,18201,14273,4383,14257,-198485,-40626,-12840,-13834,-1255,-2868,-8637,-1640,difficult
408668,169255,29236,43986,45365,32567,12904,7774,739170,164117,73062,39548,72437,61135,24546,21350,68311,344054,2887,83756,41077,15035,-4595,-8303,-169188,-72959,-56653,-15889,-44279,-38657,-7560,-14002,-648350,-127025,-65311,-24639,-60586,-47640,-18217,-15952,-572782,-123520,-56228,-25475,-44500,-43011,-16196,-16047,easy
382734,53820,22040,18751,12434,22614,15074,15759,295656,49292,7648,2501,7714,6907,5700,3586,-90698,7330,17638,19805,2965,-2196,3901,5883,441357,35447,47085,11727,12548,25176,20940,25784,-173292,-34609,-3542,7612,-1835,-194,-1202,4021,170943,9944,-3613,25855,5203,40043,13855,13002,difficult
1177622,277311,27740,16027,28910,16060,21274,14896,809293,102232,14987,13016,16845,15974,13839,26051,-680177,-90166,-14258,-4976,-15087,-12151,-9969,-23891,1579682,703999,63048,2490,51099,13713,19963,-4128,77094,27804,-8837,-4646,-6137,-5366,-469,-18102,496717,58677,11058,19177,18383,4147,20214,1502,easy
103992,18337,4684,8574,8726,8803,8171,3788,321700,87947,24397,29906,12661,13853,15398,15042,-285744,-65453,-22677,-23497,-10861,-8543,-11455,-11689,-309945,-64232,-18889,-19442,2074,-1509,-7194,-8805,-313777,-75787,-17813,-20117,2102,-909,2282,-11250,38634,-72970,-19475,-22271,-9054,-9239,-12541,-13271,difficult
898862,182358,34932,44923,55838,38072,20139,14156,674713,163234,87963,49817,68206,51683,18254,11859,-366503,-58527,-66572,-37405,-55404,-37609,-12407,3828,733947,155316,-21296,57796,88471,46652,38236,14234,-468903,-8234,-69284,-27060,-57097,-44297,-10262,-8056,998055,-12058,-54973,-12907,-25443,-19190,-8029,-820,easy
659302,70033,12404,12947,26326,10083,15200,8416,769864,159788,59393,44236,10734,20362,12678,16653,1387269,-10657,-42716,-23780,46563,-1044,9066,-6492,-574690,-106750,-53735,-40797,-2510,-12400,442,-9841,-735698,-111471,-34914,-19215,20661,-10802,10083,-3533,-519129,-130141,-56590,-41363,-2347,-16872,-9502,-13081,difficult
1052970,114279,32494,22132,14285,22258,18764,13790,21042,22702,8486,7020,7513,8655,8387,4872,2092554,254227,71635,19707,17102,33894,27570,18818,252550,45457,1069,-1851,-1891,1064,-3261,505,1239426,23637,-635,-752,-6234,2076,2301,9081,543181,42988,23964,43343,18109,17379,14899,7268,easy
1342392,109304,18546,39056,27434,23211,24383,14120,1915221,362487,57599,21510,22862,31443,22971,19516,-1657633,-352928,-45087,-3276,-16969,-25310,-13608,-10021,-1236027,-298571,-50342,43358,-6434,-15945,-16933,-13042,-885485,-211619,-29576,-9652,-1643,-579,12745,2292,1487830,-149615,-31209,39752,43335,8906,23445,-815,difficult
512528,81409,67135,39896,39754,18851,13020,6344,371574,115277,12506,17706,29873,10529,12156,10835,-240380,-75342,64310,-7918,-16965,-1292,-4955,-5421,832212,85203,95388,55185,34572,31123,16300,159,333279,-44724,50382,34023,38949,4513,-1374,-4685,-361294,-100610,8436,7470,-17033,-1056,-6515,-8017,easy
150567,59598,23253,16077,17419,17863,16628,10984,406253,340844,74651,19450,21628,40138,18914,12952,43479,-215399,-14060,-6771,24045,-14053,10643,2273,-290392,-291604,-73637,9892,-11031,-18517,-10577,-1970,-379717,-323042,-51126,-9348,-18523,-29467,-2624,-950,-396113,-294938,-66771,-7267,-11327,-27065,-6587,-7225,difficult
307296,29517,13335,10090,7088,8101,6345,5844,182432,37686,5164,7566,10466,13983,7845,10680,25907,-11372,-2248,-2391,-5593,-6925,-3167,-6938,-119732,-32834,-4826,-635,-6292,-4980,820,-6552,-156817,10697,-1418,-6230,-7860,-12218,-7059,-10178,750096,833,41175,19353,6234,595,3404,4325,easy
489707,92795,13072,14590,7884,12080,8681,10278,221660,25346,11675,23564,10344,16045,6627,2396,714306,137595,2966,-688,-5322,1162,5690,13076,-103324,4273,-7470,-19925,-7863,-6483,-3783,5711,429168,93793,20921,-3068,5838,-317,8837,7444,32037,34133,-10830,-12214,-2492,-10224,-2529,5298,difficult
374173,90833,9231,14080,7046,12563,12169,8098,473269,64423,9775,6362,6518,10968,4540,3351,731957,-2411,10301,34546,8405,5638,15505,7803,-417061,-29610,-5367,-4447,-4103,-6117,-793,-2198,-428836,21621,1046,2082,-1033,9357,11978,14337,-282444,116039,-8157,-1309,-1157,-2498,3826,-955,easy
505168,246665,45988,15704,23649,23652,20913,13777,357383,277608,30169,29647,52169,35515,30451,21102,-69073,-111224,35675,-24413,-20646,-10025,-5416,-4445,870394,407707,42752,724,-19766,697,-4353,673,-238927,-203124,2800,-17779,-28387,-19154,-7194,-9860,28745,-217131,-17952,-14303,-45283,-18970,-21189,-15668,difficult
13924,18245,6737,22020,10680,10351,10509,7388,869265,68993,18490,24869,19920,9258,16577,9684,-857307,-55018,-9785,-17072,-8079,177,-444,-1270,-847669,-50436,-16513,-6073,-10663,6808,-599,265,-858492,-55538,-11320,8826,-10495,1357,-12288,-3299,-857896,-42001,-9395,2924,-7725,-3969,-10942,-4879,easy
213972,42033,31714,12249,16859,11785,16093,10328,258110,134700,3232,18458,11840,11301,10618,7681,-126679,-106235,22999,-4878,-8340,-6385,-2582,378,302711,-74837,59197,-11345,32378,5454,11651,11906,-166602,-80392,21781,949,5160,6093,19438,2940,-185982,-109203,9949,-9563,-9121,-3228,-6607,-4638,difficult
1021694,326566,93646,79645,118586,85676,27295,12354,264524,82454,19510,5726,14263,13291,4248,2998,879516,149437,200527,117840,130983,72778,50891,14159,121650,775349,106599,158327,223359,191483,40895,18721,295889,-46330,-16366,-4194,-12155,-11202,-2807,-2203,1731625,97992,5782,23703,75103,36479,3210,6748,easy
1348947,103170,15743,24636,13156,20044,16239,9182,213520,136663,102757,10526,15641,18577,22236,11715,-59434,-90519,-81785,-777,-11912,-13665,-15255,-9272,2987961,-38217,-81730,52022,10881,15017,7582,6418,273587,-117708,-98842,-4621,-7159,-15146,-17770,-7333,1339592,112471,-85699,9815,-1750,19661,1454,54,difficult
1256416,256486,106970,67306,58779,49811,25902,21076,462571,389426,36476,84835,66549,51408,23059,22092,1368547,381077,232115,81050,13812,83643,16968,525,-250563,-319714,-25517,-76238,-48227,-41449,-18143,-18656,1234289,-365266,-5404,-9450,24867,-27392,5954,3020,823106,-227859,80782,-65479,-21534,-21192,6593,11045,easy
496386,103276,13935,8335,10369,8927,7714,7131,819707,58684,48702,24181,17396,10606,6495,10823,-544680,126401,-9810,-18537,-7050,6236,1311,421,441955,145216,-42477,1798,5603,1703,13969,1692,-600307,-38515,-40274,-23273,-10002,-7680,-5281,-9003,-590254,-54736,-46506,-23371,-16660,-6976,-5123,-7877,difficult
149740,75749,9999,12446,17503,13848,5837,8979,205019,31419,7163,17767,8711,12260,8853,8303,-181223,-15751,1869,-9452,7493,-873,-3918,4558,-192273,16916,-1357,10676,-2380,-3182,-4037,3055,337047,184482,1691,-10743,21393,3152,409,-2100,-184668,-8328,9141,-11765,8660,7254,-4519,-2811,easy
1080243,438028,131315,104976,33277,60996,57391,40696,1810592,389422,288138,71921,51148,80609,107922,44796,-1457191,-269240,-262418,-44329,-38668,-40697,-83688,-28459,187349,73460,168484,142021,1053,-20686,-57718,14745,-1741649,-370098,-284692,-67904,-48930,-79245,-106417,-43935,90096,760300,-248667,102433,15061,62174,45698,41249,difficult
655628,91534,48879,11598,16593,21518,20277,14535,1402498,76249,52842,43206,9591,14157,11455,13101,-423580,48717,18680,-27639,22710,30346,34802,17059,-870861,-23073,-32106,-33375,-2412,-2637,-3288,-10377,-1382718,-49408,-42670,-36106,-6929,-6860,-5020,-10682,-310323,84903,40242,-29312,14640,8593,8792,9736,easy
