delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
58014,37288,8328,3830,3780,8966,4626,3606,1093693,20221,2700,19742,10409,13083,2800,1099,-19777,35476,4148,27279,1998,245,241,-313,-48482,-3054,19898,28989,5598,4261,1197,-898,766680,16019,52792,42803,4870,8603,10692,465,easy
56989,21109,2990,3260,3192,5355,2005,1426,578055,315676,41901,33089,21647,1896,2636,415,-50594,-8674,1614,2157,5966,1409,2414,6874,-3431,95926,31685,25431,13423,6344,4941,7228,-31552,-11837,-2046,2758,-45,-2516,-695,-2,difficult
140259,19129,3622,2411,5327,4392,4598,2535,1821246,155821,7796,13116,-251,4238,318,-775,232901,7609,-1624,-737,3485,-1820,-845,258,-105276,3558,462,3522,1213,11977,10882,4870,652204,451907,59116,45759,101143,16133,11460,20784,easy
306062,38137,18469,3085,3624,3750,2563,1272,-226083,24285,-10374,5619,3588,3847,4373,4408,-135207,-10111,-13020,-1920,1556,1414,-243,1698,-208948,-30993,-16302,-1864,-2871,-2761,-1993,-767,-299955,-26434,-5943,1256,6108,6411,3980,1952,difficult
314756,25651,17374,13015,7359,10260,4861,4294,-162075,-12819,-14503,-11008,-6407,-8931,-4206,-3985,-251089,27368,13929,-3875,13015,4934,-73,4573,-214875,-21959,-16365,-12205,-7119,-9615,-4076,-3887,-286179,30387,-8240,10318,4792,23241,517,11521,easy
75907,13250,4166,2977,3942,2582,1412,1906,792265,226068,-244,5987,6663,2768,4353,1831,-63604,-9383,62,-931,-122,6349,5934,-475,-61498,45700,4180,7111,9139,5642,11884,5535,-24340,-2679,142,-2227,-3020,-1458,-951,-1659,difficult
118241,26265,5762,5827,4810,2677,2156,949,-115672,-20485,-4318,-4982,-3809,-55,-782,619,611293,34327,-127,-253,-340,2240,-1787,-209,240807,166389,34286,6013,23893,8033,8830,4659,-108190,-19963,-1723,-4203,892,3059,1143,14448,easy
82418,34168,6694,4800,8355,4126,2519,2131,-53726,-18237,10130,1784,930,8983,1819,1157,26236,83569,5119,17772,-4135,3997,1775,1249,5791,-26364,-4268,-3803,-7259,-3709,-2246,-2030,-2297,-27112,-4628,-4316,-5834,-1845,-1616,-1394,difficult
58542,39330,5488,3366,3080,7431,5797,2585,132491,-25999,6434,-279,-1650,-4734,-3463,-2135,266203,76005,35846,56183,63660,7697,8696,7393,32622,-20221,910,19762,-2142,-4902,-4911,-1483,5889,-8411,1519,5880,-854,-5584,-4905,-1713,easy
1180182,118743,18322,18470,14047,6860,2825,2966,-1025977,-87701,11035,23775,999,7717,390,-1377,-1109212,-84814,1050,95314,-3917,-116,438,-1528,-846331,-56918,17411,-14667,-7578,-4227,-2448,-1758,-1140770,-108836,-9859,-11557,-10461,-2366,-790,-2136,difficult
330344,52003,3834,3072,5321,4567,2621,2885,-318430,9523,30813,6900,10833,1836,5190,344,-296734,-44034,1485,3642,7429,2295,1759,109,-212926,-30579,-2872,-2651,-4986,-3582,-2393,-2617,-276329,11894,1592,8072,10225,1856,2633,2825,easy
370247,29393,8325,8296,6673,12339,2629,1587,-362875,-23229,-7485,-6477,-4191,-10622,-1300,-567,-156026,2832,1232,-4395,-1836,-9058,-1239,-182,-357623,-15601,-7362,-7252,-4345,-10648,-1249,-779,-115143,36661,2909,-3475,-1322,-10287,-842,-192,difficult
808354,80331,45261,18613,34338,26036,20755,21242,-526492,15316,-41554,-7619,-30641,-22110,-18260,-19973,117077,82695,-31504,-11410,-9716,-13321,-11793,-15087,-768636,-48083,-43079,-4000,-29852,-18982,-13554,-15355,-773218,-61560,-42850,-7591,-30363,-20483,-8135,-17032,easy
165807,34717,6046,6959,5990,3610,2480,1772,-145135,-27544,-3115,-5260,-3428,-2462,-2120,-1352,-89511,1227,9179,22735,11025,3856,201,1597,-133983,-22549,-3385,-336,-2886,-765,-1678,-1509,-126913,-16613,-5666,-4279,-4670,-1899,-940,-352,difficult
86493,40084,6130,4176,1403,2933,1495,854,210192,-1404,-3796,-880,3397,154,-380,57,6097,-37806,-3741,-3388,150,-2169,-758,-439,-59968,-38256,-3381,-2950,172,5370,849,822,-62980,-25119,6312,9664,4722,5985,3685,6686,easy
143507,26026,1461,4385,2618,3215,1241,1280,162697,-3427,5769,-556,-364,-1978,-177,-179,-88055,-14106,1669,-3792,112,-455,341,74,-63976,-13572,-216,119,-682,-1307,-215,-921,-104207,16551,8334,-3148,-488,-1139,-223,-627,difficult
49570,5140,1269,3525,2876,6671,6900,2228,-47419,-1335,84,-3078,-2285,-5560,-6546,-941,-31695,1985,1973,-762,-733,-5064,-1806,-1167,-2087,-2882,-1180,-3204,-2253,-5910,-6682,-1956,-44275,38152,15841,3603,267,22339,1946,13761,easy
86731,28851,6261,5808,2736,2642,1153,873,-72533,-1722,1924,-2355,9788,2726,7026,3364,-83327,-26908,-5818,-2943,-1343,-1232,-129,443,60922,-9261,-5017,-4916,-781,-1824,-858,-622,-67738,-21818,-4435,-5103,910,-1214,1356,-172,difficult
162572,17515,10198,4790,3783,9640,4291,2792,-94528,-13020,-7941,-2883,-2327,-8531,-3486,-2386,-67012,68536,-277,9930,13707,6226,134,11321,-32618,-3784,-3176,-1258,-352,-3927,-2325,700,6938,7999,-5014,-1075,2212,-3535,4964,-2074,easy
26311,18904,3474,2063,2034,2856,1975,1511,26667,16835,4213,-344,400,-570,59,-744,-20694,536,-2231,5090,711,9478,1317,1754,-2765,16940,-959,-450,-170,268,-1129,39,-9826,-11051,-1571,-80,-684,1350,-881,-652,difficult
757150,173916,35994,20572,15298,13795,4867,4052,-511810,-108601,-30464,-13092,-11468,-11506,-3217,-3233,-642572,-140479,-30816,-19258,-14568,-13042,-4701,-3854,-706678,-155823,-28065,-19123,-10455,3898,-2212,-832,-619566,-156347,-25396,-16740,-13067,-11261,-4172,-3367,easy
137576,36209,4999,3418,2223,1467,864,879,-26107,-17645,-3174,-1908,345,1734,2316,979,-129994,-32816,-3152,-1489,-294,941,1173,589,-132101,-25290,-1962,305,9692,7675,5613,4752,137694,-20077,-1476,-1367,-1084,730,839,11,difficult
343029,35029,23635,12064,18705,11050,2556,880,-313859,-18707,-15190,-4179,-12939,-6704,-1503,-600,596196,205200,-2945,-5698,-8381,-4265,-977,3052,527667,64054,-10444,5921,-9328,-2095,417,1032,-214662,29964,29981,5552,7527,7068,1893,205,easy
44400,35228,19255,7319,4665,4513,4479,3026,10708,7237,-14448,-2701,-2011,-3002,-3692,-2392,35179,-25868,-18316,-7011,-3648,-4132,-4157,-2461,35235,-11395,-13217,-4679,-2188,-3337,-3620,-1968,209969,35555,20806,15908,6722,9805,11637,5891,difficult
141643,21886,7770,5117,9231,11761,4982,3062,-126750,-15406,-3017,27536,-8356,-6079,-4553,-2394,-120803,8325,25036,113104,13392,7774,-1909,1455,-87025,59213,-5027,5897,-5385,2316,17463,5798,-117355,-8928,-2244,-957,2371,-491,1691,1641,easy
76631,22129,8614,5423,5103,4212,2598,2851,145748,20211,-7460,-1136,-1388,751,145,-707,-63907,-18503,-7516,-5088,-2293,-1515,-796,-1856,210821,91912,-4711,95,-2007,-1722,-450,-2214,-36390,-8294,-6224,768,-40,-2052,-3,-1194,difficult
132857,24356,15376,13927,4758,2514,982,947,-89435,-18086,5048,-6458,-1791,886,-120,-554,239558,37962,50651,-617,-88,13104,1366,-35,2058529,546467,22453,29680,48257,34883,8744,9626,172096,63509,27241,-65,21008,14097,11024,3819,easy
120725,30919,10649,2854,15756,5641,8204,7432,-45745,-5667,-9687,-1606,-14958,-1236,-5446,-4640,-38730,-19157,5246,12909,1205,23839,1481,4726,6562,30026,20783,6410,-5389,13455,-191,5748,140032,-14462,-9051,556,-13447,442,-3537,-4412,difficult
70360,17453,26079,34041,7700,5950,2352,1578,66735,-13472,-24459,-32783,-7067,-5345,-2074,-1323,150269,8938,-19360,-5927,-5830,-3721,-1222,-410,384745,139671,20843,21931,3674,12755,2153,430,95447,-7080,-21150,-26993,-5156,-2081,-1849,482,easy
95545,24368,5587,4431,3345,4281,3195,1516,-56931,-3062,699,-3159,-691,-3149,-2304,-1150,-87407,-20058,-4539,-645,-1027,-803,-2100,1099,-69988,-21033,3927,-517,-1822,-1608,-1963,-818,-70506,-18178,-2281,6927,2999,12483,5925,4272,difficult
374138,38350,6710,3303,3689,1727,1486,1285,-287767,6978,26506,13154,4487,5492,2714,2945,-338075,-11082,34067,46945,1542,2822,5596,1063,-367565,-16298,6533,11997,-847,3401,970,-105,-271885,-22700,-6069,-2757,-3191,-757,-1173,-1142,easy
121749,26813,3618,8168,5981,7993,4215,4641,-110633,-15125,379,205,-2451,10602,2747,4138,-103471,-17724,4333,-6254,848,5971,4323,3111,-96702,-4311,-271,-321,-1939,5534,480,-802,71200,-3291,-2541,-2225,-2306,-2704,-1829,-2668,difficult
144639,79743,14195,6270,8124,8702,7752,3150,464373,16655,63290,14037,7585,7455,959,3897,-104844,-73237,-11745,-5699,-7002,-8032,-6948,-2771,314308,-58979,-9200,3592,-1743,-5123,-7037,-2109,-43512,-17570,-11366,496,1818,-4854,-6605,-1628,easy
328403,61960,12120,5813,6173,5062,2170,3137,-123353,-3648,-9819,-3559,-2653,-1920,-929,-2456,713486,18521,14069,32824,9609,13873,4095,1960,1552402,162943,78548,53978,43795,18940,9670,3439,-320547,-54080,-9775,-3617,-5438,-2592,-1037,-2068,difficult
75368,47417,6587,3487,3767,5793,4216,2023,17833,-32808,-3572,-1618,-1043,-3227,-3291,-1226,148787,-27794,2434,2336,-358,-3605,-2178,-640,403382,256192,34483,29254,22702,11361,2733,3476,-40189,-23000,-4974,7300,2155,5205,-909,2052,easy
1095051,149622,24742,21279,10704,4157,3934,1165,-870745,-116923,-9529,-19010,-6141,-900,-3374,-540,-1074647,-121391,-19592,-17178,-8292,-759,-2889,-213,-20653,411556,116812,16544,30421,23215,5303,3983,-920294,-128731,-21445,-18168,-4825,-2022,-2634,195,difficult
456672,134260,25909,21779,14226,24691,27095,18973,-448148,-103284,-11048,488,65,-17640,-18628,-15825,-153297,-110297,-18890,-18458,-10213,-21626,-24808,-18189,751430,243890,80845,29601,19959,-12115,-13225,-12070,-364674,-129196,-25226,-20911,-13413,-24180,-26914,-18475,easy
30937,28502,2337,7362,12722,8096,4421,3331,214662,-21363,6127,-5554,-10959,-6067,-3157,-2785,24755,37839,26306,-3924,-11509,-3477,-1944,-982,21341,-3028,-1210,-1725,-7989,-5902,-2931,-2146,218608,13600,11608,18279,-10679,4982,1346,-303,difficult
65430,64387,7575,7459,4917,6055,3652,1919,116167,-44210,-6390,-6213,-3598,-5060,-3371,-1666,-60128,-61584,-6356,-7033,-3462,-4461,-2570,-1197,205878,-50538,-4885,-6706,-2405,-2388,-2256,-578,-19003,-29218,18415,2386,7544,2599,3362,1433,easy
103693,7455,982,864,1110,1020,555,315,-80036,3564,2447,3028,4062,5386,3854,3166,253706,4655,-273,1694,1426,1709,378,434,-51959,52357,4960,4826,7281,2775,716,190,60385,73941,21184,10859,6142,7795,1005,2037,difficult
592273,27947,5309,5750,3314,2932,1916,1407,65854,45442,15121,7292,10626,10122,2386,2634,-147670,70282,92076,36382,6547,11897,1916,1512,102244,18083,-134,6567,4798,2970,789,741,-511105,-7654,908,517,-950,-1314,-879,-574,easy
147524,17325,5617,1435,1389,1170,579,812,464570,35410,1534,2862,3803,254,1118,-23,-127340,-10156,-1081,-462,138,-173,-196,-643,865689,40901,32188,35607,14287,12618,4044,924,-57104,62026,10604,22308,27629,9521,6485,2331,difficult
336884,58164,23891,9238,25032,9542,8587,7485,-107825,-42842,-20973,-6934,-22322,-8955,-8015,-6979,-317619,-26105,-13213,-3798,-20145,-5362,-6723,-4691,-263718,-13141,1821,-851,-19546,-5874,-6776,-5589,-155956,-16811,-15972,-3941,-17604,-6221,-7707,-6729,easy
382626,42836,5105,8982,6602,6263,4679,2223,64079,-19460,109,-2397,-1160,-246,-607,2281,50514,122930,30355,2989,5159,-1808,-1400,-870,-272973,41425,9779,-3018,19217,2145,3609,5975,-291985,-29872,-340,-7099,-4943,-4669,-4004,-1632,difficult
71516,18570,4061,4742,2913,8204,3423,2198,-22327,13671,-792,237,4121,-3668,-958,2044,-28285,-1265,17674,9727,4055,-2125,2643,-234,97694,15262,-2005,-1666,1100,-4674,-2820,-616,-36284,8598,7791,8583,7355,2067,550,3052,easy
553646,64854,23245,15163,6427,11956,7562,6080,30920,-4997,-15525,-8544,5909,-1439,-3484,-3276,165222,129581,-4635,28686,22046,21242,20777,12996,-120479,46335,28626,12392,21370,56095,23725,40,225637,289199,74507,10627,27729,21526,11718,-2111,difficult
66923,12966,2205,2185,2896,4286,3217,1086,-51503,-2049,7715,2563,160,-2425,303,-215,-42566,18456,2912,4305,1702,2652,480,2378,-29671,18819,10720,2041,-779,-2317,-2954,-332,24085,60839,11946,11006,7219,8065,-574,676,easy
166278,23444,7253,7104,2464,2514,909,503,-136504,16087,68635,13995,10750,13712,4637,4288,732093,19653,286232,-930,1898,26713,947,1013,323513,-17250,-3886,-3215,-444,297,97,-53,-63328,23290,107,-3349,-463,1668,81,177,difficult
50815,26914,1936,6409,3163,4395,1616,868,666557,134466,29560,18651,22928,13036,9895,4859,78487,-15538,2414,-3075,3330,1865,4161,957,-38028,-7666,2395,273,11525,7020,1860,3426,-47813,-25291,-1175,-3808,-917,-2289,522,351,easy
811210,93950,32870,21728,18412,19778,12852,8232,-365907,-82924,-31669,-20263,-15766,-18724,-11749,-7603,-646338,-62774,-30137,-16769,-10865,-16457,-9024,-6977,-578513,7286,-26871,-4637,-13823,-15031,-7735,-6002,-769237,-77312,-31761,-17977,-17420,-16587,-9497,-7037,difficult
