delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
550178,119026,21073,22937,15088,23720,12566,7356,897893,-84773,-5703,-5202,468,-13622,-2625,-1508,-319553,-104160,-19247,388,-12304,-16740,-2501,-3138,easy
64627,29067,21273,5595,6049,19035,12103,5451,290173,148781,23354,26168,11552,29874,19327,6799,-41818,-17971,-14318,3747,1918,977,6835,18001,difficult
54624,19956,12470,6635,7042,13413,10817,7922,789335,320468,53086,4326,21111,13793,12055,20066,439450,353704,46646,15410,31363,8626,60354,25693,easy
38255,38479,9104,6387,6429,18267,22172,13065,-33936,-35501,-7460,569,-1254,-13243,-14698,-10805,-29669,-6861,14193,65938,29518,30477,-4134,-5641,difficult
800379,134800,26481,19006,30969,19723,17944,13877,-738565,-130211,-24328,-16933,-27232,-15517,-14516,-10735,-672597,-96910,-221,-8545,-23706,-11037,-13759,-10049,easy
833370,48478,31803,17818,6521,13180,8234,3612,-824458,-38894,-28972,-15686,11363,5830,13935,11064,-817691,-41741,-28158,-13251,9628,26392,31377,14641,difficult
1075393,48575,6272,23222,9908,22952,27014,14863,-993385,-15357,-884,-9489,2551,-12608,-22422,-12108,-1061408,-33129,-2201,-18688,-8662,-5906,-21335,-12824,easy
188829,130573,38984,16445,9926,25256,7723,10091,-186304,-122972,-36025,-10784,-2820,7503,22588,3489,285897,-108180,-31499,-4981,316,9904,13138,1573,difficult
263304,45371,14468,5378,2494,7796,6885,5192,-241091,3853,20267,17806,24812,25683,12879,20490,-191176,-8618,-12482,6294,497,-699,144,-1275,easy
212840,74074,7528,11511,13326,35104,66974,26130,-134172,-44337,-2005,-3998,11697,2180,-52588,-6536,474588,21326,67560,-1679,1181,-24677,-52185,-16652,difficult
1168005,57312,25077,18823,14561,15741,11594,7667,-1132452,6951,43065,-4369,-1062,3216,-1543,-4209,620971,-6140,-23481,2089,-6714,-2027,-6919,-5759,easy
1308752,78771,20444,16167,10949,21244,7275,9836,-1214101,-28004,12620,-11553,-1208,17965,2461,496,-1282772,-20962,42763,37484,19236,-6734,49306,15158,difficult
834993,146350,25975,19237,11185,29495,8256,12972,-685431,-86159,-18752,-5819,-2513,12345,4985,3864,1047341,-41829,1248,13318,55825,32134,27942,-1727,easy
306388,42626,24618,9438,9651,19658,10352,9377,-301105,-31775,-22576,-4429,296,-10033,-2139,-3505,-301171,-35949,-20008,-3303,6495,-6054,-4747,-5939,difficult
727368,58491,12324,21644,9103,30594,18040,14754,-633397,-3209,6098,-17142,-2321,-26115,-15549,-12790,-715142,-36184,7267,-2952,-1978,-16474,-672,-10513,easy
413296,80955,28786,13551,5607,11677,7770,2610,-306590,-62371,-15515,-6857,8447,-6671,-202,3742,375429,-8810,-25172,10800,1025,1459,-6041,316,difficult
219077,15790,8712,10792,15509,20321,16981,10144,-203741,-5940,-2404,-6172,-10434,16206,25638,1400,292147,94305,-3224,-2975,-802,53707,20068,7315,easy
847954,92388,11402,21619,3335,25277,10099,9389,-844317,-73768,-1842,-5053,3603,-3451,4720,9,-787120,-57716,2930,-9996,12378,-4868,-1061,3398,difficult
718792,100426,21852,15324,9092,45313,41833,14376,-607285,-90902,-20574,-14939,-8194,-41305,-40476,-13594,-636875,-75702,-17786,-10688,-3281,-37900,-30768,-6193,easy
231327,32488,6009,6773,3958,6328,6958,4693,-156480,4333,-1028,-3920,-1154,2772,6818,2000,-29555,-16445,-2036,-3052,-446,5994,-2728,-805,difficult
460382,48958,22749,21060,16536,32005,9322,8611,-414488,-26748,-9002,12002,16713,-8963,8829,9398,-157143,10160,2401,-6896,-9181,-27608,-5178,-6180,easy
780196,76074,20360,17974,7740,31441,29309,22804,-729881,-56973,-2637,-5065,9559,-15184,-19987,-14009,-736866,-35121,-6719,7754,10744,-26319,-24276,-19011,difficult
