delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
67590,30961,10212,6995,7433,4880,2333,2530,358051,38607,13033,3098,1544,2078,983,593,-350742,-32156,-12151,-76,386,2586,2628,2352,-210134,44051,15931,13681,18508,7585,2092,3864,-310506,-34834,-12244,-1913,-1228,-1765,-670,-404,easy
170959,60601,17650,33626,9197,18021,2785,3558,8072,5250,9800,30639,6111,7307,1804,2711,15530,44322,5631,11765,-4471,9530,1349,-1432,9487,4036,3813,21654,-691,368,399,927,463644,117694,14105,-24459,14421,22244,1196,3046,difficult
171501,79302,13461,37051,11465,13226,4788,4524,63724,7382,4668,27736,3442,7680,2570,3483,-55823,-1635,-3105,39668,6112,277,1655,1795,155212,79,3031,-17882,10059,2587,2253,-168,223943,217317,26453,6160,7899,13774,2746,1495,easy
25791,15492,14665,56234,5064,8087,3106,2242,98602,50076,46058,17225,5451,8299,3018,2571,-89506,-29139,-42866,42964,1733,2178,-619,545,-72060,-36234,-35028,25227,-1022,725,-256,-357,-56868,-38378,-16285,48836,-1873,-3539,1138,-1175,difficult
55267,35224,1414,1280,1172,802,346,318,130962,57309,2758,3026,2662,1135,662,344,-95349,-36798,-1465,-1782,-1874,-449,-501,-185,-121492,-53293,-1706,-2738,-1615,-111,-372,-68,-10243,23837,-860,-718,-980,-440,-76,174,easy
98346,66207,10685,29450,6438,7288,2903,2227,365665,53753,10004,7869,4769,5608,3213,1221,-362913,-43272,1791,36531,-133,2704,634,657,-349134,-34867,-1734,30185,745,433,-880,1436,-89909,115502,1987,-1973,4394,1902,-685,925,difficult
84279,76751,17579,7851,6723,4777,1605,1348,145706,10668,1956,2166,1591,940,512,907,-6886,8817,-138,-466,421,809,-14,-417,-58064,164500,37163,7907,9871,9908,2623,2046,-119332,24932,9844,9613,5103,793,670,-306,easy
36183,31705,4368,3651,3148,3738,1473,1010,737163,123390,39773,16928,4653,15046,4136,9124,-722289,-109229,-36689,-14116,-4171,-13284,-3646,-8623,-681589,-92568,-32257,-14001,-3928,-12978,-3357,-8755,-699063,-73259,-37268,-11713,3584,-7662,-986,-6964,difficult
77164,54032,3342,4707,3438,3276,2610,973,180784,56769,5869,3581,2132,954,847,397,-113686,10640,-4493,1437,2488,4643,168,543,-144013,-47594,-3973,-505,-1755,-321,-613,-327,-53160,28743,885,2446,3184,2645,5734,1513,easy
91721,62431,5697,25071,4345,4923,4509,3161,283665,52356,16046,34177,14254,14217,4273,4605,-261096,-46485,-15038,4534,-8295,-9241,2855,325,-215006,-39582,-6709,-1602,-8667,-5876,799,-271,-99731,116292,-9301,-30250,-12764,-12766,-2946,-4385,difficult
106823,36825,10533,18871,10068,8418,2574,2115,80616,17798,7469,30427,3360,3214,1834,1413,-67306,2481,10092,5651,18822,12233,1061,1991,-36078,-4987,1220,-17074,3209,4993,1768,839,182004,59588,-2120,-23245,-1906,-1613,-608,-723,easy
20301,15825,3991,50051,7581,8485,5985,2447,114096,21209,7010,40176,6259,10186,3057,6570,-110556,-9286,-560,3853,4159,-2578,1600,-4330,-82552,-2066,-2307,33469,-1131,-4108,813,-4997,-88276,-4801,-6190,-7698,937,1582,6372,-3043,difficult
