delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
47096,25905,12235,7811,7769,7927,264560,80759,16676,20736,12225,15412,-212274,-61109,-7012,-18477,-7760,-13056,-249116,-52878,845,-18987,-5773,-11300,-146697,-34558,558,2615,5798,5246,-261770,-70872,-12155,-16853,-10091,-10830,easy
154002,26095,11954,5276,5329,6047,173116,25309,15568,8100,7020,3315,-172858,1466,-12322,-3085,-2965,1278,68736,-12947,-9174,-2919,-3715,-1339,-119442,644,-12053,-1196,6097,10099,147107,13981,19091,-4095,-6180,890,difficult
123217,47153,24796,12179,18508,9730,92877,66270,13279,8361,6267,4566,-55671,-54545,-4946,-7574,-2976,-321,-89239,-55446,-3470,-5797,-4548,-1678,200804,69682,41581,3630,5452,8018,65466,-36161,12902,25012,51037,14636,easy
106419,15475,2257,2447,2184,1935,101312,48698,6197,23224,9133,19005,-61124,-30978,-5385,-21485,-7197,-16515,175382,-36901,-4607,-20140,-8157,-15850,-48657,-37955,-3146,-21378,-8022,-18476,-45175,-27060,-2622,-20107,-4421,-17441,difficult
64675,59521,5047,3977,5175,3174,94526,38219,10313,12899,6782,4649,-74705,5547,3556,-7883,-2260,554,-74763,-23744,-8813,-10830,-5056,-1912,48953,-3864,-7060,-10933,-1368,-2798,-18888,107267,-8749,-6043,2257,-1745,easy
640164,87373,27096,17253,8709,5235,48104,18195,4658,5443,14810,4499,472353,130294,20144,3616,-10085,-2262,356270,38780,25851,11330,-3311,-1444,1314149,89119,43933,33477,11,7730,225468,18517,-176,-1184,-11019,-1079,difficult
124244,21885,27413,9551,9232,14604,64685,54716,14869,5606,3523,4019,3736,-22068,-2333,-3493,2237,-738,-19536,-47542,7496,5968,8336,12914,222514,-12020,54283,16850,13362,32601,31520,-49693,-9271,-3547,-1100,-2437,easy
140898,86254,8529,9566,6647,5704,64845,22249,3370,6797,4288,7143,106152,154345,4635,6124,7087,927,111673,18775,2967,155,5700,-2632,71941,21536,2773,1579,-2363,-3596,14445,61365,10259,3219,-990,-455,difficult
535553,194194,39663,30655,15311,10088,299053,31016,18583,6559,5550,3773,301184,432396,43461,46027,17058,5984,-65746,1374,-12890,-4071,2746,-1080,540675,135475,48336,21697,9027,7368,169888,83465,5412,32732,10214,12989,easy
150897,14432,5439,2065,1944,2128,94256,14253,3578,7158,5056,5875,-42263,9734,11005,-5485,-4145,-3605,32518,-6368,-436,-5150,-497,-4120,-31564,-6245,-1239,-6170,-4133,-5301,267873,3594,-1885,-3566,-3672,-1962,difficult
79435,34158,7911,3552,3475,3342,224378,37705,14734,8135,9927,9903,-166375,-6189,-12081,-6785,-6948,-6836,-193402,7853,-1222,-4080,-5564,-6660,-161729,-27897,-5787,-4270,-6619,-6595,-58267,12045,-8202,-3197,-6677,-6155,easy
632097,120596,59595,38232,38686,17731,533321,189599,33371,32230,23201,19633,1174051,115552,55352,80094,40067,22873,-506806,-123297,64742,-11256,26128,-3584,-383872,-173700,-24237,-29962,-21093,-17982,111729,-94569,9038,-14867,16838,-8917,difficult
49241,19354,4895,2886,3721,3660,175623,46469,6853,4333,3928,3493,-92171,-22720,382,2620,5181,6256,-105526,-37455,-5050,-3632,-2664,-3082,-167587,-36699,-3464,-2663,-1344,-693,-140244,-11585,300,-2114,-2002,-1813,easy
651841,155715,22114,10112,20148,12004,84573,28210,13588,20070,6008,9092,691060,94916,-8948,-13690,15215,951,782872,43596,5776,-12714,12004,-5535,84376,5584,6193,-6670,3483,-3069,710763,365922,31083,-6760,25857,19301,difficult
29644,15443,7024,3596,4278,5920,599878,86709,13436,8435,9379,6766,-544949,-73130,-10390,-6688,-7513,-3701,-597344,-84364,-12050,-3545,-2184,-3296,-578795,-60941,-4219,-4454,-7407,-2734,-559847,-66629,1011,-4670,-3302,6346,easy
185605,69706,5848,6891,6014,7281,101022,23535,5409,9121,6170,11877,123412,120322,2873,377,3062,-5516,-94440,-14594,-2358,-4155,-3469,1348,392149,93238,4099,3510,3369,-4985,-82790,-14283,-2860,-8654,-3588,-9233,difficult
105375,47923,5279,7418,9126,9892,50530,23635,4674,1954,1809,3415,55216,102039,2137,19028,18070,10825,209900,15695,-990,-7,-516,-242,2356,-1252,4932,1695,5769,8657,-48093,-19330,-3660,1139,5945,6666,easy
496237,42425,20082,23823,10923,29651,67262,55511,6007,5980,3657,4797,23691,-32759,-3765,-2898,-2750,-2729,51500,-8630,-3517,-1083,-1737,-1922,29003,-39439,3742,-1601,7904,-1618,1611706,28484,59838,76953,25647,105684,difficult
398897,34890,6169,12270,5885,5430,177330,22708,1215,4441,5431,6639,-6949,2655,576,-2119,-2113,-4972,-151399,-15145,1478,-39,-2349,3052,-123601,-19511,270,-1999,-4182,-6413,1168218,80727,17493,35474,10458,3496,easy
168172,36347,7073,4055,5385,5101,65932,11712,5597,3315,10909,5453,72892,58454,6210,3211,5107,6760,191188,14920,-2068,-287,-9224,-3700,-19907,18490,6947,-2088,-10558,-162,164786,6677,-5187,2125,-7423,-4308,difficult
101134,19510,4138,1797,1343,1983,536406,75373,11437,5672,7919,4887,-506969,-58200,-9325,-4833,-6792,-3904,-422116,-71120,-11374,-5302,-7461,-4119,-498917,-43519,-863,-2327,-5181,-2793,-313088,-50613,-7633,-3039,-6870,-800,easy
331721,158396,37648,14157,15846,11965,109895,47168,13319,3124,4610,2645,12011,15919,-2971,-288,-542,532,-85855,-43349,-12423,-2767,-3929,-2030,78475,67825,89726,20890,25087,23325,882672,404517,22982,26295,24327,15451,difficult
42717,19700,4652,2723,2136,2963,80373,16559,3250,4128,2427,2100,-6353,-14570,-2455,-3710,-1117,-1240,-57517,8106,3541,445,1593,794,-74014,-691,1820,213,-1599,1115,-12740,19720,2702,-2567,-41,2781,easy
