delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
346679,23132,31336,16863,12609,19259,4017,2954,-343506,-18958,-26746,-15073,-11886,-7394,-1169,-1045,-287469,34467,-15370,-11170,-10963,-3941,-823,-1478,easy
47085,9281,8277,4037,5535,7583,2238,2308,106609,78647,21649,510,4057,-2600,870,-1188,1723363,564780,44627,6574,29445,10826,14791,11895,difficult
150691,38372,20154,7620,14789,12584,3805,2067,-136714,-7306,1063,72627,-1891,6086,-164,-1352,-135603,-17487,-16474,-1782,-9382,-2505,-839,-783,easy
396588,34893,8139,7642,6137,3368,867,558,180429,-4932,91320,118746,14213,12208,3434,834,-388581,-3064,71981,114026,19250,11242,3347,1945,difficult
219759,39922,6215,9968,7815,12457,4017,6409,-155694,2653,24176,46477,4773,3957,223,-5082,-149835,-26934,15041,10840,-814,-4333,332,-3031,easy
164817,13045,49967,77370,7156,7225,2495,2386,-114914,17350,-44543,-51299,-4573,-2342,-2015,-1356,-120995,18750,-34871,-70714,-4604,-4783,-1018,-1096,difficult
23889,19719,15250,68685,10445,14671,4179,1394,66475,92178,4137,-43422,15740,17935,14539,5633,1254576,160924,20963,-61163,4932,24461,15231,17017,easy
214638,36526,30392,68495,17896,13010,3336,4012,-201733,-26328,-11752,-64216,-15956,-10427,-2371,-3635,680051,32922,-2473,-30579,-13330,1510,-293,1263,difficult
129744,54667,31905,37933,13418,17175,2252,1468,-124130,-41034,18917,62382,4464,-3768,1181,694,159612,11612,-14694,24357,-2854,14185,2485,1373,easy
83916,20111,27885,36296,5794,7842,2258,1630,-69314,5011,796,23471,465,282,430,-1015,1344929,124401,14116,-810,6264,14832,9675,6708,difficult
226742,37811,26484,45499,6949,5837,1840,1058,-198906,-20659,15590,78056,14008,9182,336,600,-123356,-8174,-8974,32187,22081,7770,1536,1550,easy
13337,14919,74370,133421,12517,12776,2857,1634,456095,15199,-63032,-90510,-8611,178,-682,-777,2582,15438,-43995,37173,3493,23554,8577,8130,difficult
738331,178254,61474,42762,22669,20394,16259,9301,228817,-153895,-47520,-32608,-14243,-12648,-10396,-6030,-588064,-167652,-58167,-36287,-18981,-17583,-12767,-6642,easy
10222,10320,48440,154563,8852,11422,1832,2856,11426,15022,21487,74182,4276,-3104,-324,-1733,646540,80815,28719,-27054,12735,12121,1558,-1894,difficult
70415,41622,26502,33654,18973,11065,3885,3006,-63284,6250,-8409,24965,-8279,-531,-2605,-747,-1921,-34550,-12692,-24329,-16315,-6367,-3206,-2805,easy
105448,25492,6877,2049,3162,2360,648,814,1231980,110921,35416,32765,7972,33951,1897,7850,-43855,-5258,4514,4803,-373,1440,1012,1101,difficult
79585,22462,14591,32111,11245,6144,3110,1210,-71924,-17564,10295,-9254,-8579,-1214,-2293,-977,-68600,-2270,17205,14464,932,10403,-805,658,easy
15146,14042,58705,75953,6493,9159,2788,1704,591584,131783,-34087,-57857,5439,1526,-740,-684,78314,-7245,-56791,-75187,-6145,-8202,-2573,-1555,difficult
48779,27271,6777,5003,8187,26217,28341,16977,1470140,90008,50108,84401,24937,3711,274,-2308,-46360,-18524,368,5082,6118,-5030,-9283,-1315,easy
125550,29724,12753,120590,16189,10521,3201,2986,-41926,-14534,-8552,-111717,-8021,-7559,-2464,-2528,251691,9300,-252,-110661,-9865,-6223,-2116,-2738,difficult
70925,23879,27557,66151,13136,9786,4976,2543,85489,22820,33126,-3439,2092,534,-1837,-1265,78465,-17797,-21280,-65232,-10718,-9096,-4227,-1841,easy
15080,20559,25463,96531,11635,12778,1737,1381,10563,11084,-11001,-39153,4140,-4351,1127,196,233214,44403,39336,5551,-3406,3696,7923,3407,difficult
34176,18111,45884,67873,8163,8929,2158,1936,1553793,102402,-33372,-23609,9462,6890,3829,2996,537746,655017,-4836,-34247,20890,7966,3551,2560,easy
157445,19070,34100,90854,6072,8701,3466,1518,498260,95885,-7644,-47940,-38,24554,2021,4248,-56702,25194,-22573,-76607,14602,7092,12614,1973,difficult
175334,28815,36438,28697,26081,7759,1668,1719,-140169,27576,51927,53867,-20996,4526,1696,294,-158037,-20915,-33655,-27812,-23642,-5467,-1068,-1132,easy
245093,25015,21766,9022,6680,7866,7386,8999,623543,276002,-15509,27590,6932,-915,-4128,-7452,-91551,8994,-17929,-6210,1086,-2628,-6390,-8573,difficult
784455,125052,11496,37696,12488,9174,3739,1866,-768586,-113322,172532,41759,4280,1939,-2175,-63,-664059,-88983,-345,44684,-369,3124,-663,686,easy
109789,59979,24084,21987,8710,14618,4941,3805,-84261,-54635,27587,69355,1915,-3890,-1090,-2930,-100252,-42646,26704,111925,3485,-7530,-3373,-488,difficult
189504,112866,39688,50580,12248,6358,3908,1811,-28874,11834,-17045,-39138,-2414,-2358,-3390,-1271,-1215,-57071,-24535,-46912,-4545,184,-1298,-1209,easy
51646,20214,32180,106201,9259,13248,2276,2118,321830,35105,-3740,-47593,-1042,-1836,5063,2103,-15595,11713,-30412,-98511,-3901,9649,6281,2239,difficult
339847,172202,31833,159408,21683,18718,5916,5574,-290381,-142691,24673,-61073,-9885,-8666,-3595,-4031,-158624,-160455,-30719,-156226,-10971,-16102,-4708,-3816,easy
672780,61623,10964,34709,14915,10813,3344,3465,-249625,-16941,58765,11937,4187,-1408,433,-1665,82457,51772,-1688,-37,-7393,1420,-804,-1925,difficult
15065,17936,59261,73286,8524,9751,3425,3159,81456,86371,-50953,-71274,-5597,-6501,-1342,-1578,2405928,29720,-14806,-31914,18821,41785,21269,9623,easy
11462,12995,59543,144216,5248,13876,2200,1538,-2211,2781,-53091,-83840,3453,9089,-803,-527,243959,222283,-19137,-39794,9415,-8480,3621,1544,difficult
