delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
307607,22410,15545,6726,6058,3497,2744,1151,88590,18799,5420,2807,4840,4244,2497,2507,-88086,-10752,1977,895,5137,932,3009,-1102,21917,-3061,5523,1532,-928,-2654,-786,-1079,723221,24645,22875,9330,-556,-518,-1481,-1886,easy
38667,22803,3219,7438,5743,8980,4615,2945,113496,48849,12546,6795,10495,14973,9724,8332,-63964,-38512,-10542,-3916,-6650,-11430,-5440,-7373,-101676,-39080,-10819,2131,-4349,3032,-2151,-2023,-58846,-545,-6621,3714,-3257,-9580,-7736,-6765,difficult
70582,11424,3552,4014,2608,2764,1283,784,144867,41773,11493,10179,4499,3287,1896,1134,-10258,-32041,-9761,-9287,-4064,-2521,-1690,-1067,-107295,-32027,-9153,-6284,-2666,-1552,-1052,-95,-105303,-26980,-4910,-2923,1058,2503,902,112,easy
340048,253922,123289,17226,16170,25817,28289,15949,114914,24976,8848,7061,8856,11606,2300,3532,428490,690954,332354,30875,29527,37964,71748,32177,327510,-16202,-2621,-3065,-3498,-6441,-506,603,-80599,12087,13591,2685,-4087,11109,6724,4472,difficult
790802,85026,9397,7116,3527,3719,1662,917,270762,54909,5624,7019,4351,3886,3836,1741,-263487,-43634,-2074,-2828,-2382,-865,-2929,-1060,297209,27153,-2651,25,-2513,-2119,-2658,-1132,1526398,106832,16045,3094,2423,2482,-935,-280,easy
374313,64342,8741,8094,10087,15318,23677,14998,184713,57199,10962,8680,8585,10209,5094,4507,-177898,-34911,-10670,-3093,3635,7087,47103,23083,-84242,-17545,-10896,-4307,-3740,2441,166,1258,830939,73885,14904,5642,4612,5799,8481,7132,difficult
49673,10540,3861,4060,6569,10508,4405,9629,255310,60871,14602,8893,18843,11557,11591,8391,-246812,-58007,-5162,1180,-428,17601,661,19048,-196302,-44875,-13972,-8172,-17961,-10068,-10979,-7378,-173797,-48112,-13090,-7507,-18432,-10680,-11240,-7957,easy
222078,16712,3017,3639,3811,9588,2865,3244,260087,106526,10921,9943,9690,7599,6936,5075,-242818,-85248,-8723,-5506,-5279,3949,-6039,413,-227955,-83342,-9056,-8722,-5546,713,-3622,-1570,356746,-100852,-5934,-4684,-6812,1306,-2551,-4335,difficult
61144,12862,6285,5521,8503,6235,4152,2444,595713,42138,11775,12407,7098,11186,6181,2857,-589710,-30654,-8855,-9906,1081,-5533,-1775,644,-592455,-40578,-65,-8080,3854,-1382,172,-270,-421543,-16595,-7551,-2673,-720,-7938,-4484,-1613,easy
43457,20452,2255,2650,3216,6640,2663,2471,1022756,130825,35480,9602,12288,24918,11912,9626,-1012145,-124785,-30943,-5161,-8587,-18382,-7461,-6455,-924802,-79025,-34078,-8196,-7828,-12482,-8720,-5610,-1000951,-127308,-34655,-7498,-10802,-23971,-11565,-9400,difficult
90306,23659,7584,2226,2746,9064,2511,2171,144707,50376,13157,21663,12313,19191,8903,4210,51133,-18305,-4817,-21025,-9097,-14807,-6883,-3479,-122818,-39251,-6594,-17356,-7954,2828,-4330,980,-91517,-22595,-5309,-19930,-11651,-18402,-7963,-3618,easy
48567,20350,15187,15805,7357,9352,2301,2297,85288,22912,4556,4781,4968,6947,3418,3244,12459,1439,34250,40197,14386,18745,2316,2068,-68498,-6853,432,-3336,-3332,-5623,-2780,-2532,-54124,-2273,-2790,-3790,-3888,-5908,-2888,-2378,difficult
23359,6629,3138,1435,4403,6364,2110,5028,56802,30636,3343,3999,3627,6993,4073,2541,-46858,-26418,-1487,-3042,-2653,-3036,-2474,-639,-35810,-27960,1157,-1430,7917,6455,256,10184,-17660,-17643,-285,-3219,-2937,-5306,-3671,-2085,easy
389812,48840,12463,8236,13298,12016,3451,1606,88418,25096,4118,3372,7485,12534,2539,4447,216508,47975,-198,-1106,-780,-6553,-1311,-3056,-84568,-22222,-3777,-1305,-6585,-5225,-1329,-3914,772241,45478,29011,17002,24804,10223,5375,-1553,difficult
152334,37501,1302,8957,4854,8821,4998,3555,155026,58226,6110,17806,4887,12083,7133,5315,58313,13036,-5089,-13850,-1191,-9653,-5214,-3787,72461,-39344,-4128,-16449,-1579,-9669,-5512,-3867,-138849,-35868,-5206,3752,2671,9535,4322,2373,easy
