delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,state
47921,32703,8985,13609,43315,85404,-133,-8680,3301,68054,-5497,3308,-9147,-24520,2149,-11790,-46696,-6378,2264,19163,33827,-4903,-723,-11998,easy
768215,156797,46863,52875,-723788,-119849,-39122,-49931,449077,-34296,-29004,-18662,-377464,-51945,4816,-43219,-731461,-101868,-36692,-36190,-264522,-124507,38235,-37820,difficult
212538,31068,12361,7202,-186214,-19435,-11295,4821,-129017,-20139,7311,357,-201457,-19438,42708,5251,-99330,3948,-6461,-5106,-206595,-24468,-7707,-6469,easy
1473940,272975,12148,26313,-1221399,-231185,35259,-19592,-1444221,-253583,-10831,-24938,-1471916,-260988,28,-17745,-1257684,-248355,19238,-18768,-1367724,-246141,-6950,-23016,difficult
458011,62976,24551,13792,-362991,-771,6457,-11042,-429463,-26671,-16997,-3361,-229183,25285,-23226,-4004,-326051,-13314,-16262,-3619,635578,527821,9454,699,easy
95448,21282,7531,4523,-37778,410,317,-1119,89352,-4484,-5165,-1792,-73335,-806,972,9429,-45933,-6606,-4919,-1564,-86569,-16137,-4347,-1369,difficult
161040,48753,7924,10117,-65335,-34994,-2380,-8821,-132665,-35895,-5797,-5940,-158905,-44289,-4944,-6120,-138677,-32875,1844,-7207,436526,67515,35690,535,easy
47151,39444,8063,8353,-42880,-38296,-4385,-5773,-37390,-25861,16672,-873,84518,-22645,-3957,-6690,-30235,-37652,-6613,-7171,-26569,-31850,43398,-4053,difficult
688321,90189,17412,21698,-349738,-61024,-5083,-17332,-625475,-87202,-15932,-20283,-562861,-74216,-12762,-17222,-655915,-60467,-12968,-11099,-628506,-70985,-8623,-16429,easy
164383,69252,12436,7991,93905,-48820,-9189,-4323,-72833,-58285,-11427,-6921,-144060,-53352,-5489,-5063,-81577,-7630,-5723,-7040,-138527,-56509,-4630,16196,difficult
272695,109689,60589,8354,-267217,-99048,-55504,18333,-83771,-99410,-58141,-8005,-121407,-97419,-53602,-3046,20842,-51208,-55301,89,-90570,-56339,-57004,7140,easy
64361,18026,6969,8422,2110868,299572,29483,26007,5383,-2438,-5267,-6011,143565,-3101,-930,4199,-57231,1555,19393,4542,-61923,-1026,32654,-6309,difficult
184684,30433,8376,8925,73809,4107,-10,-4725,-177630,-22095,-5085,-4377,235747,1069,-4881,-5713,-143618,8119,24491,500,-118478,4026,11787,-6934,easy
413843,87946,20574,8568,-378455,-41684,-17388,-3447,-402313,-77595,38132,3436,-193602,-72987,-12884,-3707,-408548,-81787,-17833,-7248,-296772,-73673,-19473,-6905,difficult
273425,54215,10700,19653,405718,-29424,2566,-12574,-18597,-14754,-215,-15935,-257284,-44666,2827,-15936,-150766,12254,80,-12614,-57011,30986,11499,10116,easy
371212,56556,21357,6997,-369054,-48626,11550,-2477,-215670,-41303,-916,-790,-207641,-32370,-11011,1579,-227096,-14879,-13101,-3130,-312630,-53533,-17837,-5442,difficult
50259,19195,7876,4982,-47501,-14029,9678,-346,-44324,-13992,-380,25626,-48044,-10801,19431,6665,-41565,-5087,11761,6788,-9965,-11818,-7293,-4090,easy
1008739,179129,11242,24648,-926753,-52115,-1082,-19250,-1003695,-172800,-9782,-21468,-762915,-168962,-7917,-20949,-861419,11851,1716,-22747,-882329,-63172,-9618,-22412,difficult
364467,36714,9784,12582,-361487,-33168,-7485,-9637,-266212,10930,6373,4749,-259128,-17904,-1375,-7999,-266229,18569,15502,12222,376039,216154,31634,14458,easy
