delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
60411,75682,7825,7888,4493,8825,47921,32703,8985,13609,17943,11334,43315,85404,-133,-8680,-12509,7855,3301,68054,-5497,3308,-13130,-7857,-9147,-24520,2149,-11790,-14712,-7524,easy
550823,88100,25760,15604,6454,5546,768215,156797,46863,52875,41664,21761,-723788,-119849,-39122,-49931,-39641,-19914,449077,-34296,-29004,-18662,-32219,-14420,-377464,-51945,4816,-43219,-33770,-14310,difficult
40309,11397,25269,10678,4837,5437,212538,31068,12361,7202,9221,5119,-186214,-19435,-11295,4821,298,630,-129017,-20139,7311,357,-8649,-1851,-201457,-19438,42708,5251,-4801,2174,easy
94761,24390,20300,5555,2246,10504,1473940,272975,12148,26313,18018,19345,-1221399,-231185,35259,-19592,-14825,232,-1444221,-253583,-10831,-24938,-16943,-17432,-1471916,-260988,28,-17745,-15547,-9324,difficult
117465,62257,13296,7656,6978,6968,458011,62976,24551,13792,7493,12716,-362991,-771,6457,-11042,454,-6145,-429463,-26671,-16997,-3361,328,-4406,-229183,25285,-23226,-4004,-2328,-6694,easy
88194,19655,6239,6696,4788,3505,95448,21282,7531,4523,2638,4737,-37778,410,317,-1119,1898,-2274,89352,-4484,-5165,-1792,2342,-1048,-73335,-806,972,9429,2210,-373,difficult
42072,10360,3550,3157,3597,2307,161040,48753,7924,10117,18736,7104,-65335,-34994,-2380,-8821,-16564,-4080,-132665,-35895,-5797,-5940,-12131,-4191,-158905,-44289,-4944,-6120,-16723,-6120,easy
48567,10510,10840,3908,4858,5088,47151,39444,8063,8353,11055,6215,-42880,-38296,-4385,-5773,-10011,-3452,-37390,-25861,16672,-873,856,4186,84518,-22645,-3957,-6690,-9435,-4114,difficult
175630,16042,6153,3419,2534,5813,688321,90189,17412,21698,8972,9028,-349738,-61024,-5083,-17332,-5491,-2215,-625475,-87202,-15932,-20283,-6047,-2461,-562861,-74216,-12762,-17222,-7775,-4969,easy
123387,15766,3734,2555,3166,3244,164383,69252,12436,7991,3905,4529,93905,-48820,-9189,-4323,-452,1024,-72833,-58285,-11427,-6921,-2650,-4225,-144060,-53352,-5489,-5063,884,-655,difficult
115230,11063,4840,10781,5710,5586,272695,109689,60589,8354,15456,13088,-267217,-99048,-55504,18333,-1417,-3795,-83771,-99410,-58141,-8005,-14557,-12056,-121407,-97419,-53602,-3046,-13264,-6655,easy
817633,116037,14731,16487,6550,2718,64361,18026,6969,8422,4516,6943,2110868,299572,29483,26007,13280,-1657,5383,-2438,-5267,-6011,-3639,-5915,143565,-3101,-930,4199,-3540,-5102,difficult
228659,24793,5051,3987,3750,1880,184684,30433,8376,8925,4085,3792,73809,4107,-10,-4725,1453,-2229,-177630,-22095,-5085,-4377,-693,-1589,235747,1069,-4881,-5713,-1765,-1917,easy
89053,23857,23194,7329,6810,5877,413843,87946,20574,8568,12526,7426,-378455,-41684,-17388,-3447,-8063,-4995,-402313,-77595,38132,3436,-1988,4991,-193602,-72987,-12884,-3707,-7096,-4644,difficult
316704,24600,12426,4838,2795,1905,273425,54215,10700,19653,11611,6831,405718,-29424,2566,-12574,-7847,-4707,-18597,-14754,-215,-15935,-8919,-4449,-257284,-44666,2827,-15936,-9681,-5623,easy
107090,15790,21231,6434,3420,6268,371212,56556,21357,6997,7041,12405,-369054,-48626,11550,-2477,-1590,-8639,-215670,-41303,-916,-790,-3725,-3581,-207641,-32370,-11011,1579,-5547,-6191,difficult
3636,6254,17452,15630,4108,6829,50259,19195,7876,4982,5333,6729,-47501,-14029,9678,-346,-2250,-2563,-44324,-13992,-380,25626,-1177,1792,-48044,-10801,19431,6665,-249,1071,easy
110951,47837,4982,4092,4533,5114,1008739,179129,11242,24648,22898,11747,-926753,-52115,-1082,-19250,-14000,-4627,-1003695,-172800,-9782,-21468,-21523,-9451,-762915,-168962,-7917,-20949,-19571,-5821,difficult
68858,23333,8955,8286,3369,5039,364467,36714,9784,12582,3269,6844,-361487,-33168,-7485,-9637,-2426,-5200,-266212,10930,6373,4749,4248,3980,-259128,-17904,-1375,-7999,-1522,-4194,easy
458553,65759,6605,6570,7361,3542,62294,39626,20494,7485,9200,7458,86297,-16865,-14941,190,-1854,-3193,11159,40806,-15272,-4463,-4311,-4506,1091321,54458,-11453,1528,648,-4050,difficult
97619,69454,12694,2390,2875,2137,924984,261817,39452,30841,25806,19456,-911793,-254413,-34229,-28914,-24121,-16018,-661918,-260090,-36832,-29549,-24255,-18550,-908385,-62587,-9212,-26889,-20416,-17388,easy
736187,73900,25125,7963,11934,17840,575790,257662,17946,19666,11977,13774,-543198,-239926,-10325,-12319,2467,7708,383958,-122654,19993,-11521,-3589,8898,640432,-188706,11870,-11268,994,-4409,difficult
266126,16140,15051,8680,5720,7354,177356,17733,4205,3435,6191,2123,-167216,-11416,103,898,-4013,-741,-168280,-2190,9466,7938,-132,2392,601805,8827,22969,6899,2731,14042,easy
86328,29254,4522,4067,1945,4557,297732,113548,21211,10426,3337,5482,-292234,-107902,-17967,-9073,-1782,-587,-185155,-97489,-13798,-7655,-1719,1099,-156823,-47491,-18303,-2349,-676,-3287,difficult
104106,26727,16815,8602,6620,4222,188218,44855,10673,8027,3379,5735,-54825,-1724,6169,8741,8281,-2696,-125034,-33810,-9016,-4451,-1496,-2198,-72478,-18849,21273,-2566,2938,354,easy
256012,135933,16454,13912,18456,10414,387369,20649,12536,12616,6095,13674,-56632,290494,10895,21137,38170,4812,-383398,-12667,-9872,-10888,-2819,-10381,45959,68024,10732,-6362,1732,-4212,difficult
89465,12028,24063,7024,5192,5597,115372,52227,11074,7170,4935,4789,-9774,-29758,6117,-2676,-1985,-116,-89192,-43726,27995,7513,327,5511,21244,-47114,4855,-5276,2430,-2970,easy
39516,72121,16615,14658,3742,5272,58387,16178,9438,6691,4773,4508,-30253,-10207,-1237,-3507,-270,-469,29750,186564,28842,33419,776,4031,-56109,-8529,-6075,-6012,-3598,-1270,difficult
105172,8826,20583,19118,12889,8348,813916,84323,14192,8951,8038,4531,-775839,-78868,7474,-1617,4832,-1116,-557142,-67805,-12341,-3866,-5274,-3146,-793252,-79818,24040,35984,14994,15714,easy
