delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
579246,32244,7265,14214,6428,6817,7808,3627,550178,119026,21073,22937,15088,23720,12566,7356,897893,-84773,-5703,-5202,468,-13622,-2625,-1508,-319553,-104160,-19247,388,-12304,-16740,-2501,-3138,-491136,-71412,-16473,-21355,-14143,-20348,-9149,-6542,easy
240844,103457,23066,17235,9506,26886,18630,13412,64627,29067,21273,5595,6049,19035,12103,5451,290173,148781,23354,26168,11552,29874,19327,6799,-41818,-17971,-14318,3747,1918,977,6835,18001,280297,92361,-3657,5004,-3098,-7298,-6582,-917,difficult
708750,302598,58036,12951,27381,29891,59490,30776,54624,19956,12470,6635,7042,13413,10817,7922,789335,320468,53086,4326,21111,13793,12055,20066,439450,353704,46646,15410,31363,8626,60354,25693,733594,173755,36965,-787,8543,27016,73609,22803,easy
214866,32351,11747,29369,14779,20004,9739,3961,38255,38479,9104,6387,6429,18267,22172,13065,-33936,-35501,-7460,569,-1254,-13243,-14698,-10805,-29669,-6861,14193,65938,29518,30477,-4134,-5641,593439,23977,1195,2438,-3214,-12023,-18466,-10865,difficult
387140,65971,29274,30094,8265,17392,6373,6719,800379,134800,26481,19006,30969,19723,17944,13877,-738565,-130211,-24328,-16933,-27232,-15517,-14516,-10735,-672597,-96910,-221,-8545,-23706,-11037,-13759,-10049,171444,20635,32928,58741,-17173,19562,-6437,-689,easy
32713,27565,3325,5050,14875,22095,22643,11713,833370,48478,31803,17818,6521,13180,8234,3612,-824458,-38894,-28972,-15686,11363,5830,13935,11064,-817691,-41741,-28158,-13251,9628,26392,31377,14641,-759821,17897,-28305,-9366,4071,-5477,-2086,-1401,difficult
53329,17655,3240,6291,4985,9806,3688,2344,1075393,48575,6272,23222,9908,22952,27014,14863,-993385,-15357,-884,-9489,2551,-12608,-22422,-12108,-1061408,-33129,-2201,-18688,-8662,-5906,-21335,-12824,-1011398,-44273,-6012,-22616,-8659,-20923,-26220,-12624,easy
160880,14479,5190,13609,8418,51501,32679,13157,188829,130573,38984,16445,9926,25256,7723,10091,-186304,-122972,-36025,-10784,-2820,7503,22588,3489,285897,-108180,-31499,-4981,316,9904,13138,1573,-183441,-117129,-33857,7257,-2020,61328,39141,4136,difficult
157330,45146,20844,19869,21606,21154,12407,14606,263304,45371,14468,5378,2494,7796,6885,5192,-241091,3853,20267,17806,24812,25683,12879,20490,-191176,-8618,-12482,6294,497,-699,144,-1275,114345,4091,11344,19372,32028,15089,3543,9028,easy
518606,52006,30393,6834,14158,18072,10181,10213,212840,74074,7528,11511,13326,35104,66974,26130,-134172,-44337,-2005,-3998,11697,2180,-52588,-6536,474588,21326,67560,-1679,1181,-24677,-52185,-16652,576881,-43193,3040,-8355,-10383,-28598,-65605,-24564,difficult
700560,48301,27604,14970,8274,12567,7707,2325,1168005,57312,25077,18823,14561,15741,11594,7667,-1132452,6951,43065,-4369,-1062,3216,-1543,-4209,620971,-6140,-23481,2089,-6714,-2027,-6919,-5759,-890854,-27843,-12004,-9279,-11084,-10711,-3200,-6057,easy
315510,122151,49412,40723,28304,43696,29340,20869,1308752,78771,20444,16167,10949,21244,7275,9836,-1214101,-28004,12620,-11553,-1208,17965,2461,496,-1282772,-20962,42763,37484,19236,-6734,49306,15158,-482854,179106,31521,47736,34037,56124,14427,17446,difficult
961614,85810,16972,16868,27593,38975,18534,11156,834993,146350,25975,19237,11185,29495,8256,12972,-685431,-86159,-18752,-5819,-2513,12345,4985,3864,1047341,-41829,1248,13318,55825,32134,27942,-1727,17954,-53633,-9505,-14605,-4089,-16038,-2092,-7586,easy
