delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
88590,18799,5420,2807,4840,4244,2497,2507,189564,16706,13833,156,-3608,-2802,-1479,-1270,259124,39234,7378,15605,309,15581,1905,96,-88086,-10752,1977,895,5137,932,3009,-1102,easy
113496,48849,12546,6795,10495,14973,9724,8332,-45161,1062,-11916,1005,-8570,-12516,-5353,-7005,-82022,-36761,-11553,-2228,-3778,-3129,671,-4966,-63964,-38512,-10542,-3916,-6650,-11430,-5440,-7373,difficult
144867,41773,11493,10179,4499,3287,1896,1134,-120953,-31959,-7233,-5570,3000,6962,7365,2911,-16219,5651,1549,-4058,-17,-1392,-614,-450,-10258,-32041,-9761,-9287,-4064,-2521,-1690,-1067,easy
114914,24976,8848,7061,8856,11606,2300,3532,-103345,-21480,-8523,1019,4149,2421,11422,-1638,718988,54385,1458,-5192,-5973,-8611,-427,-1198,428490,690954,332354,30875,29527,37964,71748,32177,difficult
270762,54909,5624,7019,4351,3886,3836,1741,-244543,-50374,-2459,-5202,-3362,-3058,-2117,-694,-262947,-46882,1351,-2572,-1030,-288,-2401,2501,-263487,-43634,-2074,-2828,-2382,-865,-2929,-1060,easy
184713,57199,10962,8680,8585,10209,5094,4507,863595,-18161,34841,46450,19124,6466,30903,6567,2085866,165791,7105,37951,10211,30307,36252,23811,-177898,-34911,-10670,-3093,3635,7087,47103,23083,difficult
255310,60871,14602,8893,18843,11557,11591,8391,-188027,-7451,1530,366,-15267,-6495,-7765,-5059,1860400,51307,-1127,8923,-8924,13945,11854,2253,-246812,-58007,-5162,1180,-428,17601,661,19048,easy
260087,106526,10921,9943,9690,7599,6936,5075,-62123,-95480,12559,-3621,-7793,-1203,-2536,-2487,-121067,-99459,-7070,-9304,-6846,8267,-4826,-1668,-242818,-85248,-8723,-5506,-5279,3949,-6039,413,difficult
595713,42138,11775,12407,7098,11186,6181,2857,-91168,105820,20384,41943,38557,28153,18354,7637,1064886,157646,46347,-33,10489,1380,4037,7450,-589710,-30654,-8855,-9906,1081,-5533,-1775,644,easy
1022756,130825,35480,9602,12288,24918,11912,9626,-944284,-107473,-28614,-5381,-8424,-23383,-8591,-8438,-906473,-114049,-22824,-6031,-4847,-19502,-8520,-6379,-1012145,-124785,-30943,-5161,-8587,-18382,-7461,-6455,difficult
144707,50376,13157,21663,12313,19191,8903,4210,169887,40967,-10543,-14367,3957,-1719,22610,2276,-80768,-48903,-12929,-19212,-2538,-13833,-2557,-2388,51133,-18305,-4817,-21025,-9097,-14807,-6883,-3479,easy
85288,22912,4556,4781,4968,6947,3418,3244,-57276,-17500,2189,742,-3605,-3796,-2412,-1897,-70711,-16362,2011,3046,-1134,3203,4753,-877,12459,1439,34250,40197,14386,18745,2316,2068,difficult
56802,30636,3343,3999,3627,6993,4073,2541,43229,-27210,-1083,-2884,-2963,-6242,-3567,-2137,-10929,3488,5545,2725,151,-3028,-1034,-1500,-46858,-26418,-1487,-3042,-2653,-3036,-2474,-639,easy
88418,25096,4118,3372,7485,12534,2539,4447,-78062,-19989,3187,189,-2302,1949,10691,-21,-83576,-17833,6381,8296,-3287,-6979,1173,1311,216508,47975,-198,-1106,-780,-6553,-1311,-3056,difficult
155026,58226,6110,17806,4887,12083,7133,5315,-150017,-56915,-2092,-10194,9954,4023,-1293,-611,-137524,-47108,1896,-14611,4582,1315,-1287,3031,58313,13036,-5089,-13850,-1191,-9653,-5214,-3787,easy
273619,40523,6060,7145,9129,5839,5396,2448,-260240,-36912,-4081,-3800,-5307,-2286,-3545,-1356,-106574,46555,-412,11,-6845,-2401,-4428,-1550,-255295,-26575,-4455,-4731,-7006,-3963,-4349,-1893,difficult
460314,66034,35572,15829,10509,7426,3658,1225,1171255,31380,14154,23416,-6380,6775,1705,1617,-454833,-59778,-35071,-10612,-7698,-5763,-3125,-701,-458599,-54449,-31716,-13983,-7468,-2935,-2280,137,easy
819749,128431,9758,9030,10844,8798,5574,4861,-764561,-94358,-584,2765,20952,-202,-1638,-2408,-779615,-117206,-5922,-3949,692,-6522,-3281,-3595,-811580,-90948,-4600,58824,-3286,-2476,-1800,691,difficult
107534,38601,5620,3961,3304,3219,1354,1212,-103247,-21394,-1920,16320,2885,5558,6702,4794,-52444,-16155,18218,9052,4517,1716,7174,1273,-49010,3807,5269,15878,4523,6154,2248,782,easy
110853,10848,6238,2948,6786,3691,3351,2390,-70210,19949,-3641,1658,-872,14364,11341,8913,16802,33017,12126,1930,-5242,-651,-1919,-1486,-106806,-7515,-5507,870,-6379,-12,-2246,-886,difficult
67081,31530,13673,11322,11760,2565,1947,1182,757541,189663,20162,33132,-3084,5797,7425,3832,630411,27105,-10883,1224,-10053,408,212,-555,-56004,-18057,-10209,-7958,-5291,3059,1358,1732,easy
344183,63808,10177,5494,7215,8394,4903,3289,-166827,-58853,-9437,-5006,-5096,-6410,-3787,-2399,-338243,-63030,-8867,-4294,-4727,-4617,-2601,-1654,-342126,-56500,-7084,-4032,9011,26455,10076,11540,difficult
122068,118897,10884,24322,19255,9342,16129,5702,48872,-103722,4611,-18217,-15852,-6841,-15047,-4599,-52725,-99530,-7697,-2521,-5838,41102,12842,4976,-117871,-116443,-7774,-17336,-10507,2434,-5376,155,easy
49540,12370,4370,4754,7356,5102,2484,3054,778241,11086,9004,5806,-1071,-1391,1852,-1297,-45964,-9750,-3066,1152,10813,1949,4060,1578,35701,35987,-3239,-2396,-4772,-939,-648,-1097,difficult
19462,8984,7094,4139,7048,7201,4246,1546,1519660,101580,-3961,4141,7413,6844,2747,1785,-13100,4855,2229,1397,-2988,-1775,-1867,1394,-13692,-4116,-617,6786,-4018,1406,2751,524,easy
294582,23712,16803,3836,7861,6413,2003,2170,-152994,9581,-7955,7835,-3010,-1809,3583,-589,-276634,-21623,-15766,-2135,-5680,1480,2079,-568,-291876,-14622,-11792,22941,-742,15582,5161,7393,difficult
776102,101139,15264,13585,8610,8663,3830,1869,-727382,-99676,-11684,-11910,-6713,-7932,-3388,-1696,-730132,-67815,17046,-2151,5902,-468,-2590,899,-745291,-61127,-11468,-3486,-5744,-4654,-3184,-1263,easy
45430,29428,5932,20210,36289,16317,16907,5383,116563,-25305,-2422,-16585,-30178,-8707,-15629,-3635,-40648,-16508,-1413,-17137,-25055,5871,-10321,2499,-42758,-23275,3130,-15066,-27803,-3900,-13240,2573,difficult
125873,18156,5543,5430,4420,8510,8591,4241,69580,12957,13392,-726,-946,-5452,-7492,-3077,-121734,-10787,-3253,-4665,-827,-5507,-4583,-2410,-117869,-10241,251,-4461,8562,21643,-3107,8841,easy
242578,24047,16384,12649,7363,11698,13816,5006,1452288,39060,19772,-3579,8555,4955,-5384,584,-224096,-15633,-11181,-9585,-1300,-7756,-10563,-3902,-201569,10275,-16039,-10789,-4764,-10516,-12651,-4125,difficult
297614,27383,3960,10141,5657,7420,7502,3026,592730,72567,18933,17325,14331,20950,14345,20357,-86800,-1063,13472,-6479,1963,27,-546,2402,-202800,8037,2552,-5012,-538,-3583,-5305,-2140,easy
112981,42777,7552,7961,7189,15740,9854,13560,54812,-21393,-2780,-5462,-2654,-9651,-7308,-11331,-73935,-35923,-2676,-6171,-6370,-12902,-8719,-11436,-109571,-30669,-2284,-5480,10971,-6912,308,-5302,difficult
50881,40453,6876,3719,2633,2313,690,539,179131,-6292,-1481,-1507,-687,-680,1384,445,888568,350075,7377,39917,18440,17908,15448,3535,-41487,-20318,-2557,11646,9313,9326,15374,3510,easy
177640,49113,4212,2144,5979,2837,2868,2344,508425,-23662,12261,8769,739,-999,-1511,526,-164211,-45884,119,-1257,-2980,3003,-633,-1690,-173032,-38227,1368,-947,912,9830,4366,3670,difficult
87064,29578,9462,14869,10626,16167,9092,7039,-5344,2452,-4556,-14099,-5384,-14335,-7160,-3328,540087,17579,9679,-11195,-4947,-9893,-7060,-6321,-80413,-15738,-4061,-8353,-2062,-4987,-1662,-1811,easy
397929,64818,16945,8530,7470,12404,6641,7247,131385,128013,-2289,25986,3217,28369,2888,-1890,-170105,-48332,7996,-5120,-4273,-7064,-2011,-4274,-393600,-61653,-13184,-6913,14680,-743,-1523,-2112,difficult
180035,32798,16093,23628,5357,5453,1959,1448,546242,51906,-10651,28672,4844,2871,1328,2842,-170992,-14940,-10366,82098,4565,-451,1247,893,-88061,1714,-9277,-11903,5777,-1378,-134,2223,easy
470623,55444,3314,13261,11146,22572,8838,5764,-465362,-49478,-1730,-6519,-6091,12685,422,77,-225766,19353,4635,-2571,-8213,-14154,-6546,-4283,-459966,-52860,-2099,-11856,-9753,-16940,-6689,-4562,difficult
351742,44694,8673,10388,11477,10682,6155,6157,452122,156784,7009,3594,6903,2719,948,3753,-332178,-40921,-1121,-7919,-6993,-8341,-3182,-4747,-222045,-36666,-833,-4038,-7768,-6877,-3439,-5185,easy
