delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
111027,38020,17321,15906,3531,6116,218581,189830,29588,31897,12782,36886,-215085,-188454,-27927,-28982,-11243,-32668,-98062,-169447,5874,-871,-6126,-25527,-9516,-97530,-14747,-18121,-10385,-34114,easy
520290,75303,6474,10273,9801,9503,443319,53498,15431,9486,9241,16912,-168164,3444,-8533,889,5978,-2090,44854,70315,-8182,7316,592,-8608,354224,-8344,-10157,-5845,-4889,-11530,difficult
1003447,162232,14937,12233,12257,6227,174206,76255,3257,11416,18149,11591,2000048,371572,26182,5659,2814,-1483,86673,-63890,-1969,182,-13415,-9335,401002,-49751,10827,-3391,-7076,-5273,easy
14734,29865,9788,5014,2688,3748,288903,134740,12633,12553,18116,13202,-257256,-88694,7832,-2999,-14873,-11286,-287675,-129550,-11200,-11223,-16794,-11377,-277576,-96380,-5168,-8396,-14618,-5699,difficult
39395,13808,6384,6214,2664,3980,113373,30414,7243,5241,2425,2792,-67625,-11282,3896,114,-294,-1307,-61033,-11862,-2844,-1837,954,268,-93277,-26675,-3629,4641,58,4602,easy
441607,82761,22285,13362,9028,8073,331463,28161,11812,8410,4593,4191,-211005,60974,11566,9097,15166,10406,-91294,82687,16079,4845,23,1133,632732,20138,3773,915,-1885,108,difficult
22637,16228,5331,5258,5394,5797,27699,25064,9285,5049,6934,7739,-14473,-8766,-5942,-1181,-2761,-423,25254,3751,-2147,481,-3358,-5250,-25967,-21493,-3774,1328,1499,-152,easy
310920,35365,24047,6827,7245,8483,576456,95797,31271,8293,7649,12428,131664,-80726,-11920,-4285,-2870,-2971,-568296,-61941,-24600,-3435,-6050,-8003,-359976,-38628,14848,3322,7708,-862,difficult
910154,203325,89624,111315,38244,38227,354644,44968,17083,16743,16568,13469,1997563,370712,212096,216969,67594,69939,-91321,130409,9916,81049,10955,14040,-239711,-26051,-4388,-14302,-13520,-9704,easy
263293,73554,10344,10848,7164,4767,436042,54044,11560,9511,7062,6489,322535,135606,-2804,3439,3452,2413,-425973,-41909,-4950,3862,-1677,-2742,-414809,-35166,4105,-3290,-1470,-4836,difficult
47978,14072,5002,6471,14610,9107,184811,10538,8855,4132,8639,4203,-56834,14799,967,7104,25097,15398,-171440,1325,-6999,1888,-6474,-1312,-182224,-5522,-5527,-1974,-710,627,easy
926150,695571,63133,46297,53137,75141,58096,14994,6911,3843,2045,1785,55695,27876,2706,4280,5431,8297,1636917,1247383,57704,89347,113613,173373,911549,766472,108255,33734,34233,38397,difficult
149852,17381,6517,4735,3595,4886,125184,50580,8169,6834,5440,5514,-35296,-34008,-7435,-5001,-2403,354,-83559,-20559,-507,-3438,-4457,-2463,192859,-45030,2986,2142,1324,224,easy
65390,17994,6191,13497,3457,5118,86274,23697,4428,11533,3281,4695,80806,6291,978,-9416,1075,4065,-70428,-12502,-1456,-2558,-276,-1712,-73030,-10899,5767,17865,-270,-1085,difficult
636292,181103,7966,4908,9325,9832,58727,37485,3763,6551,1829,3229,1683078,393823,17284,-1735,17440,3206,-10338,-33543,-3469,-5338,-1510,-2628,59955,70575,-1205,2145,6557,19232,easy
330832,34735,38774,9032,9879,14906,37870,10506,15922,12231,5580,9956,-13737,-2415,-6542,-3455,161,2099,454662,62288,82173,3814,12697,17216,437962,12813,-7076,-9956,39,-4466,difficult
215724,92235,28361,8132,3022,6845,486885,72654,14741,7983,3344,6233,-355747,-26872,5917,5857,-430,-3003,-298845,134790,44604,10,1897,10109,-158891,-49176,-9661,-5421,-2433,-5271,easy
32333,18416,7113,2621,1418,3443,58600,32291,7661,9170,12842,3283,-18701,-15310,-4304,-5361,-10736,-2010,-15212,1560,4790,-7941,-12077,-1631,-44887,-27875,-2130,-6344,-11459,4122,difficult
209116,22329,15470,11432,7582,10519,295879,40036,3930,8844,2720,4034,-291140,-30693,5905,-1959,5269,8565,212633,-20170,29558,17599,2319,7444,-181781,-2257,-844,-7876,6999,3445,easy
