delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
120993,72836,12063,10330,7338,5895,358051,38607,13033,3098,1544,2078,-218259,140084,-2333,10570,4553,4584,-169097,-15062,-5328,4753,-270,511,-350742,-32156,-12151,-76,386,2586,-210134,44051,15931,13681,18508,7585,easy
15705,18688,10456,45527,4035,10509,8072,5250,9800,30639,6111,7307,3792,-290,-8942,7064,-1543,-2249,1723,5682,2123,19069,-1598,5158,15530,44322,5631,11765,-4471,9530,9487,4036,3813,21654,-691,368,difficult
62555,9161,5585,55440,9393,7665,63724,7382,4668,27736,3442,7680,-50705,1972,4921,93835,953,-3667,-53359,6701,-1178,-4804,6678,742,-55823,-1635,-3105,39668,6112,277,155212,79,3031,-17882,10059,2587,easy
11208,16371,10792,43367,4932,9490,98602,50076,46058,17225,5451,8299,-92151,-31770,-33825,29035,-1860,-1969,-95859,-37676,-29345,7342,-927,3830,-89506,-29139,-42866,42964,1733,2178,-72060,-36234,-35028,25227,-1022,725,difficult
118004,26244,1718,2031,1679,1452,130962,57309,2758,3026,2662,1135,289734,14191,983,2295,-255,1860,-124725,-48359,-1971,-1755,-189,-33,-95349,-36798,-1465,-1782,-1874,-449,-121492,-53293,-1706,-2738,-1615,-111,easy
6634,13036,14984,53155,3832,7154,365665,53753,10004,7869,4769,5608,-360897,-41042,-674,43394,-2063,2372,-363181,-43688,20538,71034,-2296,674,-362913,-43272,1791,36531,-133,2704,-349134,-34867,-1734,30185,745,433,difficult
206305,65522,13609,6044,4400,4442,145706,10668,1956,2166,1591,940,436301,39289,838,1799,21,1536,-128954,6811,8749,6270,921,1755,-6886,8817,-138,-466,421,809,-58064,164500,37163,7907,9871,9908,easy
97803,25223,4243,3450,1394,2104,737163,123390,39773,16928,4653,15046,-672098,-81625,-38511,-11041,-3572,-12581,-481463,-109245,-34663,-14753,-1366,-12924,-722289,-109229,-36689,-14116,-4171,-13284,-681589,-92568,-32257,-14001,-3928,-12978,difficult
105305,27479,5709,3227,2106,2036,180784,56769,5869,3581,2132,954,-135126,-37296,6527,-2298,-427,-347,90909,-42911,1298,-52,-410,352,-113686,10640,-4493,1437,2488,4643,-144013,-47594,-3973,-505,-1755,-321,easy
26775,7493,6726,24746,7973,5825,283665,52356,16046,34177,14254,14217,-269673,-44823,-13678,-28448,-7688,-10326,-281786,-48564,-1855,-12208,-473,-8126,-261096,-46485,-15038,4534,-8295,-9241,-215006,-39582,-6709,-1602,-8667,-5876,difficult
16816,14556,11077,39314,10442,10282,80616,17798,7469,30427,3360,3214,-76624,-3648,2855,17160,1138,2096,-75193,-6814,263,29810,5159,8950,-67306,2481,10092,5651,18822,12233,-36078,-4987,1220,-17074,3209,4993,easy
12089,11306,14340,58390,7230,7101,114096,21209,7010,40176,6259,10186,-109349,-12873,37667,37079,-2451,-1609,-105570,-15387,-5482,-1545,3306,-4044,-110556,-9286,-560,3853,4159,-2578,-82552,-2066,-2307,33469,-1131,-4108,difficult
12154,10963,13899,57700,6305,10022,11851,10205,14017,46068,4889,8342,4735,5510,-12576,16629,-2086,-2318,-5173,3941,35144,72880,-1175,4656,-8488,-5980,-11103,-27970,8860,441,10138,-438,-11936,-15012,64,3942,easy
6228,8083,7430,39978,5354,10802,50659,20278,7253,19820,11245,7115,-42144,-17507,2188,-7213,-6412,3743,-44543,-8368,4767,60099,-8384,2453,-44769,-8549,-3989,6154,-2508,9105,-46267,-14356,-2257,21590,-6262,-552,difficult
62404,14818,3015,2829,1348,3308,335576,51530,8003,9483,4430,6618,-327715,-45697,-6710,-8027,-3897,-5287,-328884,-45977,-4669,-6672,-2623,3488,-220112,-34269,-6112,-7358,-3886,-6088,-215977,-20905,-2461,-4558,-1924,-5355,easy
69199,43830,10216,10649,4713,5230,266908,54014,9839,7352,6155,6438,-103325,89603,1783,1491,-4513,1276,-262282,-51586,12455,9153,4602,-526,-176871,-38250,-9099,7054,-3899,-4440,-248360,-40502,-3630,-4512,-1959,-1141,difficult
321615,65560,13536,8068,7700,7099,540517,69867,16505,8063,12526,9973,-483132,-48194,-15111,-6259,-10988,-8201,341813,-16061,5333,5517,3573,-4476,-521559,-26716,-10080,-6262,-7784,5551,-212730,73744,7983,7022,-4106,-4372,easy
