delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
1204072,200785,82531,53022,22569,18181,994670,85067,24092,18330,7491,5644,276685,151382,10562,46348,7591,17804,-81281,330345,185036,76537,25353,16685,1211086,60344,107907,53128,29657,25053,-622522,-12971,-5829,-5082,2379,-1429,263040,49490,-5483,2530,10411,4572,easy
603273,162917,46947,49662,51734,16678,1291178,258449,17094,65287,16585,17750,-138862,263739,154592,57865,189750,32080,-1209226,-213920,-4392,-43528,-9473,-13248,-33933,-140511,12898,15273,20266,-889,-1228969,-177228,-13628,-48045,-10669,-11502,-828537,-209742,-207,-59692,-14128,-11803,difficult
703226,281145,15908,16869,11618,10496,560526,31454,7478,3389,2181,1871,2011389,1123097,37127,36222,43565,40260,-458135,12763,769,12482,575,14,-330016,52516,-1620,-1518,-646,-509,-117755,49940,11430,19989,2449,515,-391982,10139,-5556,223,1242,2846,easy
903305,228372,58449,26616,21372,11456,334453,163832,11661,35768,21500,16900,1215369,69459,84740,-17102,3651,-137,1224189,509134,101604,19514,-633,796,-172082,-126160,-698,-19667,1625,-12711,409544,5933,38282,-3661,10702,-4394,167241,-135666,10010,-24844,-15983,-10774,difficult
767490,134208,34754,17473,7841,8079,644996,103626,19129,19834,11607,7460,230439,-71837,24318,751,-4407,1948,398539,371043,63817,20533,5057,6058,-596621,-92846,-14629,-18749,-10953,-4808,625612,11680,13540,-4810,-2049,1390,-45499,-65131,-8923,-9532,-6480,-1493,easy
849394,190902,34378,29789,10217,15660,408646,95848,9136,18480,8169,5607,422473,142904,36534,85267,3373,33261,-5969,-62156,3810,3819,1399,3667,-378974,-75929,-5867,-16126,-5335,-4694,172600,-22046,16457,-13265,-2051,-2183,1993610,492495,75278,-3149,12856,20213,difficult
456736,41711,8463,5635,3063,2609,987236,252508,34629,21314,9519,10013,698520,-186079,-6894,-6626,-5641,-4463,-956586,-247406,-33049,-20160,-8449,-8955,-824018,-197396,-29928,-19627,-8586,-7536,-743595,-193419,-30454,-17826,-5991,-8351,-826819,-229687,-30504,-14158,-3615,-7717,easy
196223,55658,9456,6926,7159,3106,917831,105852,110643,79977,41771,24730,-703077,-35724,-102655,-64288,-37891,-21149,-725620,-89447,-107980,-76278,-40473,-22338,-795728,-62316,-105667,-75362,-26156,-22558,-756296,-81241,-98965,-74743,-36385,-22078,-627321,17758,-90668,-74586,-32157,-19999,difficult
1074537,140049,37810,17969,8422,7733,715830,66767,32333,22743,14292,7183,-188580,-65,-29184,-13981,-11453,-4370,863438,60999,-3432,2881,-2110,7734,963827,96059,45886,19257,-673,4026,-86182,220041,28470,-18082,-4427,-1540,241030,-10624,-14353,-13945,-10688,-3100,easy
1337280,271926,49201,24557,16331,14392,975498,255312,50279,36179,13937,18045,998066,-178558,14016,-14896,15938,8230,683263,-177654,-37407,-4852,-3487,-13855,42991,-45661,40541,-19632,16602,-5080,-345180,-217580,-19418,-25836,-12202,-15249,429769,702525,-3120,7104,-4881,7688,difficult
