delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
13797,35288,10269,8581,19567,29088,9113,14172,-9027,-2562,139,-825,-6838,-2008,-1718,-5422,-3048,-22461,-6650,-1039,-6066,-8351,66,-2902,-8630,-31311,-7242,-7784,-17956,-22969,3752,-12516,easy
341239,85492,18365,13547,20349,28096,17251,15389,-296837,-58923,-3784,-9258,-16590,-17000,-7525,-9225,1232283,247942,39537,17708,165,379,6611,8888,587934,251665,33113,7222,31462,10095,4678,12114,difficult
790286,73746,32217,33214,19127,31775,16330,9968,-211688,-38702,-18431,-22141,-4329,2440,-6861,-4876,-764193,-36307,-2722,-15306,-4522,-5980,-7651,-5194,-706374,2923,-4650,1360,17244,-17075,-7866,-7063,easy
1668605,129083,57152,43436,32534,49472,49644,25830,-1500773,-94643,-51795,-36021,-21115,-34590,-46782,-24089,-1353513,-69287,-49279,-39065,-26507,-46670,-47432,-24937,-1198501,-59498,-24216,-3365,12487,10389,-37085,-11058,difficult
273135,102639,14722,13286,6097,19264,19447,7589,1618332,105494,67880,20077,13820,7797,-10280,2002,46470,-30368,67860,-1214,3326,-11843,-12779,-4696,384981,-59131,-4981,-9162,-1781,-4522,-10777,-4545,easy
221390,29762,7654,2620,6374,11671,7977,3512,-215591,-10480,9521,4026,17642,30162,13455,3246,-27393,-12254,-6684,-1652,333,-5134,-3340,-1104,-160675,-3825,10863,3051,1237,-4328,4214,-376,difficult
22210,17039,15750,4447,7890,13293,6437,5106,125767,24570,6515,1517,-4226,-6872,-4320,-2798,33833,-10510,-9539,5950,-1555,3380,3187,2194,5849,-8821,-6373,3329,6014,40772,14498,-1110,easy
540351,62893,13385,12757,7127,14767,4970,6567,-503361,-57921,-5247,-7155,8470,26812,7425,3034,-346110,-9791,-8779,-11200,3342,-5275,-2483,-5141,-346110,-9791,-8779,-11200,3342,-5275,-2483,-5141,difficult
108527,30978,5559,7349,8069,5596,2241,940,-87044,-16616,-3618,-3814,-226,10541,-375,1415,-31242,-20681,-5224,-7221,-7672,-4247,-2012,-815,-65026,39235,7302,-2288,2873,5792,2187,2491,easy
82073,16491,6915,7664,10158,15369,14317,8550,659081,161170,8528,4781,13537,13832,4855,6584,-68978,-10373,-114,3219,-7349,-9912,-8813,-3905,140819,98799,-1421,55677,2079,-4874,-1442,953,difficult
292255,79008,1693,14058,18453,4526,2886,1669,-150877,215927,5648,24356,1055,7992,-1094,-481,-220760,-33682,7666,8103,-12594,-2842,-144,-699,-213359,-25036,17203,-6748,-6530,-1108,-1150,-760,easy
123889,38005,11003,11874,10537,21667,13174,9747,544315,26765,2148,-7043,-7807,-13930,-11385,-8013,639143,16069,24225,3568,-1792,-16656,-8343,-8005,611613,27664,13697,2466,-5424,-16671,-10996,-5963,difficult
487220,165197,31871,25389,13653,30696,21472,17179,-298301,-135801,-11751,-22565,-10495,-16736,-13965,-9955,-270894,-86659,-11470,-13614,-6710,-20696,-4606,-11293,-322049,-117154,-15797,-15426,-13165,-13015,-10314,-13712,easy
38835,23526,3545,7641,10210,28602,14785,11065,-35452,-18754,-903,-5249,-8400,-23867,-12000,-8541,24507,-3039,4214,-5115,-9208,-23095,-12922,-9548,-37520,-20784,3815,-4846,-8680,-19313,-7631,-7000,difficult
107300,13018,4524,4152,4341,8351,5431,2874,-78815,1802,3830,-616,-149,-300,-23,904,-92632,-2394,3306,1502,8523,48331,6239,7556,162364,168792,9964,1312,9264,42702,3572,9719,easy
14999,12322,3207,7758,12818,23416,16281,7511,-10835,-10928,-2461,1717,5445,8522,-6311,4628,-4862,-5662,-163,-4821,-4637,12218,-1951,3744,-8473,-7520,4705,191,-5271,-4696,8607,-3605,difficult
110875,25063,17841,8367,7704,41343,15327,8372,721440,345457,57430,-1461,3400,27681,33230,6445,367008,49461,-3304,28704,19247,-3131,9960,3407,178148,673,-697,918,-4064,-35586,-13871,-7130,easy
742032,236155,76912,44605,28161,39029,26827,28363,-527745,-200188,-56527,-38464,-15804,-30967,-20498,-25575,958220,-62677,-63534,-24757,-472,32136,-7009,-15853,-398555,-143068,-3465,-33119,-2996,-3531,-4541,-18518,difficult
300397,30922,4289,8581,3899,7597,2015,1358,-270263,-17344,2010,-7614,-1845,-6129,-1536,-817,947454,18795,8183,6222,3794,74,2383,1559,947454,18795,8183,6222,3794,74,2383,1559,easy
82504,21180,8389,4380,4053,11400,3950,3243,-75653,-17537,16800,3986,14320,8320,7497,4271,-74273,-2514,-2446,-2580,7739,13569,8650,10554,-79899,-10655,-3292,-507,5885,4679,15150,3910,difficult
464472,71437,13108,8794,18871,27223,7685,8341,-105534,-36161,-10449,-6976,-11589,-17969,-2041,-5707,-258226,-27833,2215,43350,7154,25926,13052,13950,1102175,-51973,43979,34619,-6667,-10223,5993,-764,easy
41199,28800,6165,6532,10399,44660,16594,10613,2066468,-2484,10335,-335,16951,-12104,1143,3199,19997,-27159,-5979,-2689,-8324,-40759,-13868,-8784,36374,659,-5899,-5053,-7611,-39806,-13603,-8223,difficult
547942,137901,16178,14634,8525,10311,9352,3819,-396295,-25704,-5218,-11169,-4868,5200,-5789,-2387,-193649,-83671,-1472,-3274,-5688,-5365,-7380,-2044,-384829,-76734,51542,2915,12658,19327,-2716,2647,easy
56701,15120,2847,7893,5022,11595,4024,4309,211519,-7458,2328,-5007,1233,15478,7222,-303,-48150,-12538,-135,-5115,703,-7065,-220,-3175,-49383,2783,-689,-2122,9008,8546,4871,1481,difficult
1251284,100081,31273,17885,13735,11901,5945,6636,-1139805,-57412,-27963,-13055,-12473,-9405,-4898,-4782,117761,-54319,-8265,-5967,-972,8219,-1550,-3559,-1126562,-50803,-21771,-15563,-6987,-6929,687,-2248,easy
6157,4416,4644,3139,7317,11526,6271,6877,4974,3649,-519,-1305,-3283,-6603,-4260,-3964,194224,16905,-3323,-873,-5232,-6102,-2772,-5608,11522,486,-2625,36480,40053,20533,-3822,8772,difficult
43094,8341,1537,2281,8149,16512,6984,4175,-37917,-6940,1372,-1471,-5364,-11993,-3103,-2073,62273,1528,2355,498,6093,24851,20250,2577,-34565,-7488,-714,953,-5235,-5343,-5003,-1094,easy
201303,16856,6252,9797,10762,31027,10868,5584,-89225,12914,1561,1876,1487,3447,-984,5187,-200073,-14009,-4444,1638,309,-12040,28765,7649,-9413,54381,27819,32925,40325,5618,15806,3936,difficult
827349,73570,17301,11145,18109,35354,9698,9679,-648198,-40174,-3680,-8312,-11070,-27477,-4823,-8278,-777986,-31657,-1870,-8509,-10253,-28471,-7278,-6961,-661147,-20460,14977,-5860,-13801,-20980,-5530,-6991,easy
588599,88385,59759,12388,31190,14067,6549,4552,1004198,-41752,-6988,-250,-24042,709,24128,7839,-348255,310263,16001,-4702,-5799,4361,10130,3111,25528,-48154,-58371,-9953,-27626,-7234,-3987,-3581,difficult
149791,29534,7852,5582,4752,15352,4484,3247,-137240,29709,29310,1908,10641,9380,-663,7121,1117391,220014,-1500,-749,17734,-8270,6502,2499,-6249,15684,-3795,-2509,-1316,-14218,-4068,-2810,easy
224227,12673,3463,3896,2088,8279,3674,1895,17255,19082,-616,9084,11827,-5091,468,2778,1099839,234000,32212,46499,37111,26611,11271,13847,-83528,2882,2445,-2033,585,-7183,-3062,-1566,difficult
222359,48553,13886,16347,24916,21705,8410,14882,-143416,-14615,-7488,-5812,-19127,1759,-2474,-9953,-188025,-39095,-12149,-10887,-23491,-13972,-4394,-12706,-168487,-43592,-11236,-14304,-23447,-20242,-7485,-14342,easy
57364,19186,7724,14464,8633,37345,11675,6206,16709,9861,15023,-9906,1386,3547,3918,-1771,-49078,-6291,-3596,-10966,198,-28766,-9269,-4923,35278,-7143,-3559,-6073,-355,-29527,-6341,-5495,difficult
172922,58333,21749,11048,13016,25117,21719,13425,-95069,-45556,-20407,-7225,-11444,-20096,-19598,-11246,-93308,-57468,-19048,-8456,-11101,-18650,-18216,-10691,-119574,-50390,-19872,-8868,-11354,-18675,-19436,-12467,easy
212126,215424,19337,12496,7614,15295,4753,2464,-92228,-192065,-13664,2360,-4592,-4072,-2194,-1083,424553,-32895,34082,38929,9455,14500,7971,24261,-173862,-203152,-15130,-6487,-5670,-7755,6700,-144,difficult
98788,19950,1384,4159,5989,13412,4238,1979,520895,4259,7235,719,-1490,-10681,1513,-782,35448,-2032,2048,-1586,-3499,-12660,-3972,-1629,-78064,-11877,3288,1313,208,-2718,133,731,easy
250127,57947,15070,10558,9544,10174,11832,4315,-104480,-49725,-10304,-5455,1158,654,-10057,-3266,-82975,-9301,-11679,9753,-2838,21824,-7405,4606,-126965,-48075,-12389,-10393,-8273,-8467,-10792,-3958,difficult
625478,99854,15876,25548,14087,10963,8155,6311,-534944,-85465,-5895,-23093,-10115,-10047,-8014,-6169,-424042,-82959,-4512,-17453,-9750,-6130,-7465,-4984,-326230,-60492,-3688,13502,11079,16461,9003,-14,easy
415734,75354,5444,4231,13375,28450,10953,6179,-385894,-47729,16455,-74,-2214,45608,-615,-862,-160107,-56440,-4295,-2647,-3386,-21338,-6858,-4277,-369413,-73450,-4712,-2780,-12381,-26331,-10107,-5881,difficult
44458,7546,4372,3541,6452,7960,2685,3341,50424,2848,4889,-212,-4679,408,-252,2086,1513264,74868,5567,15520,15965,4058,1536,-33,-2475,19737,-1662,3380,-4147,-2561,-1206,-1615,easy
277981,142649,27446,17459,11897,35737,6412,9946,714360,483968,148774,58923,111199,54841,33451,5749,1238387,-77581,-13701,6851,6562,-25341,-4339,-7759,-175701,-118286,-25851,-13898,-7754,-20003,-251,-6141,difficult
343648,122350,6774,5761,37579,17498,8166,6882,1664890,109725,39154,64723,41677,10526,797,1552,-228480,-90774,-2846,15348,-21463,-12889,-4394,-3230,-320345,-76892,-1450,19020,-23837,32433,7159,3068,easy
145467,9697,4393,7651,2447,3975,1963,1154,-89759,34367,10130,-4369,2956,-616,-1098,-520,-120042,69245,3925,-1832,-55,-953,-707,426,-72711,9075,-3107,-7061,-971,-1341,-504,-151,difficult
241288,129792,12431,7486,7754,19777,5392,4645,-90677,-97847,-5249,-3885,3869,-4461,10216,-396,-65823,-121961,-5772,-2567,-5389,-11374,-2743,-2653,-74043,-96131,27095,3984,-2133,920,8062,2029,easy
645776,50147,9877,11980,10599,18410,8780,3838,-611832,-14222,10672,-6083,-1006,-10305,-7365,-1944,-565105,111965,23854,-4087,-3621,-14158,-4953,-1299,-554385,-37572,-7777,-8792,-3828,-11904,-7588,-1919,difficult
123731,50684,5316,6658,6003,5396,2120,1566,28742,-26082,-2640,-1413,-4031,-73,-522,-1225,-73967,-19599,8756,1412,9620,10322,2369,4197,186938,-9527,845,-2655,-2523,-1660,-25,-566,easy
18842,26075,8544,12633,5509,6371,2416,2081,6123,-20256,1209,4889,1902,4157,4023,2311,156951,34949,1209,-9239,-2105,2771,-1194,-1629,-11654,4260,-2154,-6710,5376,5067,1318,-190,difficult
528436,31730,6723,12219,4022,17584,7047,6125,-420304,-14433,-2782,-6621,-1102,-13645,-4810,-3313,-102676,-16444,-434,-5323,-986,-6850,-4816,-3937,40590,-14482,-5020,-7142,-3113,-11319,-4320,-4470,easy
89781,31758,12661,8167,5588,6358,2002,925,521049,100198,22338,194449,15437,11991,1824,1481,-70096,-15790,6269,-3243,5459,1198,242,299,-65816,71594,83317,20087,32247,17988,17804,353,difficult
