delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
34308,22205,14099,7784,5458,9895,62987,12164,4075,11205,5088,5372,-37591,23190,30129,-2375,4180,12951,-53706,6682,794,-3610,720,1843,5260,252,-850,-4279,-3791,-1225,easy
54179,15267,7396,12053,7799,11330,165923,42645,14137,7351,12689,19804,-157153,-32905,-11035,714,-5982,-5483,-31376,-30925,-9810,-6422,-10823,-18763,-146703,-18304,621,19813,2136,-1177,difficult
450615,51531,5226,9971,8382,5898,58405,31529,6160,21493,8619,7954,71160,21030,-5082,-19991,-6707,-5594,1151958,45025,2954,5622,7180,4028,-46489,-6049,-675,-20198,-1185,-4601,easy
94741,47264,11637,9197,9440,7976,68918,12803,3857,5590,6104,8469,114719,52527,2679,6704,-2949,-4417,6973,53025,20093,-369,12658,317,-44224,-2169,569,4485,298,2620,difficult
22812,9657,11214,8875,8042,11674,37710,28219,6216,2294,10633,5082,-6799,-12338,-3441,131,-7053,-1615,-20317,-23778,20024,11748,-5391,16452,-17579,-19569,-1588,7864,4670,4938,easy
46440,14036,4436,8702,5541,8679,360268,44134,7590,11348,5641,9231,-252709,-20951,-5488,-8516,-2216,-6364,-335597,-28724,-3322,3111,499,-124,-353178,-40618,-652,-2533,1418,4832,difficult
15483,43460,3556,8066,14698,8534,28612,12211,5608,4334,4635,18260,-22188,-8472,-3077,1629,6833,-4996,3159,111677,1425,12511,24682,-7807,-20358,-9459,-4503,-2945,-1326,-16375,easy
119556,45292,9305,6503,4216,3205,204143,37416,9249,4658,10344,9556,-37466,49667,-4061,1906,-5811,-7845,-73099,-27033,-3608,-1297,-6446,-8382,-143196,993,7837,4927,-6126,-2827,difficult
24774,11060,6232,11124,8224,14385,15180,19174,10174,5964,3126,4012,-2170,-6513,-7922,9160,5896,14417,490,-10065,3990,9418,8540,17619,30463,-7765,-7893,-3098,858,-917,easy
386391,46281,24300,4550,20974,7460,251516,31232,7565,12828,23100,11879,-209663,66651,36299,-9684,-17899,-7304,853784,-6583,16909,-4930,-16502,-2542,-239495,-14920,-3002,-10221,28022,-3412,difficult
