delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
703293,63211,40482,20799,16782,17079,14210,13012,564718,83597,54716,13188,8986,16773,8654,6916,39673,6105,-33482,4409,9695,8732,11338,5654,850713,-19904,4921,14573,14144,2197,10073,16136,-474662,-47359,-14140,3850,-451,-10010,-4744,-3503,easy
274999,151644,72885,32063,34612,29356,13740,13065,1014466,134687,53887,16988,24774,12244,24212,10006,-480739,109832,-20221,1120,7276,25612,-5909,9235,-737530,14627,72856,21608,14975,11279,-12248,5243,-1000133,-73587,4358,22497,7263,14445,-13259,-5300,difficult
234233,96356,40204,25172,9337,11524,11248,9273,1374613,69613,12792,21867,7649,7256,6947,5641,-1066731,122432,60936,46322,12276,17732,13293,7217,-1032896,20972,33128,-17273,-2512,-303,4857,7576,-1321512,-63176,-11829,-19134,-4701,-4626,-5246,-3897,easy
248727,34165,11463,20297,14452,19393,11411,11525,97401,32913,14209,21921,10941,5835,10459,7822,446054,29726,-8602,-9223,16966,28129,9936,9342,-43925,-3454,9383,20603,-1899,13201,-57,7499,51849,-22515,-9020,-16252,-4534,-656,-7024,-5731,difficult
429077,27524,16016,12267,34842,17517,13129,12662,1143853,122181,55837,35092,12341,12908,24970,14396,-1124885,-108991,-42998,-31817,16364,8435,-12201,1287,103856,-66295,-37814,-14647,30271,3748,-5296,2659,-1123300,-108686,-38650,-22012,20868,1643,-18026,-9147,easy
403144,108124,48751,19832,26277,24523,23947,19824,374276,87796,7365,9291,7904,5074,5668,3882,6665,52644,92168,5801,18975,36505,19133,15985,-347649,-44230,7343,9196,17201,3184,18192,14244,427587,52570,24647,16626,18942,18657,17512,17597,difficult
342111,17674,13152,7536,5762,6591,7574,2524,1220555,103060,19256,18481,20524,17788,11582,11115,-486701,-79773,-1715,-6562,-9001,-8018,-5683,-6286,-1037196,-86338,-6726,-17289,-16615,-14513,-5543,-10186,-1111436,-90047,-9871,-8985,-18669,-11060,-797,-9302,easy
58147,19406,8813,10253,11723,10855,6787,7517,296947,66802,16971,21699,7150,8317,10864,4012,-254223,-47109,-14691,-18647,-3227,-3790,-7976,-2103,-263692,-54454,3057,-1857,18201,14273,4383,14257,-198485,-40626,-12840,-13834,-1255,-2868,-8637,-1640,difficult
275730,56282,13665,17547,22649,18032,10555,6016,739170,164117,73062,39548,72437,61135,24546,21350,-169188,-72959,-56653,-15889,-44279,-38657,-7560,-14002,-648350,-127025,-65311,-24639,-60586,-47640,-18217,-15952,-572782,-123520,-56228,-25475,-44500,-43011,-16196,-16047,easy
441992,52886,20958,17566,13019,28582,16898,17855,295656,49292,7648,2501,7714,6907,5700,3586,441357,35447,47085,11727,12548,25176,20940,25784,-173292,-34609,-3542,7612,-1835,-194,-1202,4021,170943,9944,-3613,25855,5203,40043,13855,13002,difficult
1527124,365725,36743,18690,37960,20139,27075,19142,809293,102232,14987,13016,16845,15974,13839,26051,1579682,703999,63048,2490,51099,13713,19963,-4128,77094,27804,-8837,-4646,-6137,-5366,-469,-18102,496717,58677,11058,19177,18383,4147,20214,1502,easy
126671,16951,5671,9296,11035,9967,9580,3933,321700,87947,24397,29906,12661,13853,15398,15042,-309945,-64232,-18889,-19442,2074,-1509,-7194,-8805,-313777,-75787,-17813,-20117,2102,-909,2282,-11250,38634,-72970,-19475,-22271,-9054,-9239,-12541,-13271,difficult
1095746,208242,39445,55760,70183,46071,24902,13645,674713,163234,87963,49817,68206,51683,18254,11859,733947,155316,-21296,57796,88471,46652,38236,14234,-468903,-8234,-69284,-27060,-57097,-44297,-10262,-8056,998055,-12058,-54973,-12907,-25443,-19190,-8029,-820,easy
160025,43667,10980,10444,16002,7004,13019,7835,769864,159788,59393,44236,10734,20362,12678,16653,-574690,-106750,-53735,-40797,-2510,-12400,442,-9841,-735698,-111471,-34914,-19215,20661,-10802,10083,-3533,-519129,-130141,-56590,-41363,-2347,-16872,-9502,-13081,difficult
699428,60063,16619,20600,10841,15495,13033,10490,21042,22702,8486,7020,7513,8655,8387,4872,252550,45457,1069,-1851,-1891,1064,-3261,505,1239426,23637,-635,-752,-6234,2076,2301,9081,543181,42988,23964,43343,18109,17379,14899,7268,easy
1703994,142552,20557,45996,34615,28904,29390,15661,1915221,362487,57599,21510,22862,31443,22971,19516,-1236027,-298571,-50342,43358,-6434,-15945,-16933,-13042,-885485,-211619,-29576,-9652,-1643,-579,12745,2292,1487830,-149615,-31209,39752,43335,8906,23445,-815,difficult
639640,95233,63908,49932,48702,22056,14960,6654,371574,115277,12506,17706,29873,10529,12156,10835,832212,85203,95388,55185,34572,31123,16300,159,333279,-44724,50382,34023,38949,4513,-1374,-4685,-361294,-100610,8436,7470,-17033,-1056,-6515,-8017,easy
