delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
8035,30967,6505,21300,10762,11122,9132,29158,13291,7034,15722,13282,-6968,5492,-7637,209,-7732,-1933,2919,10903,-10398,-334,-3560,-5919,757,-10967,-2322,42922,-3587,1371,easy
60892,30851,15581,71531,13638,29379,35890,14959,6258,15329,8594,43732,-3141,24314,-5148,-9310,-4621,-34516,105835,33873,21859,116558,4985,-29144,-27687,-10510,11257,61358,14767,20602,difficult
8937,19420,12353,18587,21937,9542,56179,40980,5352,9877,2982,6361,-42539,-29444,6567,130,4460,-314,-52673,-23181,7735,5873,3807,3072,-46514,-12054,6701,20126,48599,6784,easy
72034,14281,6485,10478,8785,17630,410563,150345,26683,40345,18409,49687,-273260,-121571,-18992,-29757,-15150,-42156,-362604,-143689,-24809,-36931,-17011,-45079,-379724,-142931,-16792,-22914,3290,-8936,difficult
54222,31561,6330,19765,21992,10911,51499,20615,6056,5597,5832,7832,-25615,42341,-155,-418,4515,9823,59065,5681,-2730,1370,-1468,-4732,-25282,-15184,3706,41553,45432,4147,easy
51532,26427,9089,14691,5340,20989,19865,24632,13249,4320,5390,12087,9,3810,-2753,25418,-476,21129,-14181,-19280,-787,7341,3250,12136,109172,20854,-8939,-1646,-2924,-6558,difficult
334536,178318,33378,39072,29803,13298,944691,454784,202624,54457,137779,78956,-766051,-389567,-151060,-50687,-99119,-71505,-313216,-130132,-175828,14477,-91837,-52024,-751199,-309698,-180849,-9944,-132973,-73444,easy
17514,17600,15885,9382,7591,24645,355376,40346,10863,6356,7713,19596,-349162,-35507,-1255,6707,-5463,-12448,-315685,6166,18826,-3043,6880,10061,-348739,-38898,-2506,5414,-1782,17534,difficult
24191,41723,8653,11113,10905,5409,12459,15660,11044,7411,4897,11366,-321,8598,-9893,-4002,10488,-7607,35803,71723,-8277,-451,-114,-6399,-286,-2133,10996,15558,7649,-3866,easy
406714,70287,29841,9190,5515,20108,17429,11965,5556,4831,3394,12428,-1306,11844,11161,8032,2041,8725,1175778,154179,64895,2614,2544,10244,-6616,8943,-3201,2432,1778,4070,difficult
130503,22802,10727,5313,4813,9227,68283,20745,5875,10181,3848,35109,20480,16434,-1180,-5250,873,-27168,-39393,3682,19773,-64,3517,-22677,205573,-13944,-4036,-9289,-1495,-27802,easy
518330,110341,9969,10905,7314,20823,690745,36744,22871,5423,21706,22865,-461879,75948,-4105,7390,-15214,-3174,620850,170715,-19687,3361,-14637,-5187,-676216,-25872,-14913,5694,-13325,2235,difficult
86529,28235,15045,35418,5190,31406,27055,13072,9150,32900,11052,22100,217980,54624,15186,61969,-2151,27487,-24130,-11140,-3505,-28402,-9948,-16286,-15427,2005,6004,-26014,-5488,16717,easy
1076038,37044,9480,10168,9835,16801,960178,315441,78879,29770,10085,25722,-246665,-296279,-72556,-28693,-5850,-23742,-220318,-278655,-67112,-23974,-4833,-16140,814563,-260258,-68529,-6138,9934,13119,difficult
214539,35711,6063,4941,10864,17483,589257,218508,55028,36829,16193,32552,-513493,-180330,-44820,-31613,-12564,-21940,-158511,-183151,-50058,-28623,9889,-3726,-452150,-184910,-52016,-35427,-13312,-19541,easy
120053,25179,7502,3714,3496,2649,458514,250564,36580,113977,49158,36395,-414025,-244478,-30183,-113530,-47947,-35935,-289204,-231350,-32401,-110381,-44760,-34373,-312153,-200327,-24649,-106878,-44279,-30931,difficult
25636,37782,13123,12779,17354,27126,35302,13272,4224,2593,6367,12103,-20915,-2449,11664,13978,-1346,17677,14464,36034,5476,9809,19289,10991,-22548,39946,9558,6771,15017,16400,easy
