delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
1362530,146606,27208,20874,16530,24135,284039,96773,12188,18856,4816,6043,229040,-11896,24666,11392,11217,4249,-52101,-51760,-5723,-17308,-2682,-348,1075212,103958,15177,10322,44897,57375,1459196,84149,4195,-4733,5146,11420,2681106,124715,36785,10415,-9,17766,easy
474618,74012,13697,11178,9447,35221,964441,85690,53690,64764,22582,29540,1010697,170844,-42153,-24656,-14764,38956,-872738,-69537,-50910,-63411,-20734,-25714,-943549,-51904,-39559,-61461,-6438,17656,-943549,-51904,-39559,-61461,-6438,17656,-699977,-55888,-27783,-56942,-17303,-20148,difficult
1880165,335858,47220,21046,32951,18981,414190,42821,20815,6560,9983,6889,459909,-21223,-8919,2361,7366,7313,3335177,405818,60580,15082,51105,20073,3335177,405818,60580,15082,51105,20073,295195,649041,20881,18400,-295,2925,-95583,25730,-1099,21503,5561,10075,easy
398111,61876,15511,5416,6512,6492,678701,415145,31449,53765,29122,24331,50499,-341459,-16961,-47835,-18660,-7723,-544294,-318492,-19007,-49233,-26234,-22295,-602956,-394332,-15677,-52542,-26026,-23454,-292392,-391430,-24155,-50076,-25920,-21739,-13808,-320633,-3890,-42061,-16208,-13986,difficult
1271338,74342,44748,9973,11290,12203,778004,122346,28882,40255,19872,17083,-457162,-115453,-23985,-36943,-13253,-16363,91830,-49414,-2572,-32276,-2824,-5064,278190,-71594,-8909,-26344,-12736,-8010,1276906,-1780,57397,-27923,-7049,2518,1276906,-1780,57397,-27923,-7049,2518,easy
209844,51524,14225,7498,12501,12657,592245,92759,8442,16669,15497,25320,-365721,112203,25018,-2912,24720,4477,-404708,-71908,13296,-7024,-3627,-10471,-458324,-74594,2427,-13497,-13992,-17442,-341626,-85938,-5912,-11212,-11041,-19939,-341626,-85938,-5912,-11212,-11041,-19939,difficult
520889,70550,14329,8738,14598,16539,151714,24143,27553,12202,13815,10125,66076,-1772,-20420,-8380,-11485,-7565,1328204,71021,-7529,18833,29003,47637,571295,151193,3196,-6903,6480,6055,-65623,13192,-16308,-9744,-8111,-6037,-54075,-1600,-25061,-11128,-11972,-8020,easy
991302,102107,16813,17427,7233,12507,1133282,437279,28535,20864,17520,25315,70697,-254424,-10872,-10468,-12546,-19238,-941235,-422955,-19942,-18626,-16680,-23549,-460589,-374802,-11844,-17978,-13509,-19144,842675,-263931,6547,32651,-583,17886,-221446,-359749,-22497,-2763,-8116,-19995,difficult
139601,70238,28957,9851,12373,10624,725318,99170,8319,11447,12725,16444,-672873,-53407,-4095,-10612,-6306,-9425,-499087,140092,117309,20292,30767,8114,-541405,-64026,-7232,-3043,-5827,-3244,-633973,-86987,-4703,-8935,-11602,-10087,-581246,-80332,1913,-5684,-8792,-14458,easy
616373,98933,25909,16227,14192,31208,629675,536646,29841,28304,18915,43099,272696,-330342,460,-13112,-8549,-36991,-64972,-494751,-10396,-751,-5541,-586,-152291,-488652,-22514,-15085,-3856,7595,297713,-388043,-2615,-14403,5099,5214,-419654,-486776,15407,-17035,-10770,-34689,difficult
