delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
9132,29158,13291,7034,15722,13282,3037,1085,2919,10903,-10398,-334,-3560,-5919,-1700,864,757,-10967,-2322,42922,-3587,1371,-747,482,14261,-1973,-2178,19839,-9309,-4874,-1408,678,easy
35890,14959,6258,15329,8594,43732,5634,6358,105835,33873,21859,116558,4985,-29144,6332,-773,-27687,-10510,11257,61358,14767,20602,-2410,904,96583,24266,16803,-1172,-2398,-37497,-3700,-3235,difficult
56179,40980,5352,9877,2982,6361,3338,3162,-52673,-23181,7735,5873,3807,3072,-1386,1075,-46514,-12054,6701,20126,48599,6784,-1338,-1063,-23897,-18737,13650,16152,20280,1409,3829,330,easy
410563,150345,26683,40345,18409,49687,18686,13524,-362604,-143689,-24809,-36931,-17011,-45079,-17451,-11660,-379724,-142931,-16792,-22914,3290,-8936,-12893,-3959,-408600,-149801,-25349,-39363,-15352,-34645,-16171,-11936,difficult
51499,20615,6056,5597,5832,7832,2227,1916,59065,5681,-2730,1370,-1468,-4732,-751,-1490,-25282,-15184,3706,41553,45432,4147,3803,2195,-4283,33304,-4053,-2151,-410,-469,-677,-948,easy
19865,24632,13249,4320,5390,12087,3231,6429,-14181,-19280,-787,7341,3250,12136,4273,1980,109172,20854,-8939,-1646,-2924,-6558,1633,-4531,-16534,-9762,-11463,-145,-2975,45543,5523,28,difficult
944691,454784,202624,54457,137779,78956,14521,20690,-313216,-130132,-175828,14477,-91837,-52024,13821,-15401,-751199,-309698,-180849,-9944,-132973,-73444,-10622,-17957,100683,-55086,-171585,77492,-110851,-48178,26474,-16015,easy
355376,40346,10863,6356,7713,19596,4132,4064,-315685,6166,18826,-3043,6880,10061,16348,-393,-348739,-38898,-2506,5414,-1782,17534,3134,3694,-342342,-20510,-1517,6554,11069,-1155,2569,1206,difficult
12459,15660,11044,7411,4897,11366,2088,1602,35803,71723,-8277,-451,-114,-6399,-669,-320,-286,-2133,10996,15558,7649,-3866,5349,-328,-8509,-1203,4932,12641,8929,4836,1273,-450,easy
17429,11965,5556,4831,3394,12428,4779,2608,1175778,154179,64895,2614,2544,10244,2089,4430,-6616,8943,-3201,2432,1778,4070,1677,2929,-7863,-1452,-4626,-2407,4400,2519,-1028,5959,difficult
