delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
735894,112616,82174,56084,36793,53783,47399,30861,-560855,-55202,-70483,-39650,-33606,-42446,-30295,-22153,-10407,-22706,-73295,-39588,-16831,-28179,-35293,-17500,easy
632245,31289,7466,9978,3015,8789,7451,4932,812148,241334,11321,13533,29520,49872,27729,53045,-415307,20041,11287,3756,3021,-3070,1925,2170,difficult
1265301,176951,58585,49125,50272,36669,47069,15315,-1065012,377358,332596,-28505,-32749,7400,86640,10344,-322166,258308,27786,-13117,3849,-7316,16392,29826,easy
1432371,120739,55121,38631,26176,35478,70714,32843,-1106658,-68037,-48054,-35929,-23188,-27502,-61615,-29057,-1156528,-35011,7936,-1174,-9959,-7600,-40589,-9898,difficult
1759670,198709,65720,100122,25468,60225,30336,42206,-800683,-39096,-22220,-91134,27298,-34884,3579,-23964,-1612979,-131284,-44937,-91521,-14477,-38822,-19469,-37580,easy
426095,120331,19004,18326,11192,15620,21868,9179,864725,197570,147801,26995,6763,45576,28021,39523,-393538,-93441,-13537,-13893,-8565,-11177,-15426,-5887,difficult
887939,90109,27686,24945,43849,31783,21818,18299,-303642,-56556,-12381,-15700,-39648,-21688,-13892,-15817,-809519,-75466,-18796,-22951,-40009,-23547,-12998,-14889,easy
975393,226704,73525,81760,43360,26266,15116,14309,-307391,-75489,-57662,-75970,-30573,12057,-2848,4144,-606979,-123278,-57153,-77703,-39947,-18405,-12343,-11167,difficult
454521,39505,12770,8850,6299,15356,10836,5456,1044218,37097,17076,15636,15990,12205,8850,3673,-341275,71259,-4576,15659,6644,-6935,9091,10245,easy
742079,737640,151667,75252,79993,178245,108463,58210,-348310,-570984,-73405,-27630,-56312,-128312,-29252,-23409,-361792,-620825,-80136,-51266,-52262,-154546,-81551,-9999,difficult
626465,264902,9629,30737,30747,32386,42899,39147,-154951,-49767,29744,1335,7504,-15872,-18211,-10230,519517,31483,16535,10312,-15016,7610,-15779,-32048,easy
1472866,338520,22206,50235,75977,90293,85935,48711,-1044311,263501,106744,203522,62849,86095,56702,24699,-1328450,-279050,-6894,-46291,-72770,-81528,-79299,-46572,difficult
964408,158962,37987,25690,22909,57111,21451,15369,-697489,-144868,-19499,-17632,-19286,-50804,-17527,-12525,1071713,548737,84881,140082,164372,24026,61448,67168,easy
1161605,345647,79471,59193,35767,49193,28882,25761,417816,-202512,-66405,-47568,-24434,-35125,-17040,-3120,133061,25624,29537,-19872,-24954,17256,34186,54838,difficult
1431370,247841,232183,91926,58141,153175,64924,70046,-1133710,-180746,-190311,-84467,-38941,-136866,-38348,-58533,495274,-178092,-179897,-71392,-20654,-132980,-43081,-26039,easy
331607,105296,7477,23226,44591,21290,11607,8810,207651,-48866,13434,-18383,-29015,-8971,-6416,1489,598106,48522,91730,30857,-30683,-5512,30258,3570,difficult
880253,129567,34229,27508,16303,22021,67442,20575,-442456,-107402,-25714,-1588,-14219,-7360,-52592,-17256,-635770,-110387,-28168,-17205,-9744,-16940,-56394,-14646,easy
560084,63388,41050,12387,7839,11409,6991,10793,-449045,-58076,-39375,-10080,-4981,-7287,-4339,-10050,-178140,101991,-31770,-5634,2919,3027,2220,-136,difficult
1361352,246952,64568,88222,67547,77504,175766,70510,-965343,-220797,-54040,-83126,-61331,-68078,-167358,-63681,-203744,-185002,30521,-77702,-44296,-61252,-161108,-61827,easy
1295890,321536,40687,30135,24455,52176,50451,41292,-1145169,-294075,-25055,-22948,-21014,-36660,-45777,-39080,-61973,-105459,29547,-1181,-13943,-23387,-37983,-33328,difficult
912135,506358,87561,114057,52677,66306,186385,50199,-767618,-442080,-81560,-94669,-50595,-60345,-182161,-44619,-749908,-446695,-83074,-109407,-50917,-55358,-180335,-47774,easy
408545,45256,8358,7888,6602,7287,14436,6549,774641,152228,61683,195636,172991,52887,83743,34081,791456,373280,32362,17757,6891,38355,20055,9896,difficult
878384,295541,184756,21244,14502,89658,36633,42652,-730815,-238750,-183103,-8150,-11420,-85843,-32439,-38489,-443318,-231933,-172634,-10052,22400,-74798,-11010,-26769,easy
828568,164549,105111,75147,27185,31000,48347,70095,-580396,-55467,-92262,-52345,-2069,-15283,-33592,-56817,-442537,-65482,-66917,-70119,-24040,-21808,-43608,-65311,difficult
1540203,164599,71627,24213,17140,37484,35924,14533,-509209,-106445,-56684,-12457,-6969,-11251,-28794,-4378,-436679,-22125,-62019,9293,-4728,-12083,-23271,5239,easy
988852,260759,42931,21125,36310,38134,22383,37265,-655703,-244625,-38915,-11862,-33846,-35035,-16357,-33241,455112,-56780,248777,2510,7742,44314,60072,7405,difficult
929050,325364,142882,55260,30425,51012,66537,55336,131525,-241360,-113084,-47705,-27928,-44205,-52620,-49439,669917,404501,-72105,55456,117209,89850,91365,29016,easy
657826,52655,21807,9422,6876,9259,5264,3101,-56786,-29230,-16097,275,-1357,-2714,-2351,1999,-407011,120885,-12577,28943,-131,1768,15500,9192,difficult
684764,91640,54008,26784,13282,30180,16011,5669,418907,631100,254912,121496,271532,273313,249594,67508,-675259,-84973,-50917,-26115,-12403,-28963,-15644,-4811,easy
416938,60304,28640,18242,5048,21173,7645,9722,345590,77859,8381,27361,2835,16231,19273,13128,-107511,-11824,-21146,-5096,-3521,-10358,15089,-7610,difficult
963631,130737,12413,15416,6867,33044,25488,14725,687277,77037,34187,3137,19583,8542,1165,276,-482228,725094,74676,97094,50303,87129,27851,55126,easy
657955,274213,30932,19452,15182,17247,16645,13576,-454192,-214457,-26799,-4193,-9871,-6270,-6947,-12012,1522993,-68636,6528,37114,1954,15645,15738,3860,difficult
795600,311186,113757,67611,20394,46436,34429,26639,1050904,107490,-61605,-25048,9044,19899,13479,16668,168853,-96171,-98845,-40385,-2736,-12761,24160,-19796,easy
851574,91782,17316,14531,9863,11615,13749,7059,-849783,-80989,-160,31877,3187,-5820,-10601,-3262,-820483,-76291,-14371,29208,-6812,-277,-7210,-2717,difficult
589575,289444,25149,40143,29207,19198,17438,25918,-303423,-203152,-18080,-26749,-14138,-881,1408,-6706,459568,154941,38689,-21559,-23901,8250,-3130,-13457,easy
904800,139573,28888,41387,20230,24562,45437,12304,-639466,-128002,-15002,-32326,-17802,-19251,-38116,-9125,-799034,-121613,-20402,-27098,-15529,-15290,-38096,-6594,difficult
269326,43864,20407,8549,3915,9185,8516,4235,343544,211772,22321,114417,42250,72513,38481,21292,2345978,1317759,240200,210754,130454,101788,135668,216598,easy
759806,81638,31900,20175,12008,10711,17596,9176,-492123,462759,53370,26806,8127,26884,-6402,6985,-509416,-51849,-6623,-8021,-8550,-5332,-9745,-4413,difficult
1505656,503856,48209,55817,85887,110334,75969,51470,-1169008,-415231,-24544,-47164,-80168,-80080,-32266,-29252,-845499,-350931,33264,-25045,-64547,-89062,-53363,-34035,easy
1014393,550772,102293,85464,149990,116895,105212,41315,-556084,-469955,-84076,-41869,-138671,-100514,-89811,-1708,-1008934,-535582,-100678,-70446,-143907,-110383,-103237,-39563,difficult
632743,105353,30704,36355,29391,34649,45677,21691,-464702,-63833,-14165,-23238,-19680,-26890,-41349,-17841,55537,251231,14487,12087,-22823,-11934,-22590,-5916,easy
938587,176310,43590,13894,31883,39806,46453,28352,-521815,-144682,-35465,-6378,-25774,-29924,-38576,-22821,-506434,191719,-40875,17986,15511,-18383,-15073,-18095,difficult
791159,388341,64295,38369,23245,28267,29752,34304,640179,-318150,34762,-5300,-4954,11906,-1951,-14566,652862,448,-2157,12371,-2854,35230,33466,3629,easy
869324,428513,58139,142263,59670,51351,81978,33397,171526,43438,239069,-44027,-27772,-16373,24163,701,418678,-155792,-4672,-111849,-15579,-14611,-23765,1812,difficult
1362630,217148,64460,18398,18063,44526,49789,20318,-740360,52117,-28730,37468,-10891,-29456,-17917,-3611,-1142239,-14846,-39166,1259,-7525,-13047,-22736,-6640,easy
1038741,305868,39172,48238,31453,43445,32145,35007,75387,13199,-34337,26572,-2335,11566,-692,-19105,258169,232391,10358,77487,129782,112487,85724,35594,difficult
1722678,218801,33952,49675,19816,51856,61182,31451,-1642948,-161349,-27718,-41002,-18293,-44091,-56450,-29290,-333361,356747,6449,103742,16246,26767,9261,38826,easy
524691,277274,54771,18499,12480,44561,35335,18556,-152812,-215984,-46295,-14453,-10192,-40988,-31532,-15749,97334,-241354,-29582,-14238,-10075,-33320,-30569,-12523,difficult
621923,120860,43515,46975,27926,72576,40948,30697,44838,-101246,9782,-40678,-21211,-54829,-31709,-25158,581024,386936,-25060,-20256,13350,-55350,8896,-10374,easy
846429,407411,40154,22561,78925,64109,46655,32450,-60823,-345612,-22867,26820,-52663,-49550,-17090,-22300,-199110,-362452,-4330,-13940,-75300,-53016,-27876,-29122,difficult
1470087,324809,180584,33046,62676,54657,136335,38814,-963346,-242778,-162422,-27605,-57175,-46278,-129579,-26790,-449894,114127,-122153,82352,-44170,-10610,-124177,-21581,easy
1429644,41286,17479,29542,12792,24184,34286,11710,254179,31757,5821,15466,45131,16444,5351,8947,-556392,163977,25482,-10961,157,53052,-11031,13856,difficult
