delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
717489,353377,68612,35274,15870,23712,22663,28303,524306,222371,98716,29984,34543,24381,17448,7756,-125683,358536,-35754,83127,176,25087,17033,15990,1579475,681963,67178,10967,-24045,3169,34773,93225,145322,8914,8376,-15652,-9903,6111,4378,3019,-394242,-182976,-94844,-26683,-27990,-16752,-14903,-5567,-238959,-211408,-95478,-25311,-31604,-20960,-15206,-3933,difficult
273646,168556,36183,11606,7843,9251,5116,4582,895375,117331,29600,13299,19389,12951,12765,8932,-615400,-96772,-24707,-12160,-17474,-11658,-10998,-7919,-240662,387684,124808,17668,641,6234,-1376,769,-626697,104457,-25631,868,-11709,2523,-8106,-146,-822631,-102091,-20825,-11353,-16673,-7428,-10473,-7671,-803254,-37155,-20732,-3487,-12513,-8169,-7293,-6782,easy
634545,280933,61757,24758,10129,13153,6130,7569,1250190,335652,22342,23574,44261,24321,9528,6810,561680,115050,10646,11817,-35081,-12720,-1140,-3924,-744996,217831,146996,15977,-24683,5537,-2579,11827,-722206,-124401,49467,15348,-29649,-9937,812,3000,-1225901,-330770,-18752,-18555,-38974,-19379,-7455,-3181,-946803,-151307,8718,-18669,-42274,-19340,-6628,-3925,difficult
437301,81742,28221,14044,7695,18647,5413,7107,1077775,109741,37063,11848,13863,25176,8435,9719,-964601,-98854,-33905,-9194,-11203,-23884,-7436,-9037,-1065463,-108122,-36135,-7656,-9360,-21248,-6322,-6923,690081,32157,73434,10739,3748,31614,1067,11193,-878733,125781,-25109,7584,-6981,-19586,-3796,-7683,-983655,-90957,-22493,9506,-7043,461,1375,-611,easy
351543,236819,21218,18523,14046,12945,4685,5469,320546,48638,11541,18895,13822,20386,12808,6652,-243336,2192,1602,-12466,-8500,-15245,-11221,-1852,593130,820583,6483,-316,16873,3322,-4240,3015,-37531,49326,-6374,115,-2852,-10311,-8662,-2723,-185415,39531,53339,-3879,-11336,-15058,-10829,-3828,28135,29273,-6666,14686,6936,89,-5663,-529,difficult
433998,177777,20072,26717,23740,23207,19012,18254,292900,141749,56756,34075,19706,15106,10797,7918,203576,-86568,-36264,-17700,-12811,-9143,-6029,881,942423,81103,-35891,25541,-2971,22915,5921,32747,90888,419112,-15714,-8285,51171,40699,41973,23217,-252755,-98478,-42451,-16751,-351,-6105,-2957,-2885,-278644,-135027,-53102,-19593,-14870,-7861,2167,-2279,easy
181745,91454,10934,8574,8729,9301,6343,3688,588228,230612,12235,13049,12009,10261,13965,5003,-565411,-180354,-8035,-8327,-6331,-3850,-12057,-3766,-409877,-181681,-1148,75,-9149,-6791,-11203,-2466,-108858,81112,-4125,-3535,-1885,1281,-728,2866,-523184,-199070,6232,-637,8176,9586,-1324,422,-425083,-215795,569,-9953,-7209,-5025,-12796,-3632,difficult
809767,226617,21491,25517,15276,11220,11536,6412,267125,83498,10875,28658,13293,19802,11002,12570,-187611,-60399,-6502,-25030,-9791,-15500,-8751,-11107,2178795,393807,29356,7137,17122,-2406,4612,-3664,1058566,464014,38894,34459,22710,2362,19033,1311,-155309,-47583,-2995,-26343,-10188,-18408,-10714,-12141,-181233,-34243,-5675,-5930,-9938,-8959,-1509,-5187,easy
504843,158875,21639,9426,18800,13395,7492,6558,503592,113942,24565,24931,10273,22719,26200,11224,749418,125250,-16873,-5515,46881,-13516,-23032,-4825,-478392,-74306,-15231,-22939,-7851,-18414,-22208,-8312,670378,357880,28272,-16859,9013,14585,-9463,2027,-473850,-90920,5929,-9174,-1587,-12013,-15036,-2748,-461299,-93239,-16726,-23036,-3820,-17260,-23802,-9471,difficult
332029,82320,18169,10912,10798,8257,5514,5538,150226,46307,1588,2641,3831,2180,1199,1199,72419,28861,10134,7796,4319,2405,333,501,920980,118063,23276,10498,17226,10195,3776,6606,-66919,-32640,4630,-2242,-2386,-1496,-622,-296,106635,72527,36590,15531,14065,8753,8998,10084,-124101,-6748,8275,9770,1613,10527,9089,4800,easy
