delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
1124890,137648,73769,18668,8560,9231,828106,54153,56123,52174,11354,20347,1901250,97046,-43397,-9861,915,-5196,-804480,25346,-42803,-49884,-7748,-14788,-687046,-872,-46861,-45766,-7231,-17023,661973,110300,2323,-40817,3077,-10205,412223,185654,218969,-21203,-2982,-8367,easy
560593,131589,58040,42537,46567,16506,1128974,242873,50331,45091,32084,32088,-527392,-156175,-42947,-34040,-13281,-12663,-876698,-158997,-12605,-40403,-16960,-23876,-764254,-144799,-30784,-27411,-21390,-21617,-633150,-79920,21374,61020,73799,-17588,-40410,-16531,103509,28062,50245,-2168,difficult
253142,65543,19566,22914,8427,8952,526449,92660,17713,12591,8616,7865,-334252,-9048,-12694,9535,-3917,5417,-339023,-41445,21865,26425,-5522,-190,-386653,-86988,-10455,-9501,-4139,-6242,-69228,-35694,19574,14430,5691,733,-237378,37590,-9023,10725,6942,5717,easy
565867,197329,27766,31142,10187,5910,1253461,175604,22905,35122,19008,10567,-803797,-123954,-13958,-17183,-14588,-6888,-1057360,-135951,-11153,-33313,-17520,-8761,-947914,43181,-4121,46613,-8713,-5969,554613,436539,66000,15815,12395,7943,-1183510,-111189,-12463,-31832,-15680,-9609,difficult
703487,157258,38204,28189,27604,13921,1333844,98407,56969,22225,22617,19719,547548,273695,-36082,49253,-1780,3673,-797598,-8468,44202,-3836,51095,188,-966292,-47647,-44908,-14874,-17370,-9975,-634246,36831,-24658,-16527,-9214,-8775,-1301198,39845,-32380,15806,2204,-14099,easy
949864,181761,36082,116657,82156,127235,734617,373117,113975,34810,23133,15313,2348253,254255,32362,367676,309522,215549,-698272,-355639,-113091,-26420,13651,43573,-723464,-355674,-110191,-33411,-12754,-2565,860228,-154621,-92006,125539,5084,294364,-710512,-345101,-106537,-24151,-20386,8690,difficult
793325,86151,18983,52459,15523,49300,1274456,301585,88890,62846,48434,21213,-201573,-228478,-86002,19250,-45272,6843,-870596,-246281,-82532,-30346,-38174,27401,330856,-136370,-32287,19183,-14679,53979,-986413,-252495,-72311,-23725,-31746,4603,-677929,-213545,-76401,-36296,-34683,47608,easy
285580,15709,7915,5824,4966,13712,663644,72055,18599,10407,13864,10733,-340553,-55355,-6135,-8858,-11408,-7208,-341762,-46038,-14337,-2892,-11235,23578,100181,-48102,-9138,3008,-11458,-6756,-657553,-66854,-12283,-6890,-9441,5935,-650634,-65379,-11526,-7281,-950,-652,difficult
102522,44845,4420,4746,5067,4842,390717,102005,21947,10513,8173,13770,-189186,-93656,-20568,-9280,-5523,-10368,-388630,-98720,-18458,-1664,277,-4481,-296366,-17403,-19001,-4332,-5463,-9096,-234167,13202,-10106,-7523,-2805,-11839,-332626,-89222,-19502,-6038,-2018,-8856,easy
291677,68131,26061,9883,7873,9937,471704,56683,19855,11363,5608,5527,578835,99572,71677,13875,16089,17542,-437470,-46252,-17294,-7003,-4797,-810,-432601,-43247,-14714,-4669,1907,664,-463774,-53592,-15571,-1741,2026,2195,-145123,100759,6934,-7860,-3901,2458,difficult
553380,66622,15428,5226,4212,9615,1179014,62223,14897,8585,11423,13726,-513198,35180,-6301,-4939,-767,-5609,-1043735,-49614,-10450,-6515,-10862,-4372,-854163,-21341,1400,-1673,-6618,-1496,-1072802,-46091,-11792,-6904,-10392,-10069,355726,103863,29799,3235,-7415,993,easy
8004,10981,6215,11440,5380,9779,655792,106942,17417,23296,13827,11630,-650172,-88023,-10144,-16305,-8028,-1313,-651257,-98749,-14076,-11223,-10069,-5637,-641943,-94224,-2710,8073,-9320,-3258,-644172,-98636,-15737,-19917,-8461,1389,-651396,-100174,-13342,-19910,-6356,-434,difficult
1129117,196820,113246,40845,40801,26456,1224866,173694,68255,89099,37362,23722,229490,7563,-40926,-80972,-7877,-14666,-597200,-130784,-46762,-70942,-28472,-13324,-569073,208364,260417,-62249,-8739,-3037,873859,-6334,14093,-74451,51113,34698,-415820,36822,38135,47344,11168,9998,easy
1182494,230676,79678,74891,66488,27446,523046,94602,36876,16162,17236,13968,1075325,167830,130244,79982,60269,22178,345314,-44522,7592,13195,-5993,-1876,272886,247380,33623,147625,57392,33911,781812,-42492,-28935,2643,3987,-1691,821901,352173,71484,50199,130603,14868,difficult
71250,20786,4059,5332,5554,11200,897268,167418,26146,58891,24901,61043,-743292,-162829,-24435,-56476,-23304,-59736,-867119,-166328,-24243,-57791,-20163,-53024,-882831,-141124,-18124,-48624,-16527,-45604,-838156,-109232,-19319,-47652,-13945,-35930,-798690,-153649,-24314,-57254,-22798,-54919,easy
804943,420646,34904,50480,52003,24393,561727,80868,13492,14526,8839,5527,171870,939664,9257,66161,42851,16562,7082,-25327,397,-6655,19273,8631,83581,55747,2862,-7941,8038,1774,-119283,550724,48191,9762,60256,24198,1072832,178081,46352,118441,85401,43163,difficult
200462,40551,21612,24727,7473,6626,783054,57505,34968,19849,7299,6423,-398226,25569,-27124,-1700,-1933,-1690,-677296,-54363,-32884,-18202,-4577,-4258,-754827,-35963,-22742,-6925,4731,-3027,-582835,419,35812,51773,6788,7691,-499774,-20431,-19844,-556,-4141,2297,easy
1616370,108310,23245,27911,13474,12163,1599038,178671,72264,47491,34530,20921,1043041,-103742,-62129,-25033,-21957,-14925,1043041,-103742,-62129,-25033,-21957,-14925,1032751,148750,14083,38184,249,21041,-1455396,-131364,-63530,-39195,-27919,-14755,-1576777,-161706,-71389,-46825,-33698,-20224,difficult
449043,149881,45763,12078,9116,9917,424930,521512,58910,32498,24527,18062,348446,-411900,-47268,-22265,-6481,-4235,278454,-498863,-38674,-14585,-21628,-14470,-292780,-274142,36664,-18245,-9797,-4511,117300,-202629,33674,-26582,-16040,-4835,-330856,-470622,-50130,-20424,-23109,-12675,easy
283033,18701,9745,6181,8080,13041,305400,80683,1643,8007,5288,9081,837095,-60265,922,4917,9640,17800,-224904,-75364,115,-7075,-3031,-5967,-298289,-74118,16231,-3784,2547,8738,-189567,-66556,8030,725,-3677,-4383,-236172,-33608,15212,-3911,8483,3614,difficult
1328958,201870,57377,165587,40872,24239,425664,67943,18316,15641,9673,7147,1779581,209061,14993,14259,10085,8050,783440,120989,-6335,31808,19285,4271,-33287,-18130,-16229,-10002,7103,-2716,-97953,-48511,-12956,-11488,-6441,-3859,2084688,406228,215831,725152,125963,79712,easy
93370,15381,3333,4182,5175,8185,564903,102561,47473,46808,12642,37661,-210832,-59667,-44594,-45567,-10169,-35642,-466542,-96842,-38363,-42683,-11118,-34550,-560721,-98311,-45397,-38031,-3172,-22665,-555878,-85432,-46906,-44878,-9372,-26755,-563691,-95646,-45439,-41973,-3505,-27770,difficult
845541,163830,63806,39924,53649,19411,1181418,166602,87755,32512,24161,18062,494598,86113,-24220,48995,76561,14098,-1082851,-141721,-77566,-10019,-11529,-10184,-505647,-105179,-78649,-11027,-12131,-11261,-285579,109259,-53036,-11431,69828,4892,-299907,37670,113726,20544,24710,9201,easy
429942,66501,27286,10787,6366,13982,369785,24788,10873,9244,6944,13286,1411413,260973,57526,22655,3318,597,-337277,-16232,-1587,-5262,907,2859,-309095,-13680,-9792,-7122,-6191,-6913,-96112,-6554,44840,3298,-759,-922,-368144,-15943,-8924,-5853,-163,7859,difficult
1032523,73098,31825,37991,20825,14359,1330922,356997,213707,272250,100861,57541,-253510,-309369,-206530,-242664,-78034,-45634,860983,-271641,-182629,-246575,-93453,-45573,95043,-227338,-157820,-168974,-41969,-19833,-1018288,-264960,-158581,-253678,-94478,-49693,-1176222,-346186,-203849,-259404,-92245,-55179,easy
6385,18645,9624,7112,7850,7478,751096,59327,17992,21639,8801,24292,-745381,-35872,-4150,-19917,-3555,-17648,-739903,-51387,-13980,-12959,-1284,-17876,-744702,-52990,-1408,-16596,254,-15425,-747245,-53961,-16984,-15838,-1156,-17477,-746326,-9198,-5316,-7327,987,-15642,difficult
1210641,162819,50218,225117,27354,234760,753796,102813,116588,29889,14239,14265,-315537,87760,-93591,-10039,4637,32677,1171942,73982,48064,277217,13124,447438,920860,155771,-87907,333832,-10912,393748,418616,-67695,-110782,10076,59962,15983,88342,50210,-87634,365053,-1234,212627,easy
955928,179303,52584,23067,18439,15141,834387,63847,29288,32225,11068,11145,-612382,-40348,858,-16438,-6408,-7216,-609573,-8064,-5608,-27796,-1025,-8159,-579583,-30131,-25504,-28552,-8106,-8258,652173,81723,112171,5961,18931,18808,1757070,574098,34561,21035,33462,24804,difficult
375342,202837,4567,11930,7779,7563,615076,219237,28786,39307,8876,14725,-263608,-196714,-28020,-30827,-3977,-12753,-370894,-134766,-24076,-29331,-2103,-8203,-609627,-204286,-16610,-31511,-2357,-9719,-610917,-209327,-27980,-36414,-4976,-7375,656376,663093,-24411,-8803,7926,2241,easy
573139,356354,53259,169814,50409,20244,341516,87824,22544,12320,5375,6627,565116,-69557,-3173,10951,5837,-4076,-72281,170659,37812,42686,35140,6604,57453,63901,18874,119382,43534,8924,284516,-26867,-13670,11270,-687,-1070,323312,1204513,113730,603180,141344,57703,difficult
