delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
550178,119026,21073,22937,15088,23720,12566,7356,-543430,-114700,-12231,-9353,1734,-1585,-4510,-161,-482920,-73695,17678,-667,-5459,-19066,-10067,-3912,897893,-84773,-5703,-5202,468,-13622,-2625,-1508,easy
64627,29067,21273,5595,6049,19035,12103,5451,-53597,-9370,-20231,-1038,1541,27916,11891,1527,632823,6665,-910,25631,5257,-13144,-5448,-373,290173,148781,23354,26168,11552,29874,19327,6799,difficult
54624,19956,12470,6635,7042,13413,10817,7922,210974,-5809,2495,9545,858,-3098,9365,-838,608361,4070,-4328,-2487,183,-2432,-5613,-1564,789335,320468,53086,4326,21111,13793,12055,20066,easy
38255,38479,9104,6387,6429,18267,22172,13065,123042,-32245,-571,-1563,-3144,-11928,-18727,-10927,126460,-33552,-7822,-4937,-5150,-16942,-21220,-12364,-33936,-35501,-7460,569,-1254,-13243,-14698,-10805,difficult
800379,134800,26481,19006,30969,19723,17944,13877,-608882,-127444,-23487,-17667,-29268,-16128,-16597,-11962,-353250,-101340,-20124,19362,-6816,17845,8695,-4537,-738565,-130211,-24328,-16933,-27232,-15517,-14516,-10735,easy
833370,48478,31803,17818,6521,13180,8234,3612,-681049,22911,-18728,-15313,13905,-6728,-4508,2111,-201313,104316,-6948,4370,-1164,32183,43899,14467,-824458,-38894,-28972,-15686,11363,5830,13935,11064,difficult
1075393,48575,6272,23222,9908,22952,27014,14863,1686651,68746,66671,6751,5827,53979,4877,-5980,-1072040,-44005,1296,-18645,-6228,17309,21585,8562,-993385,-15357,-884,-9489,2551,-12608,-22422,-12108,easy
188829,130573,38984,16445,9926,25256,7723,10091,22876,-115700,-36757,-14183,-8355,-23023,-5049,-9354,-182328,-125404,-35880,-9132,-6405,86835,11580,218,-186304,-122972,-36025,-10784,-2820,7503,22588,3489,difficult
263304,45371,14468,5378,2494,7796,6885,5192,1515373,100671,4398,5173,5166,4830,4388,1095,-250803,8893,13952,23372,9535,16831,11694,4592,-241091,3853,20267,17806,24812,25683,12879,20490,easy
212840,74074,7528,11511,13326,35104,66974,26130,-130258,-50498,-4680,-8774,-11899,-32871,-64460,-25190,-120646,19178,2603,8309,12320,-20612,-31891,-16327,-134172,-44337,-2005,-3998,11697,2180,-52588,-6536,difficult
1168005,57312,25077,18823,14561,15741,11594,7667,-638021,10353,-7871,21794,3572,22557,-1250,-836,-629619,-17136,-14497,15963,-6688,-4901,2470,-808,-1132452,6951,43065,-4369,-1062,3216,-1543,-4209,easy
1308752,78771,20444,16167,10949,21244,7275,9836,-797282,144682,10006,25945,23298,68728,179026,14375,-1307189,-77878,-19645,-15314,-5212,-14962,-1358,-6631,-1214101,-28004,12620,-11553,-1208,17965,2461,496,difficult
834993,146350,25975,19237,11185,29495,8256,12972,995026,20828,26491,31459,-4251,720,58354,9758,-808950,-123101,-22901,-14226,-3233,-20143,6851,-6230,-685431,-86159,-18752,-5819,-2513,12345,4985,3864,easy
306388,42626,24618,9438,9651,19658,10352,9377,907494,92143,-12672,3650,17644,17251,43547,-744,-302630,-39716,-19996,-4372,-5496,-14229,-4299,-7065,-301105,-31775,-22576,-4429,296,-10033,-2139,-3505,difficult
727368,58491,12324,21644,9103,30594,18040,14754,785697,177142,2201,30919,20897,32053,3417,6723,-707176,-55923,-4226,-19627,-4209,-19784,-14955,-12580,-633397,-3209,6098,-17142,-2321,-26115,-15549,-12790,easy
413296,80955,28786,13551,5607,11677,7770,2610,-284459,-64609,-23363,-9872,-4087,-1026,-1257,5626,-297656,-38304,-27817,-12323,2227,360,-3269,650,-306590,-62371,-15515,-6857,8447,-6671,-202,3742,difficult
219077,15790,8712,10792,15509,20321,16981,10144,-31978,20589,61321,22301,11090,43709,1298,10761,-203639,-5337,-4966,-3610,-146,8457,773,-5708,-203741,-5940,-2404,-6172,-10434,16206,25638,1400,easy
847954,92388,11402,21619,3335,25277,10099,9389,-721738,-84774,-10083,-15142,-2287,-21998,-7556,-8193,-844257,-66551,-7695,-8726,13692,24311,19881,952,-844317,-73768,-1842,-5053,3603,-3451,4720,9,difficult
718792,100426,21852,15324,9092,45313,41833,14376,543407,30153,22695,-13264,9968,-32760,-14921,-1743,448594,-57285,-3437,-4919,-2905,-31415,-40048,-12562,-607285,-90902,-20574,-14939,-8194,-41305,-40476,-13594,easy
231327,32488,6009,6773,3958,6328,6958,4693,484462,225194,74495,37807,39089,29604,54655,26927,28265,-21094,-3361,-5989,-2678,-1154,-2308,-3223,-156480,4333,-1028,-3920,-1154,2772,6818,2000,difficult
460382,48958,22749,21060,16536,32005,9322,8611,-402834,-17041,-14643,-19833,-9725,-23671,-5968,-829,-443860,-37623,-18750,-3243,9077,-10903,5590,6167,-414488,-26748,-9002,12002,16713,-8963,8829,9398,easy
780196,76074,20360,17974,7740,31441,29309,22804,-536452,23205,-860,473,4969,-20984,-18661,-17285,-28452,37301,-3951,4865,20605,9083,120,4588,-729881,-56973,-2637,-5065,9559,-15184,-19987,-14009,difficult
12886,16756,4942,3981,13086,20029,17549,6187,98365,249,-820,809,-10465,-1749,22642,-3785,-6065,-1382,-3179,2859,-2023,9421,51245,29608,112138,2504,-2892,-2385,-11823,-9778,-6180,1455,easy
419995,63023,7981,8943,4414,6168,4166,2967,888937,350929,44351,-4007,45417,27300,37535,15084,-348191,-57969,4773,-994,-3348,2797,2392,8965,-415711,-45869,3744,1303,18680,35929,28193,11779,difficult
309590,39481,14379,13419,13049,15801,10102,4897,-43254,9931,-10813,-5978,-11073,-6844,-605,2438,-267931,-13385,248,-10113,-7512,-5298,1721,-2256,93817,154452,-7168,13042,2380,12778,47093,13811,easy
160385,22975,7903,4218,6274,11325,6263,5972,-136613,-18927,-2493,13675,2106,33825,22503,19804,-137198,-21051,-5074,-2876,-2470,1937,-3562,-2251,1202022,282090,54375,12791,24718,46368,18249,15796,difficult
169076,29766,7975,8327,12059,16703,6566,4121,-66889,-4616,10664,-16,-7881,-11411,3050,-103,1230712,112927,15112,18207,45273,8957,5134,8960,-161581,-7920,-3420,-5783,-6007,-861,9349,3795,easy
107630,24202,7227,7504,14448,21984,14526,9572,-100226,-12371,-3064,2305,-6242,46709,509,-224,-101016,-21900,-1253,7606,-9103,15079,20124,6993,-102541,-15684,171,10754,-5505,17952,17288,5292,difficult
879645,34081,7421,18852,8528,13007,9360,4644,-92685,234902,9219,1511,7164,73488,41923,22932,-228984,126085,73228,926,2745,29800,10146,7294,778157,121443,9247,2263,7164,34317,17276,24499,easy
208941,126941,37049,4167,5757,18928,7108,3903,1749984,6451,18698,79193,46014,53136,29941,11466,-163745,-92501,-34023,-3155,-4071,-16158,-3935,-2631,1608888,-77640,2969,37648,27391,30447,30826,30061,difficult
630361,42773,3293,7465,3647,9661,10647,3754,-347604,-3664,36214,-4308,7725,4493,-3656,1611,-527027,-28297,1736,3980,-327,616,-6880,4821,-613506,-7893,19576,14718,18768,35938,15341,7538,easy
718617,34846,23818,20430,12049,14302,11988,6218,-563386,37505,5069,-4578,1954,89508,39038,40481,-673521,714,-22821,-15958,-9959,-711,-8550,-1269,-710023,-24682,-21657,-19169,-8663,-7242,-8702,-2605,difficult
572125,50220,14848,15090,5926,7397,6685,4053,-558011,-48424,-11890,-13689,-5127,23634,668,1184,-562622,-38871,-12478,-11590,9261,33457,7086,12657,-470187,-26420,-12541,-14237,-3700,2694,-4436,368,easy
312064,32688,9511,6876,10276,9271,6571,5352,112632,172481,107567,-2276,22815,34444,52666,24579,2854519,407984,-9,18647,8848,5297,60610,16250,-301587,-21839,-5578,-4567,-3837,3053,-1727,-2318,difficult
570472,41406,20132,12873,9142,17415,16153,17493,-549589,-3562,-4559,-4918,16813,65810,13202,367,-478458,-7548,-15275,13298,-2637,31504,71838,11052,-541685,-35537,-18857,-10461,-7952,469,-10118,-14869,easy
709194,207860,57378,33442,15542,22557,12751,9858,-2033,-96309,-53889,-23767,2693,9614,13540,13985,-619764,-194850,-53456,-29490,-12611,-12800,-1355,-7357,308346,-168443,-47572,-29752,-574,-7187,-4307,-5246,difficult
858631,155863,48501,35811,18978,27306,32469,23154,-657387,-49178,-21619,-14724,-1775,15886,-14897,23874,906423,-110826,-32099,-23915,-8828,-18001,-17506,-18718,-658365,-143251,31129,34231,44056,21668,2828,1295,easy
489975,126011,12314,12615,15361,10270,9476,5190,-285317,-101657,-11939,11678,28523,135617,58377,13383,306326,-105647,15684,-6019,-12487,866,3263,980,-471528,-109935,-8452,-11705,-11232,4340,-686,-609,difficult
419886,50040,17604,3433,4258,10050,12717,5938,-410332,-45224,-9411,-1467,-1133,-1642,-9317,-1962,-328749,-39508,-9833,-862,5793,-3075,-4884,-1428,190655,-36455,-7184,5477,7561,14830,-4667,-89,easy
99544,102063,5759,3849,8499,25705,19659,6532,406206,-78730,3418,13931,5397,11238,56134,13013,69571,-3651,51256,8455,-262,7388,37478,15586,-89663,-79985,9348,25133,12004,712,12458,13732,difficult
1431443,199945,26140,28678,29111,45742,62234,17085,-961456,147666,-4464,1869,7681,29657,22162,8470,-1419035,-196493,-24969,-24002,-20040,-4828,-25519,-2267,-108009,68660,-7060,8505,5371,-19434,-48984,-9980,easy
771995,98973,34910,28035,2912,12111,6624,6547,-769831,-93887,-31625,-23205,10600,22928,9234,6312,-765150,-72952,-21092,-26078,5514,-6095,-4294,-3568,-742752,-80601,-33446,-16879,2256,-8041,-5346,-3826,difficult
776186,170358,40380,39093,26905,40835,24121,15794,-480835,-92662,-13622,-32975,-22157,-29977,-18261,-13456,-767812,-155236,-34144,-20519,-18664,-15917,-11712,-4884,-675215,-158259,-38286,-35010,-21648,-33262,-15374,-12003,easy
143262,141467,20179,17707,20158,21936,18190,7111,178938,75224,8656,11748,-11859,-12311,-9471,-2898,1912216,85537,-1867,45654,25006,6207,19389,5395,206328,-123810,-18907,-13927,-14641,13520,5932,29304,difficult
