delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
6895,16510,5685,5365,9280,17979,13797,35288,10269,8581,19567,29088,-9027,-2562,139,-825,-6838,-2008,-3048,-22461,-6650,-1039,-6066,-8351,-8630,-31311,-7242,-7784,-17956,-22969,easy
849032,232387,41320,18771,25361,25921,341239,85492,18365,13547,20349,28096,-296837,-58923,-3784,-9258,-16590,-17000,1232283,247942,39537,17708,165,379,587934,251665,33113,7222,31462,10095,difficult
229534,49717,23616,21185,21925,24903,790286,73746,32217,33214,19127,31775,-211688,-38702,-18431,-22141,-4329,2440,-764193,-36307,-2722,-15306,-4522,-5980,-706374,2923,-4650,1360,17244,-17075,easy
317676,54607,15389,17286,20822,25848,1668605,129083,57152,43436,32534,49472,-1500773,-94643,-51795,-36021,-21115,-34590,-1353513,-69287,-49279,-39065,-26507,-46670,-1198501,-59498,-24216,-3365,12487,10389,difficult
956396,107971,58308,16520,11219,16408,273135,102639,14722,13286,6097,19264,1618332,105494,67880,20077,13820,7797,46470,-30368,67860,-1214,3326,-11843,384981,-59131,-4981,-9162,-1781,-4522,easy
86837,20909,12221,4428,12778,18571,221390,29762,7654,2620,6374,11671,-215591,-10480,9521,4026,17642,30162,-27393,-12254,-6684,-1652,333,-5134,-160675,-3825,10863,3051,1237,-4328,difficult
77360,18785,12618,8046,7968,25720,22210,17039,15750,4447,7890,13293,125767,24570,6515,1517,-4226,-6872,33833,-10510,-9539,5950,-1555,3380,5849,-8821,-6373,3329,6014,40772,easy
141824,37059,5783,2905,12178,20188,540351,62893,13385,12757,7127,14767,-503361,-57921,-5247,-7155,8470,26812,-346110,-9791,-8779,-11200,3342,-5275,-346110,-9791,-8779,-11200,3342,-5275,difficult
47423,31624,5046,2908,6394,9625,108527,30978,5559,7349,8069,5596,-87044,-16616,-3618,-3814,-226,10541,-31242,-20681,-5224,-7221,-7672,-4247,-65026,39235,7302,-2288,2873,5792,easy
325714,99690,9246,28890,12914,15051,82073,16491,6915,7664,10158,15369,659081,161170,8528,4781,13537,13832,-68978,-10373,-114,3219,-7349,-9912,140819,98799,-1421,55677,2079,-4874,difficult
97256,131411,11865,22628,12430,5873,292255,79008,1693,14058,18453,4526,-150877,215927,5648,24356,1055,7992,-220760,-33682,7666,8103,-12594,-2842,-213359,-25036,17203,-6748,-6530,-1108,easy
722246,61504,24360,11538,5529,5915,123889,38005,11003,11874,10537,21667,544315,26765,2148,-7043,-7807,-13930,639143,16069,24225,3568,-1792,-16656,611613,27664,13697,2466,-5424,-16671,difficult
190139,51992,18865,8187,3530,13880,487220,165197,31871,25389,13653,30696,-298301,-135801,-11751,-22565,-10495,-16736,-270894,-86659,-11470,-13614,-6710,-20696,-322049,-117154,-15797,-15426,-13165,-13015,easy
22680,9334,5920,2571,1447,6510,38835,23526,3545,7641,10210,28602,-35452,-18754,-903,-5249,-8400,-23867,24507,-3039,4214,-5115,-9208,-23095,-37520,-20784,3815,-4846,-8680,-19313,difficult
104272,69085,10224,4885,10220,38595,107300,13018,4524,4152,4341,8351,-78815,1802,3830,-616,-149,-300,-92632,-2394,3306,1502,8523,48331,162364,168792,9964,1312,9264,42702,easy
6942,4285,3901,6787,11330,28764,14999,12322,3207,7758,12818,23416,-10835,-10928,-2461,1717,5445,8522,-4862,-5662,-163,-4821,-4637,12218,-8473,-7520,4705,191,-5271,-4696,difficult
533074,156927,35651,17754,13898,37664,110875,25063,17841,8367,7704,41343,721440,345457,57430,-1461,3400,27681,367008,49461,-3304,28704,19247,-3131,178148,673,-697,918,-4064,-35586,easy
752672,100844,35737,12492,21737,38242,742032,236155,76912,44605,28161,39029,-527745,-200188,-56527,-38464,-15804,-30967,958220,-62677,-63534,-24757,-472,32136,-398555,-143068,-3465,-33119,-2996,-3531,difficult
841945,37671,10414,10191,5813,5603,300397,30922,4289,8581,3899,7597,-270263,-17344,2010,-7614,-1845,-6129,947454,18795,8183,6222,3794,74,947454,18795,8183,6222,3794,74,easy
5896,10945,12076,4680,13368,20256,82504,21180,8389,4380,4053,11400,-75653,-17537,16800,3986,14320,8320,-74273,-2514,-2446,-2580,7739,13569,-79899,-10655,-3292,-507,5885,4679,difficult
710610,32781,25023,32458,15170,26468,464472,71437,13108,8794,18871,27223,-105534,-36161,-10449,-6976,-11589,-17969,-258226,-27833,2215,43350,7154,25926,1102175,-51973,43979,34619,-6667,-10223,easy
748812,19139,5651,3840,10738,13770,41199,28800,6165,6532,10399,44660,2066468,-2484,10335,-335,16951,-12104,19997,-27159,-5979,-2689,-8324,-40759,36374,659,-5899,-5053,-7611,-39806,difficult
223018,75865,31129,10791,9226,16698,547942,137901,16178,14634,8525,10311,-396295,-25704,-5218,-11169,-4868,5200,-193649,-83671,-1472,-3274,-5688,-5365,-384829,-76734,51542,2915,12658,19327,easy
94696,9382,3348,3812,8670,17248,56701,15120,2847,7893,5022,11595,211519,-7458,2328,-5007,1233,15478,-48150,-12538,-135,-5115,703,-7065,-49383,2783,-689,-2122,9008,8546,difficult
535082,45903,11940,6357,6924,9196,1251284,100081,31273,17885,13735,11901,-1139805,-57412,-27963,-13055,-12473,-9405,117761,-54319,-8265,-5967,-972,8219,-1126562,-50803,-21771,-15563,-6987,-6929,easy
76397,11429,2488,14573,17830,14135,6157,4416,4644,3139,7317,11526,4974,3649,-519,-1305,-3283,-6603,194224,16905,-3323,-873,-5232,-6102,11522,486,-2625,36480,40053,20533,difficult
39691,4041,2541,2274,6647,19017,43094,8341,1537,2281,8149,16512,-37917,-6940,1372,-1471,-5364,-11993,62273,1528,2355,498,6093,24851,-34565,-7488,-714,953,-5235,-5343,easy
101733,34618,14564,21943,24802,30035,201303,16856,6252,9797,10762,31027,-89225,12914,1561,1876,1487,3447,-200073,-14009,-4444,1638,309,-12040,-9413,54381,27819,32925,40325,5618,difficult
131572,42806,20443,3585,6401,9711,827349,73570,17301,11145,18109,35354,-648198,-40174,-3680,-8312,-11070,-27477,-777986,-31657,-1870,-8509,-10253,-28471,-661147,-20460,14977,-5860,-13801,-20980,easy
815756,161837,43306,7420,12034,13346,588599,88385,59759,12388,31190,14067,1004198,-41752,-6988,-250,-24042,709,-348255,310263,16001,-4702,-5799,4361,25528,-48154,-58371,-9953,-27626,-7234,difficult
474425,118003,15857,5132,13772,10983,149791,29534,7852,5582,4752,15352,-137240,29709,29310,1908,10641,9380,1117391,220014,-1500,-749,17734,-8270,-6249,15684,-3795,-2509,-1316,-14218,easy
568749,97994,14810,21746,18596,13058,224227,12673,3463,3896,2088,8279,17255,19082,-616,9084,11827,-5091,1099839,234000,32212,46499,37111,26611,-83528,2882,2445,-2033,585,-7183,difficult
55716,16119,3595,6013,2894,10887,222359,48553,13886,16347,24916,21705,-143416,-14615,-7488,-5812,-19127,1759,-188025,-39095,-12149,-10887,-23491,-13972,-168487,-43592,-11236,-14304,-23447,-20242,easy
58334,17995,10347,5482,9043,19096,57364,19186,7724,14464,8633,37345,16709,9861,15023,-9906,1386,3547,-49078,-6291,-3596,-10966,198,-28766,35278,-7143,-3559,-6073,-355,-29527,difficult
70272,7195,1973,2865,1716,5977,172922,58333,21749,11048,13016,25117,-95069,-45556,-20407,-7225,-11444,-20096,-93308,-57468,-19048,-8456,-11101,-18650,-119574,-50390,-19872,-8868,-11354,-18675,easy
264947,72720,21100,24097,7345,16186,212126,215424,19337,12496,7614,15295,-92228,-192065,-13664,2360,-4592,-4072,424553,-32895,34082,38929,9455,14500,-173862,-203152,-15130,-6487,-5670,-7755,difficult
258214,16733,5574,4308,4395,4726,98788,19950,1384,4159,5989,13412,520895,4259,7235,719,-1490,-10681,35448,-2032,2048,-1586,-3499,-12660,-78064,-11877,3288,1313,208,-2718,easy
145320,22247,3613,8526,6226,14844,250127,57947,15070,10558,9544,10174,-104480,-49725,-10304,-5455,1158,654,-82975,-9301,-11679,9753,-2838,21824,-126965,-48075,-12389,-10393,-8273,-8467,difficult
197073,23549,11178,16533,11158,11058,625478,99854,15876,25548,14087,10963,-534944,-85465,-5895,-23093,-10115,-10047,-424042,-82959,-4512,-17453,-9750,-6130,-326230,-60492,-3688,13502,11079,16461,easy
110596,16148,7927,2397,7381,27763,415734,75354,5444,4231,13375,28450,-385894,-47729,16455,-74,-2214,45608,-160107,-56440,-4295,-2647,-3386,-21338,-369413,-73450,-4712,-2780,-12381,-26331,difficult
564862,40030,7303,9770,8832,8595,44458,7546,4372,3541,6452,7960,50424,2848,4889,-212,-4679,408,1513264,74868,5567,15520,15965,4058,-2475,19737,-1662,3380,-4147,-2561,easy
870330,238683,63853,34751,48566,38903,277981,142649,27446,17459,11897,35737,714360,483968,148774,58923,111199,54841,1238387,-77581,-13701,6851,6562,-25341,-175701,-118286,-25851,-13898,-7754,-20003,difficult
715670,103036,18393,38791,36371,27521,343648,122350,6774,5761,37579,17498,1664890,109725,39154,64723,41677,10526,-228480,-90774,-2846,15348,-21463,-12889,-320345,-76892,-1450,19020,-23837,32433,easy
51296,47259,8042,3230,3090,3005,145467,9697,4393,7651,2447,3975,-89759,34367,10130,-4369,2956,-616,-120042,69245,3925,-1832,-55,-953,-72711,9075,-3107,-7061,-971,-1341,difficult
164440,24479,17789,6663,6536,14805,241288,129792,12431,7486,7754,19777,-90677,-97847,-5249,-3885,3869,-4461,-65823,-121961,-5772,-2567,-5389,-11374,-74043,-96131,27095,3984,-2133,920,easy
68669,70204,18793,5659,7781,6288,645776,50147,9877,11980,10599,18410,-611832,-14222,10672,-6083,-1006,-10305,-565105,111965,23854,-4087,-3621,-14158,-554385,-37572,-7777,-8792,-3828,-11904,difficult
170969,32281,7636,5773,7025,8259,123731,50684,5316,6658,6003,5396,28742,-26082,-2640,-1413,-4031,-73,-73967,-19599,8756,1412,9620,10322,186938,-9527,845,-2655,-2523,-1660,easy
69315,32393,8632,8946,7233,10369,18842,26075,8544,12633,5509,6371,6123,-20256,1209,4889,1902,4157,156951,34949,1209,-9239,-2105,2771,-11654,4260,-2154,-6710,5376,5067,difficult
367639,16610,3978,5857,2288,6979,528436,31730,6723,12219,4022,17584,-420304,-14433,-2782,-6621,-1102,-13645,-102676,-16444,-434,-5323,-986,-6850,40590,-14482,-5020,-7142,-3113,-11319,easy
218160,83759,49969,78598,23302,16750,89781,31758,12661,8167,5588,6358,521049,100198,22338,194449,15437,11991,-70096,-15790,6269,-3243,5459,1198,-65816,71594,83317,20087,32247,17988,difficult
580032,195352,26067,13098,19991,11721,219978,77133,6208,6098,7762,5792,1338801,450295,42774,19107,18376,8530,-92282,-64264,-905,5352,6266,8352,-166357,-31374,17707,-3460,12044,906,easy
190292,45549,10224,13926,8992,7766,420881,33447,8659,10496,6662,7497,10147,49407,17922,-8757,4358,-2269,-379685,-3754,-7250,-5390,-5222,-4399,-322230,-9347,-5978,24438,7855,7476,difficult
343521,29770,15388,19548,9538,27610,842472,76797,20258,27690,18229,24292,-353971,-60011,-9926,-12497,-11085,20312,-462832,-28206,-7161,10967,-7628,-10580,-680049,-52865,2477,-22895,-7360,221,easy
82617,28448,4002,2432,3066,2709,11849,16244,5032,6713,6849,6676,33685,12687,148,-3379,-5468,-2657,109201,18696,-1067,-4911,-1893,-5749,69418,5230,-2170,-4553,-3987,-3496,difficult
195094,31348,35187,4202,4800,5938,54606,55517,3862,4436,17776,12542,57100,-38970,7526,-1340,-14563,-9501,382131,11955,78888,3070,-8929,-527,-17766,-45492,7561,-2433,-15437,-9785,easy
