delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
284039,96773,12188,18856,4816,6043,3694,3954,1075212,103958,15177,10322,44897,57375,19735,2315,1459196,84149,4195,-4733,5146,11420,12175,-419,2681106,124715,36785,10415,-9,17766,4384,5012,easy
964441,85690,53690,64764,22582,29540,46953,24513,-943549,-51904,-39559,-61461,-6438,17656,17479,2165,-943549,-51904,-39559,-61461,-6438,17656,17479,2165,-699977,-55888,-27783,-56942,-17303,-20148,-40877,-22263,difficult
414190,42821,20815,6560,9983,6889,10810,3762,3335177,405818,60580,15082,51105,20073,661,1346,295195,649041,20881,18400,-295,2925,1255,-1604,-95583,25730,-1099,21503,5561,10075,2957,3471,easy
678701,415145,31449,53765,29122,24331,19166,11752,-602956,-394332,-15677,-52542,-26026,-23454,-15837,-9270,-292392,-391430,-24155,-50076,-25920,-21739,-16475,-11098,-13808,-320633,-3890,-42061,-16208,-13986,-5375,-7303,difficult
778004,122346,28882,40255,19872,17083,15124,4769,278190,-71594,-8909,-26344,-12736,-8010,-449,5404,1276906,-1780,57397,-27923,-7049,2518,3751,-1724,1276906,-1780,57397,-27923,-7049,2518,3751,-1724,easy
592245,92759,8442,16669,15497,25320,53736,11277,-458324,-74594,2427,-13497,-13992,-17442,-45677,-7491,-341626,-85938,-5912,-11212,-11041,-19939,-47195,-7969,-341626,-85938,-5912,-11212,-11041,-19939,-47195,-7969,difficult
151714,24143,27553,12202,13815,10125,6306,2671,571295,151193,3196,-6903,6480,6055,7369,2049,-65623,13192,-16308,-9744,-8111,-6037,-1967,-1684,-54075,-1600,-25061,-11128,-11972,-8020,2752,-922,easy
1133282,437279,28535,20864,17520,25315,28867,18804,-460589,-374802,-11844,-17978,-13509,-19144,-8317,-15197,842675,-263931,6547,32651,-583,17886,103,-6022,-221446,-359749,-22497,-2763,-8116,-19995,-16944,-15678,difficult
725318,99170,8319,11447,12725,16444,24183,11078,-541405,-64026,-7232,-3043,-5827,-3244,-3438,-4839,-633973,-86987,-4703,-8935,-11602,-10087,-14017,-9433,-581246,-80332,1913,-5684,-8792,-14458,-19470,-9498,easy
629675,536646,29841,28304,18915,43099,17777,19304,-152291,-488652,-22514,-15085,-3856,7595,-6499,-884,297713,-388043,-2615,-14403,5099,5214,13551,5602,-419654,-486776,15407,-17035,-10770,-34689,-6495,-7458,difficult
555580,133253,23817,19242,18791,14203,24203,7473,-470805,-123226,-16753,-13235,-13080,-6043,8622,3788,-322722,-84356,-14783,-8705,-16042,3158,-9568,-2822,-387167,-4485,-14665,-8306,-10440,-5275,18424,2643,easy
1102761,157583,29915,40000,18675,39212,32447,14389,-837581,-149847,-29689,-38753,-16415,-36710,-28097,-13594,-886403,-92867,-18812,-30957,-15197,-33512,-7176,-9130,853563,8195,79435,-11643,-13321,48373,46537,4660,difficult
226311,48316,13465,8086,12255,10729,15119,6314,-201073,-41790,-12855,-6104,-7241,-8060,-5767,-5395,102886,-32744,-6954,-749,-836,2392,32607,-2475,438782,-21255,-6487,-6511,-8574,2724,-3911,-1269,easy
65256,50596,8599,5626,8746,25547,6351,7751,177989,-3236,3726,1118,-6179,-23689,-5532,-7160,2276882,317913,18558,-2479,12728,6473,8678,13913,1105686,33108,4743,17227,10437,1839,5862,-1903,difficult
187169,32646,14320,7470,9174,5986,5853,1593,-108591,21768,-6154,382,-1510,9688,3278,4985,272769,66791,7178,1587,-3609,10333,11557,4046,59321,2761,20349,-3098,7669,8215,11644,7552,easy
325572,34920,45478,19747,12094,5602,8322,4604,814747,5329,-13094,-4810,6578,-600,-4699,3076,2210459,415720,136288,43241,9021,27135,29682,6363,322639,84700,-30251,13339,-5142,8211,-256,-1240,difficult
884064,112878,43423,7543,8722,7119,9551,3590,-797141,-97372,-36428,-5777,-6574,-5834,-8168,-3200,-618682,-92289,-40643,-5165,-4523,5775,-4844,31,-779574,26559,-15986,9542,-1640,-2543,-6052,-2735,easy
212453,28684,32220,8404,4130,3196,2421,2468,205823,-6801,-27703,-6843,-1348,-373,386,-1299,-199393,-23656,-30266,-1973,5438,9731,5281,1809,-151414,57984,-21720,-3520,7038,4986,3871,953,difficult
612443,105857,32634,8062,6458,5940,9166,2646,1146159,170731,326,73855,34185,109580,51477,10023,-417160,-93010,-31335,-7201,-5467,-5171,-8340,-2280,-33376,-5609,-27342,-3131,-3387,-2191,7180,1631,easy
1574134,370695,81503,10893,16092,27419,57930,20120,1748259,429845,-35078,28810,8017,79020,-31113,20786,-284847,-156863,-48801,14638,29016,-7609,-27000,2192,-1098088,-242603,-43555,10596,-13481,-17551,-51609,-12129,difficult
404523,93739,25768,9175,10950,17907,27274,7751,118802,-33974,-9342,-4915,-2841,-6014,-20030,-6882,-306903,-73144,-13167,-7936,-9922,-14970,-23029,-7452,2061096,-52675,-510,6752,-6189,-10418,-13411,-4525,easy
741268,183870,41725,26612,7006,79636,47272,22706,-424333,-84387,-38008,-6989,717,-42033,-21217,-10081,963038,691875,52185,1071,6634,-40066,66890,-10160,-607343,-176525,-38346,-15327,-4189,-70447,-29734,-20428,difficult
372675,39553,6682,5545,7256,23163,25933,12174,-31642,358655,143764,92413,18005,2591,3279,14612,145100,19943,13279,345,-6233,-19838,-17143,-5460,-218238,-11420,364,-4022,-4872,-17430,-22239,-10258,easy
711060,133231,19212,10435,5876,21730,24106,15987,573930,95083,97301,21908,11626,164,25780,3032,428548,-53479,39327,-7276,37481,7338,21328,1458,-493560,-120092,-16355,-7603,-3412,-19146,-20408,-15065,difficult
302456,52632,11691,6874,4515,6592,11248,2472,778748,242537,115119,9158,6119,10492,17561,8644,900201,101885,27296,20136,11331,18462,21975,8863,-270552,-43514,335,30111,19221,21575,30117,15231,easy
442301,83989,27999,6095,9728,5618,8964,5080,-126573,10891,-19442,11487,15229,6975,87868,9099,434575,181247,-14614,5044,746,5471,-6717,-1902,2308736,389542,27387,-1801,29356,6913,31120,2882,difficult
204240,29580,7492,10842,6458,11300,19960,7273,-39613,2251,2269,-5744,1465,-5210,-5499,-3745,-122304,4988,5860,-3284,-2096,-4441,2928,-4943,966026,384747,17507,7630,5055,37130,32824,6126,easy
406449,214165,18468,6525,8287,17512,22185,4506,-290581,-207696,-17817,-2853,-4851,-14871,-20640,-3884,-180228,-166891,-10527,-4563,-6598,-14152,-9763,-2306,758648,314856,28697,29196,10047,497,20562,11362,difficult
327624,89885,12168,27612,19031,30586,30165,13757,-291544,3447,-10502,-23770,-16311,-20838,-19665,-8892,-78478,14323,-635,-11916,-14525,-24191,-23636,-9544,-235656,87919,-5077,-20869,2682,-3698,-3928,2619,easy
621452,95332,51259,4785,14217,10436,12102,6581,-243012,-66422,-48190,2039,-8339,1005,3219,3272,-243012,-66422,-48190,2039,-8339,1005,3219,3272,-420205,-16259,-36387,3051,-10988,5115,-7772,4673,difficult
392683,83147,22175,8185,5416,14906,11607,6568,260372,236100,101023,18119,25260,14687,21879,29844,-68366,-59016,-16030,7192,1020,-5361,-4712,-1867,237749,52450,118506,1794,-530,21147,17134,21048,easy
1787388,297699,41489,70342,18729,26168,24652,12255,-1385053,-106414,-33558,-59894,-13577,-20851,-17871,-9735,-994328,-228117,-35382,-61470,-14298,-20422,-13658,-9205,-798722,-215786,-31937,-65296,-11006,-19916,-18437,-9159,difficult
1215853,408002,38999,40414,28653,34173,47661,34627,316531,-92836,19098,-12919,-3942,5969,-30690,-26168,-1130328,-387361,-33102,-37104,-26435,-20640,-44415,-32228,-1130328,-387361,-33102,-37104,-26435,-20640,-44415,-32228,easy
325944,51746,23679,15180,5254,4783,5577,2626,985306,345433,-3806,-12036,10052,13312,18167,4375,-168463,-24281,22100,-11113,698,-1607,6271,-752,1291976,181540,6184,-272,-748,4532,13656,16496,difficult
1358975,142274,15416,14564,16034,36685,49646,30965,1311651,-55025,-5037,221,-9490,-28995,-38522,-23220,-1266401,-137843,-12959,-13061,-14417,-34993,-45424,-30316,62249,-84041,10642,29302,-1878,-5252,7882,-6535,easy
219616,15929,8422,21721,7188,16081,14582,5218,-38934,108618,66785,-3597,21422,10964,42182,8335,259476,162175,33865,2011,15391,-4680,24958,18652,-205373,-8879,10703,-441,4951,7570,2074,9617,difficult
1058261,467433,36486,31275,32275,52814,41329,18881,-19539,-285549,-20285,-25801,-28163,-44159,-30073,-11177,-228329,-248776,18629,60935,38804,-23804,-8163,860,-897646,-415220,-26587,-27925,-23908,-47904,-9418,-9602,easy
1003206,93297,26552,24903,10264,29074,14960,16091,187408,-33513,-20494,-19979,-7634,-20892,2440,-11028,187408,-33513,-20494,-19979,-7634,-20892,2440,-11028,-33808,516275,-1148,-14338,26470,46040,120770,4245,difficult
1978705,907530,82492,24200,36212,67134,31429,23876,-302800,-815337,-70418,-15749,-11775,-11507,52614,-2645,-302800,-815337,-70418,-15749,-11775,-11507,52614,-2645,-1508865,-695816,-76688,-5745,-30177,-52757,-19268,-19634,easy
175049,40914,3132,17469,11087,20923,32529,6125,-108936,-29442,23918,-13257,-2534,-606,-6441,6376,15147,-21826,1488,-12689,3314,-15679,-27178,-2386,506063,3107,3914,-16191,-6847,-16295,-24893,946,difficult
196445,78371,13688,9458,14172,15441,54469,9402,1450778,149875,96043,55672,4803,23073,11928,35547,-94942,-68026,-9730,-7957,-11995,-12032,-51825,-8678,143659,38535,5011,13722,-3505,-3002,-27796,5357,easy
231359,107494,26861,8449,10641,6252,24322,3502,607401,10800,25148,33627,31595,20930,-8505,4747,607401,10800,25148,33627,31595,20930,-8505,4747,234909,7741,66189,13162,12866,3496,25331,-237,difficult
947119,180233,36285,25691,12344,35154,29086,13667,92676,-136042,-29255,-10074,2413,-15052,-17667,-5545,-686098,-153835,-36013,-20021,-8062,-31516,-23993,-10415,-349320,-53452,-19426,-16987,8888,16602,120775,14215,easy
2453861,53412,68376,27132,43372,112021,34342,19242,-2262886,-7022,-64105,-12078,-37188,-98388,-24600,-11015,-2123149,-15676,-55975,-25490,-39919,-107950,-30335,-18102,-2123149,-15676,-55975,-25490,-39919,-107950,-30335,-18102,difficult
636748,310984,34211,11737,26642,33564,77161,23624,-190261,-176026,-27183,-5136,-20857,-19112,-61286,-17645,-229929,-233136,-18639,4232,799,-16759,-55994,-10400,-252507,-302220,-21710,-2926,-24306,-28387,-72051,-22080,easy
596285,41487,8489,9397,14021,39754,60901,14636,-280435,15547,8791,1081,22174,-6508,-24442,13487,-509139,-12780,-783,-1790,-10309,-33659,-54207,-11059,-135244,-19508,-2666,-8198,-7180,-37130,-49837,-11640,difficult
162103,16386,4275,6503,6208,14724,9192,4715,153081,372948,49263,719,32880,-3795,7540,3117,-97907,42023,33874,7028,10060,579,-1761,14273,1594144,221336,43970,9306,12855,10957,22926,6291,easy
1201121,170674,51634,89411,41881,38593,27798,7056,-889215,-131837,-32348,-84130,-37736,-34886,-26379,-6371,-889215,-131837,-32348,-84130,-37736,-34886,-26379,-6371,-1134536,-100408,-41660,-87401,-39825,-35871,-25709,-6438,difficult
662945,367548,67196,133039,244683,116804,43082,16386,-618930,-358746,-52291,-131076,-238436,-114294,-37571,-14486,-618930,-358746,-52291,-131076,-238436,-114294,-37571,-14486,-514229,-218199,-48135,-127001,-227148,-101609,-28145,-9800,easy
614761,36394,8178,8209,7977,5055,2561,1735,-602020,-33419,-821,5346,-4629,14372,11531,6657,-506181,-23270,-5664,-5108,127,-1547,2425,1931,-519429,3576,16126,9664,16288,1574,10493,6443,difficult
99420,68854,17931,12321,23581,19058,8578,13344,82138,57079,-11949,-569,-12469,5004,17254,-8126,82138,57079,-11949,-569,-12469,5004,17254,-8126,-56491,-62191,-15186,-567,-13094,3750,2253,-9178,easy
306404,34929,5045,4037,3472,1572,6809,1175,313989,249967,3540,2436,8082,2547,10185,958,-244872,-18813,3792,-2385,-2249,410,-4615,-741,-86306,155763,13871,9616,-141,5907,2600,2105,difficult
