delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
994670,85067,24092,18330,7491,5644,1973,2225,276685,151382,10562,46348,7591,17804,11436,5249,-81281,330345,185036,76537,25353,16685,22753,13282,easy
1291178,258449,17094,65287,16585,17750,7692,5840,-138862,263739,154592,57865,189750,32080,35845,26912,-1209226,-213920,-4392,-43528,-9473,-13248,-1923,-4539,difficult
560526,31454,7478,3389,2181,1871,1452,857,2011389,1123097,37127,36222,43565,40260,26911,14961,-458135,12763,769,12482,575,14,-206,-233,easy
334453,163832,11661,35768,21500,16900,5709,5998,1215369,69459,84740,-17102,3651,-137,5069,10820,1224189,509134,101604,19514,-633,796,5444,2118,difficult
644996,103626,19129,19834,11607,7460,3905,1861,230439,-71837,24318,751,-4407,1948,170,194,398539,371043,63817,20533,5057,6058,4198,4819,easy
408646,95848,9136,18480,8169,5607,2657,1834,422473,142904,36534,85267,3373,33261,5251,3705,-5969,-62156,3810,3819,1399,3667,1695,908,difficult
987236,252508,34629,21314,9519,10013,10359,3366,698520,-186079,-6894,-6626,-5641,-4463,-7644,-2499,-956586,-247406,-33049,-20160,-8449,-8955,-10073,-3025,easy
917831,105852,110643,79977,41771,24730,22639,8038,-703077,-35724,-102655,-64288,-37891,-21149,-20078,-6188,-725620,-89447,-107980,-76278,-40473,-22338,-21641,-7522,difficult
715830,66767,32333,22743,14292,7183,5605,4334,-188580,-65,-29184,-13981,-11453,-4370,-4302,-3462,863438,60999,-3432,2881,-2110,7734,-1046,14598,easy
975498,255312,50279,36179,13937,18045,9532,5874,998066,-178558,14016,-14896,15938,8230,-3166,247,683263,-177654,-37407,-4852,-3487,-13855,-7137,-3635,difficult
885766,89685,14196,19553,19221,13294,7655,8188,-602002,-65628,-11720,-16894,-8446,-8939,-485,-3972,353933,64647,56757,-3196,-12209,-2501,-1691,-5434,easy
954185,589008,50808,133463,23332,23431,7953,7306,467928,-436694,39250,-65429,7456,-9270,6598,-2515,-165007,-376970,-23906,-114753,-289,-7799,1248,16646,difficult
977969,204799,25690,37995,30085,31453,13418,6299,-696378,-153494,-12362,-16439,-24221,-24237,-10164,-686,299476,-92232,-3020,12236,59995,-10656,8922,17523,easy
406339,73798,36532,44502,19102,12111,5360,3018,-84014,29571,23277,29985,18104,10942,11519,6282,-23787,43170,-11534,-6919,-14539,-3735,-1848,-1055,difficult
636725,124016,51753,72923,30126,12789,6522,4101,386965,183531,-10676,-52011,6854,8628,3651,3080,1137581,20776,77332,-27164,-11797,-1241,-2046,7508,easy
1125276,426498,107439,42379,19187,18712,9441,5909,612413,-124187,6355,54216,40974,49465,14431,13293,-54358,-317597,-48957,1130,-13602,-1792,-1108,5562,difficult
1015541,288527,95459,88237,42767,13409,15393,7896,310708,-120958,-45858,-63022,-12930,-6562,-9918,1724,763977,180669,-24801,-56732,23178,52056,-229,9652,easy
761555,333573,32760,27968,15361,9766,5231,4798,-500733,-307720,-24643,-11633,-10243,-7064,-3936,-3208,1240768,84473,143152,124876,9587,35768,30234,15409,difficult
995890,85013,35203,17084,8189,9496,4507,3239,1006766,408912,256929,382333,71201,23240,25919,11025,-539881,-62561,-29309,-12594,-5903,-4856,-3827,-2682,easy
1080950,176577,13426,6471,6142,3629,4160,3159,-734142,-138643,-10031,1034,-1510,-678,-2005,-1363,-679125,-167749,9789,8432,-3712,-1836,-2022,2028,difficult
881333,77098,23743,27307,13698,11382,9293,4800,-277876,24860,-5836,-17328,-9174,-4535,-4213,-1455,743785,-26329,-11578,-23116,-10968,-6743,-5926,-3729,easy
838456,216464,45711,55666,24792,14892,10167,14186,1455962,241364,110980,94295,-7194,23519,9190,7763,-483712,-89998,-20996,-43244,-13830,-8058,3062,-9561,difficult
993590,171596,63130,93386,54177,25330,9513,17320,-751725,-141595,-38150,-77390,-51214,-22297,-5966,-15669,-784029,-154683,-52994,-78381,-52122,-20183,-7215,-14923,easy
1351336,206127,25316,24690,30191,9430,7834,4431,161603,162363,102017,-1863,-16030,5510,-4030,-886,-619297,-107589,5576,-10819,-10841,156,-3959,-577,difficult
624464,425007,34076,32524,27418,13198,11918,14349,-415861,-388589,-28166,-30468,-22922,-10039,-10203,-13828,65052,909230,176516,4385,4193,37566,-1512,11591,easy
1236212,484644,136757,104842,39142,25074,15261,14550,-643277,-405232,-128032,-98683,-36491,-21604,-11885,-13031,-1154319,-392797,-133422,-93215,-34020,-22429,-13047,-13930,difficult
668752,110618,36190,32476,13117,12591,3550,3158,747806,414561,76551,-10193,-3063,-1301,5443,2496,1986748,-15586,13654,-11862,16507,-8307,567,7423,easy
896491,82916,59270,22216,16031,17886,10037,10015,-155878,39985,-3944,11398,6960,-4018,-939,-4719,1028716,46102,-42341,30519,-383,-4069,4043,-5350,difficult
671994,213395,45141,54005,23045,12741,14281,16673,326653,-61993,7557,-38804,19730,22680,-414,-10241,3016402,-14189,-32993,64804,18424,6773,800,-12706,easy
1005120,74104,14184,27648,5812,8686,3480,4070,935169,220205,124296,91711,68549,41844,22520,7902,-945377,-25242,-8153,-25791,-1681,-5714,-1636,-2604,difficult
538915,113801,15656,17652,2758,10430,5500,2579,963301,21931,-12109,-6213,11208,23965,595,3262,847145,-90813,-13435,-12006,-825,-8341,-3047,-998,easy
